iw_n,G_iw_n
-762.5094169212941j,"[[-2.08746653e-08+1.31143736e-03j -4.94153863e-11+1.72439510e-06j
   7.81889024e-12+2.29833504e-09j -1.88493193e-06-5.14204665e-11j
  -6.51505839e-11+1.45938673e-11j  6.11155998e-12+3.07438460e-11j]
 [ 1.96252715e-11-1.71534124e-06j -2.28323749e-08+1.31143718e-03j
  -1.39342432e-11+1.72443594e-06j -6.41843521e-11-1.65067550e-11j
  -1.87649568e-06-5.50888505e-11j -6.68681161e-11+3.62159132e-11j]
 [-1.17331242e-11+2.28390400e-09j -1.39269818e-11-1.71542182e-06j
  -2.07085874e-08+1.31143714e-03j  5.98843181e-12-3.11201288e-11j
  -6.51441321e-11-3.51673609e-11j -1.88450407e-06-6.51448368e-11j]
 [-1.88338257e-06-6.27431307e-11j -6.52593149e-12+4.15193991e-11j
   3.53464747e-11+3.86285336e-11j -1.95707207e-08+1.31143737e-03j
   8.60029442e-11-1.71534153e-06j  1.11703916e-11+2.28382761e-09j]
 [-6.53452252e-12-4.26704488e-11j -1.87425878e-06-5.53015953e-11j
  -6.47366436e-11+1.11766916e-10j -5.66555443e-11+1.72439561e-06j
  -1.76094603e-08+1.31143718e-03j  1.19723164e-10-1.71542117e-06j]
 [ 3.42700124e-11-3.80374570e-11j -6.45932078e-11-1.12541626e-10j
  -1.88647198e-06-5.03767253e-11j -7.83023837e-12+2.29802769e-09j
  -9.25713484e-11+1.72443717e-06j -1.97353140e-08+1.31143714e-03j]]"
-761.6118190202685j,"[[-2.08518318e-08+1.31298278e-03j  2.16717347e-13+1.72845009e-06j
   1.15468656e-13+2.30140885e-09j -1.88945379e-06-5.18880879e-11j
  -1.19537393e-11+1.05593155e-11j -3.25653272e-12+3.63589044e-11j]
 [ 2.11728080e-11-1.71945420e-06j -2.26961731e-08+1.31298281e-03j
   2.55441706e-11+1.72848965e-06j -1.07700491e-11-1.00056493e-11j
  -1.88098619e-06-5.79870778e-11j -7.31704379e-11+8.85084583e-13j]
 [-7.94941734e-12+2.26372399e-09j  9.13631466e-12-1.71944358e-06j
  -2.07495325e-08+1.31298287e-03j -3.19852666e-12-3.59047750e-11j
  -7.38653610e-11-8.82717722e-13j -1.88900898e-06-6.52846308e-11j]
 [-1.88791425e-06-6.33783336e-11j  5.78014669e-11+2.49307766e-11j
   1.26571189e-11+1.78993893e-11j -1.96920411e-08+1.31298278e-03j
   8.48844551e-11-1.71945387e-06j  7.52743578e-12+2.26364904e-09j]
 [ 5.80354665e-11-2.61930611e-11j -1.87874400e-06-5.81698942e-11j
   4.83226971e-12+5.81057773e-11j -1.07788674e-10+1.72844971e-06j
  -1.78408091e-08+1.31298281e-03j  9.68573027e-11-1.71944337e-06j]
 [ 1.35170579e-11-1.78350391e-11j  5.82671321e-12-5.97342664e-11j
  -1.89101635e-06-5.05591543e-11j -8.54510005e-13+2.30151714e-09j
  -1.33007284e-10+1.72848897e-06j -1.97888092e-08+1.31298287e-03j]]"
-760.7142211192428j,"[[-2.09382033e-08+1.31453177e-03j -6.31873445e-11+1.73257656e-06j
  -1.24223634e-11+2.28167936e-09j -1.89408796e-06-4.99592677e-11j
   9.39804534e-13-2.24939862e-11j -1.86334489e-11+1.93495301e-11j]
 [ 1.12749608e-11-1.72350045e-06j -2.25633089e-08+1.31453211e-03j
   4.40138695e-11+1.73260699e-06j  7.03678504e-13+2.31278473e-11j
  -1.88538352e-06-5.61240762e-11j  5.19927751e-12-1.35828809e-11j]
 [-3.62863239e-13+2.27204641e-09j -1.87722644e-11-1.72346851e-06j
  -2.06113007e-08+1.31453210e-03j -1.83030147e-11-1.88442307e-11j
   5.79569479e-12+1.25501228e-11j -1.89341225e-06-6.62103543e-11j]
 [-1.89252171e-06-6.15861151e-11j  1.12037683e-10+3.62539508e-12j
   4.36619293e-12-1.54104047e-11j -1.97028739e-08+1.31453177e-03j
   9.53019162e-11-1.72350029e-06j  5.97650991e-13+2.27212102e-09j]
 [ 1.12721747e-10-3.91670643e-12j -1.88316594e-06-5.63377699e-11j
   5.58038255e-11+1.95953737e-11j -4.39591041e-11+1.73257558e-06j
  -1.80701481e-08+1.31453211e-03j  1.26761258e-10-1.72346974e-06j]
 [ 3.94645651e-12+1.58675277e-11j  5.39741825e-11-1.97798480e-11j
  -1.89541170e-06-5.19396707e-11j  1.16517051e-11+2.28107890e-09j
  -1.50854820e-10+1.73260698e-06j -2.00268875e-08+1.31453210e-03j]]"
-759.8166232182172j,"[[-2.09901068e-08+1.31608445e-03j -8.36843177e-11+1.73669124e-06j
  -5.79719495e-11+2.27232203e-09j -1.89873238e-06-5.03628643e-11j
  -5.83292550e-11+4.75372983e-11j -2.59124206e-11+3.27401971e-11j]
 [-2.38123136e-11-1.72762469e-06j -2.26784452e-08+1.31608487e-03j
   2.96875230e-11+1.73668882e-06j -6.06600500e-11-4.68251601e-11j
  -1.88978457e-06-5.82955393e-11j  2.72272799e-11-4.05586703e-11j]
 [ 1.44434884e-11+2.28044034e-09j -8.11393090e-11-1.72752489e-06j
  -2.07623546e-08+1.31608504e-03j -2.67416605e-11-3.20696975e-11j
   2.62987760e-11+3.92294046e-11j -1.89775599e-06-6.58388915e-11j]
 [-1.89715610e-06-6.22862566e-11j  1.08571044e-10-3.77059448e-11j
   3.87323301e-12-1.26256405e-11j -1.97425932e-08+1.31608445e-03j
   1.30031062e-10-1.72762420e-06j -1.44433505e-11+2.28101820e-09j]
 [ 1.09083839e-10+3.83907735e-11j -1.88754179e-06-5.86202329e-11j
   3.01340215e-11+5.53262586e-11j -2.23617589e-11+1.73669169e-06j
  -1.80481376e-08+1.31608487e-03j  1.87984655e-10-1.72752490e-06j]
 [ 4.61975392e-12+1.23654575e-11j  3.10729493e-11-5.58212439e-11j
  -1.89973560e-06-5.09337697e-11j  5.63350771e-11+2.27129971e-09j
  -1.36404643e-10+1.73668925e-06j -1.99709130e-08+1.31608504e-03j]]"
-758.9190253171915j,"[[-2.09441972e-08+1.31764122e-03j  1.83597689e-12+1.74091226e-06j
  -2.23485993e-12+2.22286995e-09j -1.90330898e-06-5.40189860e-11j
  -3.18535995e-11+6.93346544e-11j -4.88556713e-11+1.31237970e-11j]
 [ 4.80147772e-11-1.73171276e-06j -2.30152751e-08+1.31764142e-03j
   4.24242806e-11+1.74080842e-06j -3.19264309e-11-7.11261562e-11j
  -1.89416595e-06-5.88882139e-11j  1.25324582e-11-9.16384099e-12j]
 [ 1.62296322e-11+2.31975048e-09j -2.17785940e-11-1.73158738e-06j
  -2.11066460e-08+1.31764137e-03j -4.78225695e-11-1.26134137e-11j
   1.14975347e-11+9.76325337e-12j -1.90223162e-06-6.33647911e-11j]
 [-1.90170011e-06-6.59045324e-11j  5.74565734e-11-3.02091697e-12j
   1.03816045e-11+8.00049737e-12j -1.98835706e-08+1.31764122e-03j
   5.95422950e-11-1.73171260e-06j -1.62066811e-11+2.31987117e-09j]
 [ 5.60654653e-11+2.44869383e-12j -1.89191204e-06-5.86529183e-11j
  -1.33065872e-12+2.30683452e-11j -1.08540781e-10+1.74091330e-06j
  -1.78090725e-08+1.31764142e-03j  1.29048830e-10-1.73158686e-06j]
 [ 1.02836219e-11-8.16404850e-12j -1.04655171e-12-2.25000540e-11j
  -1.90424985e-06-4.82472806e-11j  1.45259734e-12+2.22401161e-09j
  -1.50783973e-10+1.74080821e-06j -1.97248583e-08+1.31764137e-03j]]"
-758.0214274161657j,"[[-2.11630833e-08+1.31920143e-03j  3.36349906e-11+1.74496867e-06j
   2.48359681e-11+2.21580176e-09j -1.90765637e-06-5.21999865e-11j
   1.89120682e-11+3.48941733e-11j -6.36407815e-11-1.87103851e-11j]
 [ 5.91055409e-11-1.73584169e-06j -2.30992186e-08+1.31920143e-03j
  -1.81479041e-11+1.74494757e-06j  1.97292413e-11-3.43071826e-11j
  -1.89870103e-06-5.66924030e-11j -2.09446895e-11+2.32841309e-11j]
 [ 2.95167377e-11+2.33084398e-09j  2.46643129e-11-1.73566385e-06j
  -2.11388778e-08+1.31920137e-03j -6.34771763e-11+1.88377728e-11j
  -2.26403347e-11-2.34200303e-11j -1.90696218e-06-6.38254594e-11j]
 [-1.90605427e-06-6.39400588e-11j  1.07713962e-11+2.00856123e-12j
   1.57648475e-11+1.68787921e-11j -1.97605210e-08+1.31920143e-03j
   4.79107434e-11-1.73584213e-06j -3.05138713e-11+2.33027648e-09j]
 [ 1.14923895e-11-4.90025325e-13j -1.89640853e-06-5.71223570e-11j
   1.55336021e-11-4.38565877e-12j -1.43610704e-10+1.74496925e-06j
  -1.78249283e-08+1.31920144e-03j  8.32534002e-11-1.73566440e-06j]
 [ 1.57547743e-11-1.72954165e-11j  1.51072306e-11+4.17319690e-12j
  -1.90900148e-06-4.96632253e-11j -2.49293259e-11+2.21564670e-09j
  -9.01496518e-11+1.74494596e-06j -1.97879783e-08+1.31920136e-03j]]"
-757.1238295151401j,"[[-2.11142210e-08+1.32076542e-03j  6.01730355e-13+1.74906654e-06j
  -1.35904361e-11+2.24333726e-09j -1.91212667e-06-5.32820217e-11j
   9.66967489e-12+1.12856952e-11j -5.11353167e-11-3.96709144e-11j]
 [ 1.45407141e-11-1.73995034e-06j -2.28811280e-08+1.32076537e-03j
  -5.05946137e-11+1.74905362e-06j  9.96376931e-12-1.13225186e-11j
  -1.90333693e-06-5.71639208e-11j -7.06464799e-13+1.20474022e-10j]
 [ 3.20712263e-11+2.35014152e-09j  2.88361241e-11-1.73980717e-06j
  -2.11371022e-08+1.32076525e-03j -5.05863967e-11+3.93876497e-11j
  -7.34710540e-13-1.20796888e-10j -1.91169139e-06-6.52678514e-11j]
 [-1.91054436e-06-6.47204432e-11j  7.45194265e-12+1.07278241e-11j
   3.97821886e-11-9.08844372e-12j -1.99059690e-08+1.32076542e-03j
   9.44012146e-11-1.73995142e-06j -3.22102494e-11+2.35024970e-09j]
 [ 6.73122512e-12-1.07851679e-11j -1.90100131e-06-5.74105872e-11j
  -2.70413617e-12-2.24181119e-11j -1.09394431e-10+1.74906578e-06j
  -1.81406221e-08+1.32076537e-03j  7.93416639e-11-1.73980830e-06j]
 [ 3.92651444e-11+9.88979565e-12j -2.16325613e-12+2.19743747e-11j
  -1.91371734e-06-5.02806699e-11j  1.31575097e-11+2.24316873e-09j
  -5.85459101e-11+1.74905303e-06j -1.98863610e-08+1.32076525e-03j]]"
-756.2262316141145j,"[[-2.10649010e-08+1.32233309e-03j -5.06375635e-12+1.75323440e-06j
   2.19128078e-11+2.27958780e-09j -1.91663014e-06-5.31717368e-11j
  -5.26470957e-12+5.38195457e-12j -1.32562220e-11-4.72713718e-11j]
 [-6.99968893e-11-1.74406997e-06j -2.29913308e-08+1.32233300e-03j
  -3.75622879e-11+1.75322418e-06j -5.02962428e-12-5.61808861e-12j
  -1.90793239e-06-5.82591966e-11j  3.49021715e-11+8.83201433e-11j]
 [ 3.52253249e-11+2.32589776e-09j -1.04913240e-11-1.74394965e-06j
  -2.11050497e-08+1.32233285e-03j -1.35717190e-11+4.73650288e-11j
   3.61299812e-11-8.78610339e-11j -1.91620758e-06-6.67998094e-11j]
 [-1.91505474e-06-6.47482891e-11j  2.10911286e-11+4.99596763e-12j
  -2.19714385e-11-1.06298245e-11j -2.00558273e-08+1.32233309e-03j
   1.79959435e-10-1.74407007e-06j -3.53948657e-11+2.32550820e-09j]
 [ 2.24823523e-11-5.73296812e-12j -1.90556906e-06-5.77902574e-11j
   2.40720076e-12-2.13413139e-11j -1.03370271e-10+1.75323517e-06j
  -1.81240755e-08+1.32233300e-03j  1.18242952e-10-1.74394957e-06j]
 [-2.18284676e-11+1.08314954e-11j  3.66289770e-12+2.06790207e-11j
  -1.91823768e-06-5.15339260e-11j -2.20011564e-11+2.28056353e-09j
  -7.14356756e-11+1.75322547e-06j -2.00164040e-08+1.32233285e-03j]]"
-755.3286337130888j,"[[-2.09777257e-08+1.32390435e-03j  7.40380914e-11+1.75743837e-06j
   7.04952006e-12+2.30056749e-09j -1.92116620e-06-5.26486883e-11j
   1.85325532e-11-4.77725344e-11j -2.12242942e-11-2.52110018e-11j]
 [-4.09711369e-11-1.74814279e-06j -2.31113984e-08+1.32390456e-03j
   1.76422205e-11+1.75734958e-06j  1.94334874e-11+4.86827019e-11j
  -1.91234221e-06-5.88984372e-11j  9.34709155e-13+3.23881582e-11j]
 [ 3.92735731e-11+2.34647906e-09j  1.47851495e-11-1.74812397e-06j
  -2.14151351e-08+1.32390403e-03j -2.13885297e-11+2.49115564e-11j
   9.86179797e-13-3.20252623e-11j -1.92081606e-06-6.58630802e-11j]
 [-1.91958331e-06-6.48116030e-11j  5.13458354e-11-5.38190305e-11j
  -4.01697249e-11+5.56422259e-12j -2.02401983e-08+1.32390436e-03j
   1.50523101e-10-1.74814145e-06j -3.95264123e-11+2.34531023e-09j]
 [ 5.24665120e-11+5.41358246e-11j -1.91004257e-06-5.94828640e-11j
   2.86419126e-11-5.14475384e-11j -1.82707477e-10+1.75743909e-06j
  -1.81018415e-08+1.32390456e-03j  9.40458275e-11-1.74812262e-06j]
 [-4.03453332e-11-5.59646262e-12j  2.92120921e-11+5.01090899e-11j
  -1.92286357e-06-5.12319462e-11j -7.03066336e-12+2.30085506e-09j
  -1.27734437e-10+1.75734987e-06j -1.98045326e-08+1.32390403e-03j]]"
-754.4310358120631j,"[[-2.11385737e-08+1.32547937e-03j  2.51617162e-11+1.76162917e-06j
   3.39124946e-11+2.31266371e-09j -1.92584288e-06-5.23587418e-11j
  -5.08340806e-11-8.21467821e-11j -6.63543022e-12+2.13360006e-11j]
 [ 1.90800575e-11-1.75225220e-06j -2.31073252e-08+1.32547961e-03j
  -6.58466318e-11+1.76150066e-06j -5.05143729e-11+8.27879059e-11j
  -1.91676396e-06-6.08115858e-11j -2.06551317e-11+1.06472433e-11j]
 [-2.64408048e-11+2.36148954e-09j  1.50861362e-11-1.75225060e-06j
  -2.15788677e-08+1.32547914e-03j -7.42502318e-12-2.14908199e-11j
  -2.05579393e-11-9.85654328e-12j -1.92541613e-06-6.59722303e-11j]
 [-1.92423080e-06-6.43373712e-11j  5.57324441e-11-4.00929901e-11j
  -2.63847694e-11+2.68433735e-11j -2.01752733e-08+1.32547937e-03j
   8.89928673e-11-1.75225207e-06j  2.60761275e-11+2.36109976e-09j]
 [ 5.49291246e-11+3.97440641e-11j -1.91446454e-06-6.04300388e-11j
   2.97428469e-11-6.67800130e-11j -1.36419975e-10+1.76162925e-06j
  -1.82083260e-08+1.32547961e-03j  9.35319114e-11-1.75225056e-06j]
 [-2.66260611e-11-2.67075402e-11j  2.87060912e-11+6.88660958e-11j
  -1.92746535e-06-5.09318219e-11j -3.36994833e-11+2.31292606e-09j
  -4.55733285e-11+1.76149957e-06j -1.97391823e-08+1.32547914e-03j]]"
