iw_n,G_iw_n
-1883.6989550924397j,"[[-5.82491887e-09+5.30867417e-04j -4.22206667e-11+2.82102838e-07j
   5.29180355e-11+9.68284866e-11j -6.91360042e-07+7.37125173e-13j
  -6.48203531e-11+5.32833096e-12j -1.16796661e-12+1.73922436e-12j]
 [ 1.36574945e-10-2.81430417e-07j -1.07541396e-08+5.30867168e-04j
  -3.34995919e-11+2.82137873e-07j -6.29724100e-11-6.83162881e-12j
  -6.82616249e-07-2.93941308e-11j  1.63793134e-11+9.64763299e-11j]
 [-1.91161475e-11+1.31662798e-10j  7.68526401e-11-2.81508619e-07j
  -1.38942342e-08+5.30867189e-04j  1.59576584e-13-1.80721655e-12j
   1.73801034e-11-9.55515818e-11j -6.95702165e-07-5.96668750e-11j]
 [-6.94553838e-07-4.51816960e-11j  9.97841529e-11+2.33536616e-11j
   4.34500945e-11+2.94643649e-11j -9.42258101e-09+5.30867432e-04j
  -1.21242476e-10-2.81429432e-07j  1.63434388e-11+1.30694549e-10j]
 [ 9.91605755e-11-2.07991885e-11j -6.90051982e-07-1.51344384e-11j
  -9.87602324e-11-1.04816810e-11j  2.38470806e-11+2.82103495e-07j
  -4.51089758e-09+5.30867185e-04j -5.90260548e-11-2.81508444e-07j]
 [ 4.29336896e-11-3.00902278e-11j -9.70366554e-11+9.13654333e-12j
  -6.92230264e-07+1.55478621e-11j -5.28014936e-11+9.60707991e-11j
   1.60525694e-11+2.82137563e-07j -1.34664382e-09+5.30867196e-04j]]"
-1881.185680969568j,"[[-5.94370321e-09+5.31576808e-04j -1.21135071e-10+2.82878364e-07j
   4.20967936e-11+1.64669478e-10j -6.92996066e-07+6.69018532e-12j
  -9.10055146e-11+6.34312831e-11j  1.03526343e-11+5.92270863e-11j]
 [ 1.17101964e-10-2.82226124e-07j -1.13004248e-08+5.31576727e-04j
  -4.93911582e-11+2.82948372e-07j -9.10874716e-11-6.50361220e-11j
  -6.84282708e-07-2.46608955e-11j  8.91947215e-11+1.00093150e-10j]
 [-3.15530950e-12+1.91028725e-10j  8.27514164e-11-2.82301252e-07j
  -1.44196229e-08+5.31576131e-04j  9.71749810e-12-5.88600735e-11j
   8.95062776e-11-9.74314031e-11j -6.97391257e-07-5.76560814e-11j]
 [-6.96193052e-07-4.04515195e-11j  1.09659814e-10-1.62494564e-11j
   5.43620100e-11-8.68254534e-12j -9.34986846e-09+5.31576800e-04j
  -1.00697507e-10-2.82226139e-07j  4.08519270e-12+1.90917829e-10j]
 [ 1.09873545e-10+1.74517960e-11j -6.91808124e-07-1.01077691e-11j
  -1.78414153e-10-7.47514695e-12j  1.05766967e-10+2.82878947e-07j
  -4.00934442e-09+5.31576734e-04j -6.42687293e-11-2.82301521e-07j]
 [ 5.42120051e-11+9.19492340e-12j -1.78458614e-10+6.48391372e-12j
  -6.93901701e-07+1.77378915e-11j -4.27628585e-11+1.65283531e-10j
   3.09180993e-11+2.82951053e-07j -8.62798763e-10+5.31576129e-04j]]"
-1878.6724068466963j,"[[-5.59577087e-09+5.32287700e-04j -7.94105506e-11+2.83627645e-07j
  -3.80425624e-12+2.21226308e-10j -6.94480047e-07+6.35020341e-12j
  -5.20270287e-12+2.85435210e-11j  2.24037617e-11+1.63188872e-11j]
 [ 1.60893930e-10-2.82979219e-07j -1.09069201e-08+5.32287502e-04j
  -1.02829183e-10+2.83685486e-07j -6.30511941e-12-2.42863439e-11j
  -6.85880650e-07-3.37486631e-11j  1.09778002e-10+9.36733417e-11j]
 [ 4.00222487e-12+1.64263088e-10j  4.10251645e-11-2.83113411e-07j
  -1.39321388e-08+5.32287666e-04j  2.17967162e-11-1.45725531e-11j
   1.12298110e-10-9.47658229e-11j -6.98996740e-07-5.79828039e-11j]
 [-6.97716489e-07-4.09213451e-11j  1.23122147e-10+5.83144650e-12j
   3.01119831e-11+8.01597131e-13j -9.73374166e-09+5.32287689e-04j
  -1.40081021e-10-2.82977743e-07j -4.88995065e-12+1.64353567e-10j]
 [ 1.22047741e-10-9.54555215e-12j -6.93367218e-07-1.86161355e-11j
  -1.21583595e-10+7.92180736e-11j  6.04292064e-11+2.83625498e-07j
  -4.44249484e-09+5.32287495e-04j -2.84982904e-11-2.83115708e-07j]
 [ 3.12939446e-11-6.19904481e-13j -1.20292909e-10-7.58791300e-11j
  -6.95471838e-07+1.83278893e-11j  3.00545714e-13+2.22412509e-10j
   8.74584709e-11+2.83688712e-07j -1.40661907e-09+5.32287665e-04j]]"
-1876.1591327238245j,"[[-5.35889044e-09+5.33000293e-04j -8.78297575e-11+2.84449170e-07j
  -1.66991889e-11+1.74815373e-10j -6.95971703e-07+2.37052927e-12j
   1.60078495e-11+5.23624941e-11j  4.92037461e-11-3.54744666e-11j]
 [ 6.29695955e-11-2.83952019e-07j -1.10517389e-08+5.33000728e-04j
  -1.82246054e-10+2.84416141e-07j  1.93065390e-11-5.43392859e-11j
  -6.88127318e-07-3.06325874e-11j  9.47002976e-11+1.97974301e-10j]
 [ 2.41657030e-13+1.75441573e-10j  1.81393543e-10-2.83726339e-07j
  -1.43417795e-08+5.33000927e-04j  4.69491798e-11+3.42299576e-11j
   9.53092743e-11-2.00943317e-10j -7.00907949e-07-6.52231205e-11j]
 [-6.99236618e-07-4.48262375e-11j  7.15739035e-12+4.57099287e-11j
   4.06754339e-11+3.41768306e-11j -1.00007033e-08+5.33000297e-04j
  -4.63944299e-11-2.83948330e-07j  1.71789288e-12+1.76394835e-10j]
 [ 1.22826268e-11-4.63565942e-11j -6.95619965e-07-1.57401310e-11j
   3.32703228e-12+5.18092750e-11j  7.12130630e-11+2.84445935e-07j
  -4.34322717e-09+5.33000735e-04j -1.66434652e-10-2.83727080e-07j]
 [ 4.21646431e-11-3.41570923e-11j  2.71495189e-12-4.95628029e-11j
  -6.97362617e-07+1.08828925e-11j  1.84450050e-11+1.74706338e-10j
   1.67904397e-10+2.84416888e-07j -1.02601457e-09+5.33000932e-04j]]"
-1873.6458586009526j,"[[-5.75888445e-09+5.33715029e-04j -2.93200019e-11+2.85244201e-07j
   8.44453673e-12+1.60666971e-10j -6.98176191e-07-5.74780038e-12j
  -1.18088762e-10+8.86721040e-11j -2.80244119e-11-5.98162764e-11j]
 [ 1.33335034e-11-2.84626278e-07j -1.08330762e-08+5.33715707e-04j
  -1.16973399e-10+2.85020860e-07j -1.16432553e-10-8.96050146e-11j
  -6.89766128e-07-2.73030404e-11j  1.15617197e-12+1.32991171e-10j]
 [ 3.35781296e-11+1.70148522e-10j  5.31676269e-11-2.84468516e-07j
  -1.43669393e-08+5.33715460e-04j -2.69313820e-11+5.83693416e-11j
  -2.14058114e-12-1.34000593e-10j -7.02969699e-07-6.16233832e-11j]
 [-7.01395845e-07-5.30807955e-11j  3.21599660e-11+9.56538322e-11j
   2.63443312e-11+1.62216221e-11j -9.65850039e-09+5.33715045e-04j
   1.88991175e-12-2.84628742e-07j -3.27945737e-11+1.68813840e-10j]
 [ 3.12294553e-11-9.36534086e-11j -6.97253465e-07-1.30424036e-11j
  -8.97439949e-11-2.39513593e-11j  1.21124340e-11+2.85248108e-07j
  -4.60029192e-09+5.33715713e-04j -3.95778959e-11-2.84465709e-07j]
 [ 2.52183508e-11-1.71924504e-11j -9.07731261e-11+1.98174916e-11j
  -6.99443662e-07+1.52239876e-11j -9.28309846e-12+1.62312418e-10j
   1.02882551e-10+2.85017931e-07j -1.04000022e-09+5.33715467e-04j]]"
-1871.1325844780808j,"[[-5.82326149e-09+5.34432178e-04j -1.39111186e-10+2.85988042e-07j
  -3.90638748e-11+1.40914405e-10j -7.00448275e-07-3.87150286e-12j
   1.99117035e-11+8.99645011e-11j -2.91671255e-11-6.88611079e-12j]
 [ 8.94112242e-11-2.85334170e-07j -1.14315215e-08+5.34432312e-04j
   4.81389975e-11+2.85852214e-07j  2.06175626e-11-8.80918532e-11j
  -6.91533665e-07-2.85243397e-11j -4.14337382e-12+5.42738732e-11j]
 [ 1.49328877e-11+1.12712540e-10j -6.66372496e-12-2.85212496e-07j
  -1.43992298e-08+5.34432716e-04j -2.81822246e-11+8.24573736e-12j
  -5.36566871e-12-5.45087251e-11j -7.04457034e-07-5.26054321e-11j]
 [-7.03684859e-07-5.12438276e-11j -5.99707705e-12+6.26863196e-11j
  -6.05514700e-12-2.64391071e-11j -9.63069677e-09+5.34432179e-04j
  -7.33666230e-11-2.85329821e-07j -1.55343678e-11+1.15358620e-10j]
 [-4.34352305e-12-6.49400894e-11j -6.99070416e-07-1.42654037e-11j
  -1.42197963e-10-8.57770506e-12j  1.22006450e-10+2.85986514e-07j
  -4.04003604e-09+5.34432321e-04j  2.35884362e-11-2.85215146e-07j]
 [-7.34169810e-12+2.65202043e-11j -1.42960072e-10+9.67811297e-12j
  -7.00922566e-07+2.34824275e-11j  4.04896529e-11+1.41673746e-10j
  -6.66403492e-11+2.85852048e-07j -1.04671496e-09+5.34432716e-04j]]"
-1868.619310355209j,"[[-5.66139309e-09+5.35151114e-04j -1.00302544e-11+2.86787269e-07j
  -7.73128107e-11+1.65718233e-10j -7.02418076e-07-5.83906417e-13j
   8.09260153e-11+1.10452842e-10j  1.85409895e-11+9.91018790e-12j]
 [-9.44970714e-11-2.86064290e-07j -1.14719658e-08+5.35150983e-04j
  -1.03817213e-11+2.86649504e-07j  8.00475614e-11-1.08474062e-10j
  -6.93229786e-07-2.78870038e-11j  6.55220085e-12+2.49531216e-12j]
 [-6.53846735e-11+1.33988759e-10j  1.99202691e-11-2.85980788e-07j
  -1.41707160e-08+5.35150958e-04j  1.89184985e-11-9.11722047e-12j
   6.00582984e-12-2.36386644e-12j -7.06036311e-07-6.12455801e-11j]
 [-7.05694879e-07-4.78904800e-11j -9.58113879e-11+8.74061744e-11j
   2.74528266e-11-8.61622465e-11j -9.84081755e-09+5.35151117e-04j
   1.10138203e-10-2.86065321e-07j  6.64785459e-11+1.34751624e-10j]
 [-9.73394105e-11-8.85211906e-11j -7.00774613e-07-1.39192734e-11j
  -3.54999743e-11+2.13749985e-11j -6.03104694e-12+2.86788000e-07j
  -4.04412499e-09+5.35150981e-04j -2.26422173e-13-2.85980704e-07j]
 [ 2.63905893e-11+8.81297439e-11j -3.37100277e-11-1.78183144e-11j
  -7.02518935e-07+1.54395626e-11j  7.70517775e-11+1.66537573e-10j
  -8.35409001e-12+2.86648377e-07j -1.32854275e-09+5.35150953e-04j]]"
-1866.1060362323374j,"[[-5.86519341e-09+5.35871803e-04j -4.85864623e-11+2.87524267e-07j
  -6.86077465e-11+1.77337211e-10j -7.04641508e-07-3.92164326e-12j
  -1.57643694e-11+6.03150602e-11j  1.62182066e-11+3.93034656e-11j]
 [-7.00334497e-11-2.86805318e-07j -1.11110414e-08+5.35871827e-04j
  -1.87260153e-11+2.87543244e-07j -1.62499256e-11-6.30972490e-11j
  -6.94944504e-07-2.75044993e-11j  7.78309931e-12+2.61653213e-11j]
 [-1.82231087e-11+1.50920689e-10j  1.01377888e-10-2.86882154e-07j
  -1.42686491e-08+5.35872218e-04j  1.46745078e-11-3.97106832e-11j
   9.26087891e-12-2.58088762e-11j -7.07760075e-07-5.81519506e-11j]
 [-7.07904663e-07-5.18411076e-11j -3.89944636e-11+4.38642593e-11j
   3.34563261e-11-6.58602088e-11j -9.67330583e-09+5.35871804e-04j
   8.52412797e-11-2.86806191e-07j  1.91348206e-11+1.49514055e-10j]
 [-3.79996020e-11-4.23487282e-11j -7.02523689e-07-1.36132327e-11j
   4.03501850e-11+6.67688003e-11j  3.45204015e-11+2.87525650e-07j
  -4.45923060e-09+5.35871826e-04j -8.08678949e-11-2.86885002e-07j]
 [ 3.59917054e-11+6.58758316e-11j  3.99650730e-11-6.65686898e-11j
  -7.04191646e-07+1.84111131e-11j  6.77235986e-11+1.77011027e-10j
  -1.91665423e-12+2.87545544e-07j -1.27039626e-09+5.35872215e-04j]]"
-1863.5927621094652j,"[[-5.84682138e-09+5.36594707e-04j -4.44172432e-11+2.88135016e-07j
  -4.49079433e-11+1.58536709e-10j -7.06744796e-07-2.49040691e-12j
  -1.93506150e-11+4.91097524e-11j  4.79974291e-11-4.46773914e-11j]
 [-3.34950935e-11-2.87494408e-07j -1.14345978e-08+5.36595120e-04j
   1.08093949e-10+2.88308112e-07j -1.88567581e-11-4.73985527e-11j
  -6.96398469e-07-2.29971364e-11j -3.42174788e-12-1.54231449e-11j]
 [-3.94136613e-13+1.35263911e-10j  3.15617982e-11-2.87707138e-07j
  -1.42111072e-08+5.36594649e-04j  4.73889148e-11+4.53956261e-11j
  -6.54504776e-12+1.49856165e-11j -7.09666706e-07-6.57121852e-11j]
 [-7.10042784e-07-5.02514444e-11j  1.36870692e-11+7.32051509e-11j
   4.31856364e-11-8.03190058e-12j -9.73380534e-09+5.36594712e-04j
   4.77763569e-11-2.87495193e-07j  8.98376645e-13+1.35236710e-10j]
 [ 1.47902937e-11-7.15732232e-11j -7.03976906e-07-8.03501829e-12j
   2.83279256e-11+5.42980220e-12j  2.95780719e-11+2.88132623e-07j
  -4.15994417e-09+5.36595119e-04j -1.32095817e-11-2.87701559e-07j]
 [ 4.40842395e-11+8.58451039e-12j  2.48333203e-11-6.88716636e-12j
  -7.06060587e-07+1.09737052e-11j  4.66141718e-11+1.58915494e-10j
  -1.25057347e-10+2.88302796e-07j -1.34522460e-09+5.36594649e-04j]]"
-1861.0794879865934j,"[[-6.13621676e-09+5.37319256e-04j -1.03477640e-10+2.88869785e-07j
  -8.00629786e-12+1.21381043e-10j -7.08922563e-07-4.39255565e-13j
   6.05740068e-11+5.34215591e-11j -1.67758675e-12+1.36291504e-11j]
 [-3.54017678e-11-2.88262717e-07j -1.10554197e-08+5.37319212e-04j
   1.28470995e-10+2.89037258e-07j  5.88382154e-11-5.34302725e-11j
  -6.97934174e-07-2.65030179e-11j  1.30358839e-11-7.59376237e-11j]
 [ 6.61765334e-11+1.50354011e-10j -4.82385332e-11-2.88479832e-07j
  -1.44180632e-08+5.37318502e-04j -1.77445341e-12-1.64339185e-11j
   1.30946506e-11+7.72900062e-11j -7.11764375e-07-6.31340876e-11j]
 [-7.12209973e-07-4.82109444e-11j -5.96204708e-11+5.35093653e-11j
   2.32178927e-11-1.19068318e-11j -9.48295658e-09+5.37319248e-04j
   5.43544610e-11-2.88262879e-07j -6.81033793e-11+1.50975572e-10j]
 [-6.26656396e-11-5.65448443e-11j -7.05527886e-07-1.33131487e-11j
  -1.02388170e-11-2.03756370e-11j  8.57471521e-11+2.88870211e-07j
  -4.58364099e-09+5.37319205e-04j  6.31547101e-11-2.88476837e-07j]
 [ 2.24745295e-11+1.02441285e-11j -9.27892780e-12+2.03066658e-11j
  -7.08173542e-07+1.32126984e-11j  8.04787363e-12+1.19844064e-10j
  -1.45350272e-10+2.89034431e-07j -1.20120334e-09+5.37318500e-04j]]"
