iw_n,G_iw_n
-533.7565918449059j,"[[-1.58810163e-07+1.87344902e-03j -3.92722082e-10+3.52301824e-06j
  -7.40476375e-11+6.52609188e-09j -4.08829419e-06-1.51733475e-10j
  -1.76553739e-10-4.61683533e-11j  9.46136885e-13+1.81969918e-11j]
 [ 5.71434461e-10-3.49657436e-06j -1.60579443e-07+1.87344920e-03j
  -6.23034556e-10+3.52301489e-06j -1.78822884e-10+5.01923334e-11j
  -4.06122883e-06-6.61602701e-10j -1.14651743e-10+6.85774183e-11j]
 [ 5.71485836e-11+6.61441614e-09j  5.14694505e-10-3.49671166e-06j
  -1.53201126e-07+1.87344872e-03j -5.69107654e-12-1.75891789e-11j
  -1.02882834e-10-5.44798663e-11j -4.08918196e-06-1.20681514e-09j]
 [-4.08307027e-06-1.17703233e-09j -2.43968891e-10-2.99764656e-11j
  -6.67804933e-11+5.73639446e-11j -1.52718687e-07+1.87344902e-03j
   5.87255400e-10-3.49658803e-06j -5.93375178e-11+6.61107984e-09j]
 [-2.45307234e-10+2.30281534e-11j -4.06654237e-06-6.55843677e-10j
   1.63750883e-11+1.33135714e-10j -7.80540006e-10+3.52301325e-06j
  -1.50805265e-07+1.87344922e-03j  6.53086741e-10-3.49670606e-06j]
 [-7.28097639e-11-5.77112252e-11j  1.84652270e-11-1.33492813e-10j
  -4.08821271e-06-1.89592301e-10j  7.44700167e-11+6.52228779e-09j
  -5.46624385e-10+3.52301555e-06j -1.58299624e-07+1.87344872e-03j]]"
-533.1282733141879j,"[[-1.59331206e-07+1.87565675e-03j -4.40950946e-10+3.53137691e-06j
  -7.44587407e-11+6.58381225e-09j -4.09811632e-06-1.33946727e-10j
  -1.46041323e-10-5.53468080e-11j  1.12330208e-11+5.04240354e-11j]
 [ 5.09069129e-10-3.50476317e-06j -1.60905670e-07+1.87565688e-03j
  -6.07437954e-10+3.53132643e-06j -1.42579124e-10+4.96475326e-11j
  -4.07086491e-06-6.66348003e-10j -1.88423998e-10+1.58599551e-12j]
 [ 6.80961423e-11+6.64585517e-09j  5.47519113e-10-3.50484290e-06j
  -1.53354476e-07+1.87565614e-03j  1.25897186e-11-5.35150336e-11j
  -1.80961205e-10+3.26694889e-12j -4.09864261e-06-1.18783882e-09j]
 [-4.09288431e-06-1.16334115e-09j -2.11965325e-10-2.02979649e-11j
  -7.91887437e-11+4.06184424e-11j -1.52898054e-07+1.87565674e-03j
   6.70606431e-10-3.50477651e-06j -7.30827130e-11+6.64710550e-09j]
 [-2.12567868e-10+1.34812692e-11j -4.07609818e-06-6.63536839e-10j
   9.63971428e-12+1.14968491e-10j -7.31758552e-10+3.53136748e-06j
  -1.51218472e-07+1.87565690e-03j  6.30056727e-10-3.50483123e-06j]
 [-7.17559808e-11-3.99879546e-11j  1.24468755e-11-1.23353713e-10j
  -4.09760518e-06-1.72365422e-10j  7.51736029e-11+6.58187162e-09j
  -5.74285145e-10+3.53133461e-06j -1.58907510e-07+1.87565614e-03j]]"
-532.4999547834699j,"[[-1.59678208e-07+1.87786991e-03j -4.75704829e-10+3.53977247e-06j
  -1.09773283e-10+6.62705242e-09j -4.10798124e-06-1.50730964e-10j
  -3.48704703e-11-1.00816681e-10j  4.91200822e-11+3.72588930e-11j]
 [ 4.79236317e-10-3.51301468e-06j -1.61140209e-07+1.87786992e-03j
  -5.38105598e-10+3.53967326e-06j -3.24704906e-11+7.83681074e-11j
  -4.08059514e-06-6.76313054e-10j -1.89918366e-10-4.29724521e-11j]
 [ 5.59217189e-11+6.60594716e-09j  6.30626553e-10-3.51305704e-06j
  -1.53610992e-07+1.87786878e-03j  4.75137582e-11-3.95619107e-11j
  -1.80928904e-10+3.12090102e-11j -4.10846663e-06-1.17683081e-09j]
 [-4.10274707e-06-1.18588801e-09j -1.79651323e-10+1.57916659e-11j
  -6.74364876e-11+1.79346415e-11j -1.53251245e-07+1.87786994e-03j
   6.86837217e-10-3.51301012e-06j -5.93012601e-11+6.60624137e-09j]
 [-1.88224618e-10-2.55584104e-11j -4.08578588e-06-6.66896764e-10j
   3.97075596e-11+8.36898796e-11j -7.02026241e-10+3.53976894e-06j
  -1.51708282e-07+1.87786995e-03j  5.38376217e-10-3.51304233e-06j]
 [-6.30642573e-11-2.12210408e-11j  4.66700016e-11-8.93079503e-11j
  -4.10746686e-06-1.50990528e-10j  1.02156792e-10+6.61830947e-09j
  -6.43677400e-10+3.53968205e-06j -1.59370713e-07+1.87786877e-03j]]"
-531.871636252752j,"[[-1.59799217e-07+1.88008830e-03j -4.79238256e-10+3.54814291e-06j
  -1.14112683e-10+6.66173166e-09j -4.11766516e-06-1.66143041e-10j
   4.52376388e-11-7.07781240e-11j  6.38166673e-11+4.86797253e-11j]
 [ 5.03687522e-10-3.52140922e-06j -1.61321748e-07+1.88008825e-03j
  -5.40821293e-10+3.54808373e-06j  4.25280403e-11+6.62683340e-11j
  -4.09022346e-06-6.86022981e-10j -1.79914378e-10-7.58399141e-11j]
 [ 3.02537137e-11+6.56794388e-09j  6.43843603e-10-3.52137192e-06j
  -1.54011891e-07+1.88008704e-03j  6.09105250e-11-4.78678411e-11j
  -1.72400392e-10+6.78752717e-11j -4.11849954e-06-1.18186576e-09j]
 [-4.11245792e-06-1.19920834e-09j -1.42995089e-10+3.87656974e-11j
  -5.69843427e-11+1.55749085e-11j -1.53877762e-07+1.88008833e-03j
   6.53004143e-10-3.52139877e-06j -4.11991553e-11+6.57017151e-09j]
 [-1.36793698e-10-4.27260917e-11j -4.09545101e-06-6.71842547e-10j
   8.76672542e-11+9.59080157e-11j -7.08477877e-10+3.54813964e-06j
  -1.52260593e-07+1.88008827e-03j  5.36549687e-10-3.52137628e-06j]
 [-5.29622996e-11-1.46122327e-11j  8.32371540e-11-9.94710389e-11j
  -4.11756629e-06-1.53126981e-10j  1.08291852e-10+6.66555627e-09j
  -6.34387388e-10+3.54807520e-06j -1.59665765e-07+1.88008702e-03j]]"
-531.243317722034j,"[[-1.60027689e-07+1.88231184e-03j -4.94132879e-10+3.55652572e-06j
  -7.50414294e-11+6.68208063e-09j -4.12735236e-06-1.69049506e-10j
   5.23421695e-11-6.70919853e-11j  1.05760694e-11+6.32645252e-11j]
 [ 5.30229995e-10-3.52982014e-06j -1.61664364e-07+1.88231173e-03j
  -6.18462843e-10+3.55657368e-06j  5.99687515e-11+6.50286770e-11j
  -4.09975889e-06-6.90859696e-10j -1.52766406e-10-7.55089927e-11j]
 [ 3.69857280e-11+6.55289437e-09j  6.23410837e-10-3.52965781e-06j
  -1.54474074e-07+1.88231094e-03j  1.04091883e-11-5.11013481e-11j
  -1.58955895e-10+6.46144105e-11j -4.12842722e-06-1.19227507e-09j]
 [-4.12214612e-06-1.20655409e-09j -1.68760855e-10+3.23341996e-11j
  -2.67141022e-11-5.81684387e-12j -1.54409465e-07+1.88231185e-03j
   6.38946610e-10-3.52980881e-06j -3.84787943e-11+6.55497473e-09j]
 [-1.69962864e-10-2.48448651e-11j -4.10502211e-06-6.81523405e-10j
   1.17845393e-10+1.02001451e-10j -7.02620036e-10+3.55651609e-06j
  -1.52678711e-07+1.88231172e-03j  5.60941874e-10-3.52966590e-06j]
 [-2.48115859e-11+2.08887832e-12j  1.17104819e-10-1.08112896e-10j
  -4.12747999e-06-1.66253024e-10j  6.58956490e-11+6.68686800e-09j
  -5.58661371e-10+3.55655746e-06j -1.59921691e-07+1.88231094e-03j]]"
-530.614999191316j,"[[-1.60454437e-07+1.88454048e-03j -5.41257992e-10+3.56489389e-06j
  -5.64674558e-11+6.65298625e-09j -4.13704098e-06-1.57043044e-10j
   3.07611397e-11-8.60964272e-11j -7.30709198e-11+6.55051053e-11j]
 [ 6.05771400e-10-3.53818470e-06j -1.62226373e-07+1.88454033e-03j
  -7.08973512e-10+3.56502652e-06j  2.10916192e-11+9.49357400e-11j
  -4.10944281e-06-6.76037661e-10j -1.31708188e-10-2.89195476e-11j]
 [ 3.95265543e-11+6.62843631e-09j  5.88565232e-10-3.53796475e-06j
  -1.54828765e-07+1.88454007e-03j -7.26909378e-11-5.93598937e-11j
  -1.42267207e-10+2.91380520e-11j -4.13820930e-06-1.20630891e-09j]
 [-4.13182195e-06-1.19531097e-09j -1.66605130e-10+8.46767251e-11j
  -7.88232643e-12+2.98259379e-11j -1.54750880e-07+1.88454047e-03j
   5.82623379e-10-3.53817783e-06j -3.52378893e-11+6.62863955e-09j]
 [-1.82301160e-10-8.38315273e-11j -4.11475436e-06-6.62715884e-10j
   1.13445173e-10+9.47834401e-11j -6.63402223e-10+3.56489087e-06j
  -1.52870070e-07+1.88454030e-03j  5.89676348e-10-3.53797104e-06j]
 [-1.37174222e-11-2.79230928e-11j  1.08513105e-10-9.38779191e-11j
  -4.13726036e-06-1.75083284e-10j  4.77702811e-11+6.65653651e-09j
  -4.88412736e-10+3.56501766e-06j -1.60326431e-07+1.88454008e-03j]]"
-529.986680660598j,"[[-1.60976996e-07+1.88677430e-03j -5.27332513e-10+3.57330208e-06j
  -3.51664624e-11+6.67772936e-09j -4.14681524e-06-1.59199573e-10j
  -2.79475757e-11-1.46150878e-11j -6.84268592e-11+2.48068256e-11j]
 [ 6.28402312e-10-3.54650844e-06j -1.62842273e-07+1.88677441e-03j
  -7.58783739e-10+3.57348962e-06j -3.94407422e-11+1.17480360e-11j
  -4.11929711e-06-6.66415547e-10j -1.25036523e-10+5.15259285e-11j]
 [ 5.72359375e-11+6.73545356e-09j  5.23321807e-10-3.54635978e-06j
  -1.55301542e-07+1.88677443e-03j -6.52921700e-11-3.07131569e-11j
  -1.29190648e-10-5.50356926e-11j -4.14799184e-06-1.20453568e-09j]
 [-4.14161596e-06-1.20118311e-09j -1.30832900e-10+1.05655376e-10j
  -4.47641773e-11+9.15240870e-11j -1.54983049e-07+1.88677430e-03j
   5.59608672e-10-3.54651220e-06j -5.02576192e-11+6.73250789e-09j]
 [-1.22208229e-10-1.11887376e-10j -4.12473381e-06-6.52588614e-10j
   2.98036684e-11+1.37944301e-10j -6.78060332e-10+3.57330872e-06j
  -1.52970273e-07+1.88677438e-03j  6.52982157e-10-3.54636817e-06j]
 [-5.17890809e-11-8.89074184e-11j  2.27122349e-11-1.33951470e-10j
  -4.14704299e-06-1.73664943e-10j  3.53418707e-11+6.68607380e-09j
  -4.40151400e-10+3.57348925e-06j -1.60625314e-07+1.88677443e-03j]]"
-529.3583621298801j,"[[-1.61279008e-07+1.88901340e-03j -5.31707580e-10+3.58180963e-06j
   8.07219218e-12+6.72304172e-09j -4.15667282e-06-1.61255391e-10j
   9.60723476e-12+6.82821797e-11j -8.48696763e-12-3.19079343e-12j]
 [ 5.61955830e-10-3.55491815e-06j -1.63412236e-07+1.88901388e-03j
  -7.75250521e-10+3.58199969e-06j  2.33448084e-12-7.77847426e-11j
  -4.12927893e-06-6.66083833e-10j -9.60270052e-11+7.82709781e-11j]
 [ 3.49171162e-11+6.79897513e-09j  4.73131887e-10-3.55484520e-06j
  -1.55845629e-07+1.88901382e-03j  1.34821255e-12-2.07913742e-12j
  -1.00603297e-10-7.73707526e-11j -4.15776828e-06-1.20451875e-09j]
 [-4.15140915e-06-1.20863010e-09j -6.02292518e-11+4.24323951e-11j
  -6.56164207e-11+8.05439694e-11j -1.55424907e-07+1.88901342e-03j
   6.34039589e-10-3.55493032e-06j -4.22563499e-11+6.79175243e-09j]
 [-6.23457186e-11-4.40830024e-11j -4.13474955e-06-6.56391010e-10j
  -2.56311038e-11+2.11737884e-10j -6.76119879e-10+3.58180985e-06j
  -1.53139120e-07+1.88901387e-03j  7.09913037e-10-3.55484161e-06j]
 [-6.39426708e-11-8.57384324e-11j -2.82830582e-11-2.18857562e-10j
  -4.15678018e-06-1.69704289e-10j -9.04107267e-12+6.73514162e-09j
  -4.34637905e-10+3.58200083e-06j -1.60848234e-07+1.88901379e-03j]]"
-528.7300435991622j,"[[-1.61594599e-07+1.89125785e-03j -4.54685171e-10+3.59035075e-06j
   3.45544289e-11+6.73195182e-09j -4.16673115e-06-1.65523612e-10j
   1.51648900e-12+1.09006276e-10j  2.20840784e-12-4.45550118e-11j]
 [ 4.71755707e-10-3.56330039e-06j -1.63861205e-07+1.89125882e-03j
  -7.11174878e-10+3.59043003e-06j -5.83003973e-12-9.88601078e-11j
  -4.13929036e-06-6.81300483e-10j -1.61475712e-10+1.10435151e-10j]
 [ 3.02251377e-11+6.78192258e-09j  4.71371119e-10-3.56331000e-06j
  -1.56377169e-07+1.89125832e-03j  1.00819319e-11+4.81266127e-11j
  -1.72052573e-10-1.08408714e-10j -4.16765070e-06-1.20499932e-09j]
 [-4.16142570e-06-1.21099502e-09j -4.05439757e-11+1.01645963e-10j
  -4.61703786e-11+4.55337389e-11j -1.55854472e-07+1.89125786e-03j
   7.37957708e-10-3.56330989e-06j -4.16660145e-11+6.77731899e-09j]
 [-5.20922685e-11-1.03926303e-10j -4.14466377e-06-6.78556152e-10j
   1.53219643e-11+2.45631850e-10j -7.50184510e-10+3.59036623e-06j
  -1.53429764e-07+1.89125882e-03j  7.21276667e-10-3.56330386e-06j]
 [-3.85271545e-11-4.90742524e-11j  1.81839379e-11-2.49835350e-10j
  -4.16664215e-06-1.71299491e-10j -3.93222681e-11+6.73735209e-09j
  -5.08843793e-10+3.59042978e-06j -1.61074487e-07+1.89125833e-03j]]"
-528.1017250684442j,"[[-1.61947913e-07+1.89350792e-03j -3.34281601e-10+3.59894941e-06j
   5.06283707e-11+6.73166698e-09j -4.17683566e-06-1.66684631e-10j
  -7.39853046e-11+1.22805241e-10j -6.41457406e-12-1.87360134e-11j]
 [ 3.99277021e-10-3.57163783e-06j -1.64166611e-07+1.89350896e-03j
  -6.82421819e-10+3.59891848e-06j -7.45395135e-11-1.29361771e-10j
  -4.14906225e-06-7.13662904e-10j -1.73501415e-10+1.18684843e-10j]
 [-9.46012743e-12+6.80206047e-09j  4.45153494e-10-3.57179422e-06j
  -1.56586252e-07+1.89350811e-03j -1.13281774e-11+2.11382356e-11j
  -1.72593097e-10-1.32538700e-10j -4.17753199e-06-1.22147718e-09j]
 [-4.17155015e-06-1.21625126e-09j -6.52786094e-11+1.02054906e-10j
  -5.34679435e-11+2.38106616e-11j -1.56234863e-07+1.89350793e-03j
   8.02872658e-10-3.57164649e-06j  7.24328069e-12+6.79123602e-09j]
 [-5.68397560e-11-1.10673969e-10j -4.15436906e-06-7.04235454e-10j
   4.10456803e-11+1.94362580e-10j -8.72506080e-10+3.59895548e-06j
  -1.53915530e-07+1.89350897e-03j  7.51546598e-10-3.57179956e-06j]
 [-5.07382335e-11-1.91034669e-11j  5.03012900e-11-1.93762391e-10j
  -4.17648056e-06-1.82070980e-10j -5.24913959e-11+6.73236251e-09j
  -5.30075599e-10+3.59891076e-06j -1.61605427e-07+1.89350816e-03j]]"
