iw_n,G_iw_n
-502.34066530900793j,"[[ 2.27959051e-05+1.99037756e-03j  2.60966751e-06-2.24805349e-09j]
 [ 2.64706097e-06-2.28007652e-09j -2.10886539e-05+1.99041507e-03j]]"
-501.71234677829j,"[[ 2.28531165e-05+1.99286953e-03j  2.61613011e-06-2.30093960e-09j]
 [ 2.65361729e-06-2.33308316e-09j -2.11416251e-05+1.99290726e-03j]]"
-501.08402824757206j,"[[ 2.29103894e-05+1.99536776e-03j  2.62265004e-06-2.29699560e-09j]
 [ 2.66023127e-06-2.32926001e-09j -2.11945933e-05+1.99540571e-03j]]"
-500.455709716854j,"[[ 2.29677848e-05+1.99787230e-03j  2.62922709e-06-2.29326224e-09j]
 [ 2.66690274e-06-2.32564785e-09j -2.12476295e-05+1.99791042e-03j]]"
-499.8273911861361j,"[[ 2.30255107e-05+2.00038299e-03j  2.63564036e-06-2.35396072e-09j]
 [ 2.67341080e-06-2.38646791e-09j -2.13009292e-05+2.00042124e-03j]]"
-499.19907265541815j,"[[ 2.30834201e-05+2.00289994e-03j  2.64198003e-06-2.36434480e-09j]
 [ 2.67984560e-06-2.39697513e-09j -2.13545133e-05+2.00293832e-03j]]"
-498.5707541247001j,"[[ 2.31416503e-05+2.00542331e-03j  2.64840418e-06-2.34511062e-09j]
 [ 2.68636527e-06-2.37786486e-09j -2.14084448e-05+2.00546181e-03j]]"
-497.94243559398217j,"[[ 2.32000935e-05+2.00795279e-03j  2.65498982e-06-2.29215088e-09j]
 [ 2.69304677e-06-2.32502816e-09j -2.14623813e-05+2.00799150e-03j]]"
-497.31411706326423j,"[[ 2.32586981e-05+2.01048858e-03j  2.66171363e-06-2.30094733e-09j]
 [ 2.69986681e-06-2.33395032e-09j -2.15167065e-05+2.01052738e-03j]]"
-496.6857985325463j,"[[ 2.33175472e-05+2.01303101e-03j  2.66849055e-06-2.33630096e-09j]
 [ 2.70674032e-06-2.36943009e-09j -2.15712490e-05+2.01307001e-03j]]"
-496.0574800018283j,"[[ 2.33765876e-05+2.01557995e-03j  2.67522586e-06-2.38398148e-09j]
 [ 2.71357259e-06-2.41723715e-09j -2.16259383e-05+2.01561905e-03j]]"
-495.4291614711104j,"[[ 2.34359197e-05+2.01813546e-03j  2.68183253e-06-2.43582722e-09j]
 [ 2.72027658e-06-2.46920976e-09j -2.16808442e-05+2.01817466e-03j]]"
