iw_n,G_iw_n
-837.4089751068792j,"[[ 5.28982808e-06+1.19412357e-03j  2.11858461e-07-4.97953842e-15j]
 [ 2.12697469e-07-4.97953418e-15j -5.28982859e-06+1.19412357e-03j]]"
-836.7108434060815j,"[[ 5.29885911e-06+1.19511991e-03j  2.12219501e-07-4.04524550e-14j]
 [ 2.13059909e-07-4.04524510e-14j -5.29885944e-06+1.19511991e-03j]]"
-836.0127117052839j,"[[ 5.30754217e-06+1.19611806e-03j  2.12620714e-07-1.66650958e-14j]
 [ 2.13462526e-07-1.66650936e-14j -5.30754234e-06+1.19611806e-03j]]"
-835.3145800044862j,"[[ 5.31634330e-06+1.19711801e-03j  2.12961471e-07+3.10360005e-15j]
 [ 2.13804692e-07+3.10359955e-15j -5.31634332e-06+1.19711801e-03j]]"
-834.6164483036883j,"[[ 5.32513389e-06+1.19811944e-03j  2.13271030e-07+1.44203694e-14j]
 [ 2.14115661e-07+1.44203663e-14j -5.32513433e-06+1.19811944e-03j]]"
-833.9183166028906j,"[[ 5.33434042e-06+1.19912263e-03j  2.13643257e-07+4.23023924e-14j]
 [ 2.14489303e-07+4.23023873e-14j -5.33434089e-06+1.19912263e-03j]]"
-833.2201849020929j,"[[ 5.34340465e-06+1.20012708e-03j  2.13996559e-07+4.27200363e-14j]
 [ 2.14844023e-07+4.27200292e-14j -5.34340567e-06+1.20012708e-03j]]"
-832.5220532012952j,"[[ 5.35250594e-06+1.20113330e-03j  2.14345767e-07-2.31371473e-16j]
 [ 2.15194654e-07-2.31378728e-16j -5.35250703e-06+1.20113330e-03j]]"
-831.8239215004974j,"[[ 5.36145657e-06+1.20214091e-03j  2.14719052e-07-2.39863605e-14j]
 [ 2.15569364e-07-2.39863669e-14j -5.36145757e-06+1.20214091e-03j]]"
-831.1257897996998j,"[[ 5.37059317e-06+1.20315044e-03j  2.15114430e-07-4.34352312e-14j]
 [ 2.15966171e-07-4.34352358e-14j -5.37059392e-06+1.20315044e-03j]]"
-830.427658098902j,"[[ 5.37931515e-06+1.20416194e-03j  2.15521698e-07-4.07909101e-14j]
 [ 2.16374872e-07-4.07909124e-14j -5.37931578e-06+1.20416194e-03j]]"
-829.7295263981042j,"[[ 5.38819113e-06+1.20517477e-03j  2.15902275e-07-4.94608868e-14j]
 [ 2.16756885e-07-4.94608865e-14j -5.38819199e-06+1.20517477e-03j]]"
-829.0313946973065j,"[[ 5.39683606e-06+1.20618998e-03j  2.16266562e-07-3.41100029e-14j]
 [ 2.17122613e-07-3.41100005e-14j -5.39683630e-06+1.20618998e-03j]]"
-828.3332629965088j,"[[ 5.40612752e-06+1.20720680e-03j  2.16606382e-07+2.03043873e-14j]
 [ 2.17463876e-07+2.03043913e-14j -5.40612793e-06+1.20720680e-03j]]"
-827.6351312957111j,"[[ 5.41551812e-06+1.20822527e-03j  2.16981427e-07+1.91845681e-14j]
 [ 2.17840368e-07+1.91845720e-14j -5.41551885e-06+1.20822527e-03j]]"
-826.9369995949132j,"[[ 5.42463560e-06+1.20924467e-03j  2.17355070e-07-6.79564862e-15j]
 [ 2.18215462e-07-6.79564572e-15j -5.42463640e-06+1.20924467e-03j]]"
-826.2388678941156j,"[[ 5.43369273e-06+1.21026616e-03j  2.17809393e-07-3.79196668e-15j]
 [ 2.18671240e-07-3.79196537e-15j -5.43369315e-06+1.21026616e-03j]]"
-825.5407361933179j,"[[ 5.44264799e-06+1.21128987e-03j  2.18226686e-07+1.11564341e-14j]
 [ 2.19089991e-07+1.11564324e-14j -5.44264857e-06+1.21128987e-03j]]"
-824.8426044925202j,"[[ 5.45157889e-06+1.21231493e-03j  2.18613904e-07-1.43295039e-15j]
 [ 2.19478670e-07-1.43295459e-15j -5.45157974e-06+1.21231493e-03j]]"
-824.1444727917224j,"[[ 5.46113147e-06+1.21334214e-03j  2.19069762e-07-6.24239447e-15j]
 [ 2.19935994e-07-6.24240079e-15j -5.46113219e-06+1.21334214e-03j]]"
-823.4463410909246j,"[[ 5.47056874e-06+1.21437091e-03j  2.19509032e-07-4.27829978e-15j]
 [ 2.20376734e-07-4.27830696e-15j -5.47056975e-06+1.21437091e-03j]]"
-822.7482093901269j,"[[ 5.47957284e-06+1.21540149e-03j  2.19848295e-07-1.48733572e-14j]
 [ 2.20717470e-07-1.48733641e-14j -5.47957370e-06+1.21540149e-03j]]"
-822.0500776893291j,"[[ 5.48919127e-06+1.21643354e-03j  2.20165541e-07-3.92043691e-14j]
 [ 2.21036193e-07-3.92043740e-14j -5.48919214e-06+1.21643354e-03j]]"
-821.3519459885315j,"[[ 5.49848407e-06+1.21746731e-03j  2.20544416e-07-4.89813608e-14j]
 [ 2.21416549e-07-4.89813630e-14j -5.49848435e-06+1.21746731e-03j]]"
-820.6538142877338j,"[[ 5.50817642e-06+1.21850294e-03j  2.21050925e-07-2.37377331e-14j]
 [ 2.21924542e-07-2.37377320e-14j -5.50817664e-06+1.21850294e-03j]]"
-819.9556825869361j,"[[ 5.51776367e-06+1.21954018e-03j  2.21488308e-07-1.52155442e-14j]
 [ 2.22363413e-07-1.52155409e-14j -5.51776349e-06+1.21954018e-03j]]"
-819.2575508861382j,"[[ 5.52738589e-06+1.22057916e-03j  2.21838924e-07-7.43698512e-15j]
 [ 2.22715522e-07-7.43697972e-15j -5.52738579e-06+1.22057916e-03j]]"
-818.5594191853405j,"[[ 5.53656237e-06+1.22161982e-03j  2.22245746e-07+2.26331191e-14j]
 [ 2.23123839e-07+2.26331249e-14j -5.53656246e-06+1.22161982e-03j]]"
-817.8612874845428j,"[[ 5.54571573e-06+1.22266262e-03j  2.22588303e-07+1.80096037e-14j]
 [ 2.23467896e-07+1.80096080e-14j -5.54571587e-06+1.22266262e-03j]]"
-817.1631557837451j,"[[ 5.55520134e-06+1.22370715e-03j  2.23007145e-07-1.89061831e-14j]
 [ 2.23888242e-07-1.89061805e-14j -5.55520148e-06+1.22370715e-03j]]"
-816.4650240829474j,"[[ 5.56437224e-06+1.22475330e-03j  2.23444485e-07-2.25711837e-14j]
 [ 2.24327089e-07-2.25711838e-14j -5.56437228e-06+1.22475330e-03j]]"
-815.7668923821496j,"[[ 5.57395334e-06+1.22580118e-03j  2.23932622e-07-2.39177484e-14j]
 [ 2.24816737e-07-2.39177515e-14j -5.57395331e-06+1.22580118e-03j]]"
-815.0687606813519j,"[[ 5.58334415e-06+1.22685181e-03j  2.24268340e-07-1.21488496e-14j]
 [ 2.25153971e-07-1.21488547e-14j -5.58334387e-06+1.22685181e-03j]]"
-814.3706289805541j,"[[ 5.59296385e-06+1.22790353e-03j  2.24594738e-07-4.31405360e-15j]
 [ 2.25481887e-07-4.31405972e-15j -5.59296383e-06+1.22790353e-03j]]"
-813.6724972797564j,"[[ 5.60266716e-06+1.22895729e-03j  2.24933874e-07+1.12746892e-14j]
 [ 2.25822547e-07+1.12746833e-14j -5.60266704e-06+1.22895729e-03j]]"
-812.9743655789587j,"[[ 5.61240428e-06+1.23001279e-03j  2.25350079e-07+1.41546080e-14j]
 [ 2.26240279e-07+1.41546036e-14j -5.61240435e-06+1.23001279e-03j]]"
-812.276233878161j,"[[ 5.62247294e-06+1.23106978e-03j  2.25730409e-07-1.53921071e-15j]
 [ 2.26622139e-07-1.53921311e-15j -5.62247293e-06+1.23106978e-03j]]"
-811.5781021773632j,"[[ 5.63184753e-06+1.23212893e-03j  2.26114464e-07-3.05391042e-14j]
 [ 2.27007728e-07-3.05391036e-14j -5.63184757e-06+1.23212893e-03j]]"
-810.8799704765655j,"[[ 5.64168376e-06+1.23318954e-03j  2.26508963e-07-3.51625811e-14j]
 [ 2.27403767e-07-3.51625783e-14j -5.64168323e-06+1.23318954e-03j]]"
-810.1818387757678j,"[[ 5.65173305e-06+1.23425212e-03j  2.26973130e-07-2.77517401e-14j]
 [ 2.27869477e-07-2.77517355e-14j -5.65173270e-06+1.23425212e-03j]]"
-809.4837070749701j,"[[ 5.66152180e-06+1.23531670e-03j  2.27369593e-07-5.77009455e-14j]
 [ 2.28267486e-07-5.77009403e-14j -5.66152146e-06+1.23531670e-03j]]"
-808.7855753741723j,"[[ 5.67103367e-06+1.23638295e-03j  2.27665238e-07-3.21049279e-14j]
 [ 2.28564682e-07-3.21049230e-14j -5.67103296e-06+1.23638295e-03j]]"
-808.0874436733745j,"[[ 5.68061396e-06+1.23745120e-03j  2.27958742e-07+1.19663945e-14j]
 [ 2.28859740e-07+1.19663976e-14j -5.68061336e-06+1.23745120e-03j]]"
