iw_n,G_iw_n
-1046.6739524209995j,"[[ 1.29864548e-06+9.55397441e-04j  4.48402130e-07+3.04241810e-14j]
 [ 4.46437987e-07+3.04241767e-14j -1.29864613e-06+9.55397441e-04j]]"
-1045.6267548698029j,"[[ 1.30104950e-06+9.56354720e-04j  4.49281543e-07+1.40381994e-14j]
 [ 4.47313465e-07+1.40381565e-14j -1.30105005e-06+9.56354720e-04j]]"
-1044.5795573186062j,"[[ 1.30353801e-06+9.57313709e-04j  4.50143198e-07+1.30627310e-14j]
 [ 4.48171172e-07+1.30626511e-14j -1.30353850e-06+9.57313709e-04j]]"
-1043.5323597674096j,"[[ 1.30637797e-06+9.58274521e-04j  4.50977802e-07-3.01711192e-14j]
 [ 4.49001816e-07-3.01711950e-14j -1.30637856e-06+9.58274522e-04j]]"
-1042.485162216213j,"[[ 1.30907551e-06+9.59236767e-04j  4.51934179e-07-4.56332131e-14j]
 [ 4.49954221e-07-4.56331947e-14j -1.30907610e-06+9.59236767e-04j]]"
-1041.4379646650164j,"[[ 1.31137548e-06+9.60201570e-04j  4.52746771e-07-2.74032952e-14j]
 [ 4.50762829e-07-2.74032910e-14j -1.31137592e-06+9.60201570e-04j]]"
-1040.3907671138197j,"[[ 1.31431656e-06+9.61167863e-04j  4.53653826e-07-1.20333229e-14j]
 [ 4.51665888e-07-1.20332528e-14j -1.31431720e-06+9.61167862e-04j]]"
-1039.3435695626233j,"[[ 1.31743094e-06+9.62136092e-04j  4.54500917e-07-5.83545756e-14j]
 [ 4.52508971e-07-5.83545461e-14j -1.31743163e-06+9.62136092e-04j]]"
-1038.2963720114267j,"[[ 1.32036723e-06+9.63106383e-04j  4.55423617e-07-6.85795434e-14j]
 [ 4.53427651e-07-6.85796274e-14j -1.32036736e-06+9.63106383e-04j]]"
-1037.24917446023j,"[[ 1.32260913e-06+9.64078873e-04j  4.56281267e-07-3.59450086e-14j]
 [ 4.54281269e-07-3.59451340e-14j -1.32260937e-06+9.64078873e-04j]]"
-1036.2019769090334j,"[[ 1.32497876e-06+9.65053200e-04j  4.57087119e-07-9.60497656e-15j]
 [ 4.55083076e-07-9.60505702e-15j -1.32497906e-06+9.65053200e-04j]]"
-1035.1547793578368j,"[[ 1.32808564e-06+9.66029151e-04j  4.57993763e-07-6.87695219e-15j]
 [ 4.55985664e-07-6.87698504e-15j -1.32808589e-06+9.66029151e-04j]]"
