iw_n,G_iw_n
-942.3207164442586j,"[[ 5.77800648e-06+1.06117202e-03j  1.10494596e-09+1.24724902e-14j]
 [ 1.51010484e-09+1.24722156e-14j -5.77800483e-06+1.06117202e-03j]]"
-942.0065571788995j,"[[ 5.78186988e-06+1.06152586e-03j  1.11517754e-09-3.51386504e-15j]
 [ 1.52060670e-09-3.51414447e-15j -5.78186827e-06+1.06152586e-03j]]"
-941.6923979135405j,"[[ 5.78578020e-06+1.06187993e-03j  1.13379943e-09-1.46667116e-14j]
 [ 1.53949912e-09-1.46669920e-14j -5.78577866e-06+1.06187993e-03j]]"
-941.3782386481814j,"[[ 5.78964776e-06+1.06223423e-03j  1.14131527e-09+1.38152377e-15j]
 [ 1.54728575e-09+1.38122712e-15j -5.78964626e-06+1.06223423e-03j]]"
-941.0640793828225j,"[[ 5.79343517e-06+1.06258881e-03j  1.09511488e-09+1.07744299e-14j]
 [ 1.50135647e-09+1.07741325e-14j -5.79343370e-06+1.06258881e-03j]]"
-940.7499201174636j,"[[ 5.79729648e-06+1.06294364e-03j  1.08287833e-09-4.55976299e-15j]
 [ 1.48939129e-09-4.56007081e-15j -5.79729494e-06+1.06294364e-03j]]"
-940.4357608521046j,"[[ 5.80116754e-06+1.06329872e-03j  1.03905079e-09+2.46478372e-15j]
 [ 1.44583537e-09+2.46446928e-15j -5.80116593e-06+1.06329872e-03j]]"
-940.1216015867456j,"[[ 5.80503276e-06+1.06365403e-03j  1.02764051e-09+1.15089317e-14j]
 [ 1.43469701e-09+1.15086206e-14j -5.80503117e-06+1.06365403e-03j]]"
-939.8074423213866j,"[[ 5.80894409e-06+1.06400958e-03j  9.98819427e-10+1.70762036e-14j]
 [ 1.40614812e-09+1.70758970e-14j -5.80894254e-06+1.06400958e-03j]]"
-939.4932830560276j,"[[ 5.81279179e-06+1.06436530e-03j  9.59344776e-10-6.07174195e-16j]
 [ 1.36694589e-09-6.07471553e-16j -5.81279024e-06+1.06436530e-03j]]"
-939.1791237906685j,"[[ 5.81666684e-06+1.06472139e-03j  9.18319445e-10-1.80255535e-14j]
 [ 1.32619328e-09-1.80258473e-14j -5.81666525e-06+1.06472139e-03j]]"
-938.8649645253097j,"[[ 5.82057010e-06+1.06507765e-03j  9.31300759e-10+4.76178165e-15j]
 [ 1.33944762e-09+4.76150364e-15j -5.82056854e-06+1.06507765e-03j]]"
-938.5508052599507j,"[[ 5.82452519e-06+1.06543416e-03j  9.23023036e-10-1.01361517e-16j]
 [ 1.33144318e-09-1.01615402e-16j -5.82452367e-06+1.06543416e-03j]]"
-938.2366459945918j,"[[ 5.82840528e-06+1.06579091e-03j  8.89252169e-10-1.26576861e-14j]
 [ 1.29794585e-09-1.26579550e-14j -5.82840362e-06+1.06579091e-03j]]"
-937.9224867292327j,"[[ 5.83241507e-06+1.06614788e-03j  8.25371606e-10+5.26563261e-15j]
 [ 1.23433911e-09+5.26537210e-15j -5.83241347e-06+1.06614788e-03j]]"
-937.6083274638737j,"[[ 5.83632831e-06+1.06650506e-03j  8.08023739e-10+1.22072606e-14j]
 [ 1.21726530e-09+1.22070071e-14j -5.83632674e-06+1.06650506e-03j]]"
-937.2941681985149j,"[[ 5.84024045e-06+1.06686251e-03j  8.38867473e-10+6.05312987e-15j]
 [ 1.24838342e-09+6.05285383e-15j -5.84023881e-06+1.06686251e-03j]]"
-936.9800089331559j,"[[ 5.84414185e-06+1.06722020e-03j  8.17123000e-10-1.86712813e-14j]
 [ 1.22691360e-09-1.86715429e-14j -5.84414021e-06+1.06722020e-03j]]"
-936.6658496677968j,"[[ 5.84806826e-06+1.06757818e-03j  7.93682030e-10+5.71609070e-15j]
 [ 1.20374758e-09+5.71582499e-15j -5.84806662e-06+1.06757818e-03j]]"
-936.3516904024378j,"[[ 5.85205109e-06+1.06793638e-03j  7.90855541e-10+2.59148634e-14j]
 [ 1.20119628e-09+2.59145981e-14j -5.85204946e-06+1.06793638e-03j]]"
-936.0375311370788j,"[[ 5.85606371e-06+1.06829483e-03j  7.75143488e-10+8.47441570e-15j]
 [ 1.18575972e-09+8.47415831e-15j -5.85606209e-06+1.06829483e-03j]]"
-935.7233718717198j,"[[ 5.86005381e-06+1.06865345e-03j  7.54103643e-10+5.61181602e-15j]
 [ 1.16499564e-09+5.61155976e-15j -5.86005226e-06+1.06865345e-03j]]"
-935.4092126063609j,"[[ 5.86406601e-06+1.06901229e-03j  7.81713156e-10+2.00908041e-14j]
 [ 1.19288119e-09+2.00905259e-14j -5.86406445e-06+1.06901229e-03j]]"
-935.095053341002j,"[[ 5.86809323e-06+1.06937139e-03j  7.77052906e-10+1.06269683e-14j]
 [ 1.18849724e-09+1.06266747e-14j -5.86809156e-06+1.06937139e-03j]]"
-934.7808940756429j,"[[ 5.87216530e-06+1.06973074e-03j  7.69101989e-10-1.64371301e-14j]
 [ 1.18082296e-09-1.64374143e-14j -5.87216371e-06+1.06973074e-03j]]"
-934.4667348102839j,"[[ 5.87612012e-06+1.07009024e-03j  7.82519456e-10-1.59950563e-14j]
 [ 1.19451727e-09-1.59953345e-14j -5.87611856e-06+1.07009024e-03j]]"
-934.152575544925j,"[[ 5.88008029e-06+1.07045000e-03j  8.25574531e-10+1.17466178e-14j]
 [ 1.23784949e-09+1.17463269e-14j -5.88007879e-06+1.07045000e-03j]]"
-933.8384162795661j,"[[ 5.88408562e-06+1.07081003e-03j  8.34176730e-10-3.24473764e-15j]
 [ 1.24672911e-09-3.24503810e-15j -5.88408419e-06+1.07081003e-03j]]"
-933.524257014207j,"[[ 5.88802385e-06+1.07117021e-03j  8.55517365e-10-6.62453451e-15j]
 [ 1.26834742e-09-6.62483237e-15j -5.88802240e-06+1.07117021e-03j]]"
-933.210097748848j,"[[ 5.89188507e-06+1.07153075e-03j  8.92159254e-10-5.41474281e-15j]
 [ 1.30526725e-09-5.41505433e-15j -5.89188366e-06+1.07153075e-03j]]"
-932.8959384834891j,"[[ 5.89575374e-06+1.07189150e-03j  9.03914585e-10+1.09037878e-15j]
 [ 1.31730082e-09+1.09007167e-15j -5.89575232e-06+1.07189150e-03j]]"
-932.58177921813j,"[[ 5.89966689e-06+1.07225256e-03j  9.28427074e-10+5.27409946e-16j]
 [ 1.34209186e-09+5.27122983e-16j -5.89966553e-06+1.07225256e-03j]]"
-932.267619952771j,"[[ 5.90357601e-06+1.07261388e-03j  9.31694733e-10-1.05427241e-14j]
 [ 1.34563837e-09-1.05430132e-14j -5.90357467e-06+1.07261388e-03j]]"
-931.9534606874122j,"[[ 5.90744787e-06+1.07297545e-03j  9.19213738e-10+4.02966485e-15j]
 [ 1.33343653e-09+4.02937228e-15j -5.90744647e-06+1.07297545e-03j]]"
-931.6393014220532j,"[[ 5.91145423e-06+1.07333736e-03j  9.68359621e-10+9.07387197e-15j]
 [ 1.38286182e-09+9.07358529e-15j -5.91145288e-06+1.07333736e-03j]]"
-931.3251421566941j,"[[ 5.91547885e-06+1.07369940e-03j  9.85129729e-10-4.84325469e-15j]
 [ 1.39991163e-09-4.84352949e-15j -5.91547750e-06+1.07369940e-03j]]"
-931.0109828913352j,"[[ 5.91942617e-06+1.07406170e-03j  9.54435321e-10-1.81648760e-14j]
 [ 1.36949721e-09-1.81651375e-14j -5.91942479e-06+1.07406170e-03j]]"
-930.6968236259761j,"[[ 5.92343480e-06+1.07442423e-03j  9.70890868e-10-7.21280867e-17j]
 [ 1.38623302e-09-7.23838827e-17j -5.92343349e-06+1.07442423e-03j]]"
-930.3826643606174j,"[[ 5.92745097e-06+1.07478705e-03j  9.46339934e-10+1.15540668e-14j]
 [ 1.36196266e-09+1.15538325e-14j -5.92744970e-06+1.07478705e-03j]]"
-930.0685050952583j,"[[ 5.93146809e-06+1.07515014e-03j  1.00287141e-09-1.44906438e-14j]
 [ 1.41877495e-09-1.44908791e-14j -5.93146675e-06+1.07515014e-03j]]"
-929.7543458298993j,"[[ 5.93555057e-06+1.07551344e-03j  9.41853772e-10-1.14923093e-14j]
 [ 1.35803845e-09-1.14925537e-14j -5.93554923e-06+1.07551344e-03j]]"
-929.4401865645402j,"[[ 5.93963486e-06+1.07587695e-03j  9.64663648e-10+1.90813010e-15j]
 [ 1.38112972e-09+1.90787433e-15j -5.93963353e-06+1.07587695e-03j]]"
-929.1260272991813j,"[[ 5.94372722e-06+1.07624066e-03j  9.32774869e-10+1.08424826e-14j]
 [ 1.34952257e-09+1.08422199e-14j -5.94372593e-06+1.07624066e-03j]]"
-928.8118680338223j,"[[ 5.94780457e-06+1.07660459e-03j  9.05909862e-10-1.21497299e-14j]
 [ 1.32293950e-09-1.21499857e-14j -5.94780327e-06+1.07660459e-03j]]"
-928.4977087684634j,"[[ 5.95181877e-06+1.07696887e-03j  9.04280401e-10-3.64086895e-15j]
 [ 1.32159230e-09-3.64112497e-15j -5.95181744e-06+1.07696887e-03j]]"
-928.1835495031044j,"[[ 5.95591767e-06+1.07733325e-03j  9.04344453e-10+2.48264887e-14j]
 [ 1.32193886e-09+2.48262285e-14j -5.95591635e-06+1.07733325e-03j]]"
-927.8693902377454j,"[[ 5.95991446e-06+1.07769792e-03j  8.81598747e-10-3.78858567e-15j]
 [ 1.29947596e-09-3.78885257e-15j -5.95991308e-06+1.07769792e-03j]]"
-927.5552309723864j,"[[ 5.96394419e-06+1.07806290e-03j  8.30559923e-10-2.57898616e-14j]
 [ 1.24872024e-09-2.57901313e-14j -5.96394285e-06+1.07806290e-03j]]"
-927.2410717070273j,"[[ 5.96802535e-06+1.07842813e-03j  8.69519236e-10-1.02107419e-15j]
 [ 1.28796294e-09-1.02135769e-15j -5.96802397e-06+1.07842813e-03j]]"
-926.9269124416685j,"[[ 5.97213292e-06+1.07879352e-03j  8.83613446e-10+1.02524942e-14j]
 [ 1.30234082e-09+1.02522104e-14j -5.97213153e-06+1.07879352e-03j]]"
-926.6127531763095j,"[[ 5.97619101e-06+1.07915911e-03j  8.46613906e-10-1.42145188e-14j]
 [ 1.26562524e-09-1.42148011e-14j -5.97618958e-06+1.07915911e-03j]]"
-926.2985939109506j,"[[ 5.98014806e-06+1.07952505e-03j  8.20090986e-10-1.71487541e-14j]
 [ 1.23938658e-09-1.71490377e-14j -5.98014664e-06+1.07952505e-03j]]"
-925.9844346455915j,"[[ 5.98418024e-06+1.07989124e-03j  7.90516191e-10+1.28197926e-14j]
 [ 1.21009630e-09+1.28194953e-14j -5.98417883e-06+1.07989124e-03j]]"
-925.6702753802325j,"[[ 5.98820065e-06+1.08025761e-03j  7.81548425e-10+1.98468409e-15j]
 [ 1.20141335e-09+1.98437633e-15j -5.98819929e-06+1.08025761e-03j]]"
-925.3561161148734j,"[[ 5.99220228e-06+1.08062432e-03j  7.45803954e-10-1.52254170e-14j]
 [ 1.16595401e-09-1.52257363e-14j -5.99220090e-06+1.08062432e-03j]]"
-925.0419568495147j,"[[ 5.99615809e-06+1.08099126e-03j  7.14357369e-10+6.29891234e-15j]
 [ 1.13479284e-09+6.29858960e-15j -5.99615678e-06+1.08099126e-03j]]"
