iw_n,G_iw_n
-753.6680775961913j,"[[ 7.25442377e-06+1.32678861e-03j  3.54751852e-07-7.62982607e-15j]
 [ 3.55556051e-07-7.62982603e-15j -7.25442418e-06+1.32678861e-03j]]"
-753.0397590654734j,"[[ 7.26664309e-06+1.32789547e-03j  3.55368709e-07-3.04200745e-14j]
 [ 3.56174252e-07-3.04200745e-14j -7.26664352e-06+1.32789547e-03j]]"
-752.4114405347555j,"[[ 7.27879638e-06+1.32900416e-03j  3.56013259e-07-2.58244237e-14j]
 [ 3.56820147e-07-2.58244236e-14j -7.27879650e-06+1.32900416e-03j]]"
-751.7831220040375j,"[[ 7.29087874e-06+1.33011446e-03j  3.56717897e-07+1.85725686e-14j]
 [ 3.57526135e-07+1.85725686e-14j -7.29087885e-06+1.33011446e-03j]]"
-751.1548034733195j,"[[ 7.30290473e-06+1.33122735e-03j  3.57460756e-07+2.09505500e-14j]
 [ 3.58270346e-07+2.09505501e-14j -7.30290489e-06+1.33122735e-03j]]"
-750.5264849426015j,"[[ 7.31511649e-06+1.33234192e-03j  3.58031977e-07-1.03084594e-14j]
 [ 3.58842923e-07-1.03084594e-14j -7.31511683e-06+1.33234192e-03j]]"
-749.8981664118836j,"[[ 7.32729806e-06+1.33345804e-03j  3.58580776e-07-3.60924969e-14j]
 [ 3.59393081e-07-3.60924969e-14j -7.32729803e-06+1.33345804e-03j]]"
-749.2698478811657j,"[[ 7.33956358e-06+1.33457628e-03j  3.59088748e-07-5.39705114e-14j]
 [ 3.59902417e-07-5.39705114e-14j -7.33956347e-06+1.33457628e-03j]]"
-748.6415293504476j,"[[ 7.35198250e-06+1.33569633e-03j  3.59600986e-07-1.38994505e-14j]
 [ 3.60416021e-07-1.38994505e-14j -7.35198189e-06+1.33569633e-03j]]"
-748.0132108197297j,"[[ 7.36436335e-06+1.33681800e-03j  3.60238384e-07+9.19003018e-16j]
 [ 3.61054788e-07+9.19003079e-16j -7.36436303e-06+1.33681800e-03j]]"
-747.3848922890118j,"[[ 7.37666835e-06+1.33794213e-03j  3.60852806e-07-3.80440513e-15j]
 [ 3.61670584e-07-3.80440510e-15j -7.37666774e-06+1.33794213e-03j]]"
-746.7565737582938j,"[[ 7.38931177e-06+1.33906742e-03j  3.61423407e-07+1.14037898e-15j]
 [ 3.62242561e-07+1.14037900e-15j -7.38931117e-06+1.33906742e-03j]]"
-746.1282552275759j,"[[ 7.40175132e-06+1.34019518e-03j  3.62038178e-07+1.29035405e-15j]
 [ 3.62858713e-07+1.29035410e-15j -7.40175049e-06+1.34019518e-03j]]"
