iw_n,G_iw_n
-502.34066530900793j,"[[ 3.60402633e-06+1.99051815e-03j  1.25529369e-05+1.77932876e-09j]
 [ 1.25640231e-05+1.78094355e-09j -3.88839068e-06+1.99051713e-03j]]"
-501.71234677829j,"[[ 3.61206332e-06+1.99301111e-03j  1.25834393e-05+1.78113163e-09j]
 [ 1.25945532e-05+1.78275241e-09j -3.89713781e-06+1.99301005e-03j]]"
-501.08402824757206j,"[[ 3.62047071e-06+1.99550994e-03j  1.26137212e-05+1.79051666e-09j]
 [ 1.26248630e-05+1.79214343e-09j -3.90624999e-06+1.99550883e-03j]]"
-500.455709716854j,"[[ 3.62938977e-06+1.99801426e-03j  1.26442536e-05+1.80934143e-09j]
 [ 1.26554234e-05+1.81097441e-09j -3.91585994e-06+1.99801312e-03j]]"
-499.8273911861361j,"[[ 3.63885862e-06+2.00052403e-03j  1.26752405e-05+1.82978291e-09j]
 [ 1.26864384e-05+1.83142212e-09j -3.92603699e-06+2.00052289e-03j]]"
-499.19907265541815j,"[[ 3.64877680e-06+2.00303980e-03j  1.27065035e-05+1.84711756e-09j]
 [ 1.27177296e-05+1.84876293e-09j -3.93669183e-06+2.00303867e-03j]]"
-498.5707541247001j,"[[ 3.65894504e-06+2.00556234e-03j  1.27381624e-05+1.86287603e-09j]
 [ 1.27494168e-05+1.86452763e-09j -3.94761167e-06+2.00556123e-03j]]"
-497.94243559398217j,"[[ 3.66929034e-06+2.00809214e-03j  1.27704625e-05+1.88799902e-09j]
 [ 1.27817453e-05+1.88965674e-09j -3.95873119e-06+2.00809103e-03j]]"
-497.31411706326423j,"[[ 3.67970410e-06+2.01062918e-03j  1.28035253e-05+1.91077142e-09j]
 [ 1.28148366e-05+1.91243532e-09j -3.96989363e-06+2.01062804e-03j]]"
-496.6857985325463j,"[[ 3.68982152e-06+2.01317281e-03j  1.28370295e-05+1.91148739e-09j]
 [ 1.28483694e-05+1.91315773e-09j -3.98073559e-06+2.01317165e-03j]]"
-496.0574800018283j,"[[ 3.69953250e-06+2.01572264e-03j  1.28705028e-05+1.89602924e-09j]
 [ 1.28818715e-05+1.89770609e-09j -3.99115809e-06+2.01572150e-03j]]"
-495.4291614711104j,"[[ 3.70874144e-06+2.01827863e-03j  1.29038356e-05+1.87966324e-09j]
 [ 1.29152331e-05+1.88134658e-09j -4.00107702e-06+2.01827751e-03j]]"
-494.80084294039244j,"[[ 3.71734107e-06+2.02084089e-03j  1.29370047e-05+1.87792318e-09j]
 [ 1.29484312e-05+1.87961293e-09j -4.01042173e-06+2.02083982e-03j]]"
-494.1725244096745j,"[[ 3.72558340e-06+2.02340993e-03j  1.29701141e-05+1.88736360e-09j]
 [ 1.29815697e-05+1.88905978e-09j -4.01943468e-06+2.02340887e-03j]]"
-493.54420587895646j,"[[ 3.73398933e-06+2.02598573e-03j  1.30032976e-05+1.89887796e-09j]
 [ 1.30147824e-05+1.90058071e-09j -4.02857199e-06+2.02598463e-03j]]"
-492.9158873482385j,"[[ 3.74275699e-06+2.02856796e-03j  1.30366212e-05+1.91589924e-09j]
 [ 1.30481352e-05+1.91760870e-09j -4.03804678e-06+2.02856683e-03j]]"
-492.2875688175206j,"[[ 3.75177855e-06+2.03115649e-03j  1.30700906e-05+1.93231239e-09j]
 [ 1.30816341e-05+1.93402862e-09j -4.04778648e-06+2.03115534e-03j]]"
-491.6592502868026j,"[[ 3.76112590e-06+2.03375156e-03j  1.31037632e-05+1.93861758e-09j]
 [ 1.31153363e-05+1.94034027e-09j -4.05790467e-06+2.03375038e-03j]]"
-491.03093175608467j,"[[ 3.77071042e-06+2.03635339e-03j  1.31373051e-05+1.93114609e-09j]
 [ 1.31489078e-05+1.93287525e-09j -4.06827390e-06+2.03635220e-03j]]"
-490.40261322536674j,"[[ 3.78037056e-06+2.03896210e-03j  1.31705106e-05+1.92129473e-09j]
 [ 1.31821431e-05+1.92303055e-09j -4.07871043e-06+2.03896090e-03j]]"
-489.7742946946488j,"[[ 3.79002012e-06+2.04157759e-03j  1.32036388e-05+1.92132307e-09j]
 [ 1.32153011e-05+1.92306551e-09j -4.08914457e-06+2.04157638e-03j]]"
-489.14597616393075j,"[[ 3.79982280e-06+2.04419949e-03j  1.32369959e-05+1.93520025e-09j]
 [ 1.32486882e-05+1.93694934e-09j -4.09971748e-06+2.04419829e-03j]]"
-488.5176576332128j,"[[ 3.80976905e-06+2.04682791e-03j  1.32708982e-05+1.95717839e-09j]
 [ 1.32826206e-05+1.95893404e-09j -4.11046791e-06+2.04682674e-03j]]"
-487.8893391024949j,"[[ 3.81990375e-06+2.04946329e-03j  1.33052900e-05+1.98472193e-09j]
 [ 1.33170426e-05+1.98648421e-09j -4.12140406e-06+2.04946214e-03j]]"
-487.26102057177695j,"[[ 3.83029703e-06+2.05210575e-03j  1.33401489e-05+2.01721442e-09j]
 [ 1.33519318e-05+2.01898343e-09j -4.13258502e-06+2.05210460e-03j]]"
-486.6327020410589j,"[[ 3.84044324e-06+2.05475545e-03j  1.33756369e-05+2.03942724e-09j]
 [ 1.33874503e-05+2.04120297e-09j -4.14353094e-06+2.05475430e-03j]]"
-486.004383510341j,"[[ 3.85006115e-06+2.05741228e-03j  1.34113868e-05+2.04499927e-09j]
 [ 1.34232308e-05+2.04678181e-09j -4.15393381e-06+2.05741113e-03j]]"
-485.37606497962304j,"[[ 3.85934276e-06+2.06007601e-03j  1.34470667e-05+2.03432088e-09j]
 [ 1.34589413e-05+2.03611028e-09j -4.16399191e-06+2.06007486e-03j]]"
-484.74774644890505j,"[[ 3.86849599e-06+2.06274673e-03j  1.34823823e-05+2.02070502e-09j]
 [ 1.34942877e-05+2.02250154e-09j -4.17391881e-06+2.06274559e-03j]]"
-484.1194279181871j,"[[ 3.87784237e-06+2.06542443e-03j  1.35173510e-05+2.02001615e-09j]
 [ 1.35292874e-05+2.02182000e-09j -4.18403180e-06+2.06542326e-03j]]"
