iw_n,G_iw_n
-628.213810962839j,"[[ 1.34261123e-05+1.59167895e-03j -6.50951851e-10+4.27794005e-15j]
 [-2.28387156e-09+4.27794008e-15j -1.34261080e-05+1.59167895e-03j]]"
-628.0043714525997j,"[[ 1.34349989e-05+1.59220974e-03j -6.93461260e-10-1.76562851e-15j]
 [-2.32747026e-09-1.76562845e-15j -1.34349946e-05+1.59220974e-03j]]"
-627.7949319423603j,"[[ 1.34439047e-05+1.59274089e-03j -6.68890441e-10-3.19393893e-15j]
 [-2.30398982e-09-3.19393888e-15j -1.34439004e-05+1.59274089e-03j]]"
-627.585492432121j,"[[ 1.34528857e-05+1.59327241e-03j -6.19803533e-10-7.64916627e-15j]
 [-2.25599439e-09-7.64916621e-15j -1.34528814e-05+1.59327241e-03j]]"
-627.3760529218816j,"[[ 1.34618945e-05+1.59380428e-03j -5.58596822e-10-9.84425486e-15j]
 [-2.19588025e-09-9.84425478e-15j -1.34618901e-05+1.59380428e-03j]]"
-627.1666134116424j,"[[ 1.34709487e-05+1.59433648e-03j -4.69139115e-10-5.40968528e-15j]
 [-2.10751620e-09-5.40968522e-15j -1.34709443e-05+1.59433648e-03j]]"
-626.957173901403j,"[[ 1.34800580e-05+1.59486904e-03j -3.32385325e-10-7.19674640e-15j]
 [-1.97185717e-09-7.19674635e-15j -1.34800536e-05+1.59486904e-03j]]"
-626.7477343911637j,"[[ 1.34892155e-05+1.59540190e-03j -2.15173894e-10-4.77594548e-15j]
 [-1.85574160e-09-4.77594536e-15j -1.34892111e-05+1.59540189e-03j]]"
-626.5382948809244j,"[[ 1.34983244e-05+1.59593503e-03j -1.13630153e-10-1.06024293e-15j]
 [-1.75529481e-09-1.06024285e-15j -1.34983199e-05+1.59593503e-03j]]"
-626.328855370685j,"[[ 1.35073662e-05+1.59646853e-03j -6.89571730e-11+6.16471835e-15j]
 [-1.71171989e-09+6.16471842e-15j -1.35073618e-05+1.59646853e-03j]]"
-626.1194158604457j,"[[ 1.35163903e-05+1.59700235e-03j -3.32896994e-11+3.23801419e-15j]
 [-1.67715157e-09+3.23801430e-15j -1.35163858e-05+1.59700235e-03j]]"
-625.9099763502065j,"[[ 1.35253643e-05+1.59753659e-03j -8.82865659e-11+6.19029547e-15j]
 [-1.73324870e-09+6.19029550e-15j -1.35253599e-05+1.59753659e-03j]]"
-625.7005368399672j,"[[ 1.35343384e-05+1.59807117e-03j -1.62781311e-10+4.62987621e-15j]
 [-1.80884481e-09+4.62987629e-15j -1.35343339e-05+1.59807117e-03j]]"
-625.4910973297278j,"[[ 1.35433213e-05+1.59860619e-03j -1.88053822e-10+1.23990243e-15j]
 [-1.83521980e-09+1.23990254e-15j -1.35433168e-05+1.59860619e-03j]]"
-625.2816578194885j,"[[ 1.35523262e-05+1.59914159e-03j -2.22426478e-10-2.38446152e-15j]
 [-1.87069603e-09-2.38446141e-15j -1.35523217e-05+1.59914159e-03j]]"
-625.0722183092491j,"[[ 1.35613531e-05+1.59967734e-03j -2.72306450e-10-1.48036411e-15j]
 [-1.92168070e-09-1.48036403e-15j -1.35613486e-05+1.59967734e-03j]]"
-624.8627787990099j,"[[ 1.35703723e-05+1.60021349e-03j -3.15748075e-10+2.67950421e-16j]
 [-1.96622812e-09+2.67950513e-16j -1.35703678e-05+1.60021349e-03j]]"
-624.6533392887706j,"[[ 1.35794535e-05+1.60075005e-03j -3.50366576e-10+3.13781847e-16j]
 [-2.00195354e-09+3.13781903e-16j -1.35794491e-05+1.60075005e-03j]]"
-624.4438997785312j,"[[ 1.35886402e-05+1.60128693e-03j -3.34961157e-10-2.91111790e-15j]
 [-1.98765615e-09-2.91111781e-15j -1.35886357e-05+1.60128693e-03j]]"
-624.2344602682919j,"[[ 1.35978198e-05+1.60182414e-03j -2.96107036e-10-1.11871033e-15j]
 [-1.94991117e-09-1.11871020e-15j -1.35978153e-05+1.60182414e-03j]]"
-624.0250207580525j,"[[ 1.36070698e-05+1.60236167e-03j -2.17774493e-10+3.04313882e-15j]
 [-1.87268889e-09+3.04313889e-15j -1.36070651e-05+1.60236167e-03j]]"
-623.8155812478132j,"[[ 1.36162916e-05+1.60289951e-03j -1.49972288e-10-1.73241693e-15j]
 [-1.80599806e-09-1.73241686e-15j -1.36162869e-05+1.60289951e-03j]]"
-623.6061417375739j,"[[ 1.36254787e-05+1.60343769e-03j -5.83183735e-11+1.00118147e-15j]
 [-1.71545664e-09+1.00118162e-15j -1.36254739e-05+1.60343769e-03j]]"
-623.3967022273347j,"[[ 1.36346648e-05+1.60397625e-03j -2.99003155e-11+2.23097803e-15j]
 [-1.68815220e-09+2.23097812e-15j -1.36346601e-05+1.60397625e-03j]]"
-623.1872627170953j,"[[ 1.36438270e-05+1.60451517e-03j  1.70283552e-11+1.90324104e-15j]
 [-1.64233828e-09+1.90324109e-15j -1.36438222e-05+1.60451517e-03j]]"
-622.977823206856j,"[[ 1.36530234e-05+1.60505445e-03j  3.80620488e-11-4.42648394e-15j]
 [-1.62242045e-09-4.42648383e-15j -1.36530185e-05+1.60505445e-03j]]"
-622.7683836966166j,"[[ 1.36622125e-05+1.60559408e-03j  2.28026035e-11-1.30741342e-15j]
 [-1.63879689e-09-1.30741332e-15j -1.36622076e-05+1.60559408e-03j]]"
-622.5589441863774j,"[[ 1.36713469e-05+1.60613404e-03j -2.61472592e-11-5.84713380e-16j]
 [-1.68886487e-09-5.84713289e-16j -1.36713420e-05+1.60613404e-03j]]"
-622.349504676138j,"[[ 1.36804294e-05+1.60667444e-03j -6.59444121e-11-4.51009515e-15j]
 [-1.72978127e-09-4.51009504e-15j -1.36804244e-05+1.60667444e-03j]]"
-622.1400651658987j,"[[ 1.36895559e-05+1.60721523e-03j -9.73610973e-11-3.47529680e-15j]
 [-1.76231834e-09-3.47529668e-15j -1.36895509e-05+1.60721523e-03j]]"
