iw_n,G_iw_n
-837.4089751068792j,"[[ 5.68175891e-06+1.19412086e-03j  2.87618332e-07+2.84227516e-14j]
 [ 2.86532330e-07+2.84227515e-14j -5.68175899e-06+1.19412086e-03j]]"
-836.7108434060815j,"[[ 5.69092735e-06+1.19511714e-03j  2.88051101e-07+7.32809675e-14j]
 [ 2.86963285e-07+7.32809675e-14j -5.69092771e-06+1.19511714e-03j]]"
-836.0127117052839j,"[[ 5.70036182e-06+1.19611519e-03j  2.88463263e-07-1.62974866e-14j]
 [ 2.87373630e-07-1.62974866e-14j -5.70036221e-06+1.19611519e-03j]]"
-835.3145800044862j,"[[ 5.70992486e-06+1.19711470e-03j  2.89067699e-07-4.29301429e-14j]
 [ 2.87976244e-07-4.29301430e-14j -5.70992500e-06+1.19711470e-03j]]"
-834.6164483036883j,"[[ 5.71940214e-06+1.19811615e-03j  2.89587576e-07+4.20714033e-15j]
 [ 2.88494294e-07+4.20714026e-15j -5.71940235e-06+1.19811616e-03j]]"
-833.9183166028906j,"[[ 5.72894353e-06+1.19911892e-03j  2.90007603e-07+1.59521328e-14j]
 [ 2.88912490e-07+1.59521327e-14j -5.72894398e-06+1.19911892e-03j]]"
-833.2201849020929j,"[[ 5.73856841e-06+1.20012322e-03j  2.90502190e-07-2.73109610e-15j]
 [ 2.89405242e-07-2.73109619e-15j -5.73856843e-06+1.20012322e-03j]]"
-832.5220532012952j,"[[ 5.74793792e-06+1.20112954e-03j  2.91065160e-07-1.17280391e-14j]
 [ 2.89966371e-07-1.17280392e-14j -5.74793820e-06+1.20112954e-03j]]"
-831.8239215004974j,"[[ 5.75746566e-06+1.20213771e-03j  2.91565664e-07-6.82983611e-15j]
 [ 2.90465030e-07-6.82983618e-15j -5.75746592e-06+1.20213771e-03j]]"
-831.1257897996998j,"[[ 5.76731654e-06+1.20314761e-03j  2.92099067e-07+1.32229482e-15j]
 [ 2.90996583e-07+1.32229475e-15j -5.76731674e-06+1.20314761e-03j]]"
-830.427658098902j,"[[ 5.77689728e-06+1.20415884e-03j  2.92622076e-07+4.09440796e-14j]
 [ 2.91517738e-07+4.09440795e-14j -5.77689751e-06+1.20415884e-03j]]"
-829.7295263981042j,"[[ 5.78666558e-06+1.20517179e-03j  2.93101119e-07+2.47937229e-14j]
 [ 2.91994922e-07+2.47937228e-14j -5.78666619e-06+1.20517179e-03j]]"
-829.0313946973065j,"[[ 5.79635521e-06+1.20618654e-03j  2.93574011e-07+2.63343206e-14j]
 [ 2.92465949e-07+2.63343205e-14j -5.79635593e-06+1.20618654e-03j]]"
-828.3332629965088j,"[[ 5.80606646e-06+1.20720293e-03j  2.94123016e-07-1.04921138e-14j]
 [ 2.93013086e-07-1.04921139e-14j -5.80606694e-06+1.20720293e-03j]]"
-827.6351312957111j,"[[ 5.81548911e-06+1.20822130e-03j  2.94643976e-07-3.45245610e-14j]
 [ 2.93532173e-07-3.45245611e-14j -5.81548966e-06+1.20822130e-03j]]"
-826.9369995949132j,"[[ 5.82509147e-06+1.20924125e-03j  2.95047336e-07-4.68402471e-14j]
 [ 2.93933655e-07-4.68402472e-14j -5.82509176e-06+1.20924125e-03j]]"
-826.2388678941156j,"[[ 5.83484779e-06+1.21026297e-03j  2.95558210e-07+1.03306274e-14j]
 [ 2.94442646e-07+1.03306273e-14j -5.83484805e-06+1.21026297e-03j]]"
-825.5407361933179j,"[[ 5.84440015e-06+1.21128662e-03j  2.96112487e-07+3.03051643e-14j]
 [ 2.94995035e-07+3.03051643e-14j -5.84440034e-06+1.21128662e-03j]]"
-824.8426044925202j,"[[ 5.85428818e-06+1.21231191e-03j  2.96627003e-07-4.43971899e-15j]
 [ 2.95507659e-07-4.43971904e-15j -5.85428850e-06+1.21231191e-03j]]"
-824.1444727917224j,"[[ 5.86417883e-06+1.21333913e-03j  2.97148699e-07-3.80781867e-14j]
 [ 2.96027458e-07-3.80781868e-14j -5.86417895e-06+1.21333913e-03j]]"
-823.4463410909246j,"[[ 5.87421358e-06+1.21436811e-03j  2.97624456e-07-7.70022154e-15j]
 [ 2.96501313e-07-7.70022164e-15j -5.87421376e-06+1.21436811e-03j]]"
-822.7482093901269j,"[[ 5.88439698e-06+1.21539851e-03j  2.98058161e-07+4.99738282e-14j]
 [ 2.96933111e-07+4.99738281e-14j -5.88439707e-06+1.21539851e-03j]]"
-822.0500776893291j,"[[ 5.89450768e-06+1.21643072e-03j  2.98502538e-07+1.81342953e-14j]
 [ 2.97375576e-07+1.81342952e-14j -5.89450798e-06+1.21643072e-03j]]"
