iw_n,G_iw_n
-942.3207164442586j,"[[ 1.15049357e-06+1.06119751e-03j  9.42310540e-07+2.06396575e-13j]
 [ 9.44773198e-07+2.06396042e-13j -1.15049322e-06+1.06119751e-03j]]"
-942.0065571788995j,"[[ 1.15123528e-06+1.06155139e-03j  9.42932910e-07+1.87967105e-13j]
 [ 9.45397211e-07+1.87966708e-13j -1.15123494e-06+1.06155139e-03j]]"
-941.6923979135405j,"[[ 1.15198620e-06+1.06190553e-03j  9.43542711e-07+1.96231190e-13j]
 [ 9.46008656e-07+1.96230985e-13j -1.15198585e-06+1.06190553e-03j]]"
-941.3782386481814j,"[[ 1.15274717e-06+1.06225990e-03j  9.44163900e-07+2.18851393e-13j]
 [ 9.46631491e-07+2.18851243e-13j -1.15274684e-06+1.06225990e-03j]]"
-941.0640793828225j,"[[ 1.15351176e-06+1.06261450e-03j  9.44803861e-07+2.35973237e-13j]
 [ 9.47273100e-07+2.35973109e-13j -1.15351147e-06+1.06261450e-03j]]"
-940.7499201174636j,"[[ 1.15429325e-06+1.06296934e-03j  9.45441008e-07+2.38256018e-13j]
 [ 9.47911896e-07+2.38255872e-13j -1.15429298e-06+1.06296934e-03j]]"
-940.4357608521046j,"[[ 1.15508164e-06+1.06332440e-03j  9.46062646e-07+2.11529884e-13j]
 [ 9.48535186e-07+2.11529705e-13j -1.15508140e-06+1.06332440e-03j]]"
-940.1216015867456j,"[[ 1.15588374e-06+1.06367968e-03j  9.46703490e-07+1.85135896e-13j]
 [ 9.49177682e-07+1.85135666e-13j -1.15588351e-06+1.06367968e-03j]]"
-939.8074423213866j,"[[ 1.15670710e-06+1.06403522e-03j  9.47362799e-07+1.67909368e-13j]
 [ 9.49838645e-07+1.67909073e-13j -1.15670690e-06+1.06403522e-03j]]"
-939.4932830560276j,"[[ 1.15753081e-06+1.06439102e-03j  9.47999341e-07+1.45998095e-13j]
 [ 9.50476844e-07+1.45997781e-13j -1.15753062e-06+1.06439102e-03j]]"
-939.1791237906685j,"[[ 1.15832725e-06+1.06474705e-03j  9.48605734e-07+1.27670271e-13j]
 [ 9.51084895e-07+1.27670045e-13j -1.15832705e-06+1.06474705e-03j]]"
-938.8649645253097j,"[[ 1.15907393e-06+1.06510329e-03j  9.49209158e-07+1.02652374e-13j]
 [ 9.51689978e-07+1.02652280e-13j -1.15907374e-06+1.06510329e-03j]]"
-938.5508052599507j,"[[ 1.15980277e-06+1.06545978e-03j  9.49835691e-07+7.28627764e-14j]
 [ 9.52318172e-07+7.28628071e-14j -1.15980260e-06+1.06545978e-03j]]"
-938.2366459945918j,"[[ 1.16055417e-06+1.06581653e-03j  9.50475508e-07+4.94510245e-14j]
 [ 9.52959652e-07+4.94512195e-14j -1.16055399e-06+1.06581653e-03j]]"
-937.9224867292327j,"[[ 1.16133828e-06+1.06617353e-03j  9.51113092e-07+2.76427748e-14j]
 [ 9.53598901e-07+2.76430600e-14j -1.16133809e-06+1.06617353e-03j]]"
-937.6083274638737j,"[[ 1.16214186e-06+1.06653077e-03j  9.51752820e-07+5.49857614e-16j]
 [ 9.54240295e-07+5.50153463e-16j -1.16214167e-06+1.06653077e-03j]]"
-937.2941681985149j,"[[ 1.16294565e-06+1.06688824e-03j  9.52403479e-07-2.20042766e-14j]
 [ 9.54892622e-07-2.20040648e-14j -1.16294547e-06+1.06688824e-03j]]"
-936.9800089331559j,"[[ 1.16373587e-06+1.06724596e-03j  9.53047263e-07-3.33319698e-14j]
 [ 9.55538075e-07-3.33319489e-14j -1.16373573e-06+1.06724596e-03j]]"
-936.6658496677968j,"[[ 1.16449962e-06+1.06760391e-03j  9.53676808e-07-3.56795169e-14j]
 [ 9.56169292e-07-3.56797174e-14j -1.16449954e-06+1.06760391e-03j]]"
-936.3516904024378j,"[[ 1.16525796e-06+1.06796210e-03j  9.54324718e-07-5.63501627e-14j]
 [ 9.56818874e-07-5.63505121e-14j -1.16525792e-06+1.06796210e-03j]]"
-936.0375311370788j,"[[ 1.16602020e-06+1.06832053e-03j  9.54982852e-07-8.79253831e-14j]
 [ 9.57478683e-07-8.79257188e-14j -1.16602009e-06+1.06832053e-03j]]"
