iw_n,G_iw_n
-471.0818184057895j,"[[ 3.58567115e-06+2.12267784e-03j  4.14635369e-06+3.89499140e-13j]
 [ 4.14138772e-06+3.89504942e-13j -3.58567063e-06+2.12267783e-03j]]"
-470.7676591404305j,"[[ 3.59049130e-06+2.12409374e-03j  4.15184153e-06+2.44409742e-13j]
 [ 4.14686893e-06+2.44415082e-13j -3.59049127e-06+2.12409373e-03j]]"
-470.45349987507154j,"[[ 3.59540972e-06+2.12551155e-03j  4.15742114e-06+1.56405633e-13j]
 [ 4.15244190e-06+1.56410178e-13j -3.59540993e-06+2.12551155e-03j]]"
-470.1393406097125j,"[[ 3.60022935e-06+2.12693144e-03j  4.16307078e-06+1.18351128e-13j]
 [ 4.15808488e-06+1.18355058e-13j -3.60022956e-06+2.12693144e-03j]]"
-469.8251813443536j,"[[ 3.60491099e-06+2.12835348e-03j  4.16866212e-06+5.40584943e-14j]
 [ 4.16366955e-06+5.40621574e-14j -3.60491102e-06+2.12835348e-03j]]"
-469.5110220789946j,"[[ 3.60958426e-06+2.12977754e-03j  4.17418512e-06+5.38076962e-14j]
 [ 4.16918586e-06+5.38111666e-14j -3.60958399e-06+2.12977754e-03j]]"
-469.19686281363556j,"[[ 3.61420127e-06+2.13120349e-03j  4.17960665e-06+1.23242740e-13j]
 [ 4.17460070e-06+1.23245894e-13j -3.61420065e-06+2.13120349e-03j]]"
-468.88270354827665j,"[[ 3.61880090e-06+2.13263128e-03j  4.18497273e-06+2.03090000e-13j]
 [ 4.17996007e-06+2.03092409e-13j -3.61879981e-06+2.13263128e-03j]]"
-468.5685442829176j,"[[ 3.62348771e-06+2.13406099e-03j  4.19038433e-06+3.72766054e-13j]
 [ 4.18536494e-06+3.72767463e-13j -3.62348618e-06+2.13406099e-03j]]"
-468.2543850175587j,"[[ 3.62838608e-06+2.13549255e-03j  4.19589233e-06+5.54913889e-13j]
 [ 4.19086621e-06+5.54914771e-13j -3.62838439e-06+2.13549255e-03j]]"
-467.9402257521997j,"[[ 3.63342685e-06+2.13692594e-03j  4.20146947e-06+5.26991207e-13j]
 [ 4.19643660e-06+5.26992045e-13j -3.63342519e-06+2.13692594e-03j]]"
-467.62606648684067j,"[[ 3.63833012e-06+2.13836113e-03j  4.20716209e-06+4.23545963e-13j]
 [ 4.20212245e-06+4.23546852e-13j -3.63832829e-06+2.13836113e-03j]]"
-467.31190722148176j,"[[ 3.64289138e-06+2.13979832e-03j  4.21300266e-06+4.55788138e-13j]
 [ 4.20795624e-06+4.55789125e-13j -3.64288906e-06+2.13979832e-03j]]"
-466.99774795612274j,"[[ 3.64727690e-06+2.14123769e-03j  4.21873777e-06+4.78941166e-13j]
 [ 4.21368456e-06+4.78942535e-13j -3.64727409e-06+2.14123769e-03j]]"
-466.6835886907637j,"[[ 3.65176758e-06+2.14267920e-03j  4.22435440e-06+4.51739870e-13j]
 [ 4.21929438e-06+4.51741966e-13j -3.65176430e-06+2.14267920e-03j]]"
-466.3694294254048j,"[[ 3.65643667e-06+2.14412289e-03j  4.22997172e-06+4.63047045e-13j]
 [ 4.22490489e-06+4.63049673e-13j -3.65643299e-06+2.14412289e-03j]]"
-466.0552701600458j,"[[ 3.66135618e-06+2.14556855e-03j  4.23551766e-06+4.19703381e-13j]
 [ 4.23044400e-06+4.19706025e-13j -3.66135225e-06+2.14556856e-03j]]"
-465.7411108946868j,"[[ 3.66640275e-06+2.14701597e-03j  4.24110331e-06+3.36377223e-13j]
 [ 4.23602279e-06+3.36379374e-13j -3.66639862e-06+2.14701598e-03j]]"
-465.42695162932785j,"[[ 3.67143064e-06+2.14846520e-03j  4.24678894e-06+3.73840977e-13j]
 [ 4.24170156e-06+3.73842050e-13j -3.67142619e-06+2.14846520e-03j]]"
-465.1127923639689j,"[[ 3.67648366e-06+2.14991630e-03j  4.25257461e-06+5.06261304e-13j]
 [ 4.24748036e-06+5.06261147e-13j -3.67647885e-06+2.14991630e-03j]]"
-464.7986330986099j,"[[ 3.68153182e-06+2.15136931e-03j  4.25834285e-06+5.79550809e-13j]
 [ 4.25324171e-06+5.79549663e-13j -3.68152661e-06+2.15136932e-03j]]"
-464.48447383325095j,"[[ 3.68661914e-06+2.15282438e-03j  4.26402343e-06+5.93249115e-13j]
 [ 4.25891539e-06+5.93247262e-13j -3.68661340e-06+2.15282438e-03j]]"
-464.1703145678919j,"[[ 3.69172590e-06+2.15428147e-03j  4.26961267e-06+6.42513926e-13j]
 [ 4.26449771e-06+6.42511685e-13j -3.69171980e-06+2.15428147e-03j]]"
-463.856155302533j,"[[ 3.69686316e-06+2.15574034e-03j  4.27523202e-06+6.74004765e-13j]
 [ 4.27011014e-06+6.74002611e-13j -3.69685698e-06+2.15574034e-03j]]"
-463.541996037174j,"[[ 3.70191881e-06+2.15720102e-03j  4.28099463e-06+6.94940006e-13j]
 [ 4.27586580e-06+6.94937936e-13j -3.70191238e-06+2.15720102e-03j]]"
-463.22783677181496j,"[[ 3.70686759e-06+2.15866370e-03j  4.28683577e-06+8.70341682e-13j]
 [ 4.28169998e-06+8.70339198e-13j -3.70686078e-06+2.15866370e-03j]]"
-462.91367750645605j,"[[ 3.71189401e-06+2.16012842e-03j  4.29273051e-06+1.08370552e-12j]
 [ 4.28758774e-06+1.08370252e-12j -3.71188702e-06+2.16012842e-03j]]"
-462.59951824109703j,"[[ 3.71716097e-06+2.16159526e-03j  4.29858563e-06+1.24232260e-12j]
 [ 4.29343588e-06+1.24231919e-12j -3.71715396e-06+2.16159526e-03j]]"
-462.285358975738j,"[[ 3.72259714e-06+2.16306411e-03j  4.30434827e-06+1.44453378e-12j]
 [ 4.29919152e-06+1.44453030e-12j -3.72259042e-06+2.16306412e-03j]]"
-461.9711997103791j,"[[ 3.72798863e-06+2.16453493e-03j  4.31008998e-06+1.65259926e-12j]
 [ 4.30492621e-06+1.65259585e-12j -3.72798246e-06+2.16453493e-03j]]"
