iw_n,G_iw_n
-313.9744657911211j,"[[ 4.67799210e-05+3.18405571e-03j  1.12810291e-05+4.07518276e-08j]
 [ 1.12677891e-05+4.07048714e-08j -5.80618047e-05+3.18368376e-03j]]"
-313.6048666554047j,"[[ 4.68902374e-05+3.18780676e-03j  1.13081633e-05+4.09341038e-08j]
 [ 1.12948920e-05+4.08869893e-08j -5.81993468e-05+3.18743334e-03j]]"
-313.2352675196882j,"[[ 4.70012811e-05+3.19156639e-03j  1.13353169e-05+4.09758258e-08j]
 [ 1.13220143e-05+4.09285490e-08j -5.83364085e-05+3.19119238e-03j]]"
-312.86566838397175j,"[[ 4.71124270e-05+3.19533493e-03j  1.13624625e-05+4.10466683e-08j]
 [ 1.13491285e-05+4.09992221e-08j -5.84735766e-05+3.19495858e-03j]]"
-312.4960692482553j,"[[ 4.72242100e-05+3.19911303e-03j  1.13897228e-05+4.10301785e-08j]
 [ 1.13763572e-05+4.09825608e-08j -5.86137334e-05+3.19873346e-03j]]"
-312.1264701125388j,"[[ 4.73374742e-05+3.20289993e-03j  1.14165042e-05+4.10004891e-08j]
 [ 1.14031070e-05+4.09527026e-08j -5.87538141e-05+3.20251970e-03j]]"
-311.7568709768224j,"[[ 4.74509851e-05+3.20669443e-03j  1.14436566e-05+4.16877761e-08j]
 [ 1.14302275e-05+4.16398184e-08j -5.88928729e-05+3.20631438e-03j]]"
-311.387271841106j,"[[ 4.75640161e-05+3.21049729e-03j  1.14715608e-05+4.24205450e-08j]
 [ 1.14580999e-05+4.23724174e-08j -5.90316417e-05+3.21011693e-03j]]"
-311.01767270538954j,"[[ 4.76762496e-05+3.21430915e-03j  1.15001814e-05+4.29308609e-08j]
 [ 1.14866885e-05+4.28825663e-08j -5.91719177e-05+3.21392793e-03j]]"
-310.64807356967304j,"[[ 4.77883585e-05+3.21813109e-03j  1.15288261e-05+4.26414261e-08j]
 [ 1.15153011e-05+4.25929613e-08j -5.93123311e-05+3.21774824e-03j]]"
-310.2784744339566j,"[[ 4.79011163e-05+3.22196294e-03j  1.15570085e-05+4.22880724e-08j]
 [ 1.15434512e-05+4.22394285e-08j -5.94548863e-05+3.22157788e-03j]]"
-309.9088752982402j,"[[ 4.80149878e-05+3.22580437e-03j  1.15848626e-05+4.24824179e-08j]
 [ 1.15712729e-05+4.24335924e-08j -5.95969160e-05+3.22541900e-03j]]"
-309.5392761625238j,"[[ 4.81295286e-05+3.22965467e-03j  1.16134626e-05+4.27500231e-08j]
 [ 1.15998405e-05+4.27010234e-08j -5.97374945e-05+3.22926833e-03j]]"
-309.1696770268073j,"[[ 4.82447271e-05+3.23351413e-03j  1.16418213e-05+4.26887066e-08j]
 [ 1.16281666e-05+4.26395324e-08j -5.98792504e-05+3.23312489e-03j]]"
-308.80007789109084j,"[[ 4.83605260e-05+3.23738251e-03j  1.16703220e-05+4.31331615e-08j]
 [ 1.16566346e-05+4.30838140e-08j -6.00232233e-05+3.23699124e-03j]]"
-308.4304787553744j,"[[ 4.84767784e-05+3.24126024e-03j  1.16992500e-05+4.35968630e-08j]
 [ 1.16855298e-05+4.35473462e-08j -6.01663851e-05+3.24086706e-03j]]"
-308.06087961965795j,"[[ 4.85938222e-05+3.24514736e-03j  1.17287732e-05+4.40883101e-08j]
 [ 1.17150200e-05+4.40386162e-08j -6.03122894e-05+3.24475065e-03j]]"
-307.6912804839415j,"[[ 4.87114755e-05+3.24904345e-03j  1.17583431e-05+4.37835231e-08j]
 [ 1.17445569e-05+4.37336458e-08j -6.04593343e-05+3.24864691e-03j]]"
-307.32168134822507j,"[[ 4.88294464e-05+3.25294868e-03j  1.17871962e-05+4.34918893e-08j]
 [ 1.17733768e-05+4.34418358e-08j -6.06037262e-05+3.25255252e-03j]]"
-306.9520822125086j,"[[ 4.89475355e-05+3.25686267e-03j  1.18159821e-05+4.36689231e-08j]
 [ 1.18021294e-05+4.36186891e-08j -6.07482126e-05+3.25646546e-03j]]"
-306.58248307679213j,"[[ 4.90657250e-05+3.26078558e-03j  1.18450168e-05+4.41013122e-08j]
 [ 1.18311307e-05+4.40508957e-08j -6.08939888e-05+3.26038739e-03j]]"
-306.2128839410757j,"[[ 4.91836576e-05+3.26471759e-03j  1.18744339e-05+4.49240251e-08j]
 [ 1.18605142e-05+4.48734264e-08j -6.10396236e-05+3.26431848e-03j]]"
-305.8432848053593j,"[[ 4.93016292e-05+3.26865922e-03j  1.19047257e-05+4.56588508e-08j]
 [ 1.18907725e-05+4.56080735e-08j -6.11868124e-05+3.26825828e-03j]]"
-305.4736856696428j,"[[ 4.94196447e-05+3.27261079e-03j  1.19352479e-05+4.57879518e-08j]
 [ 1.19212608e-05+4.57369934e-08j -6.13348597e-05+3.27220864e-03j]]"
-305.10408653392636j,"[[ 4.95384614e-05+3.27657281e-03j  1.19654973e-05+4.55770367e-08j]
 [ 1.19514764e-05+4.55258959e-08j -6.14825992e-05+3.27616813e-03j]]"
-304.7344873982099j,"[[ 4.96585149e-05+3.28054455e-03j  1.19955417e-05+4.55773262e-08j]
 [ 1.19814867e-05+4.55259947e-08j -6.16321855e-05+3.28013623e-03j]]"
-304.3648882624935j,"[[ 4.97793693e-05+3.28452611e-03j  1.20257035e-05+4.55453112e-08j]
 [ 1.20116144e-05+4.54937849e-08j -6.17838462e-05+3.28411512e-03j]]"
-303.99528912677704j,"[[ 4.99009147e-05+3.28851753e-03j  1.20557028e-05+4.56106976e-08j]
 [ 1.20415794e-05+4.55589759e-08j -6.19357736e-05+3.28810488e-03j]]"
-303.6256899910606j,"[[ 5.00229530e-05+3.29251898e-03j  1.20860295e-05+4.60129186e-08j]
 [ 1.20718717e-05+4.59610018e-08j -6.20886191e-05+3.29210468e-03j]]"
-303.25609085534415j,"[[ 5.01457476e-05+3.29653040e-03j  1.21168114e-05+4.61006437e-08j]
 [ 1.21026190e-05+4.60485351e-08j -6.22413991e-05+3.29611617e-03j]]"
-302.8864917196277j,"[[ 5.02686980e-05+3.30055134e-03j  1.21474433e-05+4.56040264e-08j]
 [ 1.21332163e-05+4.55517314e-08j -6.23923290e-05+3.30013676e-03j]]"
-302.5168925839112j,"[[ 5.03919703e-05+3.30458228e-03j  1.21775360e-05+4.50399282e-08j]
 [ 1.21632742e-05+4.49874497e-08j -6.25440993e-05+3.30416505e-03j]]"
-302.14729344819483j,"[[ 5.05159913e-05+3.30862302e-03j  1.22071090e-05+4.42839353e-08j]
 [ 1.21928123e-05+4.42312710e-08j -6.26976438e-05+3.30820351e-03j]]"
-301.7776943124784j,"[[ 5.06408095e-05+3.31267327e-03j  1.22360564e-05+4.38180649e-08j]
 [ 1.22217247e-05+4.37652104e-08j -6.28508722e-05+3.31225137e-03j]]"
-301.4080951767619j,"[[ 5.07663424e-05+3.31673319e-03j  1.22649027e-05+4.37415155e-08j]
 [ 1.22505358e-05+4.36884591e-08j -6.30060661e-05+3.31630855e-03j]]"
-301.03849604104545j,"[[ 5.08924939e-05+3.32080278e-03j  1.22937648e-05+4.42169545e-08j]
 [ 1.22793625e-05+4.41636954e-08j -6.31619993e-05+3.32037612e-03j]]"
-300.668896905329j,"[[ 5.10191921e-05+3.32488215e-03j  1.23235780e-05+4.49976462e-08j]
 [ 1.23091404e-05+4.49441883e-08j -6.33190643e-05+3.32445407e-03j]]"
-300.2992977696126j,"[[ 5.11462289e-05+3.32897136e-03j  1.23537090e-05+4.52566803e-08j]
 [ 1.23392358e-05+4.52030269e-08j -6.34761663e-05+3.32854271e-03j]]"
-299.9296986338961j,"[[ 5.12736260e-05+3.33307002e-03j  1.23837745e-05+4.57900861e-08j]
 [ 1.23692656e-05+4.57362349e-08j -6.36332827e-05+3.33264161e-03j]]"
-299.5600994981797j,"[[ 5.14003122e-05+3.33717831e-03j  1.24147396e-05+4.65573470e-08j]
 [ 1.24001949e-05+4.65033018e-08j -6.37900948e-05+3.33675012e-03j]]"
-299.19050036246324j,"[[ 5.15263974e-05+3.34129726e-03j  1.24460139e-05+4.67395373e-08j]
 [ 1.24314332e-05+4.66852828e-08j -6.39477418e-05+3.34086844e-03j]]"
-298.8209012267468j,"[[ 5.16526373e-05+3.34542769e-03j  1.24771920e-05+4.65926662e-08j]
 [ 1.24625752e-05+4.65382029e-08j -6.41058216e-05+3.34499766e-03j]]"
-298.45130209103036j,"[[ 5.17803894e-05+3.34956868e-03j  1.25080454e-05+4.64615637e-08j]
 [ 1.24933924e-05+4.64069009e-08j -6.42631916e-05+3.34913630e-03j]]"
-298.0817029553139j,"[[ 5.19091393e-05+3.35371936e-03j  1.25387486e-05+4.64044527e-08j]
 [ 1.25240592e-05+4.63495917e-08j -6.44224655e-05+3.35328438e-03j]]"
-297.7121038195975j,"[[ 5.20384031e-05+3.35787955e-03j  1.25694329e-05+4.68701049e-08j]
 [ 1.25547071e-05+4.68150404e-08j -6.45825388e-05+3.35744356e-03j]]"
-297.342504683881j,"[[ 5.21676754e-05+3.36204975e-03j  1.26008942e-05+4.72806925e-08j]
 [ 1.25861318e-05+4.72254267e-08j -6.47418395e-05+3.36161352e-03j]]"
-296.97290554816453j,"[[ 5.22973099e-05+3.36623021e-03j  1.26319864e-05+4.71556447e-08j]
 [ 1.26171872e-05+4.71001751e-08j -6.49014812e-05+3.36579218e-03j]]"
-296.6033064124481j,"[[ 5.24273356e-05+3.37042092e-03j  1.26632615e-05+4.76144664e-08j]
 [ 1.26484253e-05+4.75587868e-08j -6.50622599e-05+3.36998122e-03j]]"
-296.2337072767317j,"[[ 5.25576044e-05+3.37462185e-03j  1.26949226e-05+4.76030339e-08j]
 [ 1.26800495e-05+4.75471411e-08j -6.52236569e-05+3.37417986e-03j]]"
-295.8641081410152j,"[[ 5.26882745e-05+3.37883391e-03j  1.27259306e-05+4.76593001e-08j]
 [ 1.27110203e-05+4.76031921e-08j -6.53866208e-05+3.37838908e-03j]]"
-295.49450900529877j,"[[ 5.28199904e-05+3.38305660e-03j  1.27576536e-05+4.88408423e-08j]
 [ 1.27427059e-05+4.87845299e-08j -6.55510355e-05+3.38260975e-03j]]"
-295.1249098695823j,"[[ 5.29524113e-05+3.38728967e-03j  1.27904999e-05+4.91481485e-08j]
 [ 1.27755148e-05+4.90916368e-08j -6.57145971e-05+3.38684161e-03j]]"
-294.7553107338659j,"[[ 5.30852926e-05+3.39153307e-03j  1.28229037e-05+4.91001849e-08j]
 [ 1.28078810e-05+4.90434653e-08j -6.58790206e-05+3.39108282e-03j]]"
-294.38571159814944j,"[[ 5.32180304e-05+3.39578727e-03j  1.28554801e-05+4.93822410e-08j]
 [ 1.28404196e-05+4.93252999e-08j -6.60456845e-05+3.39533503e-03j]]"
-294.016112462433j,"[[ 5.33512707e-05+3.40005318e-03j  1.28883318e-05+4.92729291e-08j]
 [ 1.28732335e-05+4.92157648e-08j -6.62126730e-05+3.39959945e-03j]]"
-293.64651332671656j,"[[ 5.34856519e-05+3.40433013e-03j  1.29209531e-05+4.91154678e-08j]
 [ 1.29058167e-05+4.90580766e-08j -6.63799796e-05+3.40387441e-03j]]"
-293.27691419100006j,"[[ 5.36206371e-05+3.40861758e-03j  1.29535366e-05+4.91240474e-08j]
 [ 1.29383621e-05+4.90664308e-08j -6.65484446e-05+3.40816085e-03j]]"
-292.9073150552836j,"[[ 5.37559537e-05+3.41291578e-03j  1.29862178e-05+4.90795219e-08j]
 [ 1.29710050e-05+4.90216830e-08j -6.67166121e-05+3.41245906e-03j]]"
-292.53771591956723j,"[[ 5.38911122e-05+3.41722471e-03j  1.30188065e-05+4.87942669e-08j]
 [ 1.30035552e-05+4.87362096e-08j -6.68843355e-05+3.41676774e-03j]]"
-292.1681167838508j,"[[ 5.40265002e-05+3.42154521e-03j  1.30510973e-05+4.85986664e-08j]
 [ 1.30358074e-05+4.85403910e-08j -6.70524117e-05+3.42108629e-03j]]"
