iw_n,G_iw_n
-4395.088122372121j,"[[-3.24145476e-14+2.27526603e-04j  4.48552392e-08-2.58971759e-08j
   4.48139742e-08+2.58733711e-08j]
 [ 4.48139742e-08+2.58733711e-08j -3.24145476e-14+2.27526603e-04j
   4.48552392e-08-2.58971759e-08j]
 [ 4.48552392e-08-2.58971759e-08j  4.48139742e-08+2.58733711e-08j
  -3.24145476e-14+2.27526603e-04j]]"
-4388.8049370649405j,"[[2.26512164e-14+2.27852265e-04j 4.49781530e-08-2.59681591e-08j
  4.49344930e-08+2.59429349e-08j]
 [4.49344930e-08+2.59429349e-08j 2.26512164e-14+2.27852265e-04j
  4.49781530e-08-2.59681591e-08j]
 [4.49781530e-08-2.59681591e-08j 4.49344930e-08+2.59429349e-08j
  2.26512164e-14+2.27852265e-04j]]"
-4382.521751757761j,"[[-5.44549008e-14+2.28178984e-04j  4.51076489e-08-2.60429113e-08j
   4.50699912e-08+2.60211679e-08j]
 [ 4.50699912e-08+2.60211679e-08j -5.44549008e-14+2.28178984e-04j
   4.51076489e-08-2.60429113e-08j]
 [ 4.51076489e-08-2.60429113e-08j  4.50699912e-08+2.60211679e-08j
  -5.44549008e-14+2.28178984e-04j]]"
-4376.238566450582j,"[[2.59652766e-14+2.28506532e-04j 4.52425013e-08-2.61207614e-08j
  4.52041093e-08+2.60986183e-08j]
 [4.52041093e-08+2.60986183e-08j 2.59652766e-14+2.28506532e-04j
  4.52425013e-08-2.61207614e-08j]
 [4.52425013e-08-2.61207614e-08j 4.52041093e-08+2.60986183e-08j
  2.59652766e-14+2.28506532e-04j]]"
-4369.9553811434025j,"[[-1.47814482e-16+2.28835120e-04j  4.53555869e-08-2.61860587e-08j
   4.53165165e-08+2.61635047e-08j]
 [ 4.53165165e-08+2.61635047e-08j -1.47814482e-16+2.28835120e-04j
   4.53555869e-08-2.61860587e-08j]
 [ 4.53555869e-08-2.61860587e-08j  4.53165165e-08+2.61635047e-08j
  -1.47814482e-16+2.28835120e-04j]]"
-4363.672195836222j,"[[-3.49994460e-14+2.29164604e-04j  4.54989868e-08-2.62688589e-08j
   4.54575540e-08+2.62449239e-08j]
 [ 4.54575540e-08+2.62449239e-08j -3.49994460e-14+2.29164604e-04j
   4.54989868e-08-2.62688589e-08j]
 [ 4.54989868e-08-2.62688589e-08j  4.54575540e-08+2.62449239e-08j
  -3.49994460e-14+2.29164604e-04j]]"
-4357.389010529043j,"[[1.82623586e-14+2.29495058e-04j 4.56233936e-08-2.63406801e-08j
  4.55922088e-08+2.63226751e-08j]
 [4.55922088e-08+2.63226751e-08j 1.82623586e-14+2.29495058e-04j
  4.56233936e-08-2.63406801e-08j]
 [4.56233936e-08-2.63406801e-08j 4.55922088e-08+2.63226751e-08j
  1.82623586e-14+2.29495058e-04j]]"
-4351.105825221864j,"[[-2.22562874e-14+2.29826467e-04j  4.57622087e-08-2.64208124e-08j
   4.57220327e-08+2.63976347e-08j]
 [ 4.57220327e-08+2.63976347e-08j -2.22562874e-14+2.29826467e-04j
   4.57622087e-08-2.64208124e-08j]
 [ 4.57622087e-08-2.64208124e-08j  4.57220327e-08+2.63976347e-08j
  -2.22562874e-14+2.29826467e-04j]]"
-4344.822639914684j,"[[2.09542014e-14+2.30158784e-04j 4.58946214e-08-2.64972791e-08j
  4.58448193e-08+2.64685191e-08j]
 [4.58448193e-08+2.64685191e-08j 2.09542014e-14+2.30158784e-04j
  4.58946214e-08-2.64972791e-08j]
 [4.58946214e-08-2.64972791e-08j 4.58448193e-08+2.64685191e-08j
  2.09542014e-14+2.30158784e-04j]]"
-4338.539454607504j,"[[-3.63492371e-14+2.30492094e-04j  4.60303645e-08-2.65756523e-08j
   4.59895043e-08+2.65520414e-08j]
 [ 4.59895043e-08+2.65520414e-08j -3.63492371e-14+2.30492094e-04j
   4.60303645e-08-2.65756523e-08j]
 [ 4.60303645e-08-2.65756523e-08j  4.59895043e-08+2.65520414e-08j
  -3.63492371e-14+2.30492094e-04j]]"
-4332.256269300325j,"[[7.00317958e-14+2.30826414e-04j 4.61638907e-08-2.66527265e-08j
  4.61258987e-08+2.66308045e-08j]
 [4.61258987e-08+2.66308045e-08j 7.00317958e-14+2.30826414e-04j
  4.61638907e-08-2.66527265e-08j]
 [4.61638907e-08-2.66527265e-08j 4.61258987e-08+2.66308045e-08j
  7.00317958e-14+2.30826414e-04j]]"
-4325.973083993145j,"[[-1.00046636e-14+2.31161747e-04j  4.62919503e-08-2.67266688e-08j
   4.62530127e-08+2.67041982e-08j]
 [ 4.62530127e-08+2.67041982e-08j -1.00046636e-14+2.31161747e-04j
   4.62919503e-08-2.67266688e-08j]
 [ 4.62919503e-08-2.67266688e-08j  4.62530127e-08+2.67041982e-08j
  -1.00046636e-14+2.31161747e-04j]]"
-4319.689898685965j,"[[2.07105841e-14+2.31497973e-04j 4.64267440e-08-2.68045050e-08j
  4.63875497e-08+2.67818500e-08j]
 [4.63875497e-08+2.67818500e-08j 2.07105841e-14+2.31497973e-04j
  4.64267440e-08-2.68045050e-08j]
 [4.64267440e-08-2.68045050e-08j 4.63875497e-08+2.67818500e-08j
  2.07105841e-14+2.31497973e-04j]]"
-4313.406713378786j,"[[-1.60468397e-15+2.31835161e-04j  4.65673609e-08-2.68856801e-08j
   4.65276819e-08+2.68627640e-08j]
 [ 4.65276819e-08+2.68627640e-08j -1.60468397e-15+2.31835161e-04j
   4.65673609e-08-2.68856801e-08j]
 [ 4.65673609e-08-2.68856801e-08j  4.65276819e-08+2.68627640e-08j
  -1.60468397e-15+2.31835161e-04j]]"
-4307.123528071606j,"[[1.21517584e-14+2.32173452e-04j 4.67182552e-08-2.69727921e-08j
  4.66683732e-08+2.69440051e-08j]
 [4.66683732e-08+2.69440051e-08j 1.21517584e-14+2.32173452e-04j
  4.67182552e-08-2.69727921e-08j]
 [4.67182552e-08-2.69727921e-08j 4.66683732e-08+2.69440051e-08j
  1.21517584e-14+2.32173452e-04j]]"
-4300.840342764427j,"[[-3.50836704e-15+2.32512586e-04j  4.68433534e-08-2.70450252e-08j
   4.67980843e-08+2.70188831e-08j]
 [ 4.67980843e-08+2.70188831e-08j -3.50836704e-15+2.32512586e-04j
   4.68433534e-08-2.70450252e-08j]
 [ 4.68433534e-08-2.70450252e-08j  4.67980843e-08+2.70188831e-08j
  -3.50836704e-15+2.32512586e-04j]]"
-4294.557157457247j,"[[-2.72217140e-14+2.32852638e-04j  4.69696822e-08-2.71179666e-08j
   4.69274874e-08+2.70935886e-08j]
 [ 4.69274874e-08+2.70935886e-08j -2.72217140e-14+2.32852638e-04j
   4.69696822e-08-2.71179666e-08j]
 [ 4.69696822e-08-2.71179666e-08j  4.69274874e-08+2.70935886e-08j
  -2.72217140e-14+2.32852638e-04j]]"
-4288.2739721500675j,"[[3.64366257e-14+2.33193923e-04j 4.71054693e-08-2.71963547e-08j
  4.70653930e-08+2.71732183e-08j]
 [4.70653930e-08+2.71732183e-08j 3.64366257e-14+2.33193923e-04j
  4.71054693e-08-2.71963547e-08j]
 [4.71054693e-08-2.71963547e-08j 4.70653930e-08+2.71732183e-08j
  3.64366257e-14+2.33193923e-04j]]"
-4281.990786842888j,"[[-4.19493680e-14+2.33536089e-04j  4.72458952e-08-2.72774174e-08j
   4.71981213e-08+2.72498560e-08j]
 [ 4.71981213e-08+2.72498560e-08j -4.19493680e-14+2.33536089e-04j
   4.72458952e-08-2.72774174e-08j]
 [ 4.72458952e-08-2.72774174e-08j  4.71981213e-08+2.72498560e-08j
  -4.19493680e-14+2.33536089e-04j]]"
-4275.707601535709j,"[[3.37243334e-14+2.33879301e-04j 4.73922538e-08-2.73619371e-08j
  4.73502909e-08+2.73377017e-08j]
 [4.73502909e-08+2.73377017e-08j 3.37243334e-14+2.33879301e-04j
  4.73922538e-08-2.73619371e-08j]
 [4.73922538e-08-2.73619371e-08j 4.73502909e-08+2.73377017e-08j
  3.37243334e-14+2.33879301e-04j]]"
-4269.424416228529j,"[[-3.27513211e-14+2.34223370e-04j  4.75310422e-08-2.74420672e-08j
   4.74948189e-08+2.74211374e-08j]
 [ 4.74948189e-08+2.74211374e-08j -3.27513211e-14+2.34223370e-04j
   4.75310422e-08-2.74420672e-08j]
 [ 4.75310422e-08-2.74420672e-08j  4.74948189e-08+2.74211374e-08j
  -3.27513211e-14+2.34223370e-04j]]"
-4263.141230921349j,"[[7.10514036e-14+2.34568624e-04j 4.76613813e-08-2.75172973e-08j
  4.76238148e-08+2.74956323e-08j]
 [4.76238148e-08+2.74956323e-08j 7.10514036e-14+2.34568624e-04j
  4.76613813e-08-2.75172973e-08j]
 [4.76613813e-08-2.75172973e-08j 4.76238148e-08+2.74956323e-08j
  7.10514036e-14+2.34568624e-04j]]"
-4256.85804561417j,"[[-4.63582390e-14+2.34914868e-04j  4.78022115e-08-2.75986167e-08j
   4.77540217e-08+2.75708054e-08j]
 [ 4.77540217e-08+2.75708054e-08j -4.63582390e-14+2.34914868e-04j
   4.78022115e-08-2.75986167e-08j]
 [ 4.78022115e-08-2.75986167e-08j  4.77540217e-08+2.75708054e-08j
  -4.63582390e-14+2.34914868e-04j]]"
-4250.57486030699j,"[[3.09968606e-14+2.35262075e-04j 4.79442442e-08-2.76806289e-08j
  4.79012167e-08+2.76557704e-08j]
 [4.79012167e-08+2.76557704e-08j 3.09968606e-14+2.35262075e-04j
  4.79442442e-08-2.76806289e-08j]
 [4.79442442e-08-2.76806289e-08j 4.79012167e-08+2.76557704e-08j
  3.09968606e-14+2.35262075e-04j]]"
-4244.29167499981j,"[[-2.45432044e-14+2.35610393e-04j  4.80980966e-08-2.77694480e-08j
   4.80499132e-08+2.77416307e-08j]
 [ 4.80499132e-08+2.77416307e-08j -2.45432044e-14+2.35610393e-04j
   4.80980966e-08-2.77694480e-08j]
 [ 4.80980966e-08-2.77694480e-08j  4.80499132e-08+2.77416307e-08j
  -2.45432044e-14+2.35610393e-04j]]"
-4238.008489692631j,"[[1.98784598e-14+2.35959719e-04j 4.82505036e-08-2.78574307e-08j
  4.82035948e-08+2.78303702e-08j]
 [4.82035948e-08+2.78303702e-08j 1.98784598e-14+2.35959719e-04j
  4.82505036e-08-2.78574307e-08j]
 [4.82505036e-08-2.78574307e-08j 4.82035948e-08+2.78303702e-08j
  1.98784598e-14+2.35959719e-04j]]"
-4231.725304385452j,"[[-2.87667030e-14+2.36310051e-04j  4.83741903e-08-2.79288514e-08j
   4.83430226e-08+2.79108562e-08j]
 [ 4.83430226e-08+2.79108562e-08j -2.87667030e-14+2.36310051e-04j
   4.83741903e-08-2.79288514e-08j]
 [ 4.83741903e-08-2.79288514e-08j  4.83430226e-08+2.79108562e-08j
  -2.87667030e-14+2.36310051e-04j]]"
-4225.442119078271j,"[[-2.45107899e-14+2.36661514e-04j  4.85379782e-08-2.80234252e-08j
   4.84854624e-08+2.79930869e-08j]
 [ 4.84854624e-08+2.79930869e-08j -2.45107899e-14+2.36661514e-04j
   4.85379782e-08-2.80234252e-08j]
 [ 4.85379782e-08-2.80234252e-08j  4.84854624e-08+2.79930869e-08j
  -2.45107899e-14+2.36661514e-04j]]"
-4219.158933771092j,"[[1.97273710e-14+2.37013866e-04j 4.86775372e-08-2.81039848e-08j
  4.86229140e-08+2.80724558e-08j]
 [4.86229140e-08+2.80724558e-08j 1.97273710e-14+2.37013866e-04j
  4.86775372e-08-2.81039848e-08j]
 [4.86775372e-08-2.81039848e-08j 4.86229140e-08+2.80724558e-08j
  1.97273710e-14+2.37013866e-04j]]"
-4212.875748463913j,"[[-4.34871160e-14+2.37367514e-04j  4.88242634e-08-2.81886935e-08j
   4.87746471e-08+2.81600630e-08j]
 [ 4.87746471e-08+2.81600630e-08j -4.34871160e-14+2.37367514e-04j
   4.88242634e-08-2.81886935e-08j]
 [ 4.88242634e-08-2.81886935e-08j  4.87746471e-08+2.81600630e-08j
  -4.34871160e-14+2.37367514e-04j]]"
-4206.592563156733j,"[[1.86471268e-14+2.37721908e-04j 4.89550027e-08-2.82641908e-08j
  4.89145557e-08+2.82408300e-08j]
 [4.89145557e-08+2.82408300e-08j 1.86471268e-14+2.37721908e-04j
  4.89550027e-08-2.82641908e-08j]
 [4.89550027e-08-2.82641908e-08j 4.89145557e-08+2.82408300e-08j
  1.86471268e-14+2.37721908e-04j]]"
-4200.309377849553j,"[[-9.89314306e-15+2.38077472e-04j  4.91055301e-08-2.83510980e-08j
   4.90523351e-08+2.83203675e-08j]
 [ 4.90523351e-08+2.83203675e-08j -9.89314306e-15+2.38077472e-04j
   4.91055301e-08-2.83510980e-08j]
 [ 4.91055301e-08-2.83510980e-08j  4.90523351e-08+2.83203675e-08j
  -9.89314306e-15+2.38077472e-04j]]"
-4194.026192542374j,"[[7.63829623e-14+2.38434113e-04j 4.92628280e-08-2.84418960e-08j
  4.92122316e-08+2.84127052e-08j]
 [4.92122316e-08+2.84127052e-08j 7.63829623e-14+2.38434113e-04j
  4.92628280e-08-2.84418960e-08j]
 [4.92628280e-08-2.84418960e-08j 4.92122316e-08+2.84127052e-08j
  7.63829623e-14+2.38434113e-04j]]"
