iw_n,G_iw_n
-1465.0293741240403j,"[[-1.06280708e-07+6.82577018e-04j  8.10830057e-08+2.66357626e-11j]
 [ 8.04878844e-08+2.64531308e-11j -1.03368157e-07+6.82577021e-04j]]"
-1462.9349790216468j,"[[-1.06235198e-07+6.83554542e-04j  8.12986028e-08+2.54706280e-11j]
 [ 8.07017762e-08+2.52872070e-11j -1.03988748e-07+6.83554516e-04j]]"
-1460.8405839192537j,"[[-1.06578347e-07+6.84534435e-04j  8.15114229e-08+2.45774790e-11j]
 [ 8.09128839e-08+2.43932709e-11j -1.04235548e-07+6.84534455e-04j]]"
-1458.7461888168607j,"[[-1.06821092e-07+6.85517167e-04j  8.17640201e-08+2.47491486e-11j]
 [ 8.11637611e-08+2.45641457e-11j -1.04514053e-07+6.85517145e-04j]]"
-1456.6517937144674j,"[[-1.07389755e-07+6.86502782e-04j  8.19804869e-08+2.60090714e-11j]
 [ 8.13785005e-08+2.58232691e-11j -1.04572772e-07+6.86502816e-04j]]"
-1454.5573986120742j,"[[-1.07848938e-07+6.87490692e-04j  8.22248927e-08+2.48555382e-11j]
 [ 8.16211715e-08+2.46689292e-11j -1.04727508e-07+6.87490807e-04j]]"
-1452.463003509681j,"[[-1.07910435e-07+6.88482127e-04j  8.25361485e-08+2.52286201e-11j]
 [ 8.19306850e-08+2.50412088e-11j -1.05364495e-07+6.88482122e-04j]]"
-1450.3686084072879j,"[[-1.07962721e-07+6.89477044e-04j  8.27730634e-08+2.49399780e-11j]
 [ 8.21658500e-08+2.47517556e-11j -1.05968139e-07+6.89477052e-04j]]"
-1448.2742133048948j,"[[-1.08167404e-07+6.90473814e-04j  8.29595255e-08+2.62322148e-11j]
 [ 8.23505547e-08+2.60431680e-11j -1.06301655e-07+6.90473811e-04j]]"
-1446.1798182025013j,"[[-1.08805503e-07+6.91473220e-04j  8.31977203e-08+2.34482512e-11j]
 [ 8.25869843e-08+2.32583855e-11j -1.06256947e-07+6.91473298e-04j]]"
-1444.0854231001083j,"[[-1.08970557e-07+6.92476603e-04j  8.34263264e-08+2.58649286e-11j]
 [ 8.28138176e-08+2.56742314e-11j -1.06710610e-07+6.92476577e-04j]]"
-1441.991027997715j,"[[-1.09316777e-07+6.93482254e-04j  8.36842237e-08+2.44977259e-11j]
 [ 8.30699343e-08+2.43061997e-11j -1.06945062e-07+6.93482235e-04j]]"
-1439.8966328953218j,"[[-1.09393207e-07+6.94491085e-04j  8.39005844e-08+2.65085187e-11j]
 [ 8.32845067e-08+2.63161552e-11j -1.07596170e-07+6.94491128e-04j]]"
-1437.8022377929285j,"[[-1.09792487e-07+6.95503129e-04j  8.41319523e-08+2.64851770e-11j]
 [ 8.35140784e-08+2.62919651e-11j -1.07803337e-07+6.95503106e-04j]]"
-1435.7078426905355j,"[[-1.10273407e-07+6.96517504e-04j  8.43754303e-08+2.76405761e-11j]
 [ 8.37557524e-08+2.74465178e-11j -1.07898199e-07+6.96517559e-04j]]"
-1433.6134475881424j,"[[-1.10418243e-07+6.97534352e-04j  8.46462642e-08+2.93025055e-11j]
 [ 8.40247744e-08+2.91076028e-11j -1.08497929e-07+6.97534416e-04j]]"
-1431.519052485749j,"[[-1.10357771e-07+6.98555646e-04j  8.49229539e-08+2.45831868e-11j]
 [ 8.42996443e-08+2.43874245e-11j -1.09138808e-07+6.98555662e-04j]]"
-1429.424657383356j,"[[-1.10985838e-07+6.99578941e-04j  8.51719208e-08+2.88915967e-11j]
 [ 8.45467833e-08+2.86949712e-11j -1.09139138e-07+6.99578955e-04j]]"
-1427.3302622809626j,"[[-1.11736742e-07+7.00605063e-04j  8.54212152e-08+2.85742382e-11j]
 [ 8.47942417e-08+2.83767494e-11j -1.09040996e-07+7.00605056e-04j]]"
-1425.2358671785696j,"[[-1.11633997e-07+7.01635196e-04j  8.57002927e-08+2.93744119e-11j]
 [ 8.50714752e-08+2.91760547e-11j -1.09814787e-07+7.01635142e-04j]]"
-1423.1414720761761j,"[[-1.11793591e-07+7.02668174e-04j  8.59146271e-08+2.28613022e-11j]
 [ 8.52839575e-08+2.26620649e-11j -1.10294411e-07+7.02668149e-04j]]"
-1421.047076973783j,"[[-1.12461443e-07+7.03703485e-04j  8.61422640e-08+2.45490102e-11j]
 [ 8.55097339e-08+2.43488900e-11j -1.10290017e-07+7.03703482e-04j]]"
-1418.95268187139j,"[[-1.13087149e-07+7.04742653e-04j  8.63684338e-08+2.32923851e-11j]
 [ 8.57340351e-08+2.30913805e-11j -1.10264551e-07+7.04742625e-04j]]"
-1416.8582867689965j,"[[-1.12470109e-07+7.05783457e-04j  8.66056435e-08+3.04243694e-11j]
 [ 8.59693679e-08+3.02224665e-11j -1.11615287e-07+7.05783513e-04j]]"
