iw_n,G_iw_n
-1255.7394635348917j,"[[-1.52034922e-07+7.96338429e-04j  7.43944787e-08+2.74009099e-11j]
 [ 7.43184186e-08+2.73720230e-11j -1.50401820e-07+7.96338391e-04j]]"
-1253.9442677328402j,"[[-1.52481047e-07+7.97478839e-04j  7.46042970e-08+2.90175391e-11j]
 [ 7.45280192e-08+2.89885107e-11j -1.50894825e-07+7.97478836e-04j]]"
-1252.149071930789j,"[[-1.52666051e-07+7.98622422e-04j  7.47983765e-08+2.99316929e-11j]
 [ 7.47218797e-08+2.99025586e-11j -1.51558433e-07+7.98622405e-04j]]"
-1250.3538761287377j,"[[-1.53551783e-07+7.99769093e-04j  7.50090563e-08+2.96413078e-11j]
 [ 7.49323397e-08+2.96120351e-11j -1.51476117e-07+7.99769121e-04j]]"
-1248.5586803266865j,"[[-1.53757663e-07+8.00918385e-04j  7.52438078e-08+3.01390024e-11j]
 [ 7.51668707e-08+3.01096072e-11j -1.52069050e-07+8.00918471e-04j]]"
-1246.763484524635j,"[[-1.54011584e-07+8.02071128e-04j  7.54881644e-08+3.05513486e-11j]
 [ 7.54110056e-08+3.05218303e-11j -1.52820323e-07+8.02071040e-04j]]"
-1244.9682887225838j,"[[-1.54153187e-07+8.03227890e-04j  7.57076826e-08+3.02000142e-11j]
 [ 7.56303008e-08+3.01703842e-11j -1.53589830e-07+8.03227832e-04j]]"
-1243.1730929205326j,"[[-1.55077001e-07+8.04387870e-04j  7.59891824e-08+2.83320644e-11j]
 [ 7.59115770e-08+2.83022950e-11j -1.53571662e-07+8.04387820e-04j]]"
-1241.3778971184813j,"[[-1.55697325e-07+8.05551453e-04j  7.62142908e-08+3.21736306e-11j]
 [ 7.61364609e-08+3.21437256e-11j -1.53716165e-07+8.05551470e-04j]]"
-1239.5827013164296j,"[[-1.55988283e-07+8.06718035e-04j  7.64268150e-08+3.44759362e-11j]
 [ 7.63487594e-08+3.44458979e-11j -1.54408272e-07+8.06718014e-04j]]"
-1237.7875055143784j,"[[-1.56165815e-07+8.07887511e-04j  7.66719920e-08+3.16030187e-11j]
 [ 7.65937097e-08+3.15728378e-11j -1.55091918e-07+8.07887513e-04j]]"
-1235.9923097123271j,"[[-1.56583410e-07+8.09061927e-04j  7.69158326e-08+3.20413213e-11j]
 [ 7.68373228e-08+3.20110311e-11j -1.55543983e-07+8.09061977e-04j]]"
-1234.1971139102757j,"[[-1.57437502e-07+8.10238685e-04j  7.71147632e-08+2.72963445e-11j]
 [ 7.70360250e-08+2.72659117e-11j -1.55683257e-07+8.10238717e-04j]]"
-1232.4019181082244j,"[[-1.57478307e-07+8.11418941e-04j  7.73005462e-08+2.61760088e-11j]
 [ 7.72215783e-08+2.61454394e-11j -1.56423542e-07+8.11418874e-04j]]"
-1230.6067223061732j,"[[-1.58304114e-07+8.12601631e-04j  7.75104879e-08+2.65634680e-11j]
 [ 7.74312894e-08+2.65327778e-11j -1.56662493e-07+8.12601626e-04j]]"
-1228.811526504122j,"[[-1.58941937e-07+8.13789251e-04j  7.77535383e-08+2.97036922e-11j]
 [ 7.76741084e-08+2.96728586e-11j -1.56995403e-07+8.13789305e-04j]]"
-1227.0163307020705j,"[[-1.59637982e-07+8.14980443e-04j  7.79452589e-08+3.02940268e-11j]
 [ 7.78655963e-08+3.02630701e-11j -1.57168624e-07+8.14980534e-04j]]"
-1225.2211349000193j,"[[-1.60155349e-07+8.16174713e-04j  7.81577373e-08+2.80212116e-11j]
 [ 7.80778411e-08+2.79900982e-11j -1.57458731e-07+8.16174711e-04j]]"
-1223.425939097968j,"[[-1.59324539e-07+8.17372273e-04j  7.83578538e-08+2.75283590e-11j]
 [ 7.82777231e-08+2.74971185e-11j -1.59208981e-07+8.17372158e-04j]]"
-1221.6307432959168j,"[[-1.59863447e-07+8.18572656e-04j  7.85939699e-08+3.14675339e-11j]
 [ 7.85136032e-08+3.14361604e-11j -1.59704457e-07+8.18572660e-04j]]"
-1219.8355474938653j,"[[-1.60540303e-07+8.19777298e-04j  7.88198357e-08+3.22103116e-11j]
 [ 7.87392323e-08+3.21787866e-11j -1.60066586e-07+8.19777298e-04j]]"
-1218.040351691814j,"[[-1.60915311e-07+8.20985118e-04j  7.90831969e-08+3.16480260e-11j]
 [ 7.90023555e-08+3.16163543e-11j -1.60464772e-07+8.20985212e-04j]]"
-1216.2451558897628j,"[[-1.62184647e-07+8.22197429e-04j  7.93193306e-08+3.35506674e-11j]
 [ 7.92382507e-08+3.35188662e-11j -1.60266424e-07+8.22197466e-04j]]"
-1214.4499600877114j,"[[-1.62000916e-07+8.23413287e-04j  7.95526553e-08+3.30939410e-11j]
 [ 7.94713355e-08+3.30619962e-11j -1.61272160e-07+8.23413264e-04j]]"
-1212.6547642856601j,"[[-1.62613600e-07+8.24630726e-04j  7.98215056e-08+3.00602617e-11j]
 [ 7.97399448e-08+3.00281749e-11j -1.61651672e-07+8.24630807e-04j]]"
-1210.8595684836089j,"[[-1.62916983e-07+8.25854599e-04j  8.00603266e-08+3.25527832e-11j]
 [ 7.99785239e-08+3.25205554e-11j -1.62400145e-07+8.25854539e-04j]]"
-1209.0643726815576j,"[[-1.63793610e-07+8.27080015e-04j  8.03221082e-08+3.00733490e-11j]
 [ 8.02400626e-08+3.00410045e-11j -1.62572201e-07+8.27080063e-04j]]"
-1207.2691768795062j,"[[-1.63970526e-07+8.28310879e-04j  8.05433853e-08+3.06420994e-11j]
 [ 8.04610956e-08+3.06095942e-11j -1.63228239e-07+8.28310869e-04j]]"
-1205.473981077455j,"[[-1.64838596e-07+8.29544477e-04j  8.07421088e-08+3.52253543e-11j]
 [ 8.06595737e-08+3.51926966e-11j -1.63239817e-07+8.29544413e-04j]]"
-1203.6787852754037j,"[[-1.65871886e-07+8.30780853e-04j  8.09516908e-08+3.19483404e-11j]
 [ 8.08689092e-08+3.19155230e-11j -1.63211317e-07+8.30780840e-04j]]"
-1201.8835894733525j,"[[-1.66121401e-07+8.32021228e-04j  8.11942336e-08+2.80084227e-11j]
 [ 8.11112046e-08+2.79754848e-11j -1.63981369e-07+8.32021118e-04j]]"
-1200.088393671301j,"[[-1.66529525e-07+8.33265763e-04j  8.14726710e-08+3.31867875e-11j]
 [ 8.13893933e-08+3.31536911e-11j -1.64527431e-07+8.33265803e-04j]]"
-1198.2931978692498j,"[[-1.66974589e-07+8.34514888e-04j  8.17152798e-08+3.30160209e-11j]
 [ 8.16317524e-08+3.29827749e-11j -1.65246674e-07+8.34514934e-04j]]"
-1196.4980020671985j,"[[-1.66724312e-07+8.35767466e-04j  8.19862741e-08+3.58033353e-11j]
 [ 8.19024957e-08+3.57699363e-11j -1.66455090e-07+8.35767409e-04j]]"
-1194.7028062651468j,"[[-1.67152713e-07+8.37022537e-04j  8.22596898e-08+2.96228238e-11j]
 [ 8.21756594e-08+2.95892848e-11j -1.67086889e-07+8.37022587e-04j]]"
-1192.9076104630956j,"[[-1.68439805e-07+8.38281858e-04j  8.24606979e-08+3.21229566e-11j]
 [ 8.23764146e-08+3.20892484e-11j -1.66696952e-07+8.38281888e-04j]]"
-1191.1124146610443j,"[[-1.68896461e-07+8.39545924e-04j  8.26914324e-08+3.26704281e-11j]
 [ 8.26068945e-08+3.26365656e-11j -1.67108105e-07+8.39546064e-04j]]"
-1189.317218858993j,"[[-1.69033892e-07+8.40813395e-04j  8.29257722e-08+3.51691798e-11j]
 [ 8.28409791e-08+3.51351711e-11j -1.68165400e-07+8.40813334e-04j]]"
-1187.5220230569416j,"[[-1.69369923e-07+8.42084111e-04j  8.31898018e-08+3.58228610e-11j]
 [ 8.31047523e-08+3.57887168e-11j -1.68731629e-07+8.42084119e-04j]]"
-1185.7268272548904j,"[[-1.70440122e-07+8.43358812e-04j  8.34373336e-08+3.48882503e-11j]
 [ 8.33520263e-08+3.48539444e-11j -1.68749378e-07+8.43358851e-04j]]"
-1183.9316314528392j,"[[-1.70835441e-07+8.44637978e-04j  8.36878934e-08+3.54386270e-11j]
 [ 8.36023275e-08+3.54041668e-11j -1.69367218e-07+8.44637978e-04j]]"
-1182.136435650788j,"[[-1.71130262e-07+8.45920211e-04j  8.39476919e-08+3.14353952e-11j]
 [ 8.38618656e-08+3.14007697e-11j -1.70135224e-07+8.45920178e-04j]]"
-1180.3412398487364j,"[[-1.71832941e-07+8.47206684e-04j  8.42173990e-08+3.26746075e-11j]
 [ 8.41313114e-08+3.26398226e-11j -1.70332084e-07+8.47206652e-04j]]"
-1178.5460440466852j,"[[-1.71904992e-07+8.48497054e-04j  8.44683504e-08+3.29299895e-11j]
 [ 8.43820007e-08+3.28950484e-11j -1.71456594e-07+8.48497095e-04j]]"
-1176.750848244634j,"[[-1.72957573e-07+8.49791708e-04j  8.47337851e-08+3.64767195e-11j]
 [ 8.46471716e-08+3.64416163e-11j -1.71458539e-07+8.49791645e-04j]]"
-1174.9556524425825j,"[[-1.73516053e-07+8.51089903e-04j  8.49731585e-08+3.52965555e-11j]
 [ 8.48862804e-08+3.52612841e-11j -1.71891944e-07+8.51089835e-04j]]"
-1173.1604566405313j,"[[-1.73872135e-07+8.52391565e-04j  8.52859759e-08+3.80212301e-11j]
 [ 8.51988312e-08+3.79857802e-11j -1.72544063e-07+8.52391530e-04j]]"
-1171.36526083848j,"[[-1.74757390e-07+8.53697751e-04j  8.55857629e-08+3.77330580e-11j]
 [ 8.54983510e-08+3.76974567e-11j -1.72847676e-07+8.53697769e-04j]]"
-1169.5700650364286j,"[[-1.74702627e-07+8.55008290e-04j  8.58796617e-08+3.57707374e-11j]
 [ 8.57919812e-08+3.57349779e-11j -1.73922132e-07+8.55008241e-04j]]"
-1167.7748692343773j,"[[-1.75367617e-07+8.56322463e-04j  8.61606881e-08+3.90743110e-11j]
 [ 8.60727375e-08+3.90383780e-11j -1.74245586e-07+8.56322570e-04j]]"
-1165.979673432326j,"[[-1.76133146e-07+8.57641086e-04j  8.64038584e-08+3.33658685e-11j]
 [ 8.63156369e-08+3.33297964e-11j -1.74555124e-07+8.57641071e-04j]]"
-1164.1844776302748j,"[[-1.76433955e-07+8.58963550e-04j  8.67009641e-08+3.61131456e-11j]
 [ 8.66124705e-08+3.60768870e-11j -1.75349674e-07+8.58963680e-04j]]"
-1162.3892818282234j,"[[-1.76860738e-07+8.60290020e-04j  8.69862090e-08+3.46714514e-11j]
 [ 8.68974416e-08+3.46350141e-11j -1.76131251e-07+8.60289900e-04j]]"
-1160.5940860261721j,"[[-1.77789837e-07+8.61621065e-04j  8.72553135e-08+3.55602815e-11j]
 [ 8.71662715e-08+3.55237045e-11j -1.76232624e-07+8.61621091e-04j]]"
-1158.798890224121j,"[[-1.78343408e-07+8.62955418e-04j  8.75215328e-08+3.60924746e-11j]
 [ 8.74322144e-08+3.60556991e-11j -1.76783099e-07+8.62955425e-04j]]"
-1157.0036944220694j,"[[-1.79339367e-07+8.64294667e-04j  8.77959021e-08+3.65249110e-11j]
 [ 8.77063065e-08+3.64879542e-11j -1.77077011e-07+8.64294709e-04j]]"
-1155.2084986200182j,"[[-1.79492093e-07+8.65638298e-04j  8.80403189e-08+3.69728886e-11j]
 [ 8.79504449e-08+3.69357850e-11j -1.77758160e-07+8.65638274e-04j]]"
-1153.413302817967j,"[[-1.79703762e-07+8.66984748e-04j  8.82938411e-08+3.56486107e-11j]
 [ 8.82036868e-08+3.56113519e-11j -1.78682496e-07+8.66984868e-04j]]"
-1151.6181070159157j,"[[-1.80348248e-07+8.68336694e-04j  8.85897200e-08+3.48710450e-11j]
 [ 8.84992846e-08+3.48336095e-11j -1.79349314e-07+8.68336719e-04j]]"
-1149.8229112138642j,"[[-1.80336416e-07+8.69692782e-04j  8.88778486e-08+3.48405159e-11j]
 [ 8.87871309e-08+3.48028617e-11j -1.80263509e-07+8.69692796e-04j]]"
-1148.027715411813j,"[[-1.81585056e-07+8.71053179e-04j  8.90984944e-08+3.74972066e-11j]
 [ 8.90074927e-08+3.74593896e-11j -1.80255837e-07+8.71053239e-04j]]"
-1146.2325196097615j,"[[-1.82031303e-07+8.72416728e-04j  8.93786365e-08+3.54419585e-11j]
 [ 8.92873494e-08+3.54039905e-11j -1.80933507e-07+8.72416718e-04j]]"
-1144.4373238077103j,"[[-1.83220724e-07+8.73785563e-04j  8.96294153e-08+3.71059703e-11j]
 [ 8.95378418e-08+3.70678129e-11j -1.80932956e-07+8.73785547e-04j]]"
-1142.642128005659j,"[[-1.83414940e-07+8.75157766e-04j  8.99143666e-08+3.44506605e-11j]
 [ 8.98225047e-08+3.44122744e-11j -1.81717787e-07+8.75157795e-04j]]"
-1140.8469322036078j,"[[-1.83781609e-07+8.76534933e-04j  9.02259003e-08+3.44280747e-11j]
 [ 9.01337494e-08+3.43895228e-11j -1.82678706e-07+8.76534893e-04j]]"
-1139.0517364015564j,"[[-1.85006628e-07+8.77917020e-04j  9.04644737e-08+3.89579272e-11j]
 [ 9.03720322e-08+3.89192448e-11j -1.82584688e-07+8.77916990e-04j]]"
-1137.2565405995051j,"[[-1.84807946e-07+8.79302199e-04j  9.07172554e-08+3.51175085e-11j]
 [ 9.06245216e-08+3.50786026e-11j -1.83821572e-07+8.79302187e-04j]]"
-1135.4613447974539j,"[[-1.85949135e-07+8.80692435e-04j  9.09717600e-08+3.47106467e-11j]
 [ 9.08787328e-08+3.46715651e-11j -1.83895391e-07+8.80692506e-04j]]"
-1133.6661489954024j,"[[-1.86292472e-07+8.82086990e-04j  9.12499859e-08+3.50589746e-11j]
 [ 9.11566640e-08+3.50196968e-11j -1.84796876e-07+8.82087023e-04j]]"
-1131.8709531933512j,"[[-1.87002449e-07+8.83486880e-04j  9.15007987e-08+3.83827386e-11j]
 [ 9.14071802e-08+3.83432527e-11j -1.85172292e-07+8.83486953e-04j]]"
-1130.0757573913j,"[[-1.87037031e-07+8.84890090e-04j  9.17536540e-08+3.81637570e-11j]
 [ 9.16597380e-08+3.81241355e-11j -1.86354729e-07+8.84890129e-04j]]"
-1128.2805615892487j,"[[-1.87719126e-07+8.86297037e-04j  9.20463076e-08+3.74292294e-11j]
 [ 9.19520923e-08+3.73893827e-11j -1.86849088e-07+8.86296951e-04j]]"
-1126.4853657871972j,"[[-1.88542879e-07+8.87709256e-04j  9.23943971e-08+3.97566572e-11j]
 [ 9.22998814e-08+3.97166617e-11j -1.87278337e-07+8.87709185e-04j]]"
-1124.690169985146j,"[[-1.89286290e-07+8.89127274e-04j  9.27070743e-08+4.13149195e-11j]
 [ 9.26122567e-08+4.12747155e-11j -1.87792326e-07+8.89127221e-04j]]"
-1122.8949741830945j,"[[-1.90219214e-07+8.90548096e-04j  9.30159423e-08+4.27999137e-11j]
 [ 9.29208210e-08+4.27595093e-11j -1.88041344e-07+8.90548211e-04j]]"
-1121.0997783810433j,"[[-1.91289873e-07+8.91973903e-04j  9.33158120e-08+3.79888226e-11j]
 [ 9.32203859e-08+3.79482534e-11j -1.88226254e-07+8.91973916e-04j]]"
-1119.304582578992j,"[[-1.91557847e-07+8.93404916e-04j  9.36279987e-08+4.02096812e-11j]
 [ 9.35322666e-08+4.01689156e-11j -1.89133538e-07+8.93404836e-04j]]"
-1117.5093867769406j,"[[-1.91127635e-07+8.94840181e-04j  9.39404237e-08+4.08830245e-11j]
 [ 9.38443839e-08+4.08420460e-11j -1.90805341e-07+8.94840128e-04j]]"
-1115.7141909748893j,"[[-1.91613084e-07+8.96280147e-04j  9.42187451e-08+3.93665817e-11j]
 [ 9.41223959e-08+3.93253852e-11j -1.91381825e-07+8.96280230e-04j]]"
