iw_n,G_iw_n
-507.4148134434423j,"[[ 2.24988050e-05+1.97047448e-03j  3.07690249e-09-2.64199878e-10j]
 [ 3.92811124e-09-2.63511819e-10j -2.40898281e-05+1.97043696e-03j]]"
-506.78014826089895j,"[[ 2.25552036e-05+1.97294155e-03j  3.35941245e-09-1.57052450e-10j]
 [ 4.21275451e-09-1.56361842e-10j -2.41501526e-05+1.97290381e-03j]]"
-506.1454830783556j,"[[ 2.26118432e-05+1.97541485e-03j  3.45984117e-09-7.83202848e-11j]
 [ 4.31532473e-09-7.76271025e-11j -2.42107849e-05+1.97537719e-03j]]"
-505.5108178958121j,"[[ 2.26687844e-05+1.97789433e-03j  3.53251937e-09-6.42526745e-11j]
 [ 4.39015231e-09-6.35567471e-11j -2.42719217e-05+1.97785652e-03j]]"
-504.87615271326877j,"[[ 2.27259066e-05+1.98038002e-03j  3.61254796e-09-4.99544856e-11j]
 [ 4.47233830e-09-4.92559063e-11j -2.43331003e-05+1.98034197e-03j]]"
-504.2414875307254j,"[[ 2.27831833e-05+1.98287197e-03j  3.67979531e-09-1.56772344e-11j]
 [ 4.54175121e-09-1.49760447e-11j -2.43943574e-05+1.98283379e-03j]]"
-503.60682234818194j,"[[ 2.28406738e-05+1.98537020e-03j  3.68347692e-09+1.02837285e-10j]
 [ 4.54760652e-09+1.03541199e-10j -2.44559570e-05+1.98533188e-03j]]"
-502.9721571656386j,"[[ 2.28984066e-05+1.98787472e-03j  3.43971691e-09+2.20048384e-10j]
 [ 4.30602837e-09+2.20754958e-10j -2.45177168e-05+1.98783624e-03j]]"
-502.3374919830952j,"[[ 2.29563934e-05+1.99038557e-03j  3.15596358e-09+2.11292022e-10j]
 [ 4.02446520e-09+2.12001255e-10j -2.45797353e-05+1.99034702e-03j]]"
-501.7028268005518j,"[[ 2.30145887e-05+1.99290277e-03j  2.96145324e-09+1.61440931e-10j]
 [ 3.83215340e-09+1.62152822e-10j -2.46419970e-05+1.99286417e-03j]]"
-501.0681616180084j,"[[ 2.30730212e-05+1.99542635e-03j  2.82115188e-09+9.76395492e-11j]
 [ 3.69405901e-09+9.83541423e-11j -2.47046025e-05+1.99538782e-03j]]"
-500.433496435465j,"[[ 2.31317833e-05+1.99795631e-03j  2.73806102e-09+1.41748916e-10j]
 [ 3.61318348e-09+1.42466363e-10j -2.47677442e-05+1.99791783e-03j]]"
-499.7988312529216j,"[[ 2.31908073e-05+2.00049258e-03j  2.44168042e-09+2.58701283e-10j]
 [ 3.31902648e-09+2.59421639e-10j -2.48312537e-05+2.00045385e-03j]]"
-499.16416607037826j,"[[ 2.32500067e-05+2.00303526e-03j  2.08135551e-09+3.11367669e-10j]
 [ 2.96093364e-09+3.12090825e-10j -2.48947634e-05+2.00299617e-03j]]"
-498.5295008878348j,"[[ 2.33093605e-05+2.00558434e-03j  1.73106204e-09+3.30365120e-10j]
 [ 2.61288086e-09+3.31091089e-10j -2.49583533e-05+2.00554489e-03j]]"
-497.8948357052914j,"[[ 2.33688526e-05+2.00813991e-03j  1.38708595e-09+2.90546062e-10j]
 [ 2.27115396e-09+2.91274776e-10j -2.50219698e-05+2.00810007e-03j]]"
-497.26017052274807j,"[[ 2.34285867e-05+2.01070206e-03j  1.17914011e-09+2.52399405e-10j]
 [ 2.06546588e-09+2.53130849e-10j -2.50857786e-05+2.01066202e-03j]]"
-496.6255053402046j,"[[ 2.34885665e-05+2.01327077e-03j  9.57817953e-10+2.31266079e-10j]
 [ 1.84641005e-09+2.32000333e-10j -2.51499008e-05+2.01323043e-03j]]"
-495.99084015766124j,"[[ 2.35486862e-05+2.01584610e-03j  8.10459166e-10+1.11737139e-10j]
 [ 1.70132640e-09+1.12473930e-10j -2.52138593e-05+2.01580561e-03j]]"
-495.3561749751179j,"[[ 2.36090885e-05+2.01842817e-03j  7.82044712e-10-5.67198366e-11j]
 [ 1.67519616e-09-5.59803860e-11j -2.52783528e-05+2.01838798e-03j]]"
-494.7215097925745j,"[[ 2.36699039e-05+2.02101686e-03j  9.96067388e-10-1.99950753e-10j]
 [ 1.89151188e-09-1.99208345e-10j -2.53436520e-05+2.02097678e-03j]]"
-494.08684461003105j,"[[ 2.37310161e-05+2.02361205e-03j  1.28535932e-09-2.01885821e-10j]
 [ 2.18310573e-09-2.01140377e-10j -2.54093691e-05+2.02357191e-03j]]"
-493.4521794274877j,"[[ 2.37922944e-05+2.02621379e-03j  1.53341642e-09-1.51484874e-10j]
 [ 2.43347349e-09-1.50736395e-10j -2.54752296e-05+2.02617333e-03j]]"
-492.81751424494433j,"[[ 2.38536750e-05+2.02882219e-03j  1.75997715e-09-1.36387574e-10j]
 [ 2.66235382e-09-1.35636202e-10j -2.55409997e-05+2.02878140e-03j]]"
-492.1828490624009j,"[[ 2.39152716e-05+2.03143733e-03j  1.98317626e-09-4.25500683e-11j]
 [ 2.88788153e-09-4.17958089e-11j -2.56069481e-05+2.03139634e-03j]]"
-491.5481838798575j,"[[ 2.39771563e-05+2.03405922e-03j  1.91705652e-09+7.08461072e-11j]
 [ 2.82409931e-09+7.16033548e-11j -2.56732694e-05+2.03401798e-03j]]"
-490.91351869731415j,"[[ 2.40392290e-05+2.03668787e-03j  1.74531534e-09+1.50401840e-10j]
 [ 2.65470464e-09+1.51162018e-10j -2.57396925e-05+2.03664626e-03j]]"
-490.27885351477073j,"[[ 2.41014583e-05+2.03932338e-03j  1.42678641e-09+2.62221488e-10j]
 [ 2.33853141e-09+2.62984513e-10j -2.58061341e-05+2.03928154e-03j]]"
-489.6441883322273j,"[[ 2.41638971e-05+2.04196579e-03j  1.01990210e-09+2.41551261e-10j]
 [ 1.93401199e-09+2.42317207e-10j -2.58728501e-05+2.04192377e-03j]]"
-489.0095231496839j,"[[ 2.42265924e-05+2.04461511e-03j  8.48374904e-10+1.51676669e-10j]
 [ 1.76485887e-09+1.52445556e-10j -2.59398763e-05+2.04457304e-03j]]"
-488.37485796714054j,"[[ 2.42896223e-05+2.04727130e-03j  7.68007835e-10+1.25786215e-10j]
 [ 1.68687506e-09+1.26558189e-10j -2.60074345e-05+2.04722923e-03j]]"
-487.7401927845972j,"[[ 2.43528929e-05+2.04993434e-03j  5.59691178e-10+7.98467656e-11j]
 [ 1.48095090e-09+8.06218503e-11j -2.60753216e-05+2.04989208e-03j]]"
-487.1055276020537j,"[[ 2.44163434e-05+2.05260433e-03j  5.46427412e-10-8.18259149e-11j]
 [ 1.47008895e-09-8.10478972e-11j -2.61431990e-05+2.05256177e-03j]]"
-486.47086241951035j,"[[ 2.44801007e-05+2.05528136e-03j  7.34241266e-10-1.54166124e-10j]
 [ 1.66031419e-09-1.53385181e-10j -2.62113409e-05+2.05523874e-03j]]"
-485.836197236967j,"[[ 2.45442178e-05+2.05796537e-03j  9.44529369e-10-2.01364718e-10j]
 [ 1.87302321e-09-2.00580683e-10j -2.62800209e-05+2.05792265e-03j]]"
-485.20153205442364j,"[[ 2.46086048e-05+2.06065632e-03j  1.23160200e-09-2.16518257e-10j]
 [ 2.16252639e-09-2.15731041e-10j -2.63490689e-05+2.06061348e-03j]]"
-484.56686687188017j,"[[ 2.46731461e-05+2.06335424e-03j  1.50545770e-09-2.47477384e-10j]
 [ 2.43882208e-09-2.46687059e-10j -2.64182061e-05+2.06331109e-03j]]"
-483.9322016893368j,"[[ 2.47378725e-05+2.06605930e-03j  1.89906072e-09-2.02513004e-10j]
 [ 2.83487468e-09-2.01719626e-10j -2.64874454e-05+2.06601596e-03j]]"
-483.29753650679345j,"[[ 2.48029076e-05+2.06877150e-03j  2.05584250e-09-2.21975046e-11j]
 [ 2.99411563e-09-2.14010101e-11j -2.65570359e-05+2.06872807e-03j]]"
-482.66287132425j,"[[ 2.48682760e-05+2.07149081e-03j  1.95319843e-09+9.66073376e-11j]
 [ 2.89394042e-09+9.74070528e-11j -2.66271078e-05+2.07144734e-03j]]"
-482.0282061417066j,"[[ 2.49339287e-05+2.07421721e-03j  1.77743922e-09+8.05019807e-11j]
 [ 2.72065974e-09+8.13049558e-11j -2.66975285e-05+2.07417345e-03j]]"
-481.39354095916326j,"[[ 2.49998144e-05+2.07695076e-03j  1.74855580e-09+8.19741862e-11j]
 [ 2.69426482e-09+8.27802245e-11j -2.67679699e-05+2.07690676e-03j]]"
-480.75887577661985j,"[[ 2.50660071e-05+2.07969153e-03j  1.61631128e-09+8.51576465e-11j]
 [ 2.56451884e-09+8.59668401e-11j -2.68388272e-05+2.07964753e-03j]]"
-480.12421059407643j,"[[ 2.51324973e-05+2.08243944e-03j  1.57360619e-09+1.69388709e-11j]
 [ 2.52432220e-09+1.77515606e-11j -2.69103581e-05+2.08239534e-03j]]"
-479.4895454115331j,"[[ 2.51990821e-05+2.08519445e-03j  1.60426765e-09+3.24853213e-11j]
 [ 2.55750173e-09+3.33014476e-11j -2.69818846e-05+2.08514970e-03j]]"
-478.85488022898966j,"[[ 2.52656977e-05+2.08795683e-03j  1.54582908e-09+4.20466051e-11j]
 [ 2.50159132e-09+4.28656890e-11j -2.70528648e-05+2.08791164e-03j]]"
-478.2202150464463j,"[[ 2.53325868e-05+2.09072664e-03j  1.50942226e-09+8.54666499e-11j]
 [ 2.46772301e-09+8.62889613e-11j -2.71244593e-05+2.09068146e-03j]]"
-477.5855498639028j,"[[ 2.53997305e-05+2.09350381e-03j  1.29856179e-09+1.49992684e-10j]
 [ 2.25941096e-09+1.50818327e-10j -2.71964784e-05+2.09345824e-03j]]"
