iw_n,G_iw_n
-507.4148134434423j,"[[ 7.75479668e-06+1.97067670e-03j  1.36319986e-06-2.85610298e-10j]
 [ 1.36145663e-06-2.85271933e-10j -7.35949101e-06+1.97067948e-03j]]"
-506.78014826089895j,"[[ 7.77415732e-06+1.97314521e-03j  1.36656829e-06-2.72267866e-10j]
 [ 1.36482069e-06-2.71928241e-10j -7.37825992e-06+1.97314865e-03j]]"
-506.1454830783556j,"[[ 7.79363592e-06+1.97561853e-03j  1.37037578e-06-2.83350434e-10j]
 [ 1.36862380e-06-2.83009539e-10j -7.39660690e-06+1.97562174e-03j]]"
-505.5108178958121j,"[[ 7.81355998e-06+1.97809872e-03j  1.37429965e-06-3.64684227e-10j]
 [ 1.37254326e-06-3.64342037e-10j -7.41591477e-06+1.97810167e-03j]]"
-504.87615271326877j,"[[ 7.83255441e-06+1.98058498e-03j  1.37801498e-06-3.58450915e-10j]
 [ 1.37625418e-06-3.58107421e-10j -7.43331873e-06+1.98058790e-03j]]"
-504.2414875307254j,"[[ 7.85205915e-06+1.98307831e-03j  1.38172266e-06-2.79919314e-10j]
 [ 1.37995742e-06-2.79574523e-10j -7.45206285e-06+1.98308177e-03j]]"
-503.60682234818194j,"[[ 7.87108530e-06+1.98557808e-03j  1.38520614e-06-2.49060130e-10j]
 [ 1.38343645e-06-2.48714051e-10j -7.46955056e-06+1.98558190e-03j]]"
-502.9721571656386j,"[[ 7.89146932e-06+1.98808271e-03j  1.38850225e-06-2.16474313e-10j]
 [ 1.38672809e-06-2.16126918e-10j -7.48937033e-06+1.98808614e-03j]]"
-502.3374919830952j,"[[ 7.91257817e-06+1.99059333e-03j  1.39183208e-06-2.51391203e-10j]
 [ 1.39005344e-06-2.51042479e-10j -7.51047836e-06+1.99059644e-03j]]"
-501.7028268005518j,"[[ 7.93196625e-06+1.99310962e-03j  1.39551890e-06-3.15784596e-10j]
 [ 1.39373576e-06-3.15434552e-10j -7.52799522e-06+1.99311116e-03j]]"
-501.0681616180084j,"[[ 7.95090919e-06+1.99563556e-03j  1.39931929e-06-2.78598262e-10j]
 [ 1.39753162e-06-2.78246874e-10j -7.54506960e-06+1.99563877e-03j]]"
-500.433496435465j,"[[ 7.97122124e-06+1.99816598e-03j  1.40267705e-06-2.65884023e-10j]
 [ 1.40088485e-06-2.65531290e-10j -7.56474506e-06+1.99816914e-03j]]"
-499.7988312529216j,"[[ 7.99158280e-06+2.00070274e-03j  1.40619240e-06-3.01042598e-10j]
 [ 1.40439564e-06-3.00688526e-10j -7.58409373e-06+2.00070583e-03j]]"
-499.16416607037826j,"[[ 8.01141097e-06+2.00324623e-03j  1.40999656e-06-3.07000959e-10j]
 [ 1.40819523e-06-3.06645542e-10j -7.60275902e-06+2.00324901e-03j]]"
-498.5295008878348j,"[[ 8.03206542e-06+2.00579638e-03j  1.41359383e-06-2.79181945e-10j]
 [ 1.41178791e-06-2.78825170e-10j -7.62238203e-06+2.00579939e-03j]]"
-497.8948357052914j,"[[ 8.05238508e-06+2.00835396e-03j  1.41723699e-06-2.48791992e-10j]
 [ 1.41542646e-06-2.48433856e-10j -7.64137148e-06+2.00835775e-03j]]"
-497.26017052274807j,"[[ 8.07366282e-06+2.01091685e-03j  1.42072855e-06-2.49756024e-10j]
 [ 1.41891340e-06-2.49396505e-10j -7.66223986e-06+2.01092076e-03j]]"
-496.6255053402046j,"[[ 8.09440605e-06+2.01348538e-03j  1.42450310e-06-2.80985741e-10j]
 [ 1.42268330e-06-2.80624845e-10j -7.68229266e-06+2.01348852e-03j]]"
-495.99084015766124j,"[[ 8.11439427e-06+2.01606069e-03j  1.42795394e-06-2.84294163e-10j]
 [ 1.42612949e-06-2.83931881e-10j -7.70101884e-06+2.01606366e-03j]]"
-495.3561749751179j,"[[ 8.13555621e-06+2.01864314e-03j  1.43157708e-06-3.57344612e-10j]
 [ 1.42974795e-06-3.56980936e-10j -7.72147281e-06+2.01864576e-03j]]"
-494.7215097925745j,"[[ 8.15651334e-06+2.02123265e-03j  1.43555797e-06-2.92972680e-10j]
 [ 1.43372414e-06-2.92607600e-10j -7.74143753e-06+2.02123493e-03j]]"
-494.08684461003105j,"[[ 8.17650033e-06+2.02382951e-03j  1.43910731e-06-2.97755289e-10j]
 [ 1.43726877e-06-2.97388797e-10j -7.75930774e-06+2.02383198e-03j]]"
-493.4521794274877j,"[[ 8.19761537e-06+2.02643310e-03j  1.44289539e-06-3.44624987e-10j]
 [ 1.44105211e-06-3.44257070e-10j -7.77943301e-06+2.02643596e-03j]]"
-492.81751424494433j,"[[ 8.21901443e-06+2.02904277e-03j  1.44694605e-06-3.35235622e-10j]
 [ 1.44509802e-06-3.34866310e-10j -7.80001787e-06+2.02904587e-03j]]"
-492.1828490624009j,"[[ 8.24024093e-06+2.03166018e-03j  1.45049449e-06-3.08947484e-10j]
 [ 1.44864170e-06-3.08576730e-10j -7.82050551e-06+2.03166400e-03j]]"
-491.5481838798575j,"[[ 8.26176001e-06+2.03428367e-03j  1.45430505e-06-3.01455158e-10j]
 [ 1.45244747e-06-3.01082969e-10j -7.84067680e-06+2.03428747e-03j]]"
-490.91351869731415j,"[[ 8.28309490e-06+2.03691404e-03j  1.45803947e-06-2.95977927e-10j]
 [ 1.45617708e-06-2.95604297e-10j -7.86108211e-06+2.03691845e-03j]]"
-490.27885351477073j,"[[ 8.30459688e-06+2.03954986e-03j  1.46169259e-06-2.47590577e-10j]
 [ 1.45982538e-06-2.47215491e-10j -7.88135526e-06+2.03955356e-03j]]"
-489.6441883322273j,"[[ 8.32710991e-06+2.04219281e-03j  1.46541710e-06-1.84066787e-10j]
 [ 1.46354504e-06-1.83690235e-10j -7.90342212e-06+2.04219625e-03j]]"
-489.0095231496839j,"[[ 8.34864493e-06+2.04484250e-03j  1.46878666e-06-2.42151409e-10j]
 [ 1.46690974e-06-2.41773380e-10j -7.92366802e-06+2.04484543e-03j]]"
-488.37485796714054j,"[[ 8.36938646e-06+2.04749994e-03j  1.47246890e-06-2.77289950e-10j]
 [ 1.47058710e-06-2.76910446e-10j -7.94247513e-06+2.04750286e-03j]]"
-487.7401927845972j,"[[ 8.38986021e-06+2.05016532e-03j  1.47631011e-06-2.71847326e-10j]
 [ 1.47442341e-06-2.71466367e-10j -7.96098977e-06+2.05016910e-03j]]"
-487.1055276020537j,"[[ 8.41312172e-06+2.05283746e-03j  1.47967700e-06-2.00536541e-10j]
 [ 1.47778538e-06-2.00154080e-10j -7.98424456e-06+2.05284165e-03j]]"
-486.47086241951035j,"[[ 8.43521077e-06+2.05551518e-03j  1.48279905e-06-3.31810634e-10j]
 [ 1.48090249e-06-3.31426669e-10j -8.00531465e-06+2.05551934e-03j]]"
-485.836197236967j,"[[ 8.45747152e-06+2.05819881e-03j  1.48673440e-06-3.57317982e-10j]
 [ 1.48483288e-06-3.56932519e-10j -8.02650441e-06+2.05820253e-03j]]"
-485.20153205442364j,"[[ 8.48095929e-06+2.06089055e-03j  1.49101714e-06-3.39861631e-10j]
 [ 1.48911065e-06-3.39474650e-10j -8.04972506e-06+2.06089433e-03j]]"
-484.56686687188017j,"[[ 8.50192520e-06+2.06358913e-03j  1.49493303e-06-3.04410409e-10j]
 [ 1.49302154e-06-3.04021909e-10j -8.06849718e-06+2.06359264e-03j]]"
-483.9322016893368j,"[[ 8.52504519e-06+2.06629516e-03j  1.49888620e-06-3.38715683e-10j]
 [ 1.49696969e-06-3.38325626e-10j -8.09049879e-06+2.06629891e-03j]]"
-483.29753650679345j,"[[ 8.54784749e-06+2.06900853e-03j  1.50285258e-06-2.79503181e-10j]
 [ 1.50093104e-06-2.79111577e-10j -8.11274987e-06+2.06901263e-03j]]"
-482.66287132425j,"[[ 8.57039078e-06+2.07172805e-03j  1.50644771e-06-3.18467755e-10j]
 [ 1.50452111e-06-3.18074609e-10j -8.13393403e-06+2.07173157e-03j]]"
-482.0282061417066j,"[[ 8.59350791e-06+2.07445620e-03j  1.51060097e-06-3.40849839e-10j]
 [ 1.50866929e-06-3.40455141e-10j -8.15594116e-06+2.07446023e-03j]]"
-481.39354095916326j,"[[ 8.61688256e-06+2.07719069e-03j  1.51476923e-06-2.35742139e-10j]
 [ 1.51283246e-06-2.35345893e-10j -8.17850275e-06+2.07719472e-03j]]"
-480.75887577661985j,"[[ 8.63883037e-06+2.07993322e-03j  1.51909876e-06-3.24027206e-10j]
 [ 1.51715687e-06-3.23629375e-10j -8.19874300e-06+2.07993781e-03j]]"
-480.12421059407643j,"[[ 8.66300327e-06+2.08268157e-03j  1.52319046e-06-3.05542220e-10j]
 [ 1.52124343e-06-3.05142823e-10j -8.22267452e-06+2.08268567e-03j]]"
-479.4895454115331j,"[[ 8.68630717e-06+2.08543832e-03j  1.52695929e-06-2.45367194e-10j]
 [ 1.52500711e-06-2.44966215e-10j -8.24492097e-06+2.08544231e-03j]]"
-478.85488022898966j,"[[ 8.71019948e-06+2.08820071e-03j  1.53090000e-06-3.21685150e-10j]
 [ 1.52894264e-06-3.21282557e-10j -8.26810300e-06+2.08820385e-03j]]"
-478.2202150464463j,"[[ 8.73210688e-06+2.09097169e-03j  1.53491348e-06-3.59010198e-10j]
 [ 1.53295092e-06-3.58606002e-10j -8.28782308e-06+2.09097481e-03j]]"
-477.5855498639028j,"[[ 8.75466442e-06+2.09374955e-03j  1.53911374e-06-3.36749088e-10j]
 [ 1.53714595e-06-3.36343291e-10j -8.30909430e-06+2.09375248e-03j]]"
-476.95088468135947j,"[[ 8.77776547e-06+2.09653526e-03j  1.54306848e-06-3.58433230e-10j]
 [ 1.54109546e-06-3.58025813e-10j -8.33090297e-06+2.09653769e-03j]]"
-476.3162194988161j,"[[ 8.80050636e-06+2.09932923e-03j  1.54703558e-06-3.55399588e-10j]
 [ 1.54505730e-06-3.54990537e-10j -8.35205655e-06+2.09933260e-03j]]"
-475.68155431627264j,"[[ 8.82432143e-06+2.10212899e-03j  1.55162830e-06-3.83139984e-10j]
 [ 1.54964473e-06-3.82729285e-10j -8.37515969e-06+2.10213213e-03j]]"
-475.0468891337293j,"[[ 8.84770172e-06+2.10493732e-03j  1.55610220e-06-4.01071992e-10j]
 [ 1.55411333e-06-4.00659644e-10j -8.39722696e-06+2.10494058e-03j]]"
-474.4122239511859j,"[[ 8.87109559e-06+2.10775321e-03j  1.56040371e-06-3.37043481e-10j]
 [ 1.55840952e-06-3.36629494e-10j -8.41943875e-06+2.10775639e-03j]]"
-473.77755876864256j,"[[ 8.89418662e-06+2.11057712e-03j  1.56457005e-06-2.97644275e-10j]
 [ 1.56257052e-06-2.97228626e-10j -8.44102547e-06+2.11058072e-03j]]"
-473.1428935860991j,"[[ 8.91758346e-06+2.11340762e-03j  1.56857526e-06-2.70223912e-10j]
 [ 1.56657035e-06-2.69806579e-10j -8.46319750e-06+2.11341086e-03j]]"
-472.50822840355573j,"[[ 8.94146244e-06+2.11624699e-03j  1.57240105e-06-2.78021655e-10j]
 [ 1.57039075e-06-2.77602630e-10j -8.48593689e-06+2.11625100e-03j]]"
-471.8735632210124j,"[[ 8.96524738e-06+2.11909163e-03j  1.57621594e-06-2.70124890e-10j]
 [ 1.57420023e-06-2.69704160e-10j -8.50874051e-06+2.11909448e-03j]]"
-471.238898038469j,"[[ 8.98978649e-06+2.12194517e-03j  1.58042546e-06-2.66831646e-10j]
 [ 1.57840431e-06-2.66409226e-10j -8.53166674e-06+2.12194812e-03j]]"
-470.60423285592555j,"[[ 9.01402003e-06+2.12480715e-03j  1.58523076e-06-3.26309778e-10j]
 [ 1.58320416e-06-3.25885662e-10j -8.55452558e-06+2.12481055e-03j]]"
-469.9695676733822j,"[[ 9.03869743e-06+2.12767740e-03j  1.58936346e-06-3.45270973e-10j]
 [ 1.58733138e-06-3.44845131e-10j -8.57806596e-06+2.12768193e-03j]]"
-469.3349024908388j,"[[ 9.06264187e-06+2.13055260e-03j  1.59352884e-06-3.37112163e-10j]
 [ 1.59149127e-06-3.36684575e-10j -8.60011232e-06+2.13055625e-03j]]"
-468.70023730829536j,"[[ 9.08789487e-06+2.13343770e-03j  1.59787247e-06-2.97256829e-10j]
 [ 1.59582937e-06-2.96827503e-10j -8.62487451e-06+2.13344202e-03j]]"
-468.065572125752j,"[[ 9.11151624e-06+2.13633012e-03j  1.60183652e-06-3.40791791e-10j]
 [ 1.59978788e-06-3.40360724e-10j -8.64680897e-06+2.13633425e-03j]]"
-467.4309069432086j,"[[ 9.13698885e-06+2.13922922e-03j  1.60616184e-06-3.69832069e-10j]
 [ 1.60410764e-06-3.69399240e-10j -8.67158647e-06+2.13923308e-03j]]"
-466.7962417606652j,"[[ 9.16198757e-06+2.14213764e-03j  1.61101700e-06-3.00153853e-10j]
 [ 1.60895721e-06-2.99719282e-10j -8.69519641e-06+2.14214199e-03j]]"
-466.16157657812175j,"[[ 9.18736576e-06+2.14505349e-03j  1.61530977e-06-2.76623331e-10j]
 [ 1.61324436e-06-2.76186959e-10j -8.71973709e-06+2.14505749e-03j]]"
-465.5269113955784j,"[[ 9.21287058e-06+2.14797864e-03j  1.61938977e-06-3.21316681e-10j]
 [ 1.61731872e-06-3.20878513e-10j -8.74414345e-06+2.14798296e-03j]]"
-464.89224621303504j,"[[ 9.23821188e-06+2.15091062e-03j  1.62362192e-06-3.38260491e-10j]
 [ 1.62154522e-06-3.37820536e-10j -8.76831429e-06+2.15091458e-03j]]"
-464.2575810304917j,"[[ 9.26225443e-06+2.15385085e-03j  1.62775671e-06-3.68006839e-10j]
 [ 1.62567433e-06-3.67565048e-10j -8.79035878e-06+2.15385514e-03j]]"
-463.6229158479482j,"[[ 9.28693116e-06+2.15679824e-03j  1.63223611e-06-3.03050096e-10j]
 [ 1.63014802e-06-3.02606476e-10j -8.81325610e-06+2.15680221e-03j]]"
-462.98825066540485j,"[[ 9.31343534e-06+2.15975378e-03j  1.63668618e-06-3.73665816e-10j]
 [ 1.63459236e-06-3.73220399e-10j -8.83923341e-06+2.15975751e-03j]]"
-462.3535854828615j,"[[ 9.33785693e-06+2.16271766e-03j  1.64156473e-06-4.82993278e-10j]
 [ 1.63946517e-06-4.82546027e-10j -8.86117507e-06+2.16272108e-03j]]"
-461.718920300318j,"[[ 9.36451391e-06+2.16569167e-03j  1.64644259e-06-3.76254462e-10j]
 [ 1.64433725e-06-3.75805344e-10j -8.88706190e-06+2.16569617e-03j]]"
-461.08425511777466j,"[[ 9.39045820e-06+2.16867175e-03j  1.65103892e-06-3.74297057e-10j]
 [ 1.64892778e-06-3.73846098e-10j -8.91216973e-06+2.16867604e-03j]]"
-460.4495899352313j,"[[ 9.41659689e-06+2.17166097e-03j  1.65548888e-06-3.70289504e-10j]
 [ 1.65337191e-06-3.69836694e-10j -8.93729204e-06+2.17166556e-03j]]"
-459.81492475268794j,"[[ 9.44236902e-06+2.17465729e-03j  1.66054156e-06-3.32156935e-10j]
 [ 1.65841874e-06-3.31702244e-10j -8.96109832e-06+2.17466106e-03j]]"
-459.1802595701445j,"[[ 9.46820556e-06+2.17766403e-03j  1.66512353e-06-2.61184233e-10j]
 [ 1.66299485e-06-2.60727630e-10j -8.98589534e-06+2.17766893e-03j]]"
-458.5455943876011j,"[[ 9.49559267e-06+2.18067779e-03j  1.66940297e-06-3.10859591e-10j]
 [ 1.66726838e-06-3.10401100e-10j -9.01307944e-06+2.18068212e-03j]]"
-457.91092920505776j,"[[ 9.52194733e-06+2.18369874e-03j  1.67402088e-06-4.34942711e-10j]
 [ 1.67188038e-06-4.34482312e-10j -9.03802255e-06+2.18370234e-03j]]"
-457.27626402251434j,"[[ 9.54798804e-06+2.18672920e-03j  1.67919769e-06-4.19056935e-10j]
 [ 1.67705124e-06-4.18594612e-10j -9.06206026e-06+2.18673286e-03j]]"
-456.6415988399709j,"[[ 9.57404126e-06+2.18976958e-03j  1.68386762e-06-4.03365662e-10j]
 [ 1.68171520e-06-4.02901414e-10j -9.08661857e-06+2.18977423e-03j]]"
-456.0069336574275j,"[[ 9.60002624e-06+2.19281567e-03j  1.68847364e-06-3.92171770e-10j]
 [ 1.68631522e-06-3.91705590e-10j -9.11096956e-06+2.19281947e-03j]]"
-455.37226847488415j,"[[ 9.62707261e-06+2.19587007e-03j  1.69363885e-06-3.60458051e-10j]
 [ 1.69147441e-06-3.59989910e-10j -9.13678887e-06+2.19587311e-03j]]"
-454.7376032923407j,"[[ 9.65372164e-06+2.19893533e-03j  1.69859629e-06-3.63670630e-10j]
 [ 1.69642581e-06-3.63200514e-10j -9.16143790e-06+2.19893869e-03j]]"
-454.1029381097973j,"[[ 9.68103048e-06+2.20200961e-03j  1.70358632e-06-2.84302713e-10j]
 [ 1.70140977e-06-2.83830635e-10j -9.18749785e-06+2.20201383e-03j]]"
-453.46827292725396j,"[[ 9.70854551e-06+2.20509204e-03j  1.70782721e-06-2.67579953e-10j]
 [ 1.70564456e-06-2.67105880e-10j -9.21367670e-06+2.20509693e-03j]]"
-452.8336077447106j,"[[ 9.73618791e-06+2.20818210e-03j  1.71228627e-06-3.52428432e-10j]
 [ 1.71009750e-06-3.51952351e-10j -9.24070845e-06+2.20818702e-03j]]"
-452.19894256216713j,"[[ 9.76403035e-06+2.21128005e-03j  1.71710368e-06-4.21125489e-10j]
 [ 1.71490876e-06-4.20647418e-10j -9.26749508e-06+2.21128417e-03j]]"
