iw_n,G_iw_n
-507.4148134434423j,"[[ 4.71121895e-06+1.97069045e-03j  2.53116782e-06+6.19411613e-10j]
 [ 2.54723286e-06+6.23266973e-10j -5.17353781e-06+1.97068757e-03j]]"
-506.78014826089895j,"[[ 4.72339987e-06+1.97315863e-03j  2.53751075e-06+6.03196947e-10j]
 [ 2.55361605e-06+6.07066788e-10j -5.18691388e-06+1.97315585e-03j]]"
-506.1454830783556j,"[[ 4.73536393e-06+1.97563334e-03j  2.54323472e-06+7.36264045e-10j]
 [ 2.55938043e-06+7.40148416e-10j -5.20028944e-06+1.97563096e-03j]]"
-505.5108178958121j,"[[ 4.74734714e-06+1.97811296e-03j  2.54942905e-06+5.09234948e-10j]
 [ 2.56561533e-06+5.13133955e-10j -5.21370716e-06+1.97810999e-03j]]"
-504.87615271326877j,"[[ 4.75847701e-06+1.98059898e-03j  2.55660879e-06+5.44072917e-10j]
 [ 2.57283580e-06+5.47986704e-10j -5.22536261e-06+1.98059563e-03j]]"
-504.2414875307254j,"[[ 4.76967259e-06+1.98309240e-03j  2.56359959e-06+5.49586117e-10j]
 [ 2.57986747e-06+5.53514614e-10j -5.23748513e-06+1.98308975e-03j]]"
-503.60682234818194j,"[[ 4.78178849e-06+1.98559183e-03j  2.57005358e-06+7.04668669e-10j]
 [ 2.58636248e-06+7.08612220e-10j -5.25091737e-06+1.98558875e-03j]]"
-502.9721571656386j,"[[ 4.79344676e-06+1.98809843e-03j  2.57641375e-06+5.63488304e-10j]
 [ 2.59276384e-06+5.67446729e-10j -5.26349771e-06+1.98809621e-03j]]"
-502.3374919830952j,"[[ 4.80586112e-06+1.99061046e-03j  2.58269792e-06+5.93949980e-10j]
 [ 2.59908935e-06+5.97923439e-10j -5.27759295e-06+1.99060802e-03j]]"
-501.7028268005518j,"[[ 4.81744427e-06+1.99312952e-03j  2.58970700e-06+7.42888311e-10j]
 [ 2.60613992e-06+7.46876847e-10j -5.28993284e-06+1.99312765e-03j]]"
-501.0681616180084j,"[[ 4.83023313e-06+1.99565432e-03j  2.59589942e-06+6.84265225e-10j]
 [ 2.61237399e-06+6.88268827e-10j -5.30431749e-06+1.99565270e-03j]]"
-500.433496435465j,"[[ 4.84314748e-06+1.99818405e-03j  2.60246741e-06+5.22630456e-10j]
 [ 2.61898380e-06+5.26649328e-10j -5.31858609e-06+1.99818163e-03j]]"
-499.7988312529216j,"[[ 4.85583796e-06+2.00072032e-03j  2.60934826e-06+5.69526169e-10j]
 [ 2.62590662e-06+5.73560367e-10j -5.33291589e-06+2.00071785e-03j]]"
-499.16416607037826j,"[[ 4.86797407e-06+2.00326354e-03j  2.61612286e-06+5.65103213e-10j]
 [ 2.63272335e-06+5.69152850e-10j -5.34598528e-06+2.00326104e-03j]]"
-498.5295008878348j,"[[ 4.88008651e-06+2.00581334e-03j  2.62319153e-06+6.09422271e-10j]
 [ 2.63983432e-06+6.13487434e-10j -5.35878988e-06+2.00581036e-03j]]"
-497.8948357052914j,"[[ 4.89250833e-06+2.00837015e-03j  2.62996756e-06+8.02147327e-10j]
 [ 2.64665280e-06+8.06227981e-10j -5.37257916e-06+2.00836740e-03j]]"
-497.26017052274807j,"[[ 4.90569854e-06+2.01093328e-03j  2.63642030e-06+7.74550885e-10j]
 [ 2.65314816e-06+7.78647250e-10j -5.38741642e-06+2.01093054e-03j]]"
-496.6255053402046j,"[[ 4.91803120e-06+2.01350367e-03j  2.64301375e-06+7.45084321e-10j]
 [ 2.65978439e-06+7.49196395e-10j -5.40085478e-06+2.01350150e-03j]]"
-495.99084015766124j,"[[ 4.93048449e-06+2.01607944e-03j  2.64972985e-06+6.18113345e-10j]
 [ 2.66654343e-06+6.22241172e-10j -5.41432173e-06+2.01607689e-03j]]"
-495.3561749751179j,"[[ 4.94324589e-06+2.01866086e-03j  2.65640338e-06+6.94141442e-10j]
 [ 2.67326008e-06+6.98285196e-10j -5.42809531e-06+2.01865764e-03j]]"
-494.7215097925745j,"[[ 4.95695736e-06+2.02125050e-03j  2.66310912e-06+7.63225524e-10j]
 [ 2.68000909e-06+7.67385292e-10j -5.44350110e-06+2.02124795e-03j]]"
-494.08684461003105j,"[[ 4.97040893e-06+2.02384610e-03j  2.67022728e-06+5.61964240e-10j]
 [ 2.68717069e-06+5.66140082e-10j -5.45888835e-06+2.02384338e-03j]]"
-493.4521794274877j,"[[ 4.98275873e-06+2.02644816e-03j  2.67832185e-06+6.35562449e-10j]
 [ 2.69530888e-06+6.39754276e-10j -5.47191284e-06+2.02644489e-03j]]"
-492.81751424494433j,"[[ 4.99482008e-06+2.02905880e-03j  2.68554405e-06+6.13049830e-10j]
 [ 2.70257485e-06+6.17257905e-10j -5.48506844e-06+2.02905654e-03j]]"
-492.1828490624009j,"[[ 5.00726606e-06+2.03167486e-03j  2.69166912e-06+6.58503212e-10j]
 [ 2.70874387e-06+6.62727718e-10j -5.49889409e-06+2.03167258e-03j]]"
-491.5481838798575j,"[[ 5.02002425e-06+2.03429676e-03j  2.69810997e-06+6.75855384e-10j]
 [ 2.71522884e-06+6.80096179e-10j -5.51256747e-06+2.03429388e-03j]]"
-490.91351869731415j,"[[ 5.03427076e-06+2.03692649e-03j  2.70488871e-06+6.58905679e-10j]
 [ 2.72205188e-06+6.63162951e-10j -5.52857905e-06+2.03692379e-03j]]"
-490.27885351477073j,"[[ 5.04816587e-06+2.03956206e-03j  2.71243128e-06+5.61200953e-10j]
 [ 2.72963891e-06+5.65474651e-10j -5.54411023e-06+2.03955871e-03j]]"
-489.6441883322273j,"[[ 5.06176110e-06+2.04220481e-03j  2.72051121e-06+6.47045878e-10j]
 [ 2.73776348e-06+6.51336297e-10j -5.55882974e-06+2.04220047e-03j]]"
-489.0095231496839j,"[[ 5.07445702e-06+2.04485629e-03j  2.72778401e-06+8.24690972e-10j]
 [ 2.74508109e-06+8.28998127e-10j -5.57271689e-06+2.04485282e-03j]]"
-488.37485796714054j,"[[ 5.08631546e-06+2.04751388e-03j  2.73359670e-06+8.18018377e-10j]
 [ 2.75093876e-06+8.22342458e-10j -5.58537238e-06+2.04751037e-03j]]"
-487.7401927845972j,"[[ 5.09865910e-06+2.05017798e-03j  2.74021030e-06+6.51009165e-10j]
 [ 2.75759752e-06+6.55349915e-10j -5.59874185e-06+2.05017474e-03j]]"
-487.1055276020537j,"[[ 5.11133708e-06+2.05284896e-03j  2.74805890e-06+5.16458647e-10j]
 [ 2.76549146e-06+5.20816477e-10j -5.61283272e-06+2.05284546e-03j]]"
-486.47086241951035j,"[[ 5.12436217e-06+2.05552791e-03j  2.75588817e-06+6.20488728e-10j]
 [ 2.77336624e-06+6.24863776e-10j -5.62654125e-06+2.05552483e-03j]]"
-485.836197236967j,"[[ 5.13809457e-06+2.05821379e-03j  2.76283483e-06+6.33627477e-10j]
 [ 2.78035859e-06+6.38019704e-10j -5.64209763e-06+2.05821086e-03j]]"
-485.20153205442364j,"[[ 5.15193322e-06+2.06090670e-03j  2.77044237e-06+5.95706393e-10j]
 [ 2.78801201e-06+6.00115931e-10j -5.65759817e-06+2.06090421e-03j]]"
-484.56686687188017j,"[[ 5.16597600e-06+2.06360671e-03j  2.77820696e-06+7.20801480e-10j]
 [ 2.79582265e-06+7.25228299e-10j -5.67311732e-06+2.06360462e-03j]]"
-483.9322016893368j,"[[ 5.18034602e-06+2.06631244e-03j  2.78515823e-06+7.66304206e-10j]
 [ 2.80282015e-06+7.70748252e-10j -5.68910551e-06+2.06630958e-03j]]"
