iw_n,G_iw_n
-1150.8701087650609j,"[[-2.33692291e-07+8.68888436e-04j -2.89351611e-06-1.61899746e-09j]
 [-2.88120348e-06-1.61234435e-09j -2.32816243e-07+8.68888457e-04j]]"
-1148.7757136626676j,"[[-2.34635705e-07+8.70472313e-04j -2.90456711e-06-1.65438562e-09j]
 [-2.89220953e-06-1.64769605e-09j -2.33674797e-07+8.70472312e-04j]]"
-1146.6813185602743j,"[[-2.35469969e-07+8.72062200e-04j -2.91575754e-06-1.64935577e-09j]
 [-2.90335479e-06-1.64262948e-09j -2.34596647e-07+8.72062234e-04j]]"
-1144.5869234578813j,"[[-2.36457185e-07+8.73658110e-04j -2.92682822e-06-1.65177018e-09j]
 [-2.91438003e-06-1.64500690e-09j -2.35331325e-07+8.73658109e-04j]]"
-1142.492528355488j,"[[-2.37061800e-07+8.75259617e-04j -2.93799660e-06-1.65272327e-09j]
 [-2.92550273e-06-1.64592272e-09j -2.36412790e-07+8.75259548e-04j]]"
-1140.398133253095j,"[[-2.37830604e-07+8.76866903e-04j -2.94911305e-06-1.65383105e-09j]
 [-2.93657325e-06-1.64699297e-09j -2.37356962e-07+8.76866864e-04j]]"
-1138.3037381507017j,"[[-2.38602803e-07+8.78480066e-04j -2.96023328e-06-1.62832043e-09j]
 [-2.94764729e-06-1.62144454e-09j -2.38400727e-07+8.78480033e-04j]]"
-1136.2093430483085j,"[[-2.39499258e-07+8.80099392e-04j -2.97106889e-06-1.61236862e-09j]
 [-2.95843646e-06-1.60545463e-09j -2.39258503e-07+8.80099467e-04j]]"
-1134.1149479459152j,"[[-2.40713051e-07+8.81724584e-04j -2.98213743e-06-1.66928424e-09j]
 [-2.96945830e-06-1.66233188e-09j -2.39752078e-07+8.81724663e-04j]]"
-1132.0205528435222j,"[[-2.41595840e-07+8.83355744e-04j -2.99344296e-06-1.67913171e-09j]
 [-2.98071687e-06-1.67214068e-09j -2.40649253e-07+8.83355741e-04j]]"
-1129.926157741129j,"[[-2.42459054e-07+8.84992962e-04j -3.00463401e-06-1.63613203e-09j]
 [-2.99186070e-06-1.62910207e-09j -2.41548804e-07+8.84992951e-04j]]"
-1127.8317626387357j,"[[-2.43129226e-07+8.86636033e-04j -3.01555618e-06-1.63369252e-09j]
 [-3.00273539e-06-1.62662331e-09j -2.42657751e-07+8.86635951e-04j]]"
-1125.7373675363426j,"[[-2.43845299e-07+8.88285336e-04j -3.02679843e-06-1.69466931e-09j]
 [-3.01392988e-06-1.68756057e-09j -2.43814636e-07+8.88285273e-04j]]"
-1123.6429724339494j,"[[-2.44633316e-07+8.89940945e-04j -3.03812884e-06-1.66963939e-09j]
 [-3.02521227e-06-1.66249083e-09j -2.44897813e-07+8.89940980e-04j]]"
-1121.548577331556j,"[[-2.45884826e-07+8.91602900e-04j -3.04936002e-06-1.67678162e-09j]
 [-3.03639517e-06-1.66959294e-09j -2.45570913e-07+8.91602956e-04j]]"
-1119.4541822291628j,"[[-2.46785404e-07+8.93271493e-04j -3.06069203e-06-1.69041128e-09j]
 [-3.04767862e-06-1.68318218e-09j -2.46495081e-07+8.93271472e-04j]]"
-1117.3597871267698j,"[[-2.47392211e-07+8.94945898e-04j -3.07209932e-06-1.68446449e-09j]
 [-3.05903709e-06-1.67719465e-09j -2.47568993e-07+8.94945808e-04j]]"
-1115.2653920243765j,"[[-2.48086014e-07+8.96626485e-04j -3.08350389e-06-1.72680549e-09j]
 [-3.07039255e-06-1.71949462e-09j -2.48855208e-07+8.96626427e-04j]]"
-1113.1709969219835j,"[[-2.49009421e-07+8.98313810e-04j -3.09533496e-06-1.76542627e-09j]
 [-3.08217423e-06-1.75807406e-09j -2.49910375e-07+8.98313777e-04j]]"
-1111.0766018195902j,"[[-2.49795191e-07+9.00007569e-04j -3.10713295e-06-1.73077205e-09j]
 [-3.09392257e-06-1.72337819e-09j -2.50903475e-07+9.00007578e-04j]]"
-1108.982206717197j,"[[-2.50987445e-07+9.01707221e-04j -3.11868385e-06-1.70956131e-09j]
 [-3.10542352e-06-1.70212548e-09j -2.51485047e-07+9.01707329e-04j]]"
-1106.8878116148037j,"[[-2.52157463e-07+9.03413043e-04j -3.13038672e-06-1.76242956e-09j]
 [-3.11707616e-06-1.75495144e-09j -2.52153624e-07+9.03413085e-04j]]"
-1104.7934165124104j,"[[-2.53227993e-07+9.05125247e-04j -3.14231354e-06-1.76322378e-09j]
 [-3.12895246e-06-1.75570304e-09j -2.53017135e-07+9.05125293e-04j]]"
-1102.6990214100174j,"[[-2.54400556e-07+9.06844058e-04j -3.15423353e-06-1.80495812e-09j]
 [-3.14082165e-06-1.79739445e-09j -2.53800488e-07+9.06844158e-04j]]"
-1100.6046263076241j,"[[-2.55740873e-07+9.08569562e-04j -3.16655285e-06-1.82969248e-09j]
 [-3.15308989e-06-1.82208555e-09j -2.54446158e-07+9.08569648e-04j]]"
-1098.510231205231j,"[[-2.56903922e-07+9.10301818e-04j -3.17869744e-06-1.77287772e-09j]
 [-3.16518309e-06-1.76522720e-09j -2.55341280e-07+9.10301812e-04j]]"
-1096.4158361028378j,"[[-2.57679208e-07+9.12041335e-04j -3.19035490e-06-1.71399815e-09j]
 [-3.17678887e-06-1.70630370e-09j -2.56623278e-07+9.12041253e-04j]]"
-1094.3214410004446j,"[[-2.58294212e-07+9.13787251e-04j -3.20204104e-06-1.76271153e-09j]
 [-3.18842304e-06-1.75497282e-09j -2.57856547e-07+9.13787283e-04j]]"
-1092.2270458980513j,"[[-2.59579541e-07+9.15539234e-04j -3.21414381e-06-1.83138648e-09j]
 [-3.20047352e-06-1.82360317e-09j -2.58417038e-07+9.15539289e-04j]]"
-1090.1326507956583j,"[[-2.60323246e-07+9.17298044e-04j -3.22660727e-06-1.86055147e-09j]
 [-3.21288440e-06-1.85272321e-09j -2.59636442e-07+9.17297946e-04j]]"
-1088.038255693265j,"[[-2.61150565e-07+9.19063113e-04j -3.23926904e-06-1.89895633e-09j]
 [-3.22549329e-06-1.89108278e-09j -2.60742844e-07+9.19063150e-04j]]"
-1085.943860590872j,"[[-2.62388163e-07+9.20835222e-04j -3.25202759e-06-1.88216646e-09j]
 [-3.23819866e-06-1.87424727e-09j -2.61624156e-07+9.20835212e-04j]]"
-1083.8494654884787j,"[[-2.63345474e-07+9.22614321e-04j -3.26476073e-06-1.91316378e-09j]
 [-3.25087830e-06-1.90519859e-09j -2.62683837e-07+9.22614318e-04j]]"
-1081.7550703860854j,"[[-2.64566281e-07+9.24400148e-04j -3.27789560e-06-1.98201625e-09j]
 [-3.26395936e-06-1.97400470e-09j -2.63489795e-07+9.24400262e-04j]]"
-1079.6606752836922j,"[[-2.66162498e-07+9.26193249e-04j -3.29124157e-06-1.96058092e-09j]
 [-3.27725121e-06-1.95252266e-09j -2.64082019e-07+9.26193362e-04j]]"
-1077.566280181299j,"[[-2.67225863e-07+9.27993709e-04j -3.30422970e-06-1.90259763e-09j]
 [-3.29018490e-06-1.89449229e-09j -2.65037893e-07+9.27993611e-04j]]"
-1075.4718850789059j,"[[-2.67874630e-07+9.29800811e-04j -3.31704321e-06-1.92153769e-09j]
 [-3.30294366e-06-1.91338490e-09j -2.66446309e-07+9.29800726e-04j]]"
-1073.3774899765126j,"[[-2.68821512e-07+9.31614930e-04j -3.33012379e-06-1.94119746e-09j]
 [-3.31596916e-06-1.93299686e-09j -2.67554114e-07+9.31614922e-04j]]"
-1071.2830948741196j,"[[-2.70012340e-07+9.33436168e-04j -3.34318003e-06-1.93994672e-09j]
 [-3.32897000e-06-1.93169793e-09j -2.68571543e-07+9.33436213e-04j]]"
-1069.1886997717263j,"[[-2.71199493e-07+9.35264800e-04j -3.35627467e-06-1.95772516e-09j]
 [-3.34200892e-06-1.94942779e-09j -2.69417203e-07+9.35264808e-04j]]"
-1067.094304669333j,"[[-2.72003143e-07+9.37100128e-04j -3.36965852e-06-2.00069450e-09j]
 [-3.35533672e-06-1.99234818e-09j -2.70582749e-07+9.37100071e-04j]]"
-1064.9999095669398j,"[[-2.72866380e-07+9.38942405e-04j -3.38306304e-06-1.97856451e-09j]
 [-3.36868485e-06-1.97016886e-09j -2.71902023e-07+9.38942348e-04j]]"
-1062.9055144645467j,"[[-2.73841445e-07+9.40792181e-04j -3.39645923e-06-2.00526925e-09j]
 [-3.38202433e-06-1.99682388e-09j -2.73099526e-07+9.40792204e-04j]]"
-1060.8111193621535j,"[[-2.74912665e-07+9.42649437e-04j -3.41009676e-06-2.02751114e-09j]
 [-3.39560479e-06-2.01901564e-09j -2.74249448e-07+9.42649435e-04j]]"
-1058.7167242597602j,"[[-2.75884590e-07+9.44514035e-04j -3.42374623e-06-2.03681284e-09j]
 [-3.40919687e-06-2.02826682e-09j -2.75490253e-07+9.44514014e-04j]]"
-1056.6223291573672j,"[[-2.77180981e-07+9.46386429e-04j -3.43748416e-06-2.03556845e-09j]
 [-3.42287707e-06-2.02697151e-09j -2.76519417e-07+9.46386481e-04j]]"
-1054.527934054974j,"[[-2.78471798e-07+9.48266503e-04j -3.45116784e-06-2.04287957e-09j]
 [-3.43650267e-06-2.03423131e-09j -2.77468212e-07+9.48266535e-04j]]"
-1052.4335389525806j,"[[-2.79627697e-07+9.50154044e-04j -3.46482054e-06-1.99516713e-09j]
 [-3.45009694e-06-1.98646714e-09j -2.78440205e-07+9.50154051e-04j]]"
-1050.3391438501874j,"[[-2.80717513e-07+9.52048461e-04j -3.47836695e-06-2.03866272e-09j]
 [-3.46358458e-06-2.02991058e-09j -2.79444769e-07+9.52048469e-04j]]"
