iw_n,G_iw_n
-1150.8701087650609j,"[[ 2.98218105e-10+8.68903209e-04j -4.14984724e-08-1.00816184e-16j]
 [-4.15936315e-08-1.02820007e-16j -3.13773919e-10+8.68903209e-04j]]"
-1148.7757136626676j,"[[ 3.01514357e-10+8.70487437e-04j -4.16455615e-08-1.35732310e-15j]
 [-4.17410679e-08-1.35933791e-15j -3.17193545e-10+8.70487437e-04j]]"
-1146.6813185602743j,"[[ 3.31221661e-10+8.72077223e-04j -4.17988912e-08-2.60322047e-15j]
 [-4.18947468e-08-2.60524634e-15j -3.46949260e-10+8.72077223e-04j]]"
-1144.5869234578813j,"[[ 1.87533546e-10+8.73673168e-04j -4.19497292e-08-2.77061235e-15j]
 [-4.20459359e-08-2.77264936e-15j -2.03292991e-10+8.73673168e-04j]]"
-1142.492528355488j,"[[ 1.08561786e-10+8.75274695e-04j -4.21008846e-08-2.60703048e-15j]
 [-4.21974444e-08-2.60907871e-15j -1.24378982e-10+8.75274695e-04j]]"
-1140.398133253095j,"[[ 8.64680724e-11+8.76881762e-04j -4.22585774e-08-3.18303639e-15j]
 [-4.23554922e-08-3.18509592e-15j -1.02480906e-10+8.76881762e-04j]]"
-1138.3037381507017j,"[[ 2.61455783e-10+8.78495430e-04j -4.24185325e-08-1.42199974e-15j]
 [-4.25158042e-08-1.42407066e-15j -2.77500502e-10+8.78495430e-04j]]"
-1136.2093430483085j,"[[ 3.08725060e-10+8.80114863e-04j -4.25654578e-08+8.73036611e-16j]
 [-4.26630885e-08+8.70954215e-16j -3.24868306e-10+8.80114863e-04j]]"
-1134.1149479459152j,"[[ 2.14970184e-10+8.81739890e-04j -4.27309869e-08+2.00749698e-15j]
 [-4.28289785e-08+2.00540303e-15j -2.31149070e-10+8.81739890e-04j]]"
-1132.0205528435222j,"[[ 3.28023273e-10+8.83371248e-04j -4.28977538e-08+2.22390474e-15j]
 [-4.29961083e-08+2.22179914e-15j -3.44159438e-10+8.83371248e-04j]]"
-1129.926157741129j,"[[ 2.49973970e-10+8.85008581e-04j -4.30607398e-08-4.05540980e-17j]
 [-4.31594592e-08-4.26714253e-17j -2.66215740e-10+8.85008581e-04j]]"
