iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.31292088+7.83159511e-04j -0.12281883+4.79422557e-08j]
 [-0.12211822+4.79420663e-08j  3.68707942+7.83094415e-04j]]"
-1108.2430084457642j,"[[ 0.31285671+7.73319886e-04j -0.12283887+3.62217618e-08j]
 [-0.12213827+3.62215880e-08j  3.68714357+7.73225487e-04j]]"
-1107.8734093100477j,"[[ 0.3127931 +6.84533491e-04j -0.12284396-7.29183346e-10j]
 [-0.12214335-7.29374492e-10j  3.6872072 +6.84475631e-04j]]"
-1107.5038101743312j,"[[ 0.31280004+7.15577984e-04j -0.1228396 -7.52282420e-10j]
 [-0.122139  -7.52514634e-10j  3.68720033+7.15592583e-04j]]"
-1107.1342110386147j,"[[ 0.31286705+7.16236559e-04j -0.12283116+2.00466391e-08j]
 [-0.12213055+2.00464416e-08j  3.68713327+7.16324983e-04j]]"
-1106.7646119028984j,"[[ 0.31284319+8.00389245e-04j -0.12283262+3.27522424e-08j]
 [-0.12213202+3.27520986e-08j  3.68715704+8.00460408e-04j]]"
-1106.395012767182j,"[[ 0.31289238+7.95031285e-04j -0.12282616+4.03127505e-08j]
 [-0.12212555+4.03125873e-08j  3.68710788+7.94955996e-04j]]"
-1106.0254136314654j,"[[ 0.31294808+7.63284685e-04j -0.12279807+2.27952096e-08j]
 [-0.12209746+2.27950237e-08j  3.68705222+7.63241230e-04j]]"
-1105.655814495749j,"[[ 0.31291575+8.26880088e-04j -0.12279214+1.30774539e-08j]
 [-0.12209154+1.30772177e-08j  3.68708462+8.26932387e-04j]]"
-1105.2862153600324j,"[[ 0.3129128 +8.17541592e-04j -0.12280227+1.53561485e-08j]
 [-0.12210166+1.53559299e-08j  3.68708755+8.17597862e-04j]]"
-1104.916616224316j,"[[ 0.3129564 +8.02782589e-04j -0.12279671+2.11187903e-08j]
 [-0.1220961 +2.11185949e-08j  3.6870439 +8.02849912e-04j]]"
-1104.5470170885997j,"[[ 0.31294661+8.73922292e-04j -0.12277963+5.59746684e-08j]
 [-0.12207902+5.59744555e-08j  3.68705373+8.73953241e-04j]]"
-1104.1774179528832j,"[[ 0.31298609+8.70771451e-04j -0.12279333+4.42688393e-08j]
 [-0.12209273+4.42687218e-08j  3.6870141 +8.70822922e-04j]]"
-1103.8078188171667j,"[[ 0.31303716+8.16412921e-04j -0.12279447+1.72371545e-08j]
 [-0.12209387+1.72369821e-08j  3.68696311+8.16522059e-04j]]"
-1103.4382196814502j,"[[ 0.31303262+7.97012128e-04j -0.12277435-1.11751933e-09j]
 [-0.12207375-1.11761460e-09j  3.68696753+7.97191785e-04j]]"
-1103.0686205457337j,"[[ 0.31304759+7.77829059e-04j -0.12276774+5.50251318e-09j]
 [-0.12206714+5.50242608e-09j  3.68695255+7.77969542e-04j]]"
-1102.6990214100174j,"[[ 0.31298415+7.93728540e-04j -0.12277827+2.89043539e-08j]
 [-0.12207767+2.89043293e-08j  3.68701589+7.93868467e-04j]]"
-1102.329422274301j,"[[ 0.31301113+7.42443813e-04j -0.12279806+4.22641010e-08j]
 [-0.12209745+4.22641341e-08j  3.68698882+7.42582547e-04j]]"
