iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 5.04779679e-02+1.27162879e-04j -2.36137171e-03-2.11028038e-08j]
 [-6.09495938e-04-2.11022958e-08j  3.94952171e+00+1.27344435e-04j]]"
-1108.2430084457642j,"[[ 5.04693262e-02+1.56695040e-04j -2.33176738e-03+1.24877259e-08j]
 [-5.79891491e-04+1.24879287e-08j  3.94953055e+00+1.56825456e-04j]]"
-1107.8734093100477j,"[[ 5.04859285e-02+1.84350955e-04j -2.32178443e-03+4.27394498e-08j]
 [-5.69908441e-04+4.27399115e-08j  3.94951378e+00+1.84462513e-04j]]"
-1107.5038101743312j,"[[ 5.04880925e-02+3.00381347e-04j -2.30078932e-03+3.33829149e-08j]
 [-5.48912950e-04+3.33837701e-08j  3.94951137e+00+3.00434446e-04j]]"
-1107.1342110386147j,"[[ 5.06377600e-02+3.19898294e-04j -2.28522632e-03-1.98557827e-08j]
 [-5.33349875e-04-1.98545724e-08j  3.94936148e+00+3.19985443e-04j]]"
-1106.7646119028984j,"[[ 5.07662937e-02+2.07284173e-04j -2.30173112e-03-3.81146254e-08j]
 [-5.49855023e-04-3.81138371e-08j  3.94923321e+00+2.07294376e-04j]]"
-1106.395012767182j,"[[ 5.08016060e-02+1.71527899e-04j -2.27315568e-03-2.05292863e-08j]
 [-5.21279676e-04-2.05286979e-08j  3.94919802e+00+1.71410066e-04j]]"
-1106.0254136314654j,"[[ 5.08195241e-02+4.49203112e-05j -2.26908087e-03+2.49111825e-08j]
 [-5.17205253e-04+2.49116492e-08j  3.94918018e+00+4.46057870e-05j]]"
-1105.655814495749j,"[[ 5.07699959e-02-3.89749976e-05j -2.27946515e-03+5.75839802e-08j]
 [-5.27589786e-04+5.75845725e-08j  3.94922963e+00-3.94726201e-05j]]"
-1105.2862153600324j,"[[ 5.06664387e-02-9.49698026e-05j -2.26224632e-03+5.48149335e-08j]
 [-5.10371121e-04+5.48158317e-08j  3.94933299e+00-9.53697199e-05j]]"
-1104.916616224316j,"[[ 5.05915204e-02-1.22592696e-04j -2.28425331e-03+5.37958444e-09j]
 [-5.32378173e-04+5.38031672e-09j  3.94940802e+00-1.22864967e-04j]]"
-1104.5470170885997j,"[[ 5.05621888e-02-1.51686048e-04j -2.25859592e-03-6.35240377e-08j]
 [-5.06720865e-04-6.35235739e-08j  3.94943752e+00-1.51762354e-04j]]"
-1104.1774179528832j,"[[ 5.05038176e-02-1.22763785e-04j -2.24368237e-03-5.37045893e-08j]
 [-4.91807209e-04-5.37046066e-08j  3.94949619e+00-1.22907269e-04j]]"
-1103.8078188171667j,"[[ 5.04308200e-02-6.41830179e-05j -2.23923575e-03-3.44280909e-09j]
 [-4.87360387e-04-3.44292688e-09j  3.94956925e+00-6.45098164e-05j]]"
-1103.4382196814502j,"[[ 5.03710198e-02-6.57479816e-05j -2.22457983e-03+4.12033272e-08j]
 [-4.72704458e-04+4.12030794e-08j  3.94962913e+00-6.62452155e-05j]]"
-1103.0686205457337j,"[[ 5.03401450e-02-9.46051796e-06j -2.22994606e-03+2.16778361e-08j]
 [-4.78070487e-04+2.16776087e-08j  3.94966000e+00-9.86469149e-06j]]"
-1102.6990214100174j,"[[ 5.02540340e-02+3.32539300e-05j -2.18458862e-03-4.64084772e-08j]
 [-4.32712899e-04-4.64084959e-08j  3.94974598e+00+3.31799963e-05j]]"
-1102.329422274301j,"[[ 5.02770960e-02+1.22712636e-04j -2.18608958e-03-6.30712944e-08j]
 [-4.34213554e-04-6.30713139e-08j  3.94972292e+00+1.22808225e-04j]]"
-1101.9598231385844j,"[[ 5.03729144e-02+1.69111857e-04j -2.21094630e-03-3.32349456e-08j]
 [-4.59070119e-04-3.32348889e-08j  3.94962705e+00+1.69364112e-04j]]"
-1101.5902240028681j,"[[ 5.04100024e-02+2.25455443e-04j -2.21299512e-03+2.21770772e-08j]
 [-4.61118738e-04+2.21773728e-08j  3.94958981e+00+2.25579451e-04j]]"
-1101.2206248671516j,"[[ 5.04571389e-02+3.40440052e-04j -2.20322645e-03+3.41809640e-08j]
 [-4.51349690e-04+3.41815440e-08j  3.94954250e+00+3.40538766e-04j]]"
-1100.8510257314351j,"[[ 5.05034327e-02+2.95380891e-04j -2.17344063e-03+1.27340783e-08j]
 [-4.21563997e-04+1.27351166e-08j  3.94949592e+00+2.95429644e-04j]]"
-1100.4814265957189j,"[[ 5.05689910e-02+2.05478565e-04j -2.15101513e-03-2.65882104e-08j]
 [-3.99138771e-04-2.65872270e-08j  3.94943039e+00+2.05610928e-04j]]"
-1100.1118274600024j,"[[ 5.06137545e-02+1.89113907e-04j -2.14388444e-03-5.43420447e-08j]
 [-3.92008118e-04-5.43415975e-08j  3.94938597e+00+1.89201748e-04j]]"
-1099.7422283242859j,"[[ 5.05635928e-02+1.20105426e-04j -2.10704637e-03-1.35354276e-08j]
 [-3.55170255e-04-1.35354101e-08j  3.94943640e+00+1.20009296e-04j]]"
