iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.42805218+1.25772341e-03j -0.1782513 -5.33882491e-07j]
 [-0.1793834 -5.33882823e-07j  3.57194749+1.25691378e-03j]]"
-1108.2430084457642j,"[[ 0.42810211+1.21756669e-03j -0.17826421-5.50908387e-07j]
 [-0.17939631-5.50908646e-07j  3.57189763+1.21672019e-03j]]"
-1107.8734093100477j,"[[ 0.42824155+1.14318230e-03j -0.17822373-5.65094160e-07j]
 [-0.17935584-5.65094119e-07j  3.57175848+1.14209785e-03j]]"
-1107.5038101743312j,"[[ 0.42827384+1.23517597e-03j -0.1781942 -5.65726360e-07j]
 [-0.1793263 -5.65726074e-07j  3.57172643+1.23406890e-03j]]"
-1107.1342110386147j,"[[ 0.42814425+1.25656772e-03j -0.17822457-5.87996490e-07j]
 [-0.17935668-5.87996069e-07j  3.57185615+1.25553068e-03j]]"
-1106.7646119028984j,"[[ 0.42821263+1.21340852e-03j -0.17821316-5.91351970e-07j]
 [-0.17934527-5.91351330e-07j  3.57178799+1.21251414e-03j]]"
-1106.395012767182j,"[[ 0.42819792+1.19884445e-03j -0.17820915-5.77644562e-07j]
 [-0.17934125-5.77643881e-07j  3.57180274+1.19792707e-03j]]"
-1106.0254136314654j,"[[ 0.42817083+1.20390482e-03j -0.17823684-5.60122571e-07j]
 [-0.17936895-5.60121683e-07j  3.57183003+1.20294356e-03j]]"
-1105.655814495749j,"[[ 0.42823432+1.17436935e-03j -0.17823015-5.33063499e-07j]
 [-0.17936225-5.33062618e-07j  3.57176654+1.17350123e-03j]]"
-1105.2862153600324j,"[[ 0.42831277+1.17223721e-03j -0.17822357-4.98718099e-07j]
 [-0.17935567-4.98717309e-07j  3.57168799+1.17136003e-03j]]"
-1104.916616224316j,"[[ 0.42839127+1.27694705e-03j -0.17822648-5.08857473e-07j]
 [-0.17935858-5.08857041e-07j  3.57160915+1.27612301e-03j]]"
-1104.5470170885997j,"[[ 0.42846685+1.19398826e-03j -0.17823418-5.57120238e-07j]
 [-0.17936628-5.57120060e-07j  3.57153331+1.19322017e-03j]]"
-1104.1774179528832j,"[[ 0.42845566+1.11820087e-03j -0.17824271-5.83109803e-07j]
 [-0.17937481-5.83109625e-07j  3.57154451+1.11745994e-03j]]"
-1103.8078188171667j,"[[ 0.42841681+1.11759673e-03j -0.17821487-6.15381025e-07j]
 [-0.17934698-6.15380762e-07j  3.57158344+1.11664781e-03j]]"
-1103.4382196814502j,"[[ 0.42851344+1.16397861e-03j -0.17816158-6.35325762e-07j]
 [-0.17929368-6.35325163e-07j  3.57148713+1.16297239e-03j]]"
-1103.0686205457337j,"[[ 0.42860286+1.11111154e-03j -0.17811151-6.00997862e-07j]
 [-0.17924361-6.00996833e-07j  3.57139814+1.10999277e-03j]]"
-1102.6990214100174j,"[[ 0.42857896+1.10303980e-03j -0.17811567-5.54533273e-07j]
 [-0.17924777-5.54532161e-07j  3.57142212+1.10192171e-03j]]"
-1102.329422274301j,"[[ 0.42850789+1.10439652e-03j -0.17818172-5.62648698e-07j]
 [-0.17931383-5.62647636e-07j  3.57149314+1.10336786e-03j]]"
-1101.9598231385844j,"[[ 0.42851475+9.01402035e-04j -0.17820336-5.85274909e-07j]
 [-0.17933546-5.85273777e-07j  3.57148635+9.00523333e-04j]]"
-1101.5902240028681j,"[[ 0.42850727+8.80568580e-04j -0.17820027-5.76041924e-07j]
 [-0.17933237-5.76040640e-07j  3.57149397+8.79717242e-04j]]"
-1101.2206248671516j,"[[ 0.42833686+8.53944863e-04j -0.17822238-5.38086007e-07j]
 [-0.17935448-5.38084604e-07j  3.5716645 +8.53068625e-04j]]"
