iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 4.85155784e-03-5.08133194e-04j -1.67753976e-05+7.11148463e-10j]
 [ 1.41321316e-04+7.11227307e-10j  3.99514789e+00-5.08173560e-04j]]"
-1108.2430084457642j,"[[ 4.86888223e-03-4.96832846e-04j -3.75187228e-06+1.17542880e-09j]
 [ 1.54344846e-04+1.17549812e-09j  3.99513063e+00-4.96922911e-04j]]"
-1107.8734093100477j,"[[ 4.85144962e-03-5.04540571e-04j -1.17425850e-05-3.96123273e-10j]
 [ 1.46354133e-04-3.96062946e-10j  3.99514813e+00-5.04648118e-04j]]"
-1107.5038101743312j,"[[ 4.82608978e-03-5.29243759e-04j -3.76301703e-05+1.31962399e-09j]
 [ 1.20466542e-04+1.31967669e-09j  3.99517354e+00-5.29379507e-04j]]"
-1107.1342110386147j,"[[ 4.83431090e-03-4.88744973e-04j -6.91132465e-05+1.32233813e-09j]
 [ 8.89834786e-05+1.32237699e-09j  3.99516542e+00-4.88894420e-04j]]"
-1106.7646119028984j,"[[ 4.88740330e-03-4.85395474e-04j -4.78229031e-05+4.27188157e-10j]
 [ 1.10273824e-04+4.27208936e-10j  3.99511245e+00-4.85481370e-04j]]"
-1106.395012767182j,"[[ 4.86805100e-03-5.53567536e-04j -5.04803416e-05+1.00215351e-09j]
 [ 1.07616368e-04+1.00217033e-09j  3.99513183e+00-5.53543070e-04j]]"
-1106.0254136314654j,"[[ 4.79922864e-03-5.14316758e-04j -1.80473467e-05+6.59382981e-10j]
 [ 1.40049375e-04+6.59401120e-10j  3.99520065e+00-5.14188944e-04j]]"
-1105.655814495749j,"[[ 4.82472561e-03-5.27889452e-04j -1.96037597e-05+9.68810841e-10j]
 [ 1.38492960e-04+9.68832881e-10j  3.99517512e+00-5.27712614e-04j]]"
-1105.2862153600324j,"[[ 4.82643187e-03-5.44329054e-04j -3.95855834e-05+2.74716849e-10j]
 [ 1.18511133e-04+2.74741321e-10j  3.99517340e+00-5.44077747e-04j]]"
-1104.916616224316j,"[[4.80658380e-03-5.09687862e-04j 2.19011673e-06+8.98339625e-10j]
 [1.60286844e-04+8.98375042e-10j 3.99519317e+00-5.09358883e-04j]]"
-1104.5470170885997j,"[[ 4.78991425e-03-5.14608409e-04j -3.08033832e-06-8.72582502e-11j]
 [ 1.55016389e-04-8.72048538e-11j  3.99520971e+00-5.14241637e-04j]]"
-1104.1774179528832j,"[[ 4.73305768e-03-4.83074801e-04j -1.26068770e-05+1.32450049e-09j]
 [ 1.45489861e-04+1.32456929e-09j  3.99526646e+00-4.82751915e-04j]]"
-1103.8078188171667j,"[[ 4.75938697e-03-4.39106362e-04j -2.11450191e-05+1.05472963e-09j]
 [ 1.36951733e-04+1.05480847e-09j  3.99524006e+00-4.38843324e-04j]]"
-1103.4382196814502j,"[[ 4.79269548e-03-4.08086368e-04j -6.08649112e-05+1.32939439e-09j]
 [ 9.72318513e-05+1.32948074e-09j  3.99520670e+00-4.07887788e-04j]]"
-1103.0686205457337j,"[[ 4.82489941e-03-4.25038277e-04j -5.72844266e-05+6.06203536e-10j]
 [ 1.00812332e-04+6.06296198e-10j  3.99517445e+00-4.24938945e-04j]]"
-1102.6990214100174j,"[[ 4.82875909e-03-4.64821493e-04j -7.16933509e-05+5.53432164e-10j]
 [ 8.64033982e-05+5.53524969e-10j  3.99517059e+00-4.64817605e-04j]]"
-1102.329422274301j,"[[ 4.77382520e-03-4.49278094e-04j -7.41305513e-05+1.52298026e-09j]
 [ 8.39662036e-05+1.52306620e-09j  3.99522557e+00-4.49390116e-04j]]"
