iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.81846816+2.26296076e-03j -1.05425767-3.16818371e-07j]
 [-1.05248276-3.16817741e-07j  2.18153145+2.26184904e-03j]]"
-1108.2430084457642j,"[[ 1.81849899+2.13917376e-03j -1.05428868-3.39759549e-07j]
 [-1.05251377-3.39758744e-07j  2.18150051+2.13804788e-03j]]"
-1107.8734093100477j,"[[ 1.81851796+2.00974991e-03j -1.05430346-3.19828214e-07j]
 [-1.05252855-3.19827252e-07j  2.18148144+2.00870202e-03j]]"
-1107.5038101743312j,"[[ 1.81849479+1.89642511e-03j -1.05430761-2.56821511e-07j]
 [-1.0525327 -2.56820276e-07j  2.18150443+1.89554989e-03j]]"
-1107.1342110386147j,"[[ 1.81844365+1.84108933e-03j -1.05428842-2.13424728e-07j]
 [-1.05251351-2.13423074e-07j  2.18155532+1.84038333e-03j]]"
-1106.7646119028984j,"[[ 1.81836983+1.89701256e-03j -1.05427151-2.15072861e-07j]
 [-1.0524966 -2.15070852e-07j  2.18162891+1.89639634e-03j]]"
-1106.395012767182j,"[[ 1.81829432+1.97101387e-03j -1.05425978-2.41365067e-07j]
 [-1.05248487-2.41362889e-07j  2.18170432+1.97043953e-03j]]"
-1106.0254136314654j,"[[ 1.81825196+1.98217603e-03j -1.0542591 -2.53351297e-07j]
 [-1.05248418-2.53349173e-07j  2.18174671+1.98171664e-03j]]"
-1105.655814495749j,"[[ 1.81823826+1.97065789e-03j -1.05424985-2.43879415e-07j]
 [-1.05247494-2.43877462e-07j  2.18176052+1.97038713e-03j]]"
-1105.2862153600324j,"[[ 1.81822696+1.99547511e-03j -1.05423852-2.08187135e-07j]
 [-1.05246361-2.08185368e-07j  2.18177194+1.99544387e-03j]]"
-1104.916616224316j,"[[ 1.81819504+2.02927476e-03j -1.05423694-1.47833680e-07j]
 [-1.05246203-1.47832030e-07j  2.18180394+2.02947535e-03j]]"
-1104.5470170885997j,"[[ 1.8181986 +2.07408289e-03j -1.0542048 -1.00152954e-07j]
 [-1.05242988-1.00151363e-07j  2.18180041+2.07444810e-03j]]"
-1104.1774179528832j,"[[ 1.81823617+2.11630377e-03j -1.05416669-1.06879603e-07j]
 [-1.05239177-1.06878055e-07j  2.18176287+2.11677075e-03j]]"
-1103.8078188171667j,"[[ 1.81825066+2.17515610e-03j -1.05413788-1.36170669e-07j]
 [-1.05236297-1.36169298e-07j  2.18174848+2.17570554e-03j]]"
-1103.4382196814502j,"[[ 1.81826873+2.24047600e-03j -1.05412114-1.37976786e-07j]
 [-1.05234622-1.37975799e-07j  2.18173065+2.24104055e-03j]]"
-1103.0686205457337j,"[[ 1.81830416+2.24679676e-03j -1.05412961-1.37826271e-07j]
 [-1.0523547 -1.37825848e-07j  2.18169558+2.24731776e-03j]]"
-1102.6990214100174j,"[[ 1.81831218+2.19862068e-03j -1.05416195-1.42624047e-07j]
 [-1.05238703-1.42624200e-07j  2.18168792+2.19913021e-03j]]"
-1102.329422274301j,"[[ 1.81828497+2.17511751e-03j -1.05419921-1.25818148e-07j]
 [-1.0524243 -1.25818632e-07j  2.18171533+2.17561604e-03j]]"
-1101.9598231385844j,"[[ 1.81822874+2.19891899e-03j -1.0542251 -7.88641975e-08j]
 [-1.05245019-7.88648556e-08j  2.18177167+2.19938436e-03j]]"
-1101.5902240028681j,"[[ 1.81815508+2.25162385e-03j -1.05423845-2.98893034e-08j]
 [-1.05246354-2.98900069e-08j  2.18184535+2.25203434e-03j]]"
-1101.2206248671516j,"[[ 1.81808028+2.25921012e-03j -1.05420471-6.64978942e-09j]
 [-1.05242979-6.65034297e-09j  2.18192006+2.25953507e-03j]]"
-1100.8510257314351j,"[[ 1.81806457+2.22330532e-03j -1.05412632-2.84273416e-08j]
 [-1.05235141-2.84276392e-08j  2.18193562+2.22352466e-03j]]"
-1100.4814265957189j,"[[ 1.81810782+2.23359893e-03j -1.05404304-6.48651015e-08j]
 [-1.05226813-6.48652353e-08j  2.18189226+2.23364331e-03j]]"
-1100.1118274600024j,"[[ 1.81814747+2.31916378e-03j -1.05401327-6.18714873e-08j]
 [-1.05223835-6.18715558e-08j  2.18185258+2.31902271e-03j]]"
-1099.7422283242859j,"[[ 1.81815088+2.41439265e-03j -1.05406541-2.66205917e-08j]
 [-1.05229049-2.66205554e-08j  2.1818491 +2.41413002e-03j]]"
