iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.84318451+2.11148782e-03j -0.41663562+1.30317162e-07j]
 [-0.41511116+1.30316816e-07j  3.15681574+2.11169610e-03j]]"
-1108.2430084457642j,"[[ 0.84319017+2.09584359e-03j -0.41665035+8.43867596e-08j]
 [-0.41512589+8.43867491e-08j  3.15680984+2.09600891e-03j]]"
-1107.8734093100477j,"[[ 0.84324447+2.11092441e-03j -0.41665718+3.20514899e-08j]
 [-0.41513272+3.20514856e-08j  3.15675553+2.11091496e-03j]]"
-1107.5038101743312j,"[[ 0.84333449+2.11636881e-03j -0.4166879 -2.36629333e-08j]
 [-0.41516344-2.36629507e-08j  3.15666552+2.11610078e-03j]]"
-1107.1342110386147j,"[[ 0.84332308+2.13074059e-03j -0.41672666-8.24609218e-08j]
 [-0.4152022 -8.24612819e-08j  3.15667718+2.13039048e-03j]]"
-1106.7646119028984j,"[[ 0.84325691+2.12185251e-03j -0.41674004-1.26795585e-07j]
 [-0.41521558-1.26796193e-07j  3.15674354+2.12162985e-03j]]"
-1106.395012767182j,"[[ 0.84316479+2.10732760e-03j -0.4167008 -1.37322797e-07j]
 [-0.41517634-1.37323479e-07j  3.15683571+2.10718832e-03j]]"
-1106.0254136314654j,"[[ 0.84313027+2.18289910e-03j -0.41664878-1.47926881e-07j]
 [-0.41512432-1.47927523e-07j  3.1568702 +2.18281891e-03j]]"
-1105.655814495749j,"[[ 0.84311413+2.22006808e-03j -0.41666039-1.62251486e-07j]
 [-0.41513593-1.62252171e-07j  3.15688637+2.21991600e-03j]]"
-1105.2862153600324j,"[[ 0.84308843+2.18623931e-03j -0.41670173-1.71234339e-07j]
 [-0.41517727-1.71235161e-07j  3.15691216+2.18601691e-03j]]"
-1104.916616224316j,"[[ 0.84308315+2.14794674e-03j -0.41671542-1.60689844e-07j]
 [-0.41519097-1.60690933e-07j  3.15691764+2.14760469e-03j]]"
-1104.5470170885997j,"[[ 0.84309282+2.05829303e-03j -0.41668916-1.23458268e-07j]
 [-0.4151647 -1.23459441e-07j  3.15690803+2.05792742e-03j]]"
-1104.1774179528832j,"[[ 0.84304786+1.98417796e-03j -0.41664301-1.00452245e-07j]
 [-0.41511855-1.00453453e-07j  3.15695301+1.98387847e-03j]]"
-1103.8078188171667j,"[[ 0.8429574 +2.01361766e-03j -0.41662631-1.02578887e-07j]
 [-0.41510185-1.02580170e-07j  3.15704353+2.01350902e-03j]]"
-1103.4382196814502j,"[[ 0.8429447 +2.08998540e-03j -0.4166258 -1.15863686e-07j]
 [-0.41510134-1.15864977e-07j  3.15705624+2.08989373e-03j]]"
-1103.0686205457337j,"[[ 0.8430409 +2.13226393e-03j -0.416622  -1.04532830e-07j]
 [-0.41509754-1.04534152e-07j  3.15696006+2.13224623e-03j]]"
-1102.6990214100174j,"[[ 0.84311888+2.22424128e-03j -0.41662163-1.00101411e-07j]
 [-0.41509717-1.00102791e-07j  3.15688211+2.22420843e-03j]]"
-1102.329422274301j,"[[ 0.84311597+2.23465900e-03j -0.41665828-1.13306185e-07j]
 [-0.41513382-1.13307618e-07j  3.15688507+2.23465848e-03j]]"
-1101.9598231385844j,"[[ 0.84311691+2.19077243e-03j -0.41668374-1.32258800e-07j]
 [-0.41515928-1.32260027e-07j  3.15688397+2.19085299e-03j]]"
-1101.5902240028681j,"[[ 0.84314479+2.13012104e-03j -0.41667375-1.42347673e-07j]
 [-0.41514929-1.42348824e-07j  3.15685604+2.13030568e-03j]]"
-1101.2206248671516j,"[[ 0.84315196+2.19355296e-03j -0.41664286-1.24138690e-07j]
 [-0.4151184 -1.24139868e-07j  3.15684889+2.19355674e-03j]]"
-1100.8510257314351j,"[[ 0.84314796+2.30586416e-03j -0.41663738-1.36800059e-07j]
 [-0.41511292-1.36801125e-07j  3.15685281+2.30577936e-03j]]"
-1100.4814265957189j,"[[ 0.843147  +2.35749344e-03j -0.41660817-1.77384698e-07j]
 [-0.41508371-1.77385861e-07j  3.15685384+2.35730497e-03j]]"
-1100.1118274600024j,"[[ 0.84318813+2.32371212e-03j -0.4166006 -1.57157959e-07j]
 [-0.41507614-1.57159407e-07j  3.15681291+2.32338460e-03j]]"
-1099.7422283242859j,"[[ 0.84326339+2.37060736e-03j -0.41662765-1.17659500e-07j]
 [-0.41510318-1.17661116e-07j  3.15673777+2.37027907e-03j]]"
-1099.3726291885694j,"[[ 0.84330341+2.41608894e-03j -0.41664266-8.32878672e-08j]
 [-0.4151182 -8.32896380e-08j  3.15669787+2.41589339e-03j]]"
-1099.0030300528529j,"[[ 0.84339184+2.39083271e-03j -0.41663138-7.36247008e-09j]
 [-0.41510692-7.36411215e-09j  3.15660934+2.39078452e-03j]]"
-1098.6334309171366j,"[[ 0.84341049+2.42764891e-03j -0.41660327+2.83171436e-08j]
 [-0.41507881+2.83157439e-08j  3.15659052+2.42778632e-03j]]"
-1098.26383178142j,"[[ 0.84342916+2.48820929e-03j -0.41662501-7.31876774e-09j]
 [-0.41510054-7.31988348e-09j  3.15657165+2.48846691e-03j]]"
-1097.8942326457036j,"[[ 0.8434141 +2.47407266e-03j -0.41664439-2.00191069e-08j]
 [-0.41511993-2.00200679e-08j  3.15658659+2.47426980e-03j]]"
-1097.524633509987j,"[[ 0.84345822+2.49074252e-03j -0.41663846-2.13655177e-08j]
 [-0.415114  -2.13663737e-08j  3.1565424 +2.49088254e-03j]]"
-1097.1550343742706j,"[[ 0.84348597+2.47848820e-03j -0.4166567 -2.12566635e-08j]
 [-0.41513224-2.12576126e-08j  3.15651471+2.47864623e-03j]]"
-1096.785435238554j,"[[ 0.84350692+2.43797972e-03j -0.41667976-2.94623852e-08j]
 [-0.4151553 -2.94632859e-08j  3.15649372+2.43810428e-03j]]"
-1096.4158361028378j,"[[ 0.84348183+2.48072220e-03j -0.41668851-1.04764811e-08j]
 [-0.41516404-1.04775578e-08j  3.15651895+2.48078350e-03j]]"
-1096.0462369671213j,"[[ 0.84347005+2.53091391e-03j -0.41668974+3.66836973e-09j]
 [-0.41516528+3.66739894e-09j  3.15653065+2.53101251e-03j]]"
-1095.6766378314048j,"[[ 0.84350494+2.59073406e-03j -0.41673895+2.03392056e-08j]
 [-0.41521448+2.03384004e-08j  3.15649564+2.59081740e-03j]]"
-1095.3070386956883j,"[[ 0.84356552+2.56806242e-03j -0.41678333+6.45302392e-08j]
 [-0.41525887+6.45295889e-08j  3.15643494+2.56817405e-03j]]"
-1094.9374395599718j,"[[ 0.84365553+2.57990986e-03j -0.41683808+6.03324200e-08j]
 [-0.41531362+6.03318459e-08j  3.15634488+2.58011152e-03j]]"
-1094.5678404242556j,"[[ 0.84368584+2.46555689e-03j -0.41686703+2.18518787e-08j]
 [-0.41534257+2.18512674e-08j  3.1563146 +2.46573872e-03j]]"
-1094.198241288539j,"[[ 0.84369104+2.40820988e-03j -0.41686387-1.13975418e-08j]
 [-0.41533941-1.13983047e-08j  3.15630951+2.40823918e-03j]]"
-1093.8286421528228j,"[[ 0.8437042 +2.36813508e-03j -0.41688673-4.85781043e-08j]
 [-0.41536227-4.85791401e-08j  3.15629654+2.36805854e-03j]]"
-1093.4590430171063j,"[[ 0.84368535+2.30083086e-03j -0.41690184-6.76852882e-08j]
 [-0.41537738-6.76866518e-08j  3.15631563+2.30063079e-03j]]"
-1093.0894438813898j,"[[ 0.84361595+2.28716191e-03j -0.41689153-6.09600343e-08j]
 [-0.41536707-6.09618015e-08j  3.15638531+2.28708607e-03j]]"
-1092.7198447456733j,"[[ 0.8435779 +2.31503619e-03j -0.41685938-3.40217965e-08j]
 [-0.41533492-3.40237744e-08j  3.15642352+2.31519871e-03j]]"
-1092.350245609957j,"[[ 0.84359183+2.32910767e-03j -0.41682168+1.67985095e-08j]
 [-0.41529722+1.67965894e-08j  3.15640954+2.32942565e-03j]]"
-1091.9806464742405j,"[[ 0.84365238+2.34866756e-03j -0.41682488+3.91063539e-08j]
 [-0.41530042+3.91047151e-08j  3.15634879+2.34894607e-03j]]"
-1091.611047338524j,"[[ 0.84367527+2.37292089e-03j -0.41688555+3.54326591e-08j]
 [-0.41536109+3.54311116e-08j  3.15632584+2.37317182e-03j]]"
-1091.2414482028075j,"[[ 0.84366925+2.30950294e-03j -0.4169269 +2.81538573e-08j]
 [-0.41540244+2.81525461e-08j  3.15633169+2.30962819e-03j]]"
-1090.871849067091j,"[[ 0.84364846+2.25152012e-03j -0.41691427+3.36421054e-08j]
 [-0.41538981+3.36407110e-08j  3.15635254+2.25164930e-03j]]"
-1090.5022499313748j,"[[ 0.84366861+2.22976948e-03j -0.41688282+4.72164341e-08j]
 [-0.41535836+4.72150251e-08j  3.1563324 +2.22991742e-03j]]"
