iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.27669974+3.68619257e-04j -0.10151026-3.96398942e-09j]
 [-0.10128347-3.96399476e-09j  3.72330029+3.68844045e-04j]]"
-1108.2430084457642j,"[[ 0.27670278+3.60028245e-04j -0.10149913-6.60690792e-09j]
 [-0.10127234-6.60691860e-09j  3.72329727+3.60179849e-04j]]"
-1107.8734093100477j,"[[ 0.27664744+4.19922660e-04j -0.10149963+3.37202414e-09j]
 [-0.10127284+3.37201036e-09j  3.72335263+4.20174897e-04j]]"
-1107.5038101743312j,"[[ 0.27666029+3.50607359e-04j -0.10150301+1.27628089e-08j]
 [-0.10127622+1.27627949e-08j  3.72333978+3.50737590e-04j]]"
-1107.1342110386147j,"[[ 0.2766567 +3.77877372e-04j -0.10149751+9.49669369e-09j]
 [-0.10127072+9.49668889e-09j  3.72334332+3.78139838e-04j]]"
-1106.7646119028984j,"[[ 0.27662975+3.66019570e-04j -0.1014924 +1.42480539e-08j]
 [-0.10126561+1.42480664e-08j  3.72337019+3.66312145e-04j]]"
-1106.395012767182j,"[[ 0.27662818+4.06934308e-04j -0.10148962+1.53008129e-08j]
 [-0.10126283+1.53008412e-08j  3.72337169+4.07171349e-04j]]"
-1106.0254136314654j,"[[ 0.27661597+4.09812458e-04j -0.10149343+4.58652576e-10j]
 [-0.10126665+4.58700040e-10j  3.7233838 +4.10097933e-04j]]"
-1105.655814495749j,"[[ 0.27664216+4.10757828e-04j -0.10148253-1.62315645e-08j]
 [-0.10125574-1.62315105e-08j  3.72335758+4.10987028e-04j]]"
-1105.2862153600324j,"[[ 0.27660926+3.53325966e-04j -0.10148655-2.36114771e-08j]
 [-0.10125977-2.36114210e-08j  3.72339047+3.53531153e-04j]]"
-1104.916616224316j,"[[ 0.27656917+3.08868038e-04j -0.10147702-2.14413133e-08j]
 [-0.10125023-2.14412400e-08j  3.72343047+3.08851509e-04j]]"
-1104.5470170885997j,"[[ 0.27655616+3.35172865e-04j -0.10146605-2.62145396e-08j]
 [-0.10123927-2.62144677e-08j  3.72344349+3.35139846e-04j]]"
-1104.1774179528832j,"[[ 0.27651122+3.67673136e-04j -0.10147525-2.65331136e-08j]
 [-0.10124846-2.65330346e-08j  3.7234884 +3.67723509e-04j]]"
-1103.8078188171667j,"[[ 0.27651484+3.79969372e-04j -0.10149221-2.27772463e-08j]
 [-0.10126542-2.27771888e-08j  3.72348488+3.79804234e-04j]]"
-1103.4382196814502j,"[[ 0.27645511+3.85693136e-04j -0.10149563-2.95232922e-08j]
 [-0.10126884-2.95232418e-08j  3.72354464+3.85561119e-04j]]"
-1103.0686205457337j,"[[ 0.27648465+3.72528301e-04j -0.1014931 -3.20677383e-08j]
 [-0.10126631-3.20677082e-08j  3.72351521+3.72379465e-04j]]"
-1102.6990214100174j,"[[ 0.27648213+3.84326602e-04j -0.10148867-3.09191310e-08j]
 [-0.10126188-3.09191096e-08j  3.72351777+3.84169091e-04j]]"
-1102.329422274301j,"[[ 0.27650829+3.50120246e-04j -0.10148727-2.98896141e-08j]
 [-0.10126049-2.98895967e-08j  3.72349163+3.49987437e-04j]]"
-1101.9598231385844j,"[[ 0.27651561+4.10632114e-04j -0.10146539-2.72033797e-08j]
 [-0.1012386 -2.72033858e-08j  3.72348442+4.10455617e-04j]]"
-1101.5902240028681j,"[[ 0.27655671+4.10262581e-04j -0.10146207-5.41707082e-09j]
 [-0.10123529-5.41710318e-09j  3.72344345+4.10182548e-04j]]"
-1101.2206248671516j,"[[ 0.27654235+4.87479546e-04j -0.10146974-7.51846218e-09j]
 [-0.10124295-7.51847309e-09j  3.72345771+4.87369179e-04j]]"
-1100.8510257314351j,"[[ 0.27656461+5.10228155e-04j -0.10148088-9.80754430e-09j]
 [-0.10125409-9.80756020e-09j  3.72343547+5.10070336e-04j]]"
-1100.4814265957189j,"[[ 0.2764974 +4.63307474e-04j -0.10149105-2.10282567e-08j]
 [-0.10126426-2.10282496e-08j  3.72350257+4.63278371e-04j]]"
-1100.1118274600024j,"[[ 0.27653794+4.49545528e-04j -0.10149813-2.64235517e-08j]
 [-0.10127134-2.64235687e-08j  3.72346215+4.49497624e-04j]]"
-1099.7422283242859j,"[[ 0.27649892+4.10585134e-04j -0.1015038 -1.37976634e-08j]
 [-0.10127701-1.37976962e-08j  3.72350124+4.10576399e-04j]]"
-1099.3726291885694j,"[[ 0.27651248+4.11632888e-04j -0.10149886+2.52095100e-09j]
 [-0.10127208+2.52093124e-09j  3.72348762+4.11585879e-04j]]"
-1099.0030300528529j,"[[ 0.27650571+3.66586078e-04j -0.10148171+4.31696741e-09j]
 [-0.10125492+4.31694247e-09j  3.72349441+3.66584497e-04j]]"
-1098.6334309171366j,"[[ 0.27651742+2.59311712e-04j -0.10145644+2.71367916e-09j]
 [-0.10122965+2.71367619e-09j  3.7234826 +2.59373682e-04j]]"
-1098.26383178142j,"[[ 0.27644128+2.70822410e-04j -0.10143025-3.12377650e-09j]
 [-0.10120347-3.12377246e-09j  3.7235587 +2.70781492e-04j]]"
-1097.8942326457036j,"[[ 0.2764572 +4.04266377e-04j -0.10144945-3.37404183e-09j]
 [-0.10122267-3.37404772e-09j  3.72354283+4.04360393e-04j]]"
-1097.524633509987j,"[[ 0.27646729+3.48615651e-04j -0.10147414-7.17812175e-09j]
 [-0.10124735-7.17811599e-09j  3.72353269+3.48730079e-04j]]"
-1097.1550343742706j,"[[ 0.2764134 +3.32224330e-04j -0.10148624+3.50732656e-09j]
 [-0.10125945+3.50734156e-09j  3.72358653+3.32280248e-04j]]"
-1096.785435238554j,"[[ 0.276426  +3.34938514e-04j -0.10148318+6.31268596e-09j]
 [-0.1012564 +6.31273077e-09j  3.72357379+3.35041661e-04j]]"
-1096.4158361028378j,"[[ 0.27633396+4.03187803e-04j -0.10147715-3.85083255e-09j]
 [-0.10125036-3.85079144e-09j  3.72366584+4.03237616e-04j]]"
-1096.0462369671213j,"[[ 0.27642302+4.27364374e-04j -0.10149048-1.21200424e-08j]
 [-0.10126369-1.21200056e-08j  3.72357681+4.27387869e-04j]]"
-1095.6766378314048j,"[[ 0.27638622+4.17142589e-04j -0.10149476-1.33883535e-08j]
 [-0.10126798-1.33883277e-08j  3.72361366+4.17099886e-04j]]"
-1095.3070386956883j,"[[ 0.2764062 +3.80592592e-04j -0.10149471-7.27260500e-09j]
 [-0.10126793-7.27260519e-09j  3.7235938 +3.80593950e-04j]]"
-1094.9374395599718j,"[[ 0.27637035+3.85677115e-04j -0.10146927-4.78210196e-09j]
 [-0.10124249-4.78208445e-09j  3.72362956+3.85679953e-04j]]"
-1094.5678404242556j,"[[ 0.27626787+4.38947086e-04j -0.10146387-1.58260718e-08j]
 [-0.10123708-1.58260510e-08j  3.72373203+4.38890329e-04j]]"
-1094.198241288539j,"[[ 0.27635253+5.01406552e-04j -0.10146697-1.25152503e-08j]
 [-0.10124019-1.25152442e-08j  3.72364744+5.01408654e-04j]]"
-1093.8286421528228j,"[[ 0.27638494+5.76643096e-04j -0.10148097-1.60086072e-08j]
 [-0.10125418-1.60085766e-08j  3.72361492+5.76542275e-04j]]"
-1093.4590430171063j,"[[ 0.27635673+6.22427860e-04j -0.10148704-1.48726461e-08j]
 [-0.10126025-1.48726473e-08j  3.72364328+6.22249531e-04j]]"
-1093.0894438813898j,"[[ 0.27641922+6.35816897e-04j -0.10148132-8.34429370e-10j]
 [-0.10125453-8.34433013e-10j  3.72358079+6.35737895e-04j]]"
-1092.7198447456733j,"[[ 0.27643215+6.52283389e-04j -0.10147956+9.62216549e-10j]
 [-0.10125277+9.62178677e-10j  3.72356804+6.52113367e-04j]]"
-1092.350245609957j,"[[ 0.2763963 +6.94088803e-04j -0.10148484+1.54649666e-08j]
 [-0.10125806+1.54649235e-08j  3.72360391+6.93946354e-04j]]"
-1091.9806464742405j,"[[ 0.27641054+6.32620593e-04j -0.10148718+2.15678877e-08j]
 [-0.10126039+2.15678624e-08j  3.72358958+6.32415489e-04j]]"
-1091.611047338524j,"[[ 0.276338  +6.79114448e-04j -0.10147954+1.37592306e-08j]
 [-0.10125275+1.37591923e-08j  3.72366218+6.78979895e-04j]]"
-1091.2414482028075j,"[[ 0.27640754+7.10738457e-04j -0.10148493+2.60310387e-08j]
 [-0.10125814+2.60309917e-08j  3.72359269+7.10612482e-04j]]"
-1090.871849067091j,"[[ 0.27643653+7.28541974e-04j -0.10148262+2.45613267e-08j]
 [-0.10125583+2.45613002e-08j  3.7235636 +7.28299212e-04j]]"
-1090.5022499313748j,"[[ 0.27646564+7.59791503e-04j -0.1014991 +4.71283609e-09j]
 [-0.10127231+4.71281030e-09j  3.72353449+7.59672116e-04j]]"
-1090.1326507956583j,"[[ 0.27637887+6.97225184e-04j -0.10151648-8.05188202e-10j]
 [-0.10128969-8.05213379e-10j  3.72362125+6.97207991e-04j]]"
-1089.7630516599418j,"[[ 0.27637384+7.26996284e-04j -0.10151203-2.12014775e-09j]
 [-0.10128524-2.12016740e-09j  3.72362626+7.27017706e-04j]]"
-1089.3934525242253j,"[[ 0.27640519+7.51221612e-04j -0.10152579+1.14631865e-09j]
 [-0.101299  +1.14630306e-09j  3.72359489+7.51255747e-04j]]"
-1089.0238533885088j,"[[ 0.27646149+7.70102249e-04j -0.10152834+6.61500026e-09j]
 [-0.10130155+6.61499493e-09j  3.72353853+7.70025861e-04j]]"
-1088.6542542527923j,"[[ 0.27649341+7.75387030e-04j -0.10151308+1.64386458e-08j]
 [-0.1012863 +1.64386170e-08j  3.72350673+7.75368243e-04j]]"
-1088.284655117076j,"[[ 0.27654248+8.25557511e-04j -0.10151945+1.64920789e-08j]
 [-0.10129267+1.64920716e-08j  3.72345756+8.25457199e-04j]]"
-1087.9150559813595j,"[[ 0.27663014+7.76452447e-04j -0.1015406 +2.80866622e-10j]
 [-0.10131382+2.80836510e-10j  3.72337001+7.76297348e-04j]]"
-1087.545456845643j,"[[ 0.27662827+7.00110681e-04j -0.10153161-2.63898156e-10j]
 [-0.10130482-2.63945050e-10j  3.72337196+6.99956656e-04j]]"
-1087.1758577099265j,"[[ 0.27665818+7.49465889e-04j -0.10152769-2.29901986e-09j]
 [-0.1013009 -2.29906896e-09j  3.72334205+7.49273496e-04j]]"
-1086.80625857421j,"[[ 0.27662785+7.67179663e-04j -0.10155181-6.59970550e-09j]
 [-0.10132502-6.59977903e-09j  3.7233725 +7.67192033e-04j]]"
