iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.27386669+2.58970110e-03j -0.75554784-6.73210726e-08j]
 [-0.75563328-6.73210198e-08j  2.726134  +2.58959671e-03j]]"
-1108.2430084457642j,"[[ 1.27386998+2.57305027e-03j -0.75554728-1.23224482e-08j]
 [-0.75563272-1.23223941e-08j  2.72613072+2.57284257e-03j]]"
-1107.8734093100477j,"[[ 1.27386104+2.48996244e-03j -0.7555563 +2.51558961e-08j]
 [-0.75564175+2.51559507e-08j  2.72613967+2.48965436e-03j]]"
-1107.5038101743312j,"[[ 1.27384154+2.36845522e-03j -0.75554557+3.59196502e-08j]
 [-0.75563102+3.59197009e-08j  2.72615912+2.36795042e-03j]]"
-1107.1342110386147j,"[[ 1.2738394 +2.25349581e-03j -0.75552886+3.28952555e-09j]
 [-0.7556143 +3.28956814e-09j  2.72616115+2.25287658e-03j]]"
-1106.7646119028984j,"[[ 1.27383961+2.17680087e-03j -0.755525  -4.29433086e-08j]
 [-0.75561044-4.29432654e-08j  2.72616095+2.17619756e-03j]]"
-1106.395012767182j,"[[ 1.27380565+2.15651881e-03j -0.75551749-4.18977631e-08j]
 [-0.75560294-4.18977185e-08j  2.72619493+2.15598061e-03j]]"
-1106.0254136314654j,"[[ 1.27374309+2.19680341e-03j -0.75554464+1.03131496e-08j]
 [-0.75563008+1.03131953e-08j  2.72625751+2.19631836e-03j]]"
-1105.655814495749j,"[[ 1.27370636+2.24399317e-03j -0.75561847+5.30391740e-08j]
 [-0.75570392+5.30392227e-08j  2.72629427+2.24351041e-03j]]"
-1105.2862153600324j,"[[ 1.27367339+2.25097255e-03j -0.75566685+7.00850743e-08j]
 [-0.75575229+7.00851211e-08j  2.72632722+2.25048574e-03j]]"
-1104.916616224316j,"[[ 1.27363126+2.28586555e-03j -0.75568557+4.65557263e-08j]
 [-0.75577102+4.65557692e-08j  2.72636929+2.28551311e-03j]]"
-1104.5470170885997j,"[[ 1.27362253+2.29643212e-03j -0.75570882+1.51076596e-08j]
 [-0.75579426+1.51077061e-08j  2.72637807+2.29623925e-03j]]"
-1104.1774179528832j,"[[ 1.2736285 +2.26782711e-03j -0.75572815-1.25613191e-09j]
 [-0.7558136 -1.25608289e-09j  2.72637214+2.26765778e-03j]]"
-1103.8078188171667j,"[[ 1.27363084+2.27761777e-03j -0.75573338+1.21645907e-08j]
 [-0.75581882+1.21646382e-08j  2.72636978+2.27755206e-03j]]"
-1103.4382196814502j,"[[ 1.27365366+2.30026223e-03j -0.75572819+4.39537873e-08j]
 [-0.75581364+4.39538225e-08j  2.7263468 +2.30019062e-03j]]"
-1103.0686205457337j,"[[ 1.27371041+2.29306039e-03j -0.75574258+4.85480728e-08j]
 [-0.75582802+4.85480969e-08j  2.7262899 +2.29294008e-03j]]"
-1102.6990214100174j,"[[ 1.2737681 +2.26981464e-03j -0.75579715+2.88168582e-08j]
 [-0.75588259+2.88168799e-08j  2.72623218+2.26968109e-03j]]"
-1102.329422274301j,"[[ 1.27378973+2.22951529e-03j -0.75584872+2.28637990e-08j]
 [-0.75593416+2.28638207e-08j  2.72621055+2.22939335e-03j]]"
-1101.9598231385844j,"[[ 1.27381857+2.18626676e-03j -0.75585006+2.30293294e-08j]
 [-0.75593551+2.30293497e-08j  2.72618169+2.18617832e-03j]]"
-1101.5902240028681j,"[[ 1.27388633+2.14998940e-03j -0.75579193+1.22874744e-08j]
 [-0.75587738+1.22874955e-08j  2.72611395+2.15006551e-03j]]"
-1101.2206248671516j,"[[ 1.273969  +2.20075410e-03j -0.75574069+2.49382985e-08j]
 [-0.75582613+2.49383207e-08j  2.72603129+2.20104603e-03j]]"
-1100.8510257314351j,"[[ 1.27402274+2.29082425e-03j -0.7557524 +4.49980332e-08j]
 [-0.75583784+4.49980455e-08j  2.72597742+2.29131007e-03j]]"
-1100.4814265957189j,"[[ 1.27399806+2.33534555e-03j -0.75578417+1.04055936e-08j]
 [-0.75586962+1.04055946e-08j  2.72600196+2.33587385e-03j]]"
-1100.1118274600024j,"[[ 1.27391465+2.30473151e-03j -0.75581822-5.65973112e-08j]
 [-0.75590367-5.65973192e-08j  2.72608525+2.30514659e-03j]]"
-1099.7422283242859j,"[[ 1.27383756+2.25766665e-03j -0.75582207-1.19111405e-07j]
 [-0.75590752-1.19111417e-07j  2.72616229+2.25785884e-03j]]"
-1099.3726291885694j,"[[ 1.27377084+2.27535646e-03j -0.75580322-1.74968143e-07j]
 [-0.75588866-1.74968146e-07j  2.72622913+2.27533555e-03j]]"
-1099.0030300528529j,"[[ 1.27375573+2.28394170e-03j -0.75578844-2.04074485e-07j]
 [-0.75587388-2.04074476e-07j  2.72624438+2.28383448e-03j]]"
-1098.6334309171366j,"[[ 1.27369871+2.30168637e-03j -0.75579011-2.16034934e-07j]
 [-0.75587555-2.16034918e-07j  2.72630149+2.30155591e-03j]]"
-1098.26383178142j,"[[ 1.27361421+2.34699134e-03j -0.75580227-2.30978942e-07j]
 [-0.75588772-2.30978918e-07j  2.72638611+2.34691672e-03j]]"
-1097.8942326457036j,"[[ 1.27356139+2.34626065e-03j -0.75581713-2.06985797e-07j]
 [-0.75590257-2.06985764e-07j  2.72643903+2.34630072e-03j]]"
-1097.524633509987j,"[[ 1.27352676+2.34684018e-03j -0.75580827-1.58942268e-07j]
 [-0.75589372-1.58942228e-07j  2.72647375+2.34692139e-03j]]"
-1097.1550343742706j,"[[ 1.27351583+2.38507932e-03j -0.75582302-1.41260439e-07j]
 [-0.75590846-1.41260400e-07j  2.72648468+2.38514011e-03j]]"
-1096.785435238554j,"[[ 1.27351079+2.42194094e-03j -0.7558465 -1.50436233e-07j]
 [-0.75593195-1.50436193e-07j  2.72648973+2.42205787e-03j]]"
-1096.4158361028378j,"[[ 1.27348031+2.44126666e-03j -0.75582045-1.69218852e-07j]
 [-0.75590589-1.69218809e-07j  2.72652025+2.44133679e-03j]]"
-1096.0462369671213j,"[[ 1.27348872+2.49049627e-03j -0.75579824-1.91984194e-07j]
 [-0.75588369-1.91984151e-07j  2.72651184+2.49051753e-03j]]"
-1095.6766378314048j,"[[ 1.27353048+2.55372702e-03j -0.75582082-1.93811542e-07j]
 [-0.75590627-1.93811501e-07j  2.72647004+2.55375527e-03j]]"
-1095.3070386956883j,"[[ 1.27355876+2.56114185e-03j -0.75588239-1.87384572e-07j]
 [-0.75596784-1.87384534e-07j  2.72644173+2.56113897e-03j]]"
-1094.9374395599718j,"[[ 1.27353357+2.51888750e-03j -0.75593927-1.92447698e-07j]
 [-0.75602471-1.92447663e-07j  2.72646688+2.51872690e-03j]]"
-1094.5678404242556j,"[[ 1.2735229 +2.51930476e-03j -0.75597747-2.42461278e-07j]
 [-0.75606291-2.42461244e-07j  2.72647753+2.51906092e-03j]]"
-1094.198241288539j,"[[ 1.27357634+2.55055094e-03j -0.75599559-3.11026617e-07j]
 [-0.75608103-3.11026574e-07j  2.72642422+2.55030329e-03j]]"
-1093.8286421528228j,"[[ 1.27365663+2.56411861e-03j -0.75601238-3.27496318e-07j]
 [-0.75609783-3.27496265e-07j  2.72634405+2.56386367e-03j]]"
-1093.4590430171063j,"[[ 1.27370146+2.57227068e-03j -0.75601693-3.01349925e-07j]
 [-0.75610238-3.01349867e-07j  2.72629928+2.57213631e-03j]]"
-1093.0894438813898j,"[[ 1.27371231+2.59709987e-03j -0.75599232-2.68800080e-07j]
 [-0.75607777-2.68800023e-07j  2.72628842+2.59709727e-03j]]"
-1092.7198447456733j,"[[ 1.2737288 +2.66944214e-03j -0.75598292-2.51794684e-07j]
 [-0.75606837-2.51794627e-07j  2.72627193+2.66946933e-03j]]"
-1092.350245609957j,"[[ 1.27371287+2.73643991e-03j -0.75602719-2.20612804e-07j]
 [-0.75611263-2.20612747e-07j  2.72628785+2.73650674e-03j]]"
-1091.9806464742405j,"[[ 1.27369792+2.72776616e-03j -0.75609229-1.80515588e-07j]
 [-0.75617774-1.80515538e-07j  2.72630272+2.72789645e-03j]]"
-1091.611047338524j,"[[ 1.27372992+2.67956902e-03j -0.75614929-2.10987485e-07j]
 [-0.75623473-2.10987438e-07j  2.72627069+2.67972115e-03j]]"
-1091.2414482028075j,"[[ 1.273782  +2.62849895e-03j -0.75616758-2.58804353e-07j]
 [-0.75625302-2.58804303e-07j  2.72621864+2.62867741e-03j]]"
-1090.871849067091j,"[[ 1.27381315+2.57913994e-03j -0.75617596-2.59571765e-07j]
 [-0.7562614 -2.59571713e-07j  2.72618752+2.57926062e-03j]]"
-1090.5022499313748j,"[[ 1.27384789+2.49787205e-03j -0.75616602-2.41117930e-07j]
 [-0.75625147-2.41117874e-07j  2.72615282+2.49800525e-03j]]"
-1090.1326507956583j,"[[ 1.27387516+2.43278596e-03j -0.75614814-2.13154877e-07j]
 [-0.75623358-2.13154819e-07j  2.72612558+2.43296075e-03j]]"
-1089.7630516599418j,"[[ 1.27390181+2.39480631e-03j -0.75613156-2.00698811e-07j]
 [-0.756217  -2.00698758e-07j  2.72609888+2.39499385e-03j]]"
-1089.3934525242253j,"[[ 1.27393021+2.41551687e-03j -0.75613435-1.86607362e-07j]
 [-0.75621979-1.86607308e-07j  2.72607048+2.41574900e-03j]]"
-1089.0238533885088j,"[[ 1.27394818+2.41039745e-03j -0.75618898-1.48115017e-07j]
 [-0.75627443-1.48114963e-07j  2.7260525 +2.41063539e-03j]]"
-1088.6542542527923j,"[[ 1.27393635+2.35400533e-03j -0.75624631-1.10713791e-07j]
 [-0.75633176-1.10713748e-07j  2.7260642 +2.35418609e-03j]]"
-1088.284655117076j,"[[ 1.2739147 +2.28520027e-03j -0.75624914-6.74125735e-08j]
 [-0.75633458-6.74125369e-08j  2.72608577+2.28541070e-03j]]"
-1087.9150559813595j,"[[ 1.27389495+2.25471823e-03j -0.75619385-2.06714109e-08j]
 [-0.75627929-2.06713753e-08j  2.72610551+2.25487472e-03j]]"
-1087.545456845643j,"[[ 1.27387699+2.23729542e-03j -0.75613824-6.01652006e-09j]
 [-0.75622368-6.01648648e-09j  2.72612344+2.23725223e-03j]]"
-1087.1758577099265j,"[[ 1.27385915+2.23702053e-03j -0.75610095-1.09270042e-08j]
 [-0.75618639-1.09269702e-08j  2.72614129+2.23685037e-03j]]"
-1086.80625857421j,"[[ 1.27383127+2.24647683e-03j -0.7560805 -1.90375628e-08j]
 [-0.75616595-1.90375262e-08j  2.7261692 +2.24614454e-03j]]"
