iw_n,Sigma_iw_n
-554.2139040068112j,"[[ 0.96295881+4.20251865e-03j -0.50578967-8.63013248e-09j]
 [-0.50271155-8.65495231e-09j  3.0370457 +4.20180205e-03j]]"
-553.8443048710948j,"[[ 0.96301866+4.18191296e-03j -0.50582532+6.99142117e-08j]
 [-0.5027472 +6.98892810e-08j  3.03698587+4.18135595e-03j]]"
-553.4747057353783j,"[[ 0.96300573+4.07591103e-03j -0.50583295+9.23852808e-08j]
 [-0.50275484+9.23607311e-08j  3.03699873+4.07556767e-03j]]"
-553.1051065996618j,"[[ 0.96303912+4.03983916e-03j -0.50575845+1.03335723e-07j]
 [-0.50268033+1.03311213e-07j  3.03696533+4.03972772e-03j]]"
-552.7355074639454j,"[[ 0.96304238+4.05818129e-03j -0.50571151+1.10740064e-07j]
 [-0.50263339+1.10715992e-07j  3.03696199+4.05829062e-03j]]"
-552.3659083282289j,"[[ 0.96304246+4.08650173e-03j -0.50575928+5.76859632e-08j]
 [-0.50268117+5.76623441e-08j  3.03696182+4.08679996e-03j]]"
-551.9963091925124j,"[[ 0.96314034+4.01785032e-03j -0.50579012+1.78839180e-08j]
 [-0.502712  +1.78608123e-08j  3.03686385+4.01831199e-03j]]"
-551.626710056796j,"[[ 0.96315042+3.91375601e-03j -0.50571468+4.00578215e-08j]
 [-0.50263656+4.00352779e-08j  3.03685367+3.91433427e-03j]]"
-551.2571109210795j,"[[ 0.96304964+3.85942566e-03j -0.50562766+1.00871429e-07j]
 [-0.50254954+1.00849606e-07j  3.03695433+3.86013990e-03j]]"
-550.8875117853631j,"[[ 0.96289104+3.76464878e-03j -0.50557615+1.19810983e-07j]
 [-0.50249803+1.19790534e-07j  3.03711268+3.76548329e-03j]]"
-550.5179126496467j,"[[ 0.96280605+3.70620806e-03j -0.50552165+1.00916561e-07j]
 [-0.50244353+1.00897721e-07j  3.03719739+3.70717076e-03j]]"
-550.1483135139302j,"[[ 0.9626197 +3.78457864e-03j -0.50547036+1.09699093e-07j]
 [-0.50239224+1.09681258e-07j  3.03738356+3.78552181e-03j]]"
-549.7787143782139j,"[[ 0.96248901+3.98778171e-03j -0.5054586 +1.09739511e-07j]
 [-0.50238048+1.09723212e-07j  3.03751398+3.98861286e-03j]]"
-549.4091152424974j,"[[ 0.96245944+4.24548757e-03j -0.50550192+6.77473235e-08j]
 [-0.5024238 +6.77321219e-08j  3.03754335+4.24612408e-03j]]"
-549.0395161067809j,"[[ 0.96248629+4.39272519e-03j -0.50557902+3.65954015e-08j]
 [-0.5025009 +3.65807634e-08j  3.0375164 +4.39317609e-03j]]"
-548.6699169710645j,"[[ 0.96260608+4.32493488e-03j -0.50563209+5.12597475e-09j]
 [-0.50255397+5.11180595e-09j  3.03739653+4.32527324e-03j]]"
-548.300317835348j,"[[ 0.96272104+4.26732882e-03j -0.50561098-1.43578693e-08j]
 [-0.50253286-1.43714134e-08j  3.03728145+4.26754144e-03j]]"
-547.9307186996315j,"[[ 0.96267339+4.32616116e-03j -0.50560046-2.90370708e-08j]
 [-0.50252234-2.90499190e-08j  3.03732898+4.32608434e-03j]]"
-547.5611195639151j,"[[ 0.96268864+4.36141654e-03j -0.50561228-9.10403303e-08j]
 [-0.50253415-9.10529717e-08j  3.03731369+4.36101671e-03j]]"
-547.1915204281986j,"[[ 0.96277044+4.38094597e-03j -0.50562933-1.42079138e-07j]
 [-0.5025512 -1.42092615e-07j  3.03723203+4.38037564e-03j]]"
-546.8219212924823j,"[[ 0.96277811+4.32324026e-03j -0.50565443-1.41037518e-07j]
 [-0.50257631-1.41052001e-07j  3.03722454+4.32255575e-03j]]"
-546.4523221567658j,"[[ 0.96278309+4.25529982e-03j -0.50563638-1.24960109e-07j]
 [-0.50255826-1.24975555e-07j  3.03721974+4.25455004e-03j]]"
-546.0827230210493j,"[[ 0.96281715+4.26438616e-03j -0.50563936-1.18598786e-07j]
 [-0.50256124-1.18615080e-07j  3.03718582+4.26357715e-03j]]"
