iw_n,Sigma_iw_n
-554.2139040068112j,"[[ 0.78965152+3.30011364e-03j -0.38020625+2.95691375e-08j]
 [-0.38000978+2.95687971e-08j  3.21034945+3.29963028e-03j]]"
-553.8443048710948j,"[[ 0.78969913+3.32769613e-03j -0.38018895+4.99300477e-08j]
 [-0.37999247+4.99297317e-08j  3.21030175+3.32758131e-03j]]"
-553.4747057353783j,"[[ 0.78966078+3.39366355e-03j -0.38013336+4.21337248e-08j]
 [-0.37993689+4.21334675e-08j  3.21033995+3.39385066e-03j]]"
-553.1051065996618j,"[[ 0.78964249+3.47710392e-03j -0.38009931+4.64913417e-08j]
 [-0.37990283+4.64910889e-08j  3.21035821+3.47761234e-03j]]"
-552.7355074639454j,"[[ 0.78968531+3.61654908e-03j -0.38011301+6.28073601e-08j]
 [-0.37991654+6.28071794e-08j  3.21031522+3.61725239e-03j]]"
-552.3659083282289j,"[[ 0.78968919+3.70180279e-03j -0.38017858+2.92999167e-08j]
 [-0.3799821 +2.92998273e-08j  3.21031106+3.70258571e-03j]]"
-551.9963091925124j,"[[ 0.78977043+3.65746011e-03j -0.38020643-2.63688697e-08j]
 [-0.38000996-2.63688661e-08j  3.21022955+3.65821459e-03j]]"
-551.626710056796j,"[[ 0.78990217+3.69966759e-03j -0.38016172-3.73398279e-08j]
 [-0.37996524-3.73397851e-08j  3.21009768+3.70015238e-03j]]"
-551.2571109210795j,"[[ 0.79007518+3.74626315e-03j -0.38013911+3.65341128e-09j]
 [-0.37994263+3.65345433e-09j  3.20992469+3.74649149e-03j]]"
-550.8875117853631j,"[[ 0.79016193+3.77099125e-03j -0.38011791+2.30297392e-08j]
 [-0.37992143+2.30297819e-08j  3.20983795+3.77095488e-03j]]"
-550.5179126496467j,"[[ 0.79018761+3.71177456e-03j -0.38009255+7.17200709e-09j]
 [-0.37989607+7.17203655e-09j  3.20981231+3.71150861e-03j]]"
-550.1483135139302j,"[[ 0.79013639+3.61992875e-03j -0.38009072+1.06193554e-08j]
 [-0.37989425+1.06193041e-08j  3.20986374+3.61958189e-03j]]"
-549.7787143782139j,"[[ 0.79006443+3.55789723e-03j -0.38008153+2.41843231e-08j]
 [-0.37988506+2.41842174e-08j  3.20993585+3.55756011e-03j]]"
-549.4091152424974j,"[[ 0.79004858+3.64077468e-03j -0.38007362+3.84968834e-08j]
 [-0.37987715+3.84967231e-08j  3.20995186+3.64055707e-03j]]"
-549.0395161067809j,"[[ 0.78998409+3.68865856e-03j -0.38012317+2.84861449e-08j]
 [-0.37992669+2.84859264e-08j  3.21001652+3.68855017e-03j]]"
-548.6699169710645j,"[[ 0.79010258+3.71020951e-03j -0.38010372+2.69808152e-08j]
 [-0.37990725+2.69805310e-08j  3.20989822+3.71030628e-03j]]"
-548.300317835348j,"[[ 0.79013489+3.81226087e-03j -0.38003755+6.19788222e-08j]
 [-0.37984108+6.19785445e-08j  3.2098659 +3.81270894e-03j]]"
-547.9307186996315j,"[[ 0.79007927+3.93699453e-03j -0.38009407+8.96946081e-08j]
 [-0.37989759+8.96944175e-08j  3.20992127+3.93766024e-03j]]"
-547.5611195639151j,"[[ 0.79016147+3.99000225e-03j -0.38011385+7.64135725e-08j]
 [-0.37991737+7.64135533e-08j  3.2098386 +3.99077334e-03j]]"
-547.1915204281986j,"[[ 0.79021377+4.00581939e-03j -0.38007809+2.03186535e-08j]
 [-0.37988162+2.03187575e-08j  3.20978597+4.00664891e-03j]]"
-546.8219212924823j,"[[ 0.79021484+3.99967013e-03j -0.38009787-3.55037812e-08j]
 [-0.37990139-3.55035857e-08j  3.20978466+4.00035046e-03j]]"
-546.4523221567658j,"[[ 0.79025993+3.86011729e-03j -0.3801716 -3.37298593e-08j]
 [-0.37997513-3.37296427e-08j  3.20973949+3.86065052e-03j]]"
