iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.20526187+3.11176010e-04j -0.05458304+8.54319697e-09j]
 [-0.05376159+8.54315122e-09j  3.79473819+3.11179796e-04j]]"
-1108.2430084457642j,"[[ 0.2052788 +2.58810717e-04j -0.05458319+3.35830755e-09j]
 [-0.05376175+3.35822823e-09j  3.79472131+2.58803997e-04j]]"
-1107.8734093100477j,"[[ 0.20522987+3.10950686e-04j -0.05457319+4.31097562e-09j]
 [-0.05375174+4.31080890e-09j  3.79477035+3.10846676e-04j]]"
-1107.5038101743312j,"[[ 0.20522753+2.85776947e-04j -0.0545814 +2.65466480e-09j]
 [-0.05375996+2.65453019e-09j  3.79477265+2.85731729e-04j]]"
-1107.1342110386147j,"[[ 0.20508827+2.80490357e-04j -0.05457794+1.48766840e-08j]
 [-0.05375649+1.48765063e-08j  3.79491197+2.80540449e-04j]]"
-1106.7646119028984j,"[[ 0.20511314+3.34826323e-04j -0.0545858 +1.23861093e-08j]
 [-0.05376435+1.23859603e-08j  3.79488706+3.34768038e-04j]]"
-1106.395012767182j,"[[ 0.20517148+4.14128277e-04j -0.05459113+1.05916442e-08j]
 [-0.05376968+1.05914433e-08j  3.79482879+4.14142925e-04j]]"
-1106.0254136314654j,"[[ 0.20514751+3.60072921e-04j -0.05460226+1.29857176e-08j]
 [-0.05378081+1.29854373e-08j  3.79485286+3.60029192e-04j]]"
-1105.655814495749j,"[[ 0.20507367+2.74726857e-04j -0.05461494+8.51827261e-09j]
 [-0.05379349+8.51803056e-09j  3.79492665+2.74765623e-04j]]"
-1105.2862153600324j,"[[ 0.20504999+2.53886601e-04j -0.05461377+5.31874547e-09j]
 [-0.05379233+5.31853173e-09j  3.7949503 +2.53888223e-04j]]"
-1104.916616224316j,"[[ 0.20511674+3.35675735e-04j -0.05460342+5.35662567e-10j]
 [-0.05378197+5.35338238e-10j  3.7948837 +3.35564995e-04j]]"
-1104.5470170885997j,"[[ 0.20509991+3.58791093e-04j -0.05461656+3.54272157e-09j]
 [-0.05379511+3.54250862e-09j  3.79490038+3.58847673e-04j]]"
-1104.1774179528832j,"[[ 0.20510477+3.34204129e-04j -0.05462734-1.51528117e-09j]
 [-0.05380589-1.51547158e-09j  3.79489549+3.34345664e-04j]]"
-1103.8078188171667j,"[[ 0.20508476+2.72194953e-04j -0.0546104 +1.25218926e-08j]
 [-0.05378895+1.25217120e-08j  3.79491548+2.72188380e-04j]]"
-1103.4382196814502j,"[[ 0.20514004+2.97465593e-04j -0.0546002 -5.16667093e-09j]
 [-0.05377875-5.16673750e-09j  3.79486004+2.97569159e-04j]]"
-1103.0686205457337j,"[[ 0.20505616+3.21766439e-04j -0.05461735-8.73003164e-09j]
 [-0.0537959 -8.73014031e-09j  3.79494398+3.21852270e-04j]]"
-1102.6990214100174j,"[[ 0.20499579+1.94317140e-04j -0.05462475+1.85309930e-09j]
 [-0.0538033 +1.85297072e-09j  3.79500438+1.94380333e-04j]]"
-1102.329422274301j,"[[ 0.20500886+1.49799091e-04j -0.05461824+1.24146370e-08j]
 [-0.05379679+1.24145268e-08j  3.79499128+1.49836052e-04j]]"
-1101.9598231385844j,"[[ 0.2050137 +1.90976628e-04j -0.05461663+1.29837730e-08j]
 [-0.05379518+1.29836109e-08j  3.79498651+1.91064945e-04j]]"
-1101.5902240028681j,"[[ 0.20501823+1.59156660e-04j -0.05461054+2.68802199e-08j]
 [-0.05378909+2.68800510e-08j  3.794982  +1.59256074e-04j]]"
-1101.2206248671516j,"[[ 0.2050062 +1.80913529e-04j -0.05460111+1.50774033e-08j]
 [-0.05377966+1.50772964e-08j  3.79499395+1.80958525e-04j]]"
-1100.8510257314351j,"[[ 0.20498336+2.63394896e-04j -0.05460696+1.30786015e-08j]
 [-0.05378551+1.30785148e-08j  3.79501675+2.63488078e-04j]]"
-1100.4814265957189j,"[[ 0.20495837+2.75558004e-04j -0.05461691-1.06133487e-09j]
 [-0.05379546-1.06139490e-09j  3.79504171+2.75566619e-04j]]"
-1100.1118274600024j,"[[ 0.20496168+2.07148804e-04j -0.05460852-1.14286978e-09j]
 [-0.05378707-1.14290613e-09j  3.79503837+2.07126275e-04j]]"
-1099.7422283242859j,"[[ 0.20490614+2.70869934e-04j -0.05459411-4.05682926e-09j]
 [-0.05377266-4.05692809e-09j  3.79509399+2.70906963e-04j]]"
-1099.3726291885694j,"[[ 0.20486168+3.04544604e-04j -0.05458612+1.01302716e-08j]
 [-0.05376468+1.01301292e-08j  3.79513851+3.04486237e-04j]]"
-1099.0030300528529j,"[[ 0.20487921+2.97885233e-04j -0.05457805+1.21015476e-08j]
 [-0.0537566 +1.21015686e-08j  3.79512076+2.97866025e-04j]]"
-1098.6334309171366j,"[[ 0.20486223+4.24362853e-04j -0.0545712 -9.77110738e-09j]
 [-0.05374975-9.77112208e-09j  3.79513779+4.24580763e-04j]]"
-1098.26383178142j,"[[ 0.20483728+4.16245614e-04j -0.05456501-2.52878528e-09j]
 [-0.05374356-2.52883876e-09j  3.79516279+4.16428598e-04j]]"
