iw_n,Sigma_iw_n
-1095.3070386956883j,"[[ 0.38855338+1.10198104e-03j -0.16081794-4.07054159e-07j]
 [-0.16093362-4.07054052e-07j  3.61144764+1.10162868e-03j]]"
-1094.9374395599718j,"[[ 0.38850065+1.07165178e-03j -0.16083264-3.90582111e-07j]
 [-0.16094832-3.90582005e-07j  3.61150036+1.07133817e-03j]]"
-1094.5678404242556j,"[[ 0.38854851+1.08450375e-03j -0.16084725-3.70600958e-07j]
 [-0.16096292-3.70600852e-07j  3.61145251+1.08420874e-03j]]"
-1094.198241288539j,"[[ 0.38859012+1.04480603e-03j -0.16083454-3.64728882e-07j]
 [-0.16095022-3.64728787e-07j  3.61141078+1.04464342e-03j]]"
-1093.8286421528228j,"[[ 0.38855271+1.04481975e-03j -0.16081141-3.81888781e-07j]
 [-0.16092709-3.81888675e-07j  3.6114483 +1.04475811e-03j]]"
-1093.4590430171063j,"[[ 0.3886213 +1.08426457e-03j -0.16079834-3.78363423e-07j]
 [-0.16091401-3.78363310e-07j  3.61137977+1.08424878e-03j]]"
-1093.0894438813898j,"[[ 0.388638  +1.12698891e-03j -0.16082695-3.73066098e-07j]
 [-0.16094263-3.73065981e-07j  3.6113631 +1.12693310e-03j]]"
-1092.7198447456733j,"[[ 0.38868622+1.05831369e-03j -0.16084799-3.68344440e-07j]
 [-0.16096367-3.68344318e-07j  3.61131494+1.05835185e-03j]]"
-1092.350245609957j,"[[ 0.38866473+1.03655826e-03j -0.16082582-3.55956966e-07j]
 [-0.1609415 -3.55956843e-07j  3.61133644+1.03662613e-03j]]"
-1091.9806464742405j,"[[ 0.38867737+1.03501697e-03j -0.16081424-3.20808655e-07j]
 [-0.16092992-3.20808531e-07j  3.61132381+1.03503094e-03j]]"
-1091.611047338524j,"[[ 0.3886752 +1.05591634e-03j -0.16082306-2.95362066e-07j]
 [-0.16093874-2.95361955e-07j  3.61132587+1.05598827e-03j]]"
-1091.2414482028075j,"[[ 0.38863376+1.02700739e-03j -0.160833  -2.99027195e-07j]
 [-0.16094868-2.99027073e-07j  3.6113674 +1.02707613e-03j]]"
-1090.871849067091j,"[[ 0.38864849+1.04213663e-03j -0.16084367-2.77792998e-07j]
 [-0.16095935-2.77792875e-07j  3.61135268+1.04226881e-03j]]"
-1090.5022499313748j,"[[ 0.38862131+1.14125596e-03j -0.16083989-2.63746822e-07j]
 [-0.16095557-2.63746707e-07j  3.61137978+1.14128266e-03j]]"
-1090.1326507956583j,"[[ 0.38866415+1.16649349e-03j -0.16084374-2.53639703e-07j]
 [-0.16095942-2.53639593e-07j  3.61133689+1.16645103e-03j]]"
-1089.7630516599418j,"[[ 0.3887243 +1.16836255e-03j -0.16084628-2.64943237e-07j]
 [-0.16096195-2.64943137e-07j  3.61127665+1.16836651e-03j]]"
-1089.3934525242253j,"[[ 0.38869376+1.14160729e-03j -0.16082689-2.76270375e-07j]
 [-0.16094257-2.76270272e-07j  3.61130722+1.14163513e-03j]]"
-1089.0238533885088j,"[[ 0.38873256+1.17458693e-03j -0.16082645-2.84456338e-07j]
 [-0.16094213-2.84456241e-07j  3.61126835+1.17463325e-03j]]"
-1088.6542542527923j,"[[ 0.38879199+1.04485716e-03j -0.16084289-3.04398360e-07j]
 [-0.16095857-3.04398256e-07j  3.61120899+1.04482704e-03j]]"
-1088.284655117076j,"[[ 0.38877568+1.03541417e-03j -0.16084601-2.88304983e-07j]
 [-0.16096169-2.88304880e-07j  3.61122528+1.03552028e-03j]]"
-1087.9150559813595j,"[[ 0.38876502+1.00598176e-03j -0.16086508-2.77675300e-07j]
 [-0.16098076-2.77675197e-07j  3.61123595+1.00597465e-03j]]"
-1087.545456845643j,"[[ 0.38877006+9.19594522e-04j -0.1608553 -2.76730282e-07j]
 [-0.16097097-2.76730181e-07j  3.61123089+9.19636117e-04j]]"
-1087.1758577099265j,"[[ 0.38875681+9.29955261e-04j -0.16083293-2.76793986e-07j]
 [-0.1609486 -2.76793895e-07j  3.61124405+9.29944249e-04j]]"
-1086.80625857421j,"[[ 0.38876494+9.36491189e-04j -0.16082063-2.80564881e-07j]
 [-0.16093631-2.80564782e-07j  3.61123599+9.36519196e-04j]]"
-1086.4366594384937j,"[[ 0.38876499+1.00094296e-03j -0.16081516-2.72183870e-07j]
 [-0.16093084-2.72183772e-07j  3.61123595+1.00108276e-03j]]"
-1086.0670603027775j,"[[ 0.38882892+9.87960718e-04j -0.16080522-2.83412917e-07j]
 [-0.1609209 -2.83412823e-07j  3.61117197+9.87988484e-04j]]"
-1085.697461167061j,"[[ 0.38884949+9.79577016e-04j -0.16081211-2.82034656e-07j]
 [-0.16092778-2.82034550e-07j  3.61115151+9.79662290e-04j]]"
-1085.3278620313445j,"[[ 0.38880537+1.03663185e-03j -0.16082632-2.79877844e-07j]
 [-0.160942  -2.79877733e-07j  3.61119568+1.03672795e-03j]]"
-1084.958262895628j,"[[ 0.38882984+1.04597319e-03j -0.16085195-2.61403099e-07j]
 [-0.16096762-2.61402981e-07j  3.61117127+1.04625040e-03j]]"
-1084.5886637599115j,"[[ 0.38880506+1.02877640e-03j -0.1608791 -2.58122160e-07j]
 [-0.16099478-2.58122056e-07j  3.61119593+1.02920207e-03j]]"
-1084.2190646241952j,"[[ 0.38881114+9.95430247e-04j -0.16085925-2.46827479e-07j]
 [-0.16097492-2.46827361e-07j  3.61118997+9.95894644e-04j]]"
-1083.8494654884787j,"[[ 0.38877359+9.98380996e-04j -0.16083997-2.18428152e-07j]
 [-0.16095565-2.18428043e-07j  3.61122745+9.98845968e-04j]]"
-1083.4798663527622j,"[[ 0.38872323+1.03607068e-03j -0.16084785-2.24840243e-07j]
 [-0.16096353-2.24840143e-07j  3.61127772+1.03646797e-03j]]"
-1083.1102672170457j,"[[ 0.38871001+9.47153622e-04j -0.16085438-2.15949696e-07j]
 [-0.16097006-2.15949591e-07j  3.61129098+9.47546785e-04j]]"
-1082.7406680813292j,"[[ 0.38869199+8.62188038e-04j -0.16084475-2.05311916e-07j]
 [-0.16096043-2.05311811e-07j  3.61130901+8.62507170e-04j]]"
-1082.371068945613j,"[[ 0.38873286+8.09028760e-04j -0.16085316-1.93812020e-07j]
 [-0.16096883-1.93811918e-07j  3.6112681 +8.09380010e-04j]]"
-1082.0014698098964j,"[[ 0.38878437+6.63679853e-04j -0.16084346-1.88712028e-07j]
 [-0.16095914-1.88711930e-07j  3.61121656+6.64050752e-04j]]"
-1081.63187067418j,"[[ 0.3887099 +6.53859330e-04j -0.16081276-1.74158892e-07j]
 [-0.16092844-1.74158797e-07j  3.61129099+6.54283084e-04j]]"
-1081.2622715384634j,"[[ 0.38868674+6.92971521e-04j -0.16080386-1.63304056e-07j]
 [-0.16091953-1.63303962e-07j  3.61131415+6.93403184e-04j]]"
-1080.892672402747j,"[[ 0.38865136+7.70500919e-04j -0.16080091-1.58149878e-07j]
 [-0.16091659-1.58149786e-07j  3.61134951+7.70941427e-04j]]"
-1080.5230732670304j,"[[ 0.38869655+7.85804314e-04j -0.16080652-1.36682219e-07j]
 [-0.1609222 -1.36682148e-07j  3.61130412+7.86373853e-04j]]"
-1080.1534741313142j,"[[ 0.3886952 +8.01566166e-04j -0.16082883-1.49926183e-07j]
 [-0.16094451-1.49926132e-07j  3.61130529+8.02108205e-04j]]"
-1079.7838749955977j,"[[ 0.38870687+8.04153841e-04j -0.16082422-1.59116190e-07j]
 [-0.16093989-1.59116141e-07j  3.6112936 +8.04686291e-04j]]"
-1079.4142758598812j,"[[ 0.38868104+8.12351473e-04j -0.1608316 -1.60431525e-07j]
 [-0.16094727-1.60431487e-07j  3.61131932+8.12849571e-04j]]"
-1079.0446767241647j,"[[ 0.3886728 +7.96071817e-04j -0.16082665-1.60781443e-07j]
 [-0.16094233-1.60781414e-07j  3.61132748+7.96449785e-04j]]"
-1078.6750775884484j,"[[ 0.38869355+7.93837535e-04j -0.16080642-1.56635515e-07j]
 [-0.1609221 -1.56635494e-07j  3.61130666+7.94218229e-04j]]"
-1078.3054784527321j,"[[ 0.38864486+8.18870380e-04j -0.16080842-1.62081206e-07j]
 [-0.1609241 -1.62081189e-07j  3.61135531+8.19073368e-04j]]"
-1077.9358793170156j,"[[ 0.38863228+8.11890943e-04j -0.16083709-1.67133077e-07j]
 [-0.16095277-1.67133066e-07j  3.61136783+8.12044351e-04j]]"
-1077.5662801812991j,"[[ 0.38861918+7.69665474e-04j -0.16082869-1.86567967e-07j]
 [-0.16094437-1.86567946e-07j  3.61138103+7.69697462e-04j]]"
-1077.1966810455826j,"[[ 0.38863835+7.42815546e-04j -0.16081925-1.72870789e-07j]
 [-0.16093492-1.72870745e-07j  3.61136206+7.42875832e-04j]]"
-1076.8270819098661j,"[[ 0.38860871+7.51159805e-04j -0.16080796-1.58231195e-07j]
 [-0.16092364-1.58231149e-07j  3.61139172+7.51120836e-04j]]"
-1076.4574827741496j,"[[ 0.38859598+7.83294875e-04j -0.1607744 -1.67825419e-07j]
 [-0.16089008-1.67825369e-07j  3.61140449+7.83219216e-04j]]"
-1076.0878836384334j,"[[ 0.3885946 +8.19763994e-04j -0.16077898-1.81854795e-07j]
 [-0.16089465-1.81854741e-07j  3.61140591+8.19820029e-04j]]"
-1075.7182845027169j,"[[ 0.38866266+7.42895690e-04j -0.160763  -1.92349047e-07j]
 [-0.16087868-1.92348976e-07j  3.611338  +7.42972687e-04j]]"
-1075.3486853670004j,"[[ 0.38865901+8.06096607e-04j -0.16073295-1.64962720e-07j]
 [-0.16084863-1.64962648e-07j  3.61134167+8.06217170e-04j]]"
-1074.9790862312839j,"[[ 0.38859244+8.14769788e-04j -0.16073145-1.44260834e-07j]
 [-0.16084712-1.44260766e-07j  3.61140819+8.14851269e-04j]]"
-1074.6094870955674j,"[[ 0.38857343+8.70477943e-04j -0.16071834-1.45372775e-07j]
 [-0.16083402-1.45372711e-07j  3.61142717+8.70676271e-04j]]"
-1074.239887959851j,"[[ 0.38860287+8.76285730e-04j -0.1607236 -1.51373779e-07j]
 [-0.16083928-1.51373718e-07j  3.6113977 +8.76476778e-04j]]"
-1073.8702888241346j,"[[ 0.38853842+8.62128666e-04j -0.16077906-1.47988288e-07j]
 [-0.16089473-1.47988233e-07j  3.61146209+8.62322144e-04j]]"
-1073.500689688418j,"[[ 0.38852503+7.29735197e-04j -0.16080521-1.58978423e-07j]
 [-0.16092089-1.58978382e-07j  3.61147536+7.29920524e-04j]]"
-1073.1310905527016j,"[[ 0.38852306+6.89153508e-04j -0.16077671-1.59892938e-07j]
 [-0.16089239-1.59892889e-07j  3.6114774 +6.89247640e-04j]]"
-1072.761491416985j,"[[ 0.38850204+7.01568767e-04j -0.16076365-1.30047092e-07j]
 [-0.16087933-1.30047044e-07j  3.61149841+7.01728828e-04j]]"
-1072.3918922812686j,"[[ 0.38857569+7.26042377e-04j -0.16074631-1.36751985e-07j]
 [-0.16086198-1.36751954e-07j  3.6114246 +7.26261200e-04j]]"
-1072.0222931455523j,"[[ 0.38850304+7.60252526e-04j -0.16074132-1.23786544e-07j]
 [-0.160857  -1.23786504e-07j  3.61149734+7.60380367e-04j]]"
-1071.6526940098358j,"[[ 0.38848846+7.73034388e-04j -0.1607517 -1.12652431e-07j]
 [-0.16086738-1.12652396e-07j  3.61151187+7.73079479e-04j]]"
-1071.2830948741193j,"[[ 0.38846676+7.88275958e-04j -0.16077228-9.22933010e-08j]
 [-0.16088796-9.22932637e-08j  3.61153359+7.88298610e-04j]]"
-1070.913495738403j,"[[ 0.38840137+7.98670474e-04j -0.16078346-7.70218558e-08j]
 [-0.16089914-7.70218296e-08j  3.61159888+7.98727084e-04j]]"
-1070.5438966026866j,"[[ 0.38839349+8.44102038e-04j -0.16076201-8.90299393e-08j]
 [-0.16087769-8.90299067e-08j  3.61160682+8.44119631e-04j]]"
-1070.1742974669703j,"[[ 0.38838379+8.79633816e-04j -0.16075986-7.37754260e-08j]
 [-0.16087553-7.37753896e-08j  3.61161656+8.79699577e-04j]]"
-1069.8046983312538j,"[[ 0.38836945+8.95893332e-04j -0.16077719-7.30934269e-08j]
 [-0.16089287-7.30933960e-08j  3.61163084+8.95817204e-04j]]"
-1069.4350991955373j,"[[ 0.38838826+8.52016736e-04j -0.16078328-9.17984984e-08j]
 [-0.16089896-9.17984658e-08j  3.61161204+8.51945102e-04j]]"
-1069.0655000598208j,"[[ 0.3883089 +8.84984244e-04j -0.16078881-1.08461762e-07j]
 [-0.16090449-1.08461711e-07j  3.61169158+8.84822058e-04j]]"
-1068.6959009241043j,"[[ 0.3883014 +8.80232295e-04j -0.16078397-9.00251856e-08j]
 [-0.16089965-9.00251104e-08j  3.6116993 +8.80034835e-04j]]"
-1068.3263017883878j,"[[ 0.38825258+9.35939574e-04j -0.16078287-7.00436116e-08j]
 [-0.16089855-7.00435347e-08j  3.61174814+9.35809040e-04j]]"
-1067.9567026526715j,"[[ 0.38826343+1.00123438e-03j -0.16076459-6.23388756e-08j]
 [-0.16088027-6.23387982e-08j  3.61173729+1.00104921e-03j]]"
-1067.587103516955j,"[[ 0.38825997+1.06268606e-03j -0.16076342-4.01814315e-08j]
 [-0.1608791 -4.01813510e-08j  3.61174078+1.06255460e-03j]]"
-1067.2175043812385j,"[[ 0.38831676+1.11514993e-03j -0.16074932-2.81622724e-08j]
 [-0.160865  -2.81621940e-08j  3.61168397+1.11499279e-03j]]"
-1066.847905245522j,"[[ 0.38838444+1.18797533e-03j -0.16074354-2.33073111e-08j]
 [-0.16085922-2.33072353e-08j  3.61161627+1.18789980e-03j]]"
-1066.4783061098055j,"[[ 0.38842619+1.15261312e-03j -0.16073971-3.76892174e-08j]
 [-0.16085539-3.76891515e-08j  3.61157442+1.15253948e-03j]]"
-1066.1087069740893j,"[[ 0.388411  +1.17420192e-03j -0.1607478 -4.99841236e-08j]
 [-0.16086348-4.99840568e-08j  3.61158962+1.17424537e-03j]]"
