iw_n,Sigma_iw_n
-1108.6126075814807j,"[[-1.02350477e-03-1.86235550e-04j  4.10035238e-04+1.77708166e-08j]
 [-1.07714113e-03+1.77719852e-08j  4.00102438e+00-1.86313900e-04j]]"
-1108.2430084457642j,"[[-1.02473614e-03-1.57309000e-04j  4.49325286e-04+2.68290981e-08j]
 [-1.03785117e-03+2.68302570e-08j  4.00102560e+00-1.57329433e-04j]]"
-1107.8734093100477j,"[[-1.01098160e-03-1.24633110e-04j  5.00001310e-04+3.54997777e-08j]
 [-9.87175250e-04+3.55009266e-08j  4.00101184e+00-1.24602640e-04j]]"
-1107.5038101743312j,"[[-9.74513583e-04-9.74130542e-05j  5.54154054e-04+4.41193412e-08j]
 [-9.33022594e-04+4.41204866e-08j  4.00097537e+00-9.73294980e-05j]]"
-1107.1342110386147j,"[[-9.25877756e-04-8.39698434e-05j  6.14257352e-04+5.26723095e-08j]
 [-8.72919346e-04+5.26734540e-08j  4.00092673e+00-8.38295803e-05j]]"
-1106.7646119028984j,"[[-8.79761911e-04-7.88481343e-05j  6.69737508e-04+6.05258254e-08j]
 [-8.17439219e-04+6.05269626e-08j  4.00088061e+00-7.86425396e-05j]]"
-1106.395012767182j,"[[-8.38053550e-04-8.98362523e-05j  7.08105941e-04+6.87377523e-08j]
 [-7.79070771e-04+6.87388722e-08j  4.00083889e+00-8.95615831e-05j]]"
-1106.0254136314654j,"[[-8.10326333e-04-1.23244417e-04j  7.26240823e-04+7.58761971e-08j]
 [-7.60935814e-04+7.58772848e-08j  4.00081114e+00-1.22895779e-04j]]"
-1105.655814495749j,"[[-7.95279445e-04-1.66603288e-04j  7.32194929e-04+8.31034391e-08j]
 [-7.54981607e-04+8.31044730e-08j  4.00079605e+00-1.66181418e-04j]]"
-1105.2862153600324j,"[[-7.88743631e-04-2.03934891e-04j  7.25527577e-04+8.93585856e-08j]
 [-7.61648873e-04+8.93595458e-08j  4.00078946e+00-2.03453047e-04j]]"
-1104.916616224316j,"[[-7.80710458e-04-2.34043194e-04j  7.13292880e-04+9.57103533e-08j]
 [-7.73883504e-04+9.57112353e-08j  4.00078137e+00-2.33516964e-04j]]"
-1104.5470170885997j,"[[-7.83459180e-04-2.67569232e-04j  6.93108216e-04+1.01590567e-07j]
 [-7.94068093e-04+1.01591376e-07j  4.00078406e+00-2.67010774e-04j]]"
-1104.1774179528832j,"[[-8.01348109e-04-2.96284235e-04j  6.64943027e-04+1.06629932e-07j]
 [-8.22233221e-04+1.06630675e-07j  4.00080190e+00-2.95695381e-04j]]"
-1103.8078188171667j,"[[-8.27708773e-04-3.12888466e-04j  6.35564922e-04+1.11358481e-07j]
 [-8.51611296e-04+1.11359157e-07j  4.00082821e+00-3.12271693e-04j]]"
-1103.4382196814502j,"[[-8.53188961e-04-3.18588319e-04j  6.16378877e-04+1.15263615e-07j]
 [-8.70797341e-04+1.15264223e-07j  4.00085364e+00-3.17947317e-04j]]"
-1103.0686205457337j,"[[-8.75823924e-04-3.22209893e-04j  6.18707170e-04+1.19012168e-07j]
 [-8.68469054e-04+1.19012707e-07j  4.00087623e+00-3.21550896e-04j]]"
-1102.6990214100174j,"[[-9.03723292e-04-3.29703298e-04j  6.42869396e-04+1.21781034e-07j]
 [-8.44306823e-04+1.21781510e-07j  4.00090408e+00-3.29026919e-04j]]"
