iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 6.33400763e-04-3.97560046e-04j  2.50700098e-04+3.67875847e-10j]
 [-3.26590317e-04+3.67876693e-10j  3.99936660e+00-3.97419415e-04j]]"
-1108.2430084457642j,"[[ 6.63951887e-04-4.11438810e-04j  2.67190374e-04-9.14241376e-11j]
 [-3.10100031e-04-9.14335096e-11j  3.99933603e+00-4.11303246e-04j]]"
-1107.8734093100477j,"[[ 6.47889272e-04-4.15422860e-04j  2.73028123e-04+2.07008690e-10j]
 [-3.04262283e-04+2.06993536e-10j  3.99935208e+00-4.15293559e-04j]]"
-1107.5038101743312j,"[[ 6.59745484e-04-4.19359626e-04j  3.09019009e-04-4.84565692e-10j]
 [-2.68271399e-04-4.84588780e-10j  3.99934021e+00-4.19242085e-04j]]"
-1107.1342110386147j,"[[ 6.55156128e-04-4.26859731e-04j  3.26965446e-04+5.09536880e-11j]
 [-2.50324959e-04+5.09268001e-11j  3.99934479e+00-4.26763766e-04j]]"
-1106.7646119028984j,"[[ 6.77844974e-04-4.08070531e-04j  3.50511934e-04-2.37020271e-10j]
 [-2.26778496e-04-2.37040457e-10j  3.99932212e+00-4.07987919e-04j]]"
-1106.395012767182j,"[[ 6.99898791e-04-4.29698058e-04j  3.65162324e-04+3.05393585e-10j]
 [-2.12128089e-04+3.05372121e-10j  3.99930006e+00-4.29625462e-04j]]"
-1106.0254136314654j,"[[ 6.66741534e-04-4.57064250e-04j  3.73920533e-04+8.93743546e-11j]
 [-2.03369857e-04+8.93582728e-11j  3.99933323e+00-4.57003231e-04j]]"
-1105.655814495749j,"[[ 6.61528814e-04-4.62202066e-04j  3.73884103e-04+1.26310513e-10j]
 [-2.03406287e-04+1.26304304e-10j  3.99933846e+00-4.62149575e-04j]]"
-1105.2862153600324j,"[[ 6.50978764e-04-4.84862925e-04j  3.82261896e-04-3.43262147e-10j]
 [-1.95028475e-04-3.43261119e-10j  3.99934902e+00-4.84798149e-04j]]"
-1104.916616224316j,"[[ 6.25849431e-04-4.96111521e-04j  4.11895584e-04-6.53953680e-12j]
 [-1.65394781e-04-6.54100526e-12j  3.99937415e+00-4.96038417e-04j]]"
-1104.5470170885997j,"[[ 5.81412790e-04-4.98685419e-04j  4.30361160e-04-1.09724741e-11j]
 [-1.46929208e-04-1.09779926e-11j  3.99941858e+00-4.98616265e-04j]]"
-1104.1774179528832j,"[[ 5.17800007e-04-4.66637766e-04j  4.30105792e-04+4.53185822e-10j]
 [-1.47184615e-04+4.53186237e-10j  3.99948220e+00-4.66578290e-04j]]"
-1103.8078188171667j,"[[ 5.06291295e-04-4.07218218e-04j  4.25737345e-04+1.11121609e-10j]
 [-1.51553129e-04+1.11127838e-10j  3.99949372e+00-4.07147208e-04j]]"
-1103.4382196814502j,"[[ 5.28374582e-04-3.52383080e-04j  4.21471623e-04-1.96818502e-10j]
 [-1.55818914e-04-1.96815188e-10j  3.99947163e+00-3.52299852e-04j]]"
-1103.0686205457337j,"[[ 5.75584299e-04-3.30519463e-04j  4.24986231e-04-1.14893315e-10j]
 [-1.52304334e-04-1.14894266e-10j  3.99942441e+00-3.30444437e-04j]]"
-1102.6990214100174j,"[[ 5.99982942e-04-3.35200725e-04j  4.13224563e-04+1.96606745e-11j]
 [-1.64066003e-04+1.96641216e-11j  3.99940002e+00-3.35127744e-04j]]"
-1102.329422274301j,"[[ 6.03721360e-04-3.22049789e-04j  4.19409686e-04+8.40255899e-11j]
 [-1.57880899e-04+8.40378523e-11j  3.99939630e+00-3.21970608e-04j]]"
-1101.9598231385844j,"[[ 6.15263137e-04-3.27080503e-04j  4.23422659e-04+1.56945531e-10j]
 [-1.53867926e-04+1.56958583e-10j  3.99938476e+00-3.26976621e-04j]]"
-1101.5902240028681j,"[[ 6.13865917e-04-3.03139877e-04j  4.21466035e-04+4.04125395e-11j]
 [-1.55824581e-04+4.04184592e-11j  3.99938615e+00-3.03011291e-04j]]"
-1101.2206248671516j,"[[ 6.47392566e-04-2.73607013e-04j  4.29575729e-04-4.59845968e-11j]
 [-1.47714922e-04-4.59969562e-11j  3.99935258e+00-2.73474745e-04j]]"
-1100.8510257314351j,"[[ 6.98767857e-04-2.80729820e-04j  4.16067018e-04+6.23726094e-12j]
 [-1.61223631e-04+6.21633606e-12j  3.99930119e+00-2.80607225e-04j]]"
-1100.4814265957189j,"[[ 7.12563786e-04-3.09596559e-04j  3.98059782e-04-2.18990998e-10j]
 [-1.79230842e-04-2.19017383e-10j  3.99928739e+00-3.09477019e-04j]]"
-1100.1118274600024j,"[[ 7.41076405e-04-3.26487050e-04j  4.01917614e-04+1.11665289e-10j]
 [-1.75372998e-04+1.11629555e-10j  3.99925886e+00-3.26370423e-04j]]"
-1099.7422283242859j,"[[ 7.50779856e-04-3.58336183e-04j  4.10095905e-04+1.35765259e-11j]
 [-1.67194679e-04+1.35273512e-11j  3.99924913e+00-3.58245881e-04j]]"
-1099.3726291885694j,"[[ 7.45404060e-04-3.73666339e-04j  4.04542448e-04+1.47128718e-10j]
 [-1.72748125e-04+1.47087092e-10j  3.99925452e+00-3.73601841e-04j]]"
-1099.0030300528529j,"[[ 7.32675577e-04-4.16575773e-04j  3.88983612e-04-1.19199833e-10j]
 [-1.88306922e-04-1.19238259e-10j  3.99926725e+00-4.16506758e-04j]]"
-1098.6334309171366j,"[[ 7.07265585e-04-4.11424139e-04j  3.67285677e-04+1.14482588e-11j]
 [-2.10004868e-04+1.13973840e-11j  3.99929264e+00-4.11359532e-04j]]"
-1098.26383178142j,"[[ 7.13902128e-04-4.21044294e-04j  3.57485527e-04-3.37963141e-10j]
 [-2.19805013e-04-3.38020501e-10j  3.99928599e+00-4.21006194e-04j]]"
-1097.8942326457036j,"[[ 7.00064034e-04-4.29197966e-04j  3.44660617e-04+2.55488661e-10j]
 [-2.32629920e-04+2.55434262e-10j  3.99929983e+00-4.29188997e-04j]]"
-1097.524633509987j,"[[ 6.73056952e-04-4.30040876e-04j  3.20635300e-04-9.26547907e-11j]
 [-2.56655242e-04-9.27019850e-11j  3.99932685e+00-4.30053357e-04j]]"
-1097.1550343742706j,"[[ 6.75478739e-04-4.34061038e-04j  3.04299691e-04+3.49222024e-10j]
 [-2.72990852e-04+3.49179459e-10j  3.99932444e+00-4.34089692e-04j]]"
-1096.785435238554j,"[[ 6.42587540e-04-4.63295515e-04j  2.75313627e-04-1.66264396e-10j]
 [-3.01976891e-04-1.66298970e-10j  3.99935735e+00-4.63340528e-04j]]"
-1096.4158361028378j,"[[ 6.01762215e-04-4.25137444e-04j  2.65366458e-04-2.71607331e-10j]
 [-3.11924106e-04-2.71634317e-10j  3.99939819e+00-4.25190957e-04j]]"
