iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 8.43561184e-04-9.31017298e-05j  8.72526686e-05-7.43162962e-10j]
 [-1.41528307e-04-7.43094357e-10j  3.99915677e+00-9.28521119e-05j]]"
-1108.2430084457642j,"[[ 7.82483497e-04-1.45001244e-04j  8.90871734e-05+5.63157076e-10j]
 [-1.39693783e-04+5.63232566e-10j  3.99921788e+00-1.44727848e-04j]]"
-1107.8734093100477j,"[[ 6.85301294e-04-1.29195661e-04j  7.25687789e-05-9.38039153e-10j]
 [-1.56212186e-04-9.37965081e-10j  3.99931506e+00-1.28889712e-04j]]"
-1107.5038101743312j,"[[ 6.32595217e-04-9.92016710e-05j  9.15823377e-05+2.53900112e-09j]
 [-1.37198642e-04+2.53908000e-09j  3.99936779e+00-9.88575614e-05j]]"
-1107.1342110386147j,"[[ 6.08566016e-04-2.97756592e-05j  1.19448788e-04-2.36857699e-09j]
 [-1.09332222e-04-2.36849635e-09j  3.99939183e+00-2.93891137e-05j]]"
-1106.7646119028984j,"[[ 6.47816176e-04+3.03919373e-05j  1.18330874e-04+1.61431878e-09j]
 [-1.10450163e-04+1.61439673e-09j  3.99935256e+00+3.08584622e-05j]]"
-1106.395012767182j,"[[ 6.80737075e-04+9.49006969e-05j  1.26711917e-04-1.97608648e-09j]
 [-1.02069149e-04-1.97601681e-09j  3.99931960e+00+9.54089623e-05j]]"
-1106.0254136314654j,"[[ 7.17534830e-04+1.43154435e-04j  1.53602333e-04+1.91673525e-10j]
 [-7.51787556e-05+1.91732564e-10j  3.99928275e+00+1.43688525e-04j]]"
-1105.655814495749j,"[[ 7.82325085e-04+1.48811223e-04j  1.23742226e-04+1.95307901e-10j]
 [-1.05038866e-04+1.95365340e-10j  3.99921796e+00+1.49362518e-04j]]"
-1105.2862153600324j,"[[ 8.21761056e-04+1.45664903e-04j  1.30173330e-04-9.61651402e-10j]
 [-9.86077633e-05-9.61600285e-10j  3.99917849e+00+1.46245880e-04j]]"
-1104.916616224316j,"[[ 8.78417207e-04+1.38133770e-04j  1.46553797e-04+2.85886269e-09j]
 [-8.22272955e-05+2.85890851e-09j  3.99912181e+00+1.38760722e-04j]]"
-1104.5470170885997j,"[[ 9.42541232e-04+1.16029423e-04j  1.71170651e-04-1.81263701e-09j]
 [-5.76104346e-05-1.81260248e-09j  3.99905763e+00+1.16667241e-04j]]"
-1104.1774179528832j,"[[ 9.61545281e-04+4.15918828e-05j  1.60929213e-04+1.82254312e-09j]
 [-6.78518444e-05+1.82257070e-09j  3.99903859e+00+4.22474013e-05j]]"
-1103.8078188171667j,"[[ 9.19620074e-04-8.40562961e-06j  1.12477673e-04-2.52260678e-09j]
 [-1.16303366e-04-2.52258350e-09j  3.99908050e+00-7.73652664e-06j]]"
-1103.4382196814502j,"[[ 8.77473785e-04-6.66793228e-08j  9.58199253e-05+2.24072300e-11j]
 [-1.32961119e-04+2.24193504e-11j  3.99912259e+00+6.27516799e-07j]]"
-1103.0686205457337j,"[[ 8.41417457e-04+1.37719667e-05j  7.03001232e-05+5.84592405e-10j]
 [-1.58480929e-04+5.84600138e-10j  3.99915862e+00+1.44890232e-05j]]"
-1102.6990214100174j,"[[ 8.38673663e-04+4.23176778e-05j  8.61489036e-05-2.95362134e-10j]
 [-1.42632163e-04-2.95371130e-10j  3.99916129e+00+4.30594364e-05j]]"
-1102.329422274301j,"[[ 8.40845876e-04+5.09099898e-05j  1.18464476e-04+2.48435486e-09j]
 [-1.10316596e-04+2.48433293e-09j  3.99915905e+00+5.16468440e-05j]]"
-1101.9598231385844j,"[[ 8.44875329e-04+9.34694860e-05j  1.13477324e-04-2.07164059e-09j]
 [-1.15303768e-04-2.07167499e-09j  3.99915496e+00+9.41740198e-05j]]"
-1101.5902240028681j,"[[ 8.79625701e-04+1.38441641e-04j  1.33685899e-04+1.64711481e-09j]
 [-9.50952137e-05+1.64707300e-09j  3.99912018e+00+1.39124029e-04j]]"
-1101.2206248671516j,"[[ 9.06254165e-04+1.39213596e-04j  1.40875203e-04-2.15371685e-09j]
 [-8.79059121e-05-2.15376109e-09j  3.99909354e+00+1.39868557e-04j]]"
-1100.8510257314351j,"[[ 9.37092578e-04+1.30640228e-04j  1.18074668e-04+8.75834934e-10j]
 [-1.10706446e-04+8.75783276e-10j  3.99906266e+00+1.31314132e-04j]]"
-1100.4814265957189j,"[[ 9.54776465e-04+1.16906190e-04j  1.02272766e-04+2.77481722e-10j]
 [-1.26508345e-04+2.77420896e-10j  3.99904493e+00+1.17572191e-04j]]"
-1100.1118274600024j,"[[ 9.70940313e-04+1.34336805e-04j  9.12417838e-05-6.28480790e-11j]
 [-1.37539336e-04-6.29211136e-11j  3.99902871e+00+1.34983675e-04j]]"
-1099.7422283242859j,"[[ 1.01062133e-03+1.40601445e-04j  1.18169892e-04+2.55719707e-09j]
 [-1.10611233e-04+2.55711670e-09j  3.99898900e+00+1.41251044e-04j]]"
-1099.3726291885694j,"[[ 1.02263003e-03+1.25043777e-04j  1.21851086e-04-1.95807953e-09j]
 [-1.06930034e-04-1.95817781e-09j  3.99897690e+00+1.25648739e-04j]]"
