iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 2.01810212e-03-7.05178043e-05j  4.57748108e-04-4.97811947e-09j]
 [-5.40889938e-04-4.97937132e-09j  3.99798051e+00-7.03075896e-05j]]"
-1108.2430084457642j,"[[ 2.00739876e-03-1.58239330e-04j  4.88694742e-04+3.11256585e-09j]
 [-5.09943155e-04+3.11131448e-09j  3.99799121e+00-1.57999470e-04j]]"
-1107.8734093100477j,"[[ 1.91713131e-03-2.05450394e-04j  5.20453490e-04-2.06969333e-09j]
 [-4.78184332e-04-2.07098672e-09j  3.99808144e+00-2.05193252e-04j]]"
-1107.5038101743312j,"[[ 1.83099808e-03-1.64623453e-04j  5.58860868e-04-9.68443784e-10j]
 [-4.39777037e-04-9.69702988e-10j  3.99816761e+00-1.64379635e-04j]]"
-1107.1342110386147j,"[[ 1.83728733e-03-1.23344698e-04j  6.18046636e-04+2.96492791e-10j]
 [-3.80591353e-04+2.95264491e-10j  3.99816135e+00-1.23086206e-04j]]"
-1106.7646119028984j,"[[ 1.87698552e-03-9.25259299e-05j  6.09574056e-04-2.82160660e-09j]
 [-3.89063998e-04-2.82280095e-09j  3.99812169e+00-9.21872786e-05j]]"
-1106.395012767182j,"[[ 1.86010894e-03-2.32098499e-05j  6.00961200e-04-7.88948753e-10j]
 [-3.97676989e-04-7.90151994e-10j  3.99813856e+00-2.28145398e-05j]]"
-1106.0254136314654j,"[[ 1.91236588e-03+4.53917096e-06j  6.31475500e-04+2.69509761e-09j]
 [-3.67162748e-04+2.69385717e-09j  3.99808626e+00+5.01479803e-06j]]"
-1105.655814495749j,"[[ 1.98423883e-03+5.97055714e-06j  6.13095715e-04-3.75367915e-09j]
 [-3.85542544e-04-3.75494971e-09j  3.99801436e+00+6.50006609e-06j]]"
-1105.2862153600324j,"[[ 1.98430260e-03+2.46930801e-05j  6.49914863e-04+3.78576848e-09j]
 [-3.48723439e-04+3.78442551e-09j  3.99801421e+00+2.52513626e-05j]]"
-1104.916616224316j,"[[ 2.04005869e-03-2.05776792e-05j  6.41274274e-04+1.74246884e-09j]
 [-3.57363955e-04+1.74107798e-09j  3.99795841e+00-2.00062798e-05j]]"
-1104.5470170885997j,"[[ 2.08803444e-03-1.66042191e-05j  6.58294928e-04-4.19811721e-09j]
 [-3.40343317e-04-4.19955275e-09j  3.99791038e+00-1.60685393e-05j]]"
-1104.1774179528832j,"[[ 2.11629527e-03-7.01151637e-05j  7.01308215e-04+6.59947319e-09j]
 [-2.97329943e-04+6.59804087e-09j  3.99788212e+00-6.95982033e-05j]]"
-1103.8078188171667j,"[[ 2.11030901e-03-1.74744262e-04j  6.75481069e-04-8.16223191e-09j]
 [-3.23156909e-04-8.16362576e-09j  3.99788815e+00-1.74211676e-04j]]"
-1103.4382196814502j,"[[ 2.03745495e-03-1.87328070e-04j  6.96136588e-04+2.93902786e-09j]
 [-3.02501377e-04+2.93762272e-09j  3.99796100e+00-1.86729125e-04j]]"
-1103.0686205457337j,"[[ 1.99339124e-03-1.41513677e-04j  6.99312259e-04+2.58204205e-09j]
 [-2.99325799e-04+2.58062354e-09j  3.99800505e+00-1.40819052e-04j]]"
-1102.6990214100174j,"[[ 2.00343999e-03-1.44492814e-04j  7.25295587e-04-4.83387300e-09j]
 [-2.73342474e-04-4.83542468e-09j  3.99799485e+00-1.43724729e-04j]]"
-1102.329422274301j,"[[ 1.98813403e-03-1.59229815e-04j  7.68117963e-04+8.30421096e-09j]
 [-2.30520082e-04+8.30255536e-09j  3.99801004e+00-1.58501574e-04j]]"
-1101.9598231385844j,"[[ 1.95377636e-03-1.31661496e-04j  7.62153243e-04-6.10543858e-09j]
 [-2.36484861e-04-6.10716091e-09j  3.99804433e+00-1.31000227e-04j]]"
-1101.5902240028681j,"[[ 1.94907510e-03-9.91653587e-05j  7.94801723e-04+8.96696107e-10j]
 [-2.03836449e-04+8.94954380e-10j  3.99804901e+00-9.85656879e-05j]]"
-1101.2206248671516j,"[[ 1.94142090e-03-9.34245422e-05j  7.93157470e-04+6.98348690e-10j]
 [-2.05480722e-04+6.96638107e-10j  3.99805670e+00-9.28710926e-05j]]"
