iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.11134587e-02+2.97417042e-05j  1.15876438e-04-1.65388893e-08j]
 [-4.31033560e-04-1.65391041e-08j  3.98888610e+00+2.98469353e-05j]]"
-1108.2430084457642j,"[[ 1.11590521e-02-3.82099401e-05j  8.27340775e-05+1.57818976e-08j]
 [-4.64175858e-04+1.57816819e-08j  3.98884051e+00-3.80689723e-05j]]"
-1107.8734093100477j,"[[ 1.11133386e-02-1.49059438e-04j  5.82416139e-05-3.93728486e-09j]
 [-4.88668218e-04-3.93748677e-09j  3.98888625e+00-1.48884563e-04j]]"
-1107.5038101743312j,"[[ 1.10596216e-02-1.13308576e-04j  1.40682878e-04-7.97003924e-09j]
 [-4.06226994e-04-7.97026337e-09j  3.98893992e+00-1.13149587e-04j]]"
-1107.1342110386147j,"[[ 1.10749320e-02-1.37752767e-04j  1.74130056e-04+1.51746078e-08j]
 [-3.72779797e-04+1.51744259e-08j  3.98892470e+00-1.37555193e-04j]]"
-1106.7646119028984j,"[[ 1.10425737e-02-1.88581447e-04j  1.64118685e-04-1.61073647e-08j]
 [-3.82791122e-04-1.61075217e-08j  3.98895711e+00-1.88300402e-04j]]"
-1106.395012767182j,"[[ 1.09889622e-02-1.09191520e-04j  1.29942220e-04+4.61476611e-09j]
 [-4.16967671e-04+4.61455151e-09j  3.98901060e+00-1.08852456e-04j]]"
-1106.0254136314654j,"[[ 1.10211341e-02-1.10650657e-04j  1.96079447e-04+8.60188212e-09j]
 [-3.50830448e-04+8.60170813e-09j  3.98897851e+00-1.10259379e-04j]]"
-1105.655814495749j,"[[ 1.10575010e-02-5.04704193e-05j  1.90155966e-04-1.69766801e-08j]
 [-3.56753993e-04-1.69769079e-08j  3.98894204e+00-5.00234934e-05j]]"
-1105.2862153600324j,"[[ 1.10598537e-02-7.29997516e-05j  1.78570865e-04+1.35147245e-08j]
 [-3.68339076e-04+1.35144691e-08j  3.98893963e+00-7.25239490e-05j]]"
-1104.916616224316j,"[[ 1.11212618e-02-1.08323852e-04j  1.85073568e-04-6.69289509e-09j]
 [-3.61836343e-04-6.69314455e-09j  3.98887823e+00-1.07833644e-04j]]"
-1104.5470170885997j,"[[ 1.11266078e-02-6.63342808e-05j  1.45584753e-04-5.06466183e-09j]
 [-4.01325205e-04-5.06497628e-09j  3.98887276e+00-6.58411496e-05j]]"
