iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.65000461+2.02943044e-03j -0.99832038-8.87270790e-08j]
 [-0.99701182-8.87261385e-08j  2.34999459+2.02940960e-03j]]"
-1108.2430084457642j,"[[ 1.64991049+1.93204038e-03j -0.99821735-1.16257572e-07j]
 [-0.99690879-1.16256600e-07j  2.35008869+1.93202403e-03j]]"
-1107.8734093100477j,"[[ 1.64980484+1.89238679e-03j -0.9981081 -1.17960741e-07j]
 [-0.99679955-1.17959867e-07j  2.35019442+1.89237660e-03j]]"
-1107.5038101743312j,"[[ 1.64970626+1.91506585e-03j -0.99804867-6.14682798e-08j]
 [-0.99674012-6.14675557e-08j  2.35029313+1.91509178e-03j]]"
-1107.1342110386147j,"[[ 1.64965017+1.98269647e-03j -0.9980376 +9.66427706e-09j]
 [-0.99672905+9.66494625e-09j  2.35034926+1.98271537e-03j]]"
-1106.7646119028984j,"[[ 1.64962946+2.03962287e-03j -0.99807228+5.85124951e-08j]
 [-0.99676373+5.85131075e-08j  2.35037002+2.03956905e-03j]]"
-1106.395012767182j,"[[ 1.64963836+2.07864039e-03j -0.99809415+1.12168121e-07j]
 [-0.99678559+1.12168633e-07j  2.35036121+2.07852204e-03j]]"
-1106.0254136314654j,"[[ 1.64965676+2.11900528e-03j -0.99807421+1.57587710e-07j]
 [-0.99676565+1.57588206e-07j  2.35034282+2.11891052e-03j]]"
-1105.655814495749j,"[[ 1.64972722+2.16130885e-03j -0.99805882+1.76892583e-07j]
 [-0.99675027+1.76893096e-07j  2.35027234+2.16129728e-03j]]"
-1105.2862153600324j,"[[ 1.64986229+2.14535561e-03j -0.99806171+1.86399633e-07j]
 [-0.99675315+1.86400163e-07j  2.35013726+2.14544089e-03j]]"
-1104.916616224316j,"[[ 1.6499829 +2.08305991e-03j -0.99805387+1.88540017e-07j]
 [-0.99674531+1.88540595e-07j  2.35001661+2.08320782e-03j]]"
-1104.5470170885997j,"[[ 1.65005961+2.02094900e-03j -0.99799727+1.45484630e-07j]
 [-0.99668872+1.45485291e-07j  2.34993983+2.02105749e-03j]]"
-1104.1774179528832j,"[[ 1.65008271+2.01138756e-03j -0.99792334+8.30352445e-08j]
 [-0.99661479+8.30359273e-08j  2.34991671+2.01140966e-03j]]"
-1103.8078188171667j,"[[ 1.6500682 +2.05310486e-03j -0.99791094+3.72815621e-08j]
 [-0.99660239+3.72822323e-08j  2.34993124+2.05304597e-03j]]"
-1103.4382196814502j,"[[ 1.6500657 +2.08148062e-03j -0.99794473-1.65245952e-08j]
 [-0.99663618-1.65240020e-08j  2.3499338 +2.08136979e-03j]]"
-1103.0686205457337j,"[[ 1.6500634 +2.05284270e-03j -0.99795056-5.97800909e-08j]
 [-0.99664201-5.97796736e-08j  2.34993625+2.05274176e-03j]]"
