iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.6887587 +1.74939534e-03j -0.31695769-2.78990744e-07j]
 [-0.31768199-2.78990646e-07j  3.31124145+1.74912007e-03j]]"
-1108.2430084457642j,"[[ 0.68875596+1.75927089e-03j -0.31698495-2.80140878e-07j]
 [-0.31770925-2.80140862e-07j  3.31124407+1.75901648e-03j]]"
-1107.8734093100477j,"[[ 0.68875895+1.70409365e-03j -0.31698821-2.91958613e-07j]
 [-0.31771251-2.91958545e-07j  3.31124116+1.70382491e-03j]]"
-1107.5038101743312j,"[[ 0.68877082+1.70962766e-03j -0.31699219-3.10189213e-07j]
 [-0.3177165 -3.10189175e-07j  3.31122924+1.70947390e-03j]]"
-1107.1342110386147j,"[[ 0.6887119 +1.68203364e-03j -0.31702025-3.36911622e-07j]
 [-0.31774456-3.36911570e-07j  3.31128818+1.68184917e-03j]]"
-1106.7646119028984j,"[[ 0.68866721+1.67569937e-03j -0.3170158 -3.72750281e-07j]
 [-0.3177401 -3.72750104e-07j  3.31133306+1.67547663e-03j]]"
-1106.395012767182j,"[[ 0.68873842+1.62744032e-03j -0.31700485-3.65934270e-07j]
 [-0.31772915-3.65933935e-07j  3.31126209+1.62723001e-03j]]"
-1106.0254136314654j,"[[ 0.68877024+1.56379072e-03j -0.31700985-3.46613145e-07j]
 [-0.31773415-3.46612790e-07j  3.3112303 +1.56366512e-03j]]"
-1105.655814495749j,"[[ 0.68870543+1.48897480e-03j -0.31695066-3.22295573e-07j]
 [-0.31767497-3.22295183e-07j  3.31129517+1.48886978e-03j]]"
-1105.2862153600324j,"[[ 0.68877004+1.58665292e-03j -0.31692042-3.25718880e-07j]
 [-0.31764472-3.25718568e-07j  3.31123043+1.58652163e-03j]]"
-1104.916616224316j,"[[ 0.68882266+1.65137099e-03j -0.3169572 -3.19972427e-07j]
 [-0.3176815 -3.19972177e-07j  3.31117773+1.65120047e-03j]]"
-1104.5470170885997j,"[[ 0.68882863+1.66585691e-03j -0.3169753 -3.16905941e-07j]
 [-0.3176996 -3.16905825e-07j  3.31117154+1.66566952e-03j]]"
-1104.1774179528832j,"[[ 0.68871296+1.62845629e-03j -0.31696929-3.02902537e-07j]
 [-0.3176936 -3.02902460e-07j  3.31128715+1.62821501e-03j]]"
-1103.8078188171667j,"[[ 0.68860618+1.62014308e-03j -0.31693368-2.92485709e-07j]
 [-0.31765798-2.92485652e-07j  3.31139391+1.61997173e-03j]]"
-1103.4382196814502j,"[[ 0.68862355+1.68320641e-03j -0.31693772-3.16593384e-07j]
 [-0.31766202-3.16593318e-07j  3.31137655+1.68298816e-03j]]"
-1103.0686205457337j,"[[ 0.68867414+1.64896352e-03j -0.31695412-3.13437349e-07j]
 [-0.31767842-3.13437201e-07j  3.31132608+1.64858612e-03j]]"
-1102.6990214100174j,"[[ 0.68868913+1.63606857e-03j -0.3169563 -2.81128294e-07j]
 [-0.3176806 -2.81128129e-07j  3.31131112+1.63560949e-03j]]"
-1102.329422274301j,"[[ 0.68869838+1.64541773e-03j -0.31697066-2.71394115e-07j]
 [-0.31769496-2.71393947e-07j  3.31130188+1.64498676e-03j]]"
-1101.9598231385844j,"[[ 0.68871075+1.63294212e-03j -0.3169762 -2.60397083e-07j]
 [-0.3177005 -2.60396930e-07j  3.31128948+1.63252184e-03j]]"
-1101.5902240028681j,"[[ 0.68874149+1.67565895e-03j -0.31694465-2.96218690e-07j]
 [-0.31766896-2.96218539e-07j  3.31125874+1.67517635e-03j]]"
-1101.2206248671516j,"[[ 0.68872308+1.77059427e-03j -0.3169145 -3.16039273e-07j]
 [-0.31763881-3.16039007e-07j  3.31127732+1.77013012e-03j]]"
-1100.8510257314351j,"[[ 0.68863473+1.86867782e-03j -0.31693198-2.66917394e-07j]
 [-0.31765628-2.66917103e-07j  3.31136571+1.86815927e-03j]]"
-1100.4814265957189j,"[[ 0.68856326+1.86066386e-03j -0.31696961-2.50976141e-07j]
 [-0.31769391-2.50975889e-07j  3.31143712+1.86004210e-03j]]"
-1100.1118274600024j,"[[ 0.68857746+1.84533542e-03j -0.31698295-2.82608522e-07j]
 [-0.31770725-2.82608275e-07j  3.31142291+1.84479179e-03j]]"
-1099.7422283242859j,"[[ 0.68865552+1.82745200e-03j -0.31697137-3.17398410e-07j]
 [-0.31769567-3.17398097e-07j  3.31134495+1.82697414e-03j]]"
-1099.3726291885694j,"[[ 0.68870333+1.79648048e-03j -0.31697476-3.17311350e-07j]
 [-0.31769906-3.17310974e-07j  3.31129724+1.79604852e-03j]]"
-1099.0030300528529j,"[[ 0.68869501+1.80376657e-03j -0.31699739-3.17253693e-07j]
 [-0.3177217 -3.17253318e-07j  3.31130556+1.80350219e-03j]]"
-1098.6334309171366j,"[[ 0.68872527+1.83326032e-03j -0.31703713-3.18365906e-07j]
 [-0.31776144-3.18365497e-07j  3.31127535+1.83294747e-03j]]"
-1098.26383178142j,"[[ 0.68873214+1.79191030e-03j -0.31707247-3.21827235e-07j]
 [-0.31779678-3.21826729e-07j  3.31126863+1.79152679e-03j]]"
-1097.8942326457036j,"[[ 0.68875201+1.66958579e-03j -0.31705235-3.17227203e-07j]
 [-0.31777666-3.17226682e-07j  3.31124878+1.66916223e-03j]]"
-1097.524633509987j,"[[ 0.68880884+1.58746717e-03j -0.31701983-2.70938051e-07j]
 [-0.31774413-2.70937539e-07j  3.31119193+1.58705124e-03j]]"
-1097.1550343742706j,"[[ 0.68881367+1.57029010e-03j -0.31696661-2.51938926e-07j]
 [-0.31769092-2.51938581e-07j  3.31118685+1.56977006e-03j]]"
-1096.785435238554j,"[[ 0.68886311+1.61017128e-03j -0.31692985-2.60217174e-07j]
 [-0.31765415-2.60216901e-07j  3.3111373 +1.60965282e-03j]]"
-1096.4158361028378j,"[[ 0.68886163+1.69968913e-03j -0.31694399-2.48871153e-07j]
 [-0.31766829-2.48870878e-07j  3.31113878+1.69913897e-03j]]"
-1096.0462369671213j,"[[ 0.68881006+1.71845582e-03j -0.31694325-2.58928216e-07j]
 [-0.31766755-2.58927881e-07j  3.31119044+1.71785911e-03j]]"
-1095.6766378314048j,"[[ 0.68873752+1.78766086e-03j -0.31692606-2.63941056e-07j]
 [-0.31765036-2.63940628e-07j  3.31126313+1.78711234e-03j]]"
