iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.17019948+7.20370885e-04j -0.02816883-5.99250648e-09j]
 [-0.02920339-5.99224906e-09j  3.8298008 +7.20225151e-04j]]"
-1108.2430084457642j,"[[ 0.17021769+8.30158911e-04j -0.0281805 -5.14806918e-09j]
 [-0.02921507-5.14780052e-09j  3.82978259+8.30057168e-04j]]"
-1107.8734093100477j,"[[ 0.17033975+7.76175929e-04j -0.02819046-8.70421822e-09j]
 [-0.02922503-8.70392116e-09j  3.82966057+7.76073113e-04j]]"
-1107.5038101743312j,"[[ 0.17033043+7.78504787e-04j -0.02818155-5.28826770e-09j]
 [-0.02921612-5.28805605e-09j  3.8296698 +7.78432425e-04j]]"
-1107.1342110386147j,"[[ 0.17039185+8.42214524e-04j -0.02819043+7.79145474e-09j]
 [-0.029225  +7.79165044e-09j  3.82960836+8.42187115e-04j]]"
-1106.7646119028984j,"[[ 0.17046288+7.57855737e-04j -0.02821578+1.29111697e-08j]
 [-0.02925035+1.29113756e-08j  3.82953734+7.57900067e-04j]]"
-1106.395012767182j,"[[ 0.17057482+7.58398188e-04j -0.028205  +6.15757409e-09j]
 [-0.02923957+6.15781833e-09j  3.82942544+7.58438682e-04j]]"
-1106.0254136314654j,"[[ 0.17066143+7.74606779e-04j -0.02819055+1.13704155e-08j]
 [-0.02922511+1.13707527e-08j  3.82933893+7.74821318e-04j]]"
-1105.655814495749j,"[[ 0.17057636+7.63547037e-04j -0.02819578+2.01144300e-08j]
 [-0.02923035+2.01146057e-08j  3.82942382+7.63643958e-04j]]"
-1105.2862153600324j,"[[ 0.17062387+5.79931870e-04j -0.02821083+1.97377738e-08j]
 [-0.0292454 +1.97378294e-08j  3.82937618+5.80001347e-04j]]"
-1104.916616224316j,"[[ 0.17071618+6.11606083e-04j -0.02821105+1.24559451e-08j]
 [-0.02924562+1.24560994e-08j  3.82928398+6.11635366e-04j]]"
-1104.5470170885997j,"[[ 0.17060411+5.90956748e-04j -0.02821153+1.15327646e-08j]
 [-0.0292461 +1.15329299e-08j  3.82939606+5.91013221e-04j]]"
-1104.1774179528832j,"[[ 0.1706781 +6.01033695e-04j -0.0282108 +9.20588006e-09j]
 [-0.02924537+9.20597482e-09j  3.829322  +6.01070060e-04j]]"
-1103.8078188171667j,"[[ 0.17063328+4.60948414e-04j -0.02821603+1.95927843e-09j]
 [-0.02925059+1.95940989e-09j  3.82936686+4.61087335e-04j]]"
-1103.4382196814502j,"[[ 0.17057873+4.11792132e-04j -0.02821103+1.49441690e-08j]
 [-0.0292456 +1.49442613e-08j  3.82942137+4.11971683e-04j]]"
