iw_n,Sigma_iw_n
-1108.6126075814807j,"[[-1.11594782e-03-2.15762967e-04j  2.87664741e-04+1.74383321e-08j]
 [-1.04795827e-03+1.74392281e-08j  4.00111669e+00-2.15840011e-04j]]"
-1108.2430084457642j,"[[-1.11654447e-03-1.80474167e-04j  3.17260683e-04+2.64550993e-08j]
 [-1.01836243e-03+2.64559856e-08j  4.00111728e+00-1.80493508e-04j]]"
-1107.8734093100477j,"[[-1.10532444e-03-1.42951758e-04j  3.60591460e-04+3.48166571e-08j]
 [-9.75031756e-04+3.48175320e-08j  4.00110605e+00-1.42920836e-04j]]"
-1107.5038101743312j,"[[-1.06766712e-03-1.13114401e-04j  4.09053758e-04+4.34374570e-08j]
 [-9.26569543e-04+4.34383299e-08j  4.00106839e+00-1.13032457e-04j]]"
-1107.1342110386147j,"[[-1.01795411e-03-1.01900160e-04j  4.63602747e-04+5.17044619e-08j]
 [-8.72020593e-04+5.17053363e-08j  4.00101868e+00-1.01761908e-04j]]"
-1106.7646119028984j,"[[-9.72712570e-04-9.60254381e-05j  5.19023197e-04+5.94429824e-08j]
 [-8.16600170e-04+5.94438527e-08j  4.00097343e+00-9.58204598e-05j]]"
-1106.395012767182j,"[[-9.31253388e-04-1.07832945e-04j  5.58327833e-04+6.77814589e-08j]
 [-7.77295518e-04+6.77823147e-08j  4.00093196e+00-1.07557049e-04j]]"
-1106.0254136314654j,"[[-9.11620833e-04-1.44401805e-04j  5.78213598e-04+7.46069573e-08j]
 [-7.57409679e-04+7.46077853e-08j  4.00091231e+00-1.44049308e-04j]]"
-1105.655814495749j,"[[-9.09931131e-04-1.84150560e-04j  5.95861151e-04+8.18779443e-08j]
 [-7.39762043e-04+8.18787221e-08j  4.00091058e+00-1.83720668e-04j]]"
-1105.2862153600324j,"[[-9.13380366e-04-2.07053037e-04j  6.07938065e-04+8.79629555e-08j]
 [-7.27685087e-04+8.79636620e-08j  4.00091397e+00-2.06561225e-04j]]"
-1104.916616224316j,"[[-9.02472769e-04-2.24641570e-04j  6.19306560e-04+9.42171261e-08j]
 [-7.16316563e-04+9.42177585e-08j  4.00090300e+00-2.24106426e-04j]]"
-1104.5470170885997j,"[[-9.08353119e-04-2.55179415e-04j  6.25795945e-04+1.00040471e-07j]
 [-7.09827117e-04+1.00041036e-07j  4.00090882e+00-2.54614639e-04j]]"
-1104.1774179528832j,"[[-9.35104179e-04-2.72673208e-04j  6.28173007e-04+1.04936712e-07j]
 [-7.07450027e-04+1.04937219e-07j  4.00093553e+00-2.72079087e-04j]]"
-1103.8078188171667j,"[[-9.64037745e-04-2.68571099e-04j  6.21720629e-04+1.09793558e-07j]
 [-7.13902428e-04+1.09794004e-07j  4.00096441e+00-2.67948495e-04j]]"
-1103.4382196814502j,"[[-9.78941399e-04-2.52521786e-04j  6.18696165e-04+1.13368769e-07j]
 [-7.16926945e-04+1.13369154e-07j  4.00097926e+00-2.51874378e-04j]]"
-1103.0686205457337j,"[[-9.81371509e-04-2.40422216e-04j  6.24596847e-04+1.17137570e-07j]
 [-7.11026306e-04+1.17137891e-07j  4.00098164e+00-2.39757422e-04j]]"
-1102.6990214100174j,"[[-9.86409940e-04-2.43659825e-04j  6.40316062e-04+1.19755382e-07j]
 [-6.95307096e-04+1.19755647e-07j  4.00098663e+00-2.42978658e-04j]]"
-1102.329422274301j,"[[-9.98447366e-04-2.42723801e-04j  6.59448917e-04+1.22245138e-07j]
 [-6.76174257e-04+1.22245347e-07j  4.00099862e+00-2.42024901e-04j]]"
-1101.9598231385844j,"[[-1.00492430e-03-2.29483421e-04j  6.68373541e-04+1.24206527e-07j]
 [-6.67249679e-04+1.24206669e-07j  4.00100504e+00-2.28764956e-04j]]"
-1101.5902240028681j,"[[-1.00749364e-03-2.14758655e-04j  6.76253219e-04+1.25023083e-07j]
 [-6.59370050e-04+1.25023149e-07j  4.00100755e+00-2.14034884e-04j]]"
-1101.2206248671516j,"[[-1.01595621e-03-1.93208140e-04j  7.08304024e-04+1.25373333e-07j]
 [-6.27319310e-04+1.25373328e-07j  4.00101596e+00-1.92492609e-04j]]"
-1100.8510257314351j,"[[-1.01236803e-03-1.64836538e-04j  7.32696673e-04+1.25467772e-07j]
 [-6.02926744e-04+1.25467715e-07j  4.00101232e+00-1.64136499e-04j]]"
-1100.4814265957189j,"[[-9.95043624e-04-1.35197473e-04j  7.35575689e-04+1.24324837e-07j]
 [-6.00047813e-04+1.24324739e-07j  4.00099497e+00-1.34505173e-04j]]"
-1100.1118274600024j,"[[-9.64141395e-04-1.14971172e-04j  7.31058088e-04+1.23398316e-07j]
 [-6.04565476e-04+1.23398174e-07j  4.00096403e+00-1.14279821e-04j]]"
-1099.7422283242859j,"[[-9.39175535e-04-1.06870863e-04j  7.28103425e-04+1.20986451e-07j]
 [-6.07520172e-04+1.20986262e-07j  4.00093902e+00-1.06185006e-04j]]"
-1099.3726291885694j,"[[-9.07913371e-04-9.54899385e-05j  7.22086620e-04+1.18717156e-07j]
 [-6.13537018e-04+1.18716925e-07j  4.00090773e+00-9.48060135e-05j]]"
-1099.0030300528529j,"[[-8.56392568e-04-9.68823449e-05j  7.14023926e-04+1.15169841e-07j]
 [-6.21599722e-04+1.15169566e-07j  4.00085617e+00-9.61961946e-05j]]"
-1098.6334309171366j,"[[-8.07596289e-04-1.25291031e-04j  7.15386862e-04+1.11295808e-07j]
 [-6.20236730e-04+1.11295476e-07j  4.00080733e+00-1.24598573e-04j]]"
-1098.26383178142j,"[[-7.82615219e-04-1.57669444e-04j  7.27972560e-04+1.07087024e-07j]
 [-6.07650966e-04+1.07086620e-07j  4.00078229e+00-1.56982798e-04j]]"
-1097.8942326457036j,"[[-7.69819583e-04-1.85540770e-04j  7.54756876e-04+1.02086157e-07j]
 [-5.80866596e-04+1.02085687e-07j  4.00076944e+00-1.84871304e-04j]]"
-1097.524633509987j,"[[-7.52477083e-04-2.17681336e-04j  7.80245532e-04+9.69416625e-08j]
 [-5.55377875e-04+9.69411301e-08j  4.00075204e+00-2.17032187e-04j]]"
-1097.1550343742706j,"[[-7.43396766e-04-2.61776481e-04j  7.97944784e-04+9.08332970e-08j]
 [-5.37678529e-04+9.08327013e-08j  4.00074291e+00-2.61153185e-04j]]"
-1096.785435238554j,"[[-7.38518045e-04-3.06009959e-04j  8.08058224e-04+8.44354190e-08j]
 [-5.27564995e-04+8.44347629e-08j  4.00073798e+00-3.05420666e-04j]]"
