iw_n,Sigma_iw_n
-554.2139040068112j,"[[ 1.50392689+4.78748625e-03j -0.91887575+7.78331371e-08j]
 [-0.92344804+7.78238365e-08j  2.49607185+4.78742440e-03j]]"
-553.8443048710948j,"[[ 1.5039837 +4.92624186e-03j -0.91892736+1.57942607e-07j]
 [-0.92349965+1.57932473e-07j  2.49601496+4.92639587e-03j]]"
-553.4747057353783j,"[[ 1.5040596 +4.98391027e-03j -0.91897906+1.73039551e-07j]
 [-0.92355135+1.73027488e-07j  2.49593884+4.98422361e-03j]]"
-553.1051065996618j,"[[ 1.50411528+4.95173076e-03j -0.9190035 +1.70865704e-07j]
 [-0.92357579+1.70851916e-07j  2.49588296+4.95210194e-03j]]"
-552.7355074639454j,"[[ 1.50414308+4.94686945e-03j -0.91899195+1.73841982e-07j]
 [-0.92356424+1.73827086e-07j  2.49585501+4.94717344e-03j]]"
-552.3659083282289j,"[[ 1.50416468+4.94741056e-03j -0.91899005+1.39772060e-07j]
 [-0.92356234+1.39756560e-07j  2.49583333+4.94754893e-03j]]"
-551.9963091925124j,"[[ 1.50417744+4.92575776e-03j -0.91899153+6.87595598e-08j]
 [-0.92356383+6.87440016e-08j  2.49582056+4.92574334e-03j]]"
-551.626710056796j,"[[ 1.50417654+4.93296605e-03j -0.91900591+1.27173299e-08j]
 [-0.9235782 +1.27017577e-08j  2.49582148+4.93288817e-03j]]"
-551.2571109210795j,"[[ 1.50420808+4.98742702e-03j -0.91901191-5.10360066e-08j]
 [-0.92358421-5.10516585e-08j  2.49578996+4.98731080e-03j]]"
-550.8875117853631j,"[[ 1.50421624+5.12652442e-03j -0.91899455-8.31229520e-08j]
 [-0.92356685-8.31383626e-08j  2.49578183+5.12640316e-03j]]"
-550.5179126496467j,"[[ 1.50417579+5.23703265e-03j -0.91900378-5.41785965e-08j]
 [-0.92357608-5.41936930e-08j  2.49582231+5.23694051e-03j]]"
-550.1483135139302j,"[[ 1.5041627 +5.32322553e-03j -0.91908145+6.01237804e-10j]
 [-0.92365375+5.86110826e-10j  2.49583539+5.32315839e-03j]]"
-549.7787143782139j,"[[ 1.50419792+5.30365653e-03j -0.91914672+6.43152271e-09j]
 [-0.92371902+6.41568318e-09j  2.4958001 +5.30361526e-03j]]"
-549.4091152424974j,"[[ 1.50423664+5.20982807e-03j -0.91915337+5.57491451e-09j]
 [-0.92372567+5.55821411e-09j  2.49576128+5.20983578e-03j]]"
-549.0395161067809j,"[[ 1.50426394+5.13798685e-03j -0.91918113+1.85212609e-08j]
 [-0.92375343+1.85038941e-08j  2.4957339 +5.13800836e-03j]]"
-548.6699169710645j,"[[ 1.50434871+5.07253369e-03j -0.91923681+3.15503609e-09j]
 [-0.9238091 +3.13743257e-09j  2.49564908+5.07258331e-03j]]"
-548.300317835348j,"[[ 1.50443721+4.94963933e-03j -0.91926849-1.02259850e-08j]
 [-0.92384078-1.02438672e-08j  2.49556054+4.94968562e-03j]]"
-547.9307186996315j,"[[ 1.50444529+4.84989078e-03j -0.91929179-1.12194569e-08j]
 [-0.92386408-1.12377130e-08j  2.49555242+4.84991008e-03j]]"
-547.5611195639151j,"[[ 1.50439266+4.79752670e-03j -0.91928815-4.70167872e-08j]
 [-0.92386044-4.70352600e-08j  2.49560505+4.79751164e-03j]]"
-547.1915204281986j,"[[ 1.50437286+4.82067311e-03j -0.91925807-1.09142997e-07j]
 [-0.92383036-1.09160950e-07j  2.49562492+4.82064476e-03j]]"
-546.8219212924823j,"[[ 1.50436456+4.82426569e-03j -0.91925664-1.43783596e-07j]
 [-0.92382893-1.43799852e-07j  2.49563341+4.82420985e-03j]]"
-546.4523221567658j,"[[ 1.5043055 +4.75714263e-03j -0.91926015-1.42810038e-07j]
 [-0.92383244-1.42823764e-07j  2.49569275+4.75707707e-03j]]"
-546.0827230210493j,"[[ 1.50419531+4.73563274e-03j -0.91920785-1.27524630e-07j]
 [-0.92378014-1.27536439e-07j  2.49580315+4.73563776e-03j]]"
-545.713123885333j,"[[ 1.50409208+4.74893643e-03j -0.91913394-9.13089192e-08j]
 [-0.92370623-9.13207147e-08j  2.49590637+4.74904459e-03j]]"
-545.3435247496164j,"[[ 1.50405642+4.75706205e-03j -0.91909799-6.17386164e-08j]
 [-0.92367028-6.17512015e-08j  2.49594194+4.75724666e-03j]]"
-544.9739256139j,"[[ 1.50407672+4.77153470e-03j -0.91909421-6.74571126e-08j]
 [-0.92366651-6.74701532e-08j  2.49592158+4.77167102e-03j]]"
-544.6043264781836j,"[[ 1.50413237+4.80037499e-03j -0.91911047-8.38165247e-08j]
 [-0.92368276-8.38293112e-08j  2.49586597+4.80042776e-03j]]"
-544.2347273424671j,"[[ 1.50414262+4.81246472e-03j -0.91913164-8.19928924e-08j]
 [-0.92370393-8.20052194e-08j  2.49585578+4.81247335e-03j]]"
-543.8651282067506j,"[[ 1.50406415+4.82876447e-03j -0.91913929-1.03065632e-07j]
 [-0.92371158-1.03077204e-07j  2.49593434+4.82874528e-03j]]"
-543.4955290710342j,"[[ 1.50403013+4.88165718e-03j -0.91917762-1.10673637e-07j]
 [-0.92374991-1.10684289e-07j  2.49596846+4.88161654e-03j]]"
-543.1259299353178j,"[[ 1.50410597+4.90386175e-03j -0.91922171-7.93760477e-08j]
 [-0.923794  -7.93863657e-08j  2.49589265+4.90381663e-03j]]"
-542.7563307996014j,"[[ 1.50418978+4.87224401e-03j -0.9192282 -4.42416589e-08j]
 [-0.9238005 -4.42523621e-08j  2.4958088 +4.87217807e-03j]]"
-542.3867316638849j,"[[ 1.50424988+4.84572140e-03j -0.91923887-2.94113515e-08j]
 [-0.92381117-2.94226479e-08j  2.49574862+4.84556052e-03j]]"
-542.0171325281684j,"[[ 1.50433246+4.85629061e-03j -0.91922517-3.46050178e-08j]
 [-0.92379746-3.46167776e-08j  2.49566599+4.85605149e-03j]]"
-541.647533392452j,"[[ 1.50441091+4.90420587e-03j -0.91917936-3.97156062e-08j]
 [-0.92375165-3.97275861e-08j  2.49558751+4.90392542e-03j]]"
-541.2779342567355j,"[[ 1.50441077+4.94209720e-03j -0.91914701-6.43635598e-08j]
 [-0.9237193 -6.43756360e-08j  2.49558765+4.94173786e-03j]]"
-540.908335121019j,"[[ 1.50438831+4.97207010e-03j -0.91915127-8.30041479e-08j]
 [-0.92372357-8.30161153e-08j  2.49561013+4.97164261e-03j]]"
-540.5387359853027j,"[[ 1.50438287+5.02441948e-03j -0.91922077-5.98189855e-08j]
 [-0.92379307-5.98308908e-08j  2.49561557+5.02395387e-03j]]"
-540.1691368495862j,"[[ 1.50435607+5.02715912e-03j -0.91932202-4.45856953e-08j]
 [-0.92389432-4.45975736e-08j  2.49564238+5.02667552e-03j]]"
-539.7995377138697j,"[[ 1.50425412+5.00669937e-03j -0.91938967-2.45791994e-08j]
 [-0.92396196-2.45910037e-08j  2.49574434+5.00626605e-03j]]"
-539.4299385781533j,"[[ 1.50415641+5.03641426e-03j -0.91947557+3.00370606e-08j]
 [-0.92404786+3.00247673e-08j  2.495842  +5.03603290e-03j]]"
-539.0603394424369j,"[[ 1.50414131+5.04077398e-03j -0.9196237 +5.77039899e-08j]
 [-0.92419599+5.76908893e-08j  2.49585703+5.04037896e-03j]]"
-538.6907403067205j,"[[ 1.50418831+4.99063189e-03j -0.91973779+4.03918916e-08j]
 [-0.92431008+4.03783537e-08j  2.49581   +4.99020146e-03j]]"
-538.321141171004j,"[[ 1.5042206 +4.92686220e-03j -0.91976564+3.61843841e-08j]
 [-0.92433793+3.61712328e-08j  2.49577776+4.92646308e-03j]]"
-537.9515420352875j,"[[ 1.50427755+4.86751101e-03j -0.91976862+4.80336270e-08j]
 [-0.92434091+4.80211478e-08j  2.49572087+4.86719232e-03j]]"
-537.5819428995711j,"[[ 1.5043218 +4.82208687e-03j -0.91979305+2.74974657e-08j]
 [-0.92436534+2.74855402e-08j  2.49567666+4.82182149e-03j]]"
-537.2123437638546j,"[[ 1.5042967 +4.79464946e-03j -0.91979416-5.64405942e-09j]
 [-0.92436645-5.65531864e-09j  2.49570183+4.79438283e-03j]]"
-536.8427446281381j,"[[ 1.50428353+4.83872551e-03j -0.91982224+1.44052442e-08j]
 [-0.92439453+1.43946331e-08j  2.49571508+4.83845177e-03j]]"
-536.4731454924217j,"[[ 1.50433025+4.90957387e-03j -0.91990933+4.31653652e-08j]
 [-0.92448162+4.31551979e-08j  2.49566842+4.90932208e-03j]]"
-536.1035463567052j,"[[ 1.50435953+4.93106176e-03j -0.91997746+6.47886268e-08j]
 [-0.92454976+6.47791193e-08j  2.49563922+4.93087527e-03j]]"
-535.7339472209887j,"[[ 1.50434317+4.89300224e-03j -0.92002239+1.20367279e-07j]
 [-0.92459469+1.20358599e-07j  2.49565567+4.89293846e-03j]]"
-535.3643480852725j,"[[ 1.50428451+4.84642056e-03j -0.92005227+1.52611986e-07j]
 [-0.92462457+1.52602714e-07j  2.49571426+4.84645292e-03j]]"
-534.994748949556j,"[[ 1.50421396+4.83645953e-03j -0.92009847+1.29645447e-07j]
 [-0.92467076+1.29634743e-07j  2.49578465+4.83642131e-03j]]"
-534.6251498138396j,"[[ 1.50419088+4.83161778e-03j -0.92016979+8.20321056e-08j]
 [-0.92474209+8.20208311e-08j  2.49580767+4.83144313e-03j]]"
-534.2555506781231j,"[[ 1.50423238+4.82145196e-03j -0.92019537+2.37042149e-08j]
 [-0.92476766+2.36938411e-08j  2.49576626+4.82114046e-03j]]"
-533.8859515424066j,"[[ 1.50425389+4.85478099e-03j -0.92019141-1.57856264e-08j]
 [-0.92476371-1.57945624e-08j  2.49574492+4.85440546e-03j]]"
-533.5163524066902j,"[[ 1.50424487+4.93909303e-03j -0.92018159-1.92741947e-08j]
 [-0.92475388-1.92818524e-08j  2.49575409+4.93875485e-03j]]"
-533.1467532709737j,"[[ 1.50425618+5.00858315e-03j -0.92016454+1.39077393e-08j]
 [-0.92473684+1.39006804e-08j  2.49574286+5.00837834e-03j]]"
-532.7771541352572j,"[[ 1.50428   +5.02453773e-03j -0.92016032+3.88260497e-08j]
 [-0.92473262+3.88185431e-08j  2.495719  +5.02444616e-03j]]"
-532.4075549995408j,"[[ 1.50430227+4.99794227e-03j -0.92018312+5.34422911e-08j]
 [-0.92475541+5.34340172e-08j  2.49569665+4.99788015e-03j]]"
-532.0379558638243j,"[[ 1.5043302 +4.90896147e-03j -0.92018343+8.72363496e-08j]
 [-0.92475573+8.72267927e-08j  2.4956686 +4.90890005e-03j]]"
-531.6683567281079j,"[[ 1.50429283+4.81757488e-03j -0.92014937+1.17863217e-07j]
 [-0.92472167+1.17852104e-07j  2.49570581+4.81748048e-03j]]"
-531.2987575923916j,"[[ 1.50421146+4.75180458e-03j -0.9201171 +1.02451176e-07j]
 [-0.92468939+1.02438145e-07j  2.49578698+4.75165782e-03j]]"
-530.929158456675j,"[[ 1.50418102+4.70192087e-03j -0.92008319+7.91175299e-08j]
 [-0.92465548+7.91029869e-08j  2.49581729+4.70169442e-03j]]"
-530.5595593209587j,"[[ 1.50422831+4.72801915e-03j -0.92004723+8.19114051e-08j]
 [-0.92461952+8.18960502e-08j  2.49576993+4.72770120e-03j]]"
-530.1899601852422j,"[[ 1.50430444+4.80734429e-03j -0.91998394+7.14817411e-08j]
 [-0.92455624+7.14661002e-08j  2.49569376+4.80694963e-03j]]"
-529.8203610495257j,"[[ 1.50434034+4.89857786e-03j -0.91991556+8.71993767e-08j]
 [-0.92448785+8.71836825e-08j  2.49565785+4.89815791e-03j]]"
-529.4507619138093j,"[[ 1.50437865+4.93986802e-03j -0.91988004+1.00822226e-07j]
 [-0.92445234+1.00806342e-07j  2.49561951+4.93947035e-03j]]"
-529.0811627780928j,"[[ 1.50443548+4.89532917e-03j -0.91984854+6.91644182e-08j]
 [-0.92442084+6.91483888e-08j  2.49556266+4.89499603e-03j]]"
-528.7115636423763j,"[[ 1.50448063+4.79709677e-03j -0.9198191 +2.05051876e-08j]
 [-0.9243914 +2.04892238e-08j  2.49551751+4.79684047e-03j]]"
-528.3419645066599j,"[[ 1.50448969+4.73771569e-03j -0.91979491+6.91773121e-09j]
 [-0.9243672 +6.90194863e-09j  2.49550846+4.73751991e-03j]]"
