iw_n,Sigma_iw_n
-554.2139040068112j,"[[ 0.50976492+2.68928906e-03j -0.21938631-2.84541353e-08j]
 [-0.21956602-2.84543524e-08j  3.49023427+2.68893857e-03j]]"
-553.8443048710948j,"[[ 0.50986674+2.63268590e-03j -0.21936645-2.31852248e-08j]
 [-0.21954616-2.31854545e-08j  3.49013241+2.63248950e-03j]]"
-553.4747057353783j,"[[ 0.50983574+2.60562783e-03j -0.21937284-5.88427368e-08j]
 [-0.21955256-5.88429564e-08j  3.49016344+2.60512247e-03j]]"
-553.1051065996618j,"[[ 0.50978499+2.66948206e-03j -0.21940236-6.49914248e-08j]
 [-0.21958208-6.49916122e-08j  3.49021429+2.66907650e-03j]]"
-552.7355074639454j,"[[ 0.50977846+2.68208510e-03j -0.21939509-2.06064366e-08j]
 [-0.21957481-2.06066160e-08j  3.49022084+2.68126136e-03j]]"
-552.3659083282289j,"[[ 0.50981719+2.75938617e-03j -0.21938813-4.31902732e-08j]
 [-0.21956785-4.31903793e-08j  3.49018234+2.75864943e-03j]]"
-551.9963091925124j,"[[ 0.50988409+2.78290180e-03j -0.21940264-5.89014016e-08j]
 [-0.21958236-5.89014950e-08j  3.49011548+2.78198781e-03j]]"
-551.626710056796j,"[[ 0.51002767+2.81563024e-03j -0.21938334-3.03053774e-08j]
 [-0.21956305-3.03054108e-08j  3.48997209+2.81486910e-03j]]"
-551.2571109210795j,"[[ 0.51005456+2.96604865e-03j -0.21936815-2.46318733e-08j]
 [-0.21954787-2.46319433e-08j  3.48994508+2.96507625e-03j]]"
-550.8875117853631j,"[[ 0.51016592+3.08629834e-03j -0.21935547-2.70742932e-08j]
 [-0.21953519-2.70742741e-08j  3.48983399+3.08541020e-03j]]"
-550.5179126496467j,"[[ 0.51018481+3.11753347e-03j -0.21939737-4.32887479e-08j]
 [-0.21957709-4.32887666e-08j  3.48981499+3.11670378e-03j]]"
-550.1483135139302j,"[[ 0.51013974+3.13878731e-03j -0.21944975-5.49416935e-08j]
 [-0.21962947-5.49415584e-08j  3.48986052+3.13809246e-03j]]"
-549.7787143782139j,"[[ 0.51014589+3.04953923e-03j -0.21941676-1.88236509e-08j]
 [-0.21959648-1.88235146e-08j  3.48985439+3.04890547e-03j]]"
-549.4091152424974j,"[[ 0.51021575+3.04992981e-03j -0.21943094+3.17506376e-08j]
 [-0.21961066+3.17508487e-08j  3.48978475+3.04937319e-03j]]"
-549.0395161067809j,"[[ 0.51023599+3.03442934e-03j -0.21946612+2.08192187e-08j]
 [-0.21964583+2.08193020e-08j  3.48976412+3.03410478e-03j]]"
