iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.90138298+1.90082942e-03j -0.45687652-3.49591747e-08j]
 [-0.45857651-3.49598367e-08j  3.09861659+1.90046549e-03j]]"
-1108.2430084457642j,"[[ 0.9014217 +1.88855443e-03j -0.45686943-5.99619221e-08j]
 [-0.45856942-5.99623167e-08j  3.09857804+1.88812451e-03j]]"
-1107.8734093100477j,"[[ 0.90139959+1.90047681e-03j -0.45689637-5.49034418e-08j]
 [-0.45859636-5.49036944e-08j  3.09860025+1.90008508e-03j]]"
-1107.5038101743312j,"[[ 0.90135122+1.91010282e-03j -0.45691225-4.07261253e-08j]
 [-0.45861224-4.07263002e-08j  3.09864866+1.90975712e-03j]]"
-1107.1342110386147j,"[[ 0.90131819+1.90025289e-03j -0.45692642-5.98811487e-08j]
 [-0.45862641-5.98812460e-08j  3.09868175+1.89991885e-03j]]"
-1106.7646119028984j,"[[ 0.90129269+1.90232960e-03j -0.45691374-7.98836485e-08j]
 [-0.45861374-7.98836457e-08j  3.09870731+1.90196358e-03j]]"
-1106.395012767182j,"[[ 0.90129082+1.92076438e-03j -0.45689686-8.68249838e-08j]
 [-0.45859685-8.68248343e-08j  3.09870928+1.92042619e-03j]]"
-1106.0254136314654j,"[[ 0.90126734+1.93954725e-03j -0.45690973-7.87475951e-08j]
 [-0.45860973-7.87473041e-08j  3.09873285+1.93937513e-03j]]"
-1105.655814495749j,"[[ 0.90121033+1.92755743e-03j -0.45691999-7.09059848e-08j]
 [-0.45861999-7.09057215e-08j  3.09878984+1.92762072e-03j]]"
-1105.2862153600324j,"[[ 0.90115275+1.97737382e-03j -0.45689737-7.25960850e-08j]
 [-0.45859736-7.25959198e-08j  3.09884736+1.97750461e-03j]]"
-1104.916616224316j,"[[ 0.90111242+2.00662619e-03j -0.45684891-8.81955388e-08j]
 [-0.4585489 -8.81954753e-08j  3.09888762+2.00677673e-03j]]"
-1104.5470170885997j,"[[ 0.90118423+2.12532771e-03j -0.4567802 -9.76604232e-08j]
 [-0.45848019-9.76604601e-08j  3.09881574+2.12535976e-03j]]"
-1104.1774179528832j,"[[ 0.90125672+2.25561029e-03j -0.45675914-1.00008856e-07j]
 [-0.45845914-1.00008893e-07j  3.09874326+2.25555496e-03j]]"
-1103.8078188171667j,"[[ 0.90128498+2.23178988e-03j -0.4567903 -9.66280824e-08j]
 [-0.4584903 -9.66279455e-08j  3.09871511+2.23169901e-03j]]"
-1103.4382196814502j,"[[ 0.90130551+2.16269230e-03j -0.45678076-5.92177938e-08j]
 [-0.45848075-5.92176796e-08j  3.09869456+2.16256089e-03j]]"
-1103.0686205457337j,"[[ 0.90136711+2.16544865e-03j -0.45676696-7.92884040e-08j]
 [-0.45846695-7.92884476e-08j  3.09863286+2.16525269e-03j]]"
-1102.6990214100174j,"[[ 0.90143378+2.15483641e-03j -0.45676235-1.03513541e-07j]
 [-0.45846234-1.03513545e-07j  3.09856621+2.15461198e-03j]]"
-1102.329422274301j,"[[ 0.90148287+2.02661597e-03j -0.45673245-7.37237767e-08j]
 [-0.45843244-7.37238292e-08j  3.0985171 +2.02644943e-03j]]"
-1101.9598231385844j,"[[ 0.90149   +2.02122218e-03j -0.45669904-5.65905688e-08j]
 [-0.45839904-5.65905717e-08j  3.09850999+2.02102016e-03j]]"
-1101.5902240028681j,"[[ 0.90145127+2.01758461e-03j -0.45669355-4.03953603e-08j]
 [-0.45839354-4.03952390e-08j  3.09854881+2.01739590e-03j]]"
-1101.2206248671516j,"[[ 0.90139992+1.96260346e-03j -0.45667044-1.90959150e-08j]
 [-0.45837043-1.90957003e-08j  3.09860022+1.96243219e-03j]]"
-1100.8510257314351j,"[[ 0.9013513 +2.01099794e-03j -0.45663537-2.97095219e-08j]
 [-0.45833536-2.97092637e-08j  3.09864887+2.01079973e-03j]]"
-1100.4814265957189j,"[[ 0.90129224+2.09063498e-03j -0.45664875-2.48494954e-08j]
 [-0.45834874-2.48491346e-08j  3.09870799+2.09038912e-03j]]"
-1100.1118274600024j,"[[ 0.90135023+2.16332290e-03j -0.45666841-3.01073564e-08j]
 [-0.45836841-3.01070312e-08j  3.09864998+2.16311130e-03j]]"
-1099.7422283242859j,"[[ 0.90141161+2.18848361e-03j -0.45672071-3.61232565e-08j]
 [-0.4584207 -3.61229308e-08j  3.0985886 +2.18846865e-03j]]"
-1099.3726291885694j,"[[ 0.90144823+2.11361522e-03j -0.45673349-4.24483091e-08j]
 [-0.45843348-4.24480214e-08j  3.09855196+2.11373239e-03j]]"
-1099.0030300528529j,"[[ 0.90153914+2.11774401e-03j -0.45668422-7.77694574e-08j]
 [-0.45838422-7.77691834e-08j  3.09846104+2.11803513e-03j]]"
-1098.6334309171366j,"[[ 0.90158824+2.17445493e-03j -0.4566609 -1.01391689e-07j]
 [-0.4583609 -1.01391448e-07j  3.09841191+2.17494989e-03j]]"
-1098.26383178142j,"[[ 0.90164659+2.15652268e-03j -0.45670422-1.08290321e-07j]
 [-0.45840421-1.08290100e-07j  3.09835356+2.15714920e-03j]]"
-1097.8942326457036j,"[[ 0.90165171+2.07350656e-03j -0.45678532-1.07228303e-07j]
 [-0.45848531-1.07228157e-07j  3.09834838+2.07412162e-03j]]"
-1097.524633509987j,"[[ 0.90159799+1.93064646e-03j -0.45683776-1.23859702e-07j]
 [-0.45853776-1.23859601e-07j  3.09840207+1.93116744e-03j]]"
-1097.1550343742706j,"[[ 0.90153936+1.85496959e-03j -0.45684744-1.55058330e-07j]
 [-0.45854743-1.55058021e-07j  3.09846084+1.85531925e-03j]]"
-1096.785435238554j,"[[ 0.90149264+1.85162367e-03j -0.45685621-1.59490733e-07j]
 [-0.4585562 -1.59490480e-07j  3.09850752+1.85179133e-03j]]"
-1096.4158361028378j,"[[ 0.9014885 +1.79781176e-03j -0.45685999-1.60567199e-07j]
 [-0.45855998-1.60566967e-07j  3.09851165+1.79787612e-03j]]"
-1096.0462369671213j,"[[ 0.9015099 +1.79115690e-03j -0.45686559-1.56183810e-07j]
 [-0.45856559-1.56183552e-07j  3.09849027+1.79113749e-03j]]"
-1095.6766378314048j,"[[ 0.90147509+1.79633444e-03j -0.45687791-1.57484917e-07j]
 [-0.45857791-1.57484666e-07j  3.09852507+1.79631214e-03j]]"
-1095.3070386956883j,"[[ 0.90142213+1.76013158e-03j -0.45686353-1.71904103e-07j]
 [-0.45856352-1.71903854e-07j  3.09857803+1.76009535e-03j]]"
-1094.9374395599718j,"[[ 0.90136918+1.73773344e-03j -0.45683004-1.95138914e-07j]
 [-0.45853003-1.95138556e-07j  3.09863105+1.73782413e-03j]]"
-1094.5678404242556j,"[[ 0.9013107 +1.75280443e-03j -0.45680085-2.04211234e-07j]
 [-0.45850084-2.04210777e-07j  3.09868959+1.75297401e-03j]]"
-1094.198241288539j,"[[ 0.90125534+1.80323288e-03j -0.45681082-2.14966238e-07j]
 [-0.45851081-2.14965992e-07j  3.09874482+1.80350989e-03j]]"
-1093.8286421528228j,"[[ 0.90132429+1.86000228e-03j -0.45680661-2.48444121e-07j]
 [-0.4585066 -2.48443939e-07j  3.09867583+1.86030886e-03j]]"
-1093.4590430171063j,"[[ 0.90140708+1.92313126e-03j -0.45681888-2.64939689e-07j]
 [-0.45851888-2.64939579e-07j  3.09859299+1.92343306e-03j]]"
-1093.0894438813898j,"[[ 0.90146181+1.88802056e-03j -0.45681876-2.66550004e-07j]
 [-0.45851875-2.66550029e-07j  3.09853818+1.88835998e-03j]]"
-1092.7198447456733j,"[[ 0.90149645+1.83213417e-03j -0.45681397-2.80390069e-07j]
 [-0.45851396-2.80390082e-07j  3.09850354+1.83256116e-03j]]"
-1092.350245609957j,"[[ 0.90150039+1.78965268e-03j -0.45681735-3.02631255e-07j]
 [-0.45851735-3.02631211e-07j  3.09849964+1.79002459e-03j]]"
-1091.9806464742405j,"[[ 0.9014664 +1.74083655e-03j -0.45682083-2.83274858e-07j]
 [-0.45852082-2.83274718e-07j  3.09853369+1.74118394e-03j]]"
-1091.611047338524j,"[[ 0.90141963+1.64272514e-03j -0.45679793-2.51472782e-07j]
 [-0.45849793-2.51472682e-07j  3.09858044+1.64300666e-03j]]"
-1091.2414482028075j,"[[ 0.90139532+1.64044854e-03j -0.45675872-2.46820544e-07j]
 [-0.45845872-2.46820600e-07j  3.09860464+1.64062763e-03j]]"
-1090.871849067091j,"[[ 0.90137571+1.70405340e-03j -0.45676151-2.47189379e-07j]
 [-0.45846151-2.47189494e-07j  3.09862421+1.70417956e-03j]]"
-1090.5022499313748j,"[[ 0.90143507+1.77379747e-03j -0.45677771-2.73457306e-07j]
 [-0.45847771-2.73457415e-07j  3.09856486+1.77380660e-03j]]"
-1090.1326507956583j,"[[ 0.90144209+1.84447755e-03j -0.45679491-2.96639996e-07j]
 [-0.4584949 -2.96640052e-07j  3.09855787+1.84446482e-03j]]"
-1089.7630516599418j,"[[ 0.90139872+1.86111734e-03j -0.45679102-2.94196529e-07j]
 [-0.45849101-2.94196647e-07j  3.0986012 +1.86114986e-03j]]"
-1089.3934525242253j,"[[ 0.90143038+1.91994737e-03j -0.45675793-3.17277785e-07j]
 [-0.45845792-3.17277967e-07j  3.0985695 +1.91995280e-03j]]"
-1089.0238533885088j,"[[ 0.90143862+1.87421306e-03j -0.45674442-3.20391132e-07j]
 [-0.45844441-3.20391266e-07j  3.09856129+1.87423975e-03j]]"
-1088.6542542527923j,"[[ 0.90149956+1.87007119e-03j -0.45674332-3.46593837e-07j]
 [-0.45844331-3.46594109e-07j  3.09850027+1.87005233e-03j]]"
-1088.284655117076j,"[[ 0.90151111+1.92569860e-03j -0.45670996-3.85206422e-07j]
 [-0.45840995-3.85206546e-07j  3.09848881+1.92556764e-03j]]"
-1087.9150559813595j,"[[ 0.90148528+1.97937337e-03j -0.45670932-3.96592764e-07j]
 [-0.45840931-3.96592719e-07j  3.09851475+1.97920066e-03j]]"
-1087.545456845643j,"[[ 0.90145411+1.97765923e-03j -0.45672669-3.85473586e-07j]
 [-0.45842669-3.85473486e-07j  3.09854595+1.97747750e-03j]]"
-1087.1758577099265j,"[[ 0.9014662 +1.98624424e-03j -0.45668577-3.61525113e-07j]
 [-0.45838576-3.61525028e-07j  3.09853385+1.98601171e-03j]]"
-1086.80625857421j,"[[ 0.90149807+2.01934074e-03j -0.45664554-3.62406008e-07j]
 [-0.45834553-3.62405922e-07j  3.09850199+2.01920499e-03j]]"
-1086.4366594384937j,"[[ 0.90156999+2.01256617e-03j -0.45664056-3.54312872e-07j]
 [-0.45834056-3.54312696e-07j  3.09843012+2.01257479e-03j]]"
-1086.0670603027775j,"[[ 0.90155911+2.05107879e-03j -0.45664281-3.41307760e-07j]
 [-0.4583428 -3.41307581e-07j  3.098441  +2.05123922e-03j]]"
-1085.697461167061j,"[[ 0.90160598+2.00964928e-03j -0.45664094-3.42740039e-07j]
 [-0.45834093-3.42739984e-07j  3.09839405+2.00994522e-03j]]"
