iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.3783876 +2.06261451e-03j -0.83666557+2.29204302e-07j]
 [-0.83748758+2.29204212e-07j  2.62161228+2.06245459e-03j]]"
-1108.2430084457642j,"[[ 1.3783862 +2.14107953e-03j -0.83665176+2.09144111e-07j]
 [-0.83747377+2.09144042e-07j  2.62161371+2.14091411e-03j]]"
-1107.8734093100477j,"[[ 1.37835597+2.18382244e-03j -0.83666274+1.99719182e-07j]
 [-0.83748475+1.99719118e-07j  2.62164394+2.18373686e-03j]]"
-1107.5038101743312j,"[[ 1.37829731+2.18797156e-03j -0.8366426 +1.76437956e-07j]
 [-0.83746462+1.76437885e-07j  2.62170259+2.18795101e-03j]]"
-1107.1342110386147j,"[[ 1.37827547+2.19054132e-03j -0.8366024 +1.38047200e-07j]
 [-0.83742441+1.38047087e-07j  2.62172437+2.19050033e-03j]]"
-1106.7646119028984j,"[[ 1.3782879 +2.21250985e-03j -0.83657825+1.27353308e-07j]
 [-0.83740026+1.27353244e-07j  2.62171201+2.21241809e-03j]]"
-1106.395012767182j,"[[ 1.37831182+2.24453619e-03j -0.83656022+1.60091457e-07j]
 [-0.83738223+1.60091475e-07j  2.6216882 +2.24446885e-03j]]"
-1106.0254136314654j,"[[ 1.37829165+2.27989769e-03j -0.83652676+2.10470122e-07j]
 [-0.83734877+2.10470179e-07j  2.62170842+2.27984873e-03j]]"
-1105.655814495749j,"[[ 1.37826302+2.32974250e-03j -0.83651746+2.76986700e-07j]
 [-0.83733947+2.76986776e-07j  2.62173708+2.32967576e-03j]]"
-1105.2862153600324j,"[[ 1.37825943+2.34378750e-03j -0.83655005+3.29944988e-07j]
 [-0.83737206+3.29945104e-07j  2.62174072+2.34376298e-03j]]"
-1104.916616224316j,"[[ 1.37827516+2.32289277e-03j -0.83656345+3.46226953e-07j]
 [-0.83738546+3.46227047e-07j  2.62172496+2.32298504e-03j]]"
-1104.5470170885997j,"[[ 1.37829942+2.33512999e-03j -0.83650842+3.29526853e-07j]
 [-0.83733044+3.29526946e-07j  2.62170071+2.33528227e-03j]]"
-1104.1774179528832j,"[[ 1.37833266+2.38458758e-03j -0.83644798+3.40824737e-07j]
 [-0.83726999+3.40824873e-07j  2.62166753+2.38477569e-03j]]"
-1103.8078188171667j,"[[ 1.37832728+2.45509679e-03j -0.83642053+4.00748943e-07j]
 [-0.83724255+4.00749056e-07j  2.62167288+2.45528394e-03j]]"
-1103.4382196814502j,"[[ 1.37831039+2.58238328e-03j -0.8364025 +4.34822511e-07j]
 [-0.83722452+4.34822494e-07j  2.62168958+2.58254705e-03j]]"
-1103.0686205457337j,"[[ 1.37829237+2.70526872e-03j -0.83637913+4.01748179e-07j]
 [-0.83720115+4.01748034e-07j  2.62170744+2.70538131e-03j]]"
-1102.6990214100174j,"[[ 1.37830096+2.78614763e-03j -0.83635033+3.29875152e-07j]
 [-0.83717235+3.29874898e-07j  2.6216987 +2.78614231e-03j]]"
-1102.329422274301j,"[[ 1.37838488+2.74692470e-03j -0.83634159+2.33342383e-07j]
 [-0.83716361+2.33342102e-07j  2.62161474+2.74683605e-03j]]"
-1101.9598231385844j,"[[ 1.37847387+2.64485294e-03j -0.83632828+1.73187884e-07j]
 [-0.83715029+1.73187704e-07j  2.62152589+2.64474271e-03j]]"
