iw_n,Sigma_iw_n
-1108.6126075814807j,"[[2.02003038e-02-4.26209021e-04j 3.14887041e-04-1.39192501e-08j]
 [2.83992406e-04-1.39193325e-08j 3.97979673e+00-4.26275585e-04j]]"
-1108.2430084457642j,"[[2.02000569e-02-3.70285006e-04j 3.15881044e-04-3.20609731e-09j]
 [2.84986406e-04-3.20617721e-09j 3.97979707e+00-3.70349645e-04j]]"
-1107.8734093100477j,"[[2.02039017e-02-3.01185324e-04j 3.34834054e-04-1.22378394e-09j]
 [3.03939411e-04-1.22386254e-09j 3.97979327e+00-3.01215082e-04j]]"
-1107.5038101743312j,"[[2.02266393e-02-2.41665878e-04j 3.33885054e-04+1.11033940e-08j]
 [3.02990408e-04+1.11033154e-08j 3.97977053e+00-2.41652687e-04j]]"
-1107.1342110386147j,"[[2.02676840e-02-1.56338425e-04j 3.12278834e-04+5.64516636e-09j]
 [2.81384183e-04+5.64508678e-09j 3.97972945e+00-1.56302022e-04j]]"
-1106.7646119028984j,"[[2.03613296e-02-1.40725639e-04j 3.51308394e-04+2.89806888e-09j]
 [3.20413742e-04+2.89799085e-09j 3.97963586e+00-1.40684816e-04j]]"
-1106.395012767182j,"[[2.04476586e-02-1.87140125e-04j 3.21098519e-04-7.73951296e-09j]
 [2.90203869e-04-7.73959223e-09j 3.97954949e+00-1.87106788e-04j]]"
-1106.0254136314654j,"[[2.04956461e-02-2.04376290e-04j 3.57114158e-04-7.96053405e-09j]
 [3.26219509e-04-7.96061264e-09j 3.97950153e+00-2.04340182e-04j]]"
-1105.655814495749j,"[[2.05126261e-02-3.05669540e-04j 3.71492109e-04-8.48227783e-09j]
 [3.40597465e-04-8.48235482e-09j 3.97948461e+00-3.05644937e-04j]]"
-1105.2862153600324j,"[[2.04425675e-02-3.87315652e-04j 3.31462874e-04+1.33225917e-09j]
 [3.00568234e-04+1.33218335e-09j 3.97955471e+00-3.87230021e-04j]]"
-1104.916616224316j,"[[2.04540029e-02-3.32841005e-04j 3.69563192e-04+8.37208269e-09j]
 [3.38668549e-04+8.37200586e-09j 3.97954324e+00-3.32666789e-04j]]"
-1104.5470170885997j,"[[2.04128557e-02-3.42184197e-04j 3.47172594e-04+1.51783366e-08j]
 [3.16277952e-04+1.51782571e-08j 3.97958429e+00-3.41971032e-04j]]"
-1104.1774179528832j,"[[2.04374597e-02-3.30546033e-04j 3.70415750e-04+8.28911474e-09j]
 [3.39521106e-04+8.28903224e-09j 3.97955958e+00-3.30362492e-04j]]"
-1103.8078188171667j,"[[2.03749638e-02-3.28202684e-04j 3.72090641e-04+3.05719864e-09j]
 [3.41195997e-04+3.05711521e-09j 3.97962205e+00-3.28069819e-04j]]"
-1103.4382196814502j,"[[2.04194262e-02-2.90890872e-04j 3.83277056e-04-8.34376445e-09j]
 [3.52382410e-04-8.34384793e-09j 3.97957758e+00-2.90817886e-04j]]"
-1103.0686205457337j,"[[2.04160652e-02-2.84103469e-04j 4.05396972e-04-1.10871168e-08j]
 [3.74502325e-04-1.10872011e-08j 3.97958092e+00-2.84085241e-04j]]"
-1102.6990214100174j,"[[2.04362200e-02-2.77027904e-04j 3.91524980e-04-1.06036262e-08j]
 [3.60630332e-04-1.06037095e-08j 3.97956080e+00-2.77037324e-04j]]"
-1102.329422274301j,"[[2.04796320e-02-2.96128497e-04j 4.20146314e-04-7.57258032e-10j]
 [3.89251668e-04-7.57339559e-10j 3.97951745e+00-2.96166492e-04j]]"
-1101.9598231385844j,"[[2.04708186e-02-3.49918235e-04j 4.65086531e-04+5.45849470e-09j]
 [4.34191887e-04+5.45841407e-09j 3.97952629e+00-3.49977960e-04j]]"
-1101.5902240028681j,"[[2.04495924e-02-3.96020350e-04j 4.66334722e-04+9.37892208e-09j]
 [4.35440081e-04+9.37884232e-09j 3.97954755e+00-3.96082143e-04j]]"
-1101.2206248671516j,"[[2.04428023e-02-3.64642666e-04j 4.87764341e-04+7.49489263e-09j]
 [4.56869697e-04+7.49481182e-09j 3.97955431e+00-3.64729998e-04j]]"
-1100.8510257314351j,"[[2.03913024e-02-4.16470503e-04j 4.52863178e-04-5.54358110e-10j]
 [4.21968537e-04-5.54437451e-10j 3.97960586e+00-4.16579303e-04j]]"
-1100.4814265957189j,"[[2.03642862e-02-4.06718745e-04j 4.25222188e-04-7.45030860e-09j]
 [3.94327546e-04-7.45038623e-09j 3.97963294e+00-4.06834295e-04j]]"
-1100.1118274600024j,"[[2.03022305e-02-2.80835827e-04j 4.24365539e-04-3.71161068e-09j]
 [3.93470889e-04-3.71168578e-09j 3.97969508e+00-2.80874435e-04j]]"
-1099.7422283242859j,"[[2.03671170e-02-2.70719956e-04j 4.11756833e-04-2.61648188e-10j]
 [3.80862183e-04-2.61723451e-10j 3.97963019e+00-2.70702807e-04j]]"
-1099.3726291885694j,"[[2.03784529e-02-2.70811477e-04j 3.88734362e-04+7.74808853e-09j]
 [3.57839712e-04+7.74801371e-09j 3.97961888e+00-2.70706010e-04j]]"
-1099.0030300528529j,"[[2.04228729e-02-2.86671217e-04j 3.68323698e-04+8.19716642e-09j]
 [3.37429048e-04+8.19708980e-09j 3.97957439e+00-2.86497436e-04j]]"
