iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 6.85661421e-02+7.67287030e-05j -1.43114320e-03+7.46252621e-10j]
 [-5.87221486e-04+7.46496039e-10j  3.93143354e+00+7.66349118e-05j]]"
-1108.2430084457642j,"[[ 6.84940181e-02-6.26202559e-06j -1.43053979e-03+1.82980581e-08j]
 [-5.86618214e-04+1.82981976e-08j  3.93150580e+00-6.36325572e-06j]]"
-1107.8734093100477j,"[[ 6.84558234e-02-1.16168104e-04j -1.41638156e-03-5.01568160e-10j]
 [-5.72460145e-04-5.01457150e-10j  3.93154403e+00-1.16193940e-04j]]"
-1107.5038101743312j,"[[ 6.84618149e-02-7.59255956e-05j -1.44728738e-03-6.94944540e-10j]
 [-6.03365890e-04-6.94764079e-10j  3.93153795e+00-7.59749792e-05j]]"
-1107.1342110386147j,"[[ 6.84600845e-02-1.72167113e-04j -1.40685849e-03-9.71222961e-09j]
 [-5.62937150e-04-9.71204605e-09j  3.93153967e+00-1.72210588e-04j]]"
-1106.7646119028984j,"[[ 6.83225553e-02-2.35306597e-04j -1.37424753e-03-5.48987445e-09j]
 [-5.30326281e-04-5.48978047e-09j  3.93167732e+00-2.35296413e-04j]]"
-1106.395012767182j,"[[ 6.82369410e-02-2.48171811e-04j -1.36887089e-03+4.39473141e-09j]
 [-5.24949653e-04+4.39486798e-09j  3.93176288e+00-2.48199135e-04j]]"
-1106.0254136314654j,"[[ 6.82729172e-02-1.93334184e-04j -1.39225573e-03+8.45694073e-09j]
 [-5.48334403e-04+8.45691117e-09j  3.93172712e+00-1.93427075e-04j]]"
-1105.655814495749j,"[[ 6.82450165e-02-1.71139434e-04j -1.41727618e-03-2.25860078e-09j]
 [-5.73354808e-04-2.25853359e-09j  3.93175489e+00-1.71079744e-04j]]"
-1105.2862153600324j,"[[ 6.82847404e-02-1.64599079e-04j -1.41638157e-03+4.48171725e-09j]
 [-5.72460190e-04+4.48189861e-09j  3.93171502e+00-1.64520460e-04j]]"
-1104.916616224316j,"[[ 6.82103508e-02-8.51928046e-05j -1.43292495e-03-5.38489210e-09j]
 [-5.89003446e-04-5.38477010e-09j  3.93178949e+00-8.51907407e-05j]]"
-1104.5470170885997j,"[[ 6.81937204e-02-2.21407629e-04j -1.42373034e-03-4.66497292e-09j]
 [-5.79809032e-04-4.66481131e-09j  3.93180607e+00-2.21337072e-04j]]"
