iw_n,Sigma_iw_n
-554.2139040068112j,"[[ 1.18147293+4.48366829e-03j -0.68102975-4.03026375e-08j]
 [-0.68128323-4.03024280e-08j  2.81852707+4.48348853e-03j]]"
-553.8443048710948j,"[[ 1.18153228+4.47571944e-03j -0.68101621-1.04231580e-09j]
 [-0.68126969-1.04206397e-09j  2.8184679 +4.47549346e-03j]]"
-553.4747057353783j,"[[ 1.18155861+4.41536782e-03j -0.68097803-7.96529590e-09j]
 [-0.68123151-7.96502918e-09j  2.8184417 +4.41506589e-03j]]"
-553.1051065996618j,"[[ 1.18151508+4.35791987e-03j -0.68090522-9.44684385e-09j]
 [-0.6811587 -9.44655139e-09j  2.8184854 +4.35761811e-03j]]"
-552.7355074639454j,"[[ 1.18144352+4.37076106e-03j -0.68085511+2.54738688e-08j]
 [-0.68110859+2.54741556e-08j  2.81855707+4.37059709e-03j]]"
-552.3659083282289j,"[[ 1.181417  +4.43930716e-03j -0.68084336+3.07116223e-08j]
 [-0.68109684+3.07118662e-08j  2.81858357+4.43924272e-03j]]"
-551.9963091925124j,"[[ 1.18136904+4.41992093e-03j -0.6808244 +3.23982786e-09j]
 [-0.68107788+3.24005324e-09j  2.81863145+4.41986748e-03j]]"
-551.626710056796j,"[[ 1.18132976+4.44775447e-03j -0.68079343-1.19658325e-09j]
 [-0.68104691-1.19625387e-09j  2.81867067+4.44763720e-03j]]"
-551.2571109210795j,"[[ 1.18135435+4.53607212e-03j -0.68075831+1.00128014e-08j]
 [-0.68101179+1.00131332e-08j  2.81864596+4.53592557e-03j]]"
-550.8875117853631j,"[[ 1.18141194+4.64400571e-03j -0.68070272+2.03551531e-09j]
 [-0.6809562 +2.03574482e-09j  2.81858827+4.64392626e-03j]]"
-550.5179126496467j,"[[ 1.18144598+4.72614157e-03j -0.68062779+5.41319378e-10j]
 [-0.68088127+5.41417247e-10j  2.81855416+4.72610112e-03j]]"
-550.1483135139302j,"[[ 1.18147489+4.82672496e-03j -0.68061076+1.22138753e-09j]
 [-0.68086424+1.22139830e-09j  2.81852523+4.82671097e-03j]]"
-549.7787143782139j,"[[ 1.181473  +4.78572092e-03j -0.68066655-1.22322485e-08j]
 [-0.68092003-1.22322954e-08j  2.81852709+4.78567777e-03j]]"
-549.4091152424974j,"[[ 1.18146066+4.71565715e-03j -0.6806859 -4.11497838e-08j]
 [-0.68093938-4.11498967e-08j  2.81853941+4.71558513e-03j]]"
