iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.67050395+1.67169820e-03j -0.24433543+1.46034276e-05j]
 [-0.24449731+1.45849854e-05j  3.37264459+1.59073332e-03j]]"
-1108.2430084457642j,"[[ 0.67044237+1.65030567e-03j -0.24434459+2.34101944e-05j]
 [-0.24450646+2.33917601e-05j  3.37274693+1.54256029e-03j]]"
-1107.8734093100477j,"[[ 0.67055882+1.66117907e-03j -0.24433329+1.52101508e-05j]
 [-0.24449517+1.51917125e-05j  3.37257691+1.56366204e-03j]]"
-1107.5038101743312j,"[[ 0.67052787+1.61968974e-03j -0.24434189-1.38187569e-06j]
 [-0.24450377-1.40030909e-06j  3.37263985+1.53172361e-03j]]"
-1107.1342110386147j,"[[ 0.67057075+1.57662138e-03j -0.24433497-1.26213579e-05j]
 [-0.24449685-1.26397984e-05j  3.37254527+1.47926267e-03j]]"
-1106.7646119028984j,"[[ 0.67054221+1.52199507e-03j -0.24433852+4.38230169e-05j]
 [-0.24450039+4.38045796e-05j  3.37257265+1.42937200e-03j]]"
-1106.395012767182j,"[[ 0.67052062+1.53927542e-03j -0.24433216+1.92403330e-06j]
 [-0.24449404+1.90559807e-06j  3.37257419+1.46766810e-03j]]"
-1106.0254136314654j,"[[ 0.67047559+1.54892594e-03j -0.24433786-3.43722920e-05j]
 [-0.24449974-3.43907239e-05j  3.37265179+1.50734218e-03j]]"
-1105.655814495749j,"[[ 0.67032408+1.51164856e-03j -0.24434568+2.30069537e-05j]
 [-0.24450755+2.29885322e-05j  3.37287518+1.40401298e-03j]]"
-1105.2862153600324j,"[[ 0.67044799+1.51059563e-03j -0.24432412+5.35707775e-05j]
 [-0.244486  +5.35523542e-05j  3.3726858 +1.36077282e-03j]]"
-1104.916616224316j,"[[ 0.67049427+1.50696502e-03j -0.24429016+3.90967016e-05j]
 [-0.24445203+3.90782826e-05j  3.3726105 +1.40230611e-03j]]"
-1104.5470170885997j,"[[ 0.67043773+1.53355144e-03j -0.24427993+2.16259225e-05j]
 [-0.24444181+2.16075089e-05j  3.3726676 +1.41558102e-03j]]"
-1104.1774179528832j,"[[ 0.67049957+1.59997136e-03j -0.24428181-8.61408310e-06j]
 [-0.24444369-8.63249606e-06j  3.37259954+1.52802109e-03j]]"
-1103.8078188171667j,"[[ 0.67046031+1.55471865e-03j -0.24428781-9.14069141e-06j]
 [-0.24444968-9.15909647e-06j  3.37269244+1.45517685e-03j]]"
-1103.4382196814502j,"[[ 0.67051899+1.53604514e-03j -0.2443035 -1.29967187e-05j]
 [-0.24446538-1.30151321e-05j  3.37258661+1.44288818e-03j]]"
-1103.0686205457337j,"[[ 0.67047073+1.53665518e-03j -0.24429839+6.76509411e-06j]
 [-0.24446027+6.74668078e-06j  3.37262858+1.45031125e-03j]]"
-1102.6990214100174j,"[[ 0.67045794+1.56726481e-03j -0.24429576+1.77873007e-05j]
 [-0.24445763+1.77688920e-05j  3.37264932+1.49308134e-03j]]"
-1102.329422274301j,"[[ 0.67039566+1.54233237e-03j -0.24429929+3.50051272e-05j]
 [-0.24446117+3.49867275e-05j  3.37274787+1.44042076e-03j]]"
-1101.9598231385844j,"[[ 0.67035238+1.58745192e-03j -0.2442859 +3.52946903e-05j]
 [-0.24444777+3.52762916e-05j  3.37276318+1.47839124e-03j]]"
-1101.5902240028681j,"[[ 0.67042044+1.65319746e-03j -0.24427183+4.23039183e-05j]
 [-0.24443371+4.22855169e-05j  3.37263495+1.54136417e-03j]]"
-1101.2206248671516j,"[[ 0.67038495+1.81053897e-03j -0.24429252-3.10338765e-05j]
 [-0.24445439-3.10522714e-05j  3.372714  +1.71074564e-03j]]"
-1100.8510257314351j,"[[ 0.67054082+1.81933893e-03j -0.24431774-3.78307376e-05j]
 [-0.24447961-3.78491362e-05j  3.37256179+1.69425489e-03j]]"
-1100.4814265957189j,"[[ 0.67057344+1.74536050e-03j -0.2443424 +4.30571414e-06j]
 [-0.24450427+4.28731456e-06j  3.3725336 +1.64197356e-03j]]"
-1100.1118274600024j,"[[ 0.67056948+1.74648728e-03j -0.24434825-2.07405054e-05j]
 [-0.24451012-2.07589022e-05j  3.37255058+1.66377973e-03j]]"
-1099.7422283242859j,"[[ 0.67057892+1.68930579e-03j -0.24435579-1.26670008e-05j]
 [-0.24451767-1.26853977e-05j  3.37254575+1.57599115e-03j]]"
-1099.3726291885694j,"[[ 0.67057725+1.64218601e-03j -0.24435806+3.89941352e-05j]
 [-0.24451993+3.89757388e-05j  3.37253561+1.53751716e-03j]]"
-1099.0030300528529j,"[[ 0.67054414+1.64138364e-03j -0.24436149+2.52753173e-05j]
 [-0.24452337+2.52569281e-05j  3.37258697+1.55618787e-03j]]"
-1098.6334309171366j,"[[ 0.67050328+1.58938942e-03j -0.24434657+3.00870627e-05j]
 [-0.24450845+3.00686803e-05j  3.37263981+1.49382379e-03j]]"
-1098.26383178142j,"[[ 0.6704723 +1.59946878e-03j -0.24431512+1.19492985e-05j]
 [-0.244477  +1.19309229e-05j  3.37267746+1.49329480e-03j]]"
-1097.8942326457036j,"[[ 0.67048731+1.59303694e-03j -0.24432066+1.17625080e-06j]
 [-0.24448254+1.15787409e-06j  3.37264744+1.46083440e-03j]]"
-1097.524633509987j,"[[ 0.67052829+1.61462574e-03j -0.24431571+2.78057702e-05j]
 [-0.24447758+2.77873921e-05j  3.37257694+1.49966798e-03j]]"
-1097.1550343742706j,"[[ 0.67052218+1.63809010e-03j -0.24429804-3.67479381e-06j]
 [-0.24445991-3.69316505e-06j  3.37260561+1.54863148e-03j]]"
-1096.785435238554j,"[[ 0.67051199+1.55751910e-03j -0.24430747+5.31637920e-06j]
 [-0.24446934+5.29800914e-06j  3.37261899+1.43152208e-03j]]"
-1096.4158361028378j,"[[ 0.67043384+1.60748130e-03j -0.24430989-1.03672153e-05j]
 [-0.24447176-1.03855803e-05j  3.37272689+1.53735019e-03j]]"
-1096.0462369671213j,"[[ 0.67043955+1.50520167e-03j -0.24431323+5.41628995e-05j]
 [-0.24447511+5.41445381e-05j  3.37272038+1.37143163e-03j]]"
-1095.6766378314048j,"[[ 0.67047082+1.56864965e-03j -0.24430034-5.16143129e-06j]
 [-0.24446221-5.17979309e-06j  3.37265291+1.46484866e-03j]]"
-1095.3070386956883j,"[[ 0.67041237+1.48821780e-03j -0.24430689+7.61485727e-06j]
 [-0.24446876+7.59649786e-06j  3.37272373+1.39309219e-03j]]"
-1094.9374395599718j,"[[ 0.67033281+1.52363207e-03j -0.24431407+2.37025057e-06j]
 [-0.24447594+2.35189138e-06j  3.37279643+1.44326987e-03j]]"
-1094.5678404242556j,"[[ 0.67030695+1.55996312e-03j -0.24432355+2.67633247e-06j]
 [-0.24448543+2.65797720e-06j  3.37284155+1.44922516e-03j]]"
-1094.198241288539j,"[[ 0.67036478+1.63144928e-03j -0.24433033-1.10514327e-05j]
 [-0.2444922 -1.10697884e-05j  3.37277673+1.51393213e-03j]]"
-1093.8286421528228j,"[[ 0.67050571+1.55833052e-03j -0.244323  +1.81425190e-05j]
 [-0.24448488+1.81241607e-05j  3.37259965+1.44467497e-03j]]"
-1093.4590430171063j,"[[ 0.6704384 +1.51383457e-03j -0.24431382+3.12055886e-05j]
 [-0.24447569+3.11872411e-05j  3.37270811+1.40140439e-03j]]"
-1093.0894438813898j,"[[ 0.6704848 +1.48310761e-03j -0.24431082+2.61015243e-06j]
 [-0.24447269+2.59180951e-06j  3.3726663 +1.35150809e-03j]]"
-1092.7198447456733j,"[[ 0.6705525 +1.40635252e-03j -0.24431646-1.68242318e-06j]
 [-0.24447834-1.70077264e-06j  3.37255391+1.25314667e-03j]]"
-1092.350245609957j,"[[ 0.67049471+1.39506472e-03j -0.24430125+2.93599013e-05j]
 [-0.24446312+2.93415575e-05j  3.37262602+1.29623647e-03j]]"
-1091.9806464742405j,"[[ 0.67047966+1.36104438e-03j -0.24428994+2.80526041e-05j]
 [-0.24445182+2.80342660e-05j  3.37264405+1.25740237e-03j]]"
-1091.611047338524j,"[[ 0.67040904+1.36124830e-03j -0.24427723+1.70975984e-05j]
 [-0.24443911+1.70792689e-05j  3.37273854+1.27228010e-03j]]"
-1091.2414482028075j,"[[ 0.67033434+1.34195046e-03j -0.24429079-1.91292442e-05j]
 [-0.24445267-1.91475716e-05j  3.37283399+1.24103795e-03j]]"
-1090.871849067091j,"[[ 0.67029771+1.26847283e-03j -0.24428879+4.42056678e-05j]
 [-0.24445066+4.41873388e-05j  3.37284537+1.10021444e-03j]]"
-1090.5022499313748j,"[[ 0.67028362+1.33647287e-03j -0.24427711+1.97291070e-05j]
 [-0.24443899+1.97107748e-05j  3.37280017+1.18314197e-03j]]"
-1090.1326507956583j,"[[ 0.67032328+1.50556023e-03j -0.24427312-1.64840555e-05j]
 [-0.24443499-1.65023896e-05j  3.37274083+1.39929878e-03j]]"
-1089.7630516599418j,"[[ 0.67032922+1.55304827e-03j -0.24429753-1.66986752e-05j]
 [-0.2444594 -1.67170070e-05j  3.37277034+1.47386765e-03j]]"
-1089.3934525242253j,"[[ 0.67029213+1.51916944e-03j -0.24431172+1.92562582e-05j]
 [-0.24447359+1.92379301e-05j  3.37282956+1.41072324e-03j]]"
-1089.0238533885088j,"[[ 0.67026415+1.53776209e-03j -0.24433416+4.85258086e-06j]
 [-0.24449603+4.83424993e-06j  3.37283456+1.40144722e-03j]]"
-1088.6542542527923j,"[[ 0.67031127+1.66119717e-03j -0.2443136 +2.29949832e-05j]
 [-0.24447548+2.29766536e-05j  3.37276863+1.55066030e-03j]]"
-1088.284655117076j,"[[ 0.67035708+1.60976074e-03j -0.24429445+4.62134362e-05j]
 [-0.24445633+4.61951118e-05j  3.37270832+1.48401217e-03j]]"
-1087.9150559813595j,"[[ 0.67025709+1.67033968e-03j -0.24426985+1.68805199e-05j]
 [-0.24443172+1.68622075e-05j  3.37284444+1.57185754e-03j]]"
