iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.13575979+3.18960393e-04j -0.00859669+5.80066976e-09j]
 [-0.00886712+5.80068581e-09j  3.86424028+3.18967211e-04j]]"
-1108.2430084457642j,"[[ 0.13583299+2.42319598e-04j -0.0085952 -4.08334418e-10j]
 [-0.00886563-4.08307375e-10j  3.86416712+2.42301704e-04j]]"
-1107.8734093100477j,"[[ 0.13576361+1.90840147e-04j -0.00860693-8.40119327e-10j]
 [-0.00887736-8.40111744e-10j  3.86423642+1.90748830e-04j]]"
-1107.5038101743312j,"[[ 0.13571817+2.47750867e-04j -0.0086042 -1.24020057e-09j]
 [-0.00887463-1.24019231e-09j  3.86428187+2.47665374e-04j]]"
-1107.1342110386147j,"[[ 0.13580869+3.17259954e-04j -0.00859923+1.11671448e-09j]
 [-0.00886966+1.11670021e-09j  3.86419126+3.17169844e-04j]]"
-1106.7646119028984j,"[[ 0.13579832+3.21567689e-04j -0.00861034-5.69835672e-09j]
 [-0.00888077-5.69830768e-09j  3.86420188+3.21452960e-04j]]"
-1106.395012767182j,"[[ 0.13582729+3.00472301e-04j -0.00861059-2.44498818e-09j]
 [-0.00888102-2.44493627e-09j  3.86417292+3.00452204e-04j]]"
-1106.0254136314654j,"[[ 0.13584792+3.70053755e-04j -0.00861717-1.70361070e-09j]
 [-0.00888759-1.70354211e-09j  3.86415236+3.70104697e-04j]]"
-1105.655814495749j,"[[ 0.13585276+2.93462872e-04j -0.00861422-2.32477801e-09j]
 [-0.00888464-2.32473572e-09j  3.86414742+2.93352345e-04j]]"
-1105.2862153600324j,"[[ 0.13592967+1.93896655e-04j -0.00861593-3.93105472e-09j]
 [-0.00888636-3.93102700e-09j  3.86407045+1.93839740e-04j]]"
-1104.916616224316j,"[[ 0.13595604+1.84410348e-04j -0.00859943-4.45571987e-09j]
 [-0.00886986-4.45568753e-09j  3.86404409+1.84503194e-04j]]"
-1104.5470170885997j,"[[ 0.13595485+1.56461282e-04j -0.0086006 -2.07795844e-09j]
 [-0.00887103-2.07789827e-09j  3.86404539+1.56463116e-04j]]"
-1104.1774179528832j,"[[ 0.13585775+1.82730367e-04j -0.00859668-4.09158589e-10j]
 [-0.00886711-4.09130784e-10j  3.86414236+1.82712057e-04j]]"
-1103.8078188171667j,"[[ 0.13582458+4.72499244e-06j -0.00860214-1.61744061e-09j]
 [-0.00887256-1.61743118e-09j  3.86417545+4.80243180e-06j]]"
-1103.4382196814502j,"[[ 0.1356983 -2.05529166e-05j -0.00860578+3.73960006e-09j]
 [-0.00887621+3.73958189e-09j  3.86430162-2.05546130e-05j]]"
-1103.0686205457337j,"[[ 0.1357335 -3.55192994e-05j -0.00860067+5.14657272e-09j]
 [-0.0088711 +5.14656842e-09j  3.86426648-3.55495723e-05j]]"
-1102.6990214100174j,"[[ 0.1356576 +1.03603126e-04j -0.00860935+9.19445473e-09j]
 [-0.00887978+9.19446464e-09j  3.86434244+1.03601702e-04j]]"
-1102.329422274301j,"[[ 0.13561467+2.79817484e-04j -0.0086066 +8.54053635e-09j]
 [-0.00887703+8.54054909e-09j  3.86438538+2.79815428e-04j]]"
-1101.9598231385844j,"[[ 0.13568376+2.90211552e-04j -0.00862505+5.22568298e-09j]
 [-0.00889547+5.22566356e-09j  3.86431616+2.90176887e-04j]]"
-1101.5902240028681j,"[[ 0.13574913+2.82552884e-04j -0.0086197 +9.89366055e-09j]
 [-0.00889013+9.89364335e-09j  3.8642508 +2.82369017e-04j]]"
-1101.2206248671516j,"[[ 0.13576562+2.19598759e-04j -0.00861798-1.21674970e-10j]
 [-0.00888841-1.21654999e-10j  3.86423446+2.19513907e-04j]]"
-1100.8510257314351j,"[[ 0.13579525+2.46866242e-04j -0.00862633-3.49505020e-09j]
 [-0.00889676-3.49505289e-09j  3.86420474+2.46819746e-04j]]"
-1100.4814265957189j,"[[ 0.13579974+3.01982484e-04j -0.00863122-3.77935217e-09j]
 [-0.00890165-3.77935547e-09j  3.86420025+3.01955288e-04j]]"
-1100.1118274600024j,"[[ 0.13588286+2.57303752e-04j -0.00864018-8.83362751e-10j]
 [-0.00891061-8.83350049e-10j  3.86411719+2.57193037e-04j]]"
-1099.7422283242859j,"[[ 0.13597774+1.13626165e-04j -0.00864031-4.02337822e-09j]
 [-0.00891074-4.02338784e-09j  3.86402222+1.13441981e-04j]]"
-1099.3726291885694j,"[[ 0.1358635 +2.00796568e-05j -0.00864069+4.57334387e-09j]
 [-0.00891112+4.57334691e-09j  3.86413651+2.00234178e-05j]]"
-1099.0030300528529j,"[[ 0.13577984+1.43267274e-04j -0.00864025+1.85791672e-09j]
 [-0.00891068+1.85792000e-09j  3.86422017+1.43154583e-04j]]"
-1098.6334309171366j,"[[ 0.13569696+2.09537673e-04j -0.00864247-3.28638810e-10j]
 [-0.0089129 -3.28642320e-10j  3.86430303+2.09464831e-04j]]"
-1098.26383178142j,"[[ 0.13564432+2.79032858e-04j -0.00864576-3.04366706e-09j]
 [-0.00891619-3.04365444e-09j  3.86435573+2.78937578e-04j]]"
-1097.8942326457036j,"[[ 0.13561548+2.69897117e-04j -0.00865967+6.74528114e-09j]
 [-0.0089301 +6.74529234e-09j  3.86438456+2.69758353e-04j]]"
-1097.524633509987j,"[[ 0.13567271+2.86411125e-04j -0.00865567+2.39345831e-09j]
 [-0.0089261 +2.39346334e-09j  3.86432731+2.86252030e-04j]]"
-1097.1550343742706j,"[[ 0.13565418+2.49627278e-04j -0.00864944-2.72933713e-09j]
 [-0.00891987-2.72933891e-09j  3.86434581+2.49461077e-04j]]"
-1096.785435238554j,"[[ 0.13574419+2.08355807e-04j -0.00864131-7.31382769e-09j]
 [-0.00891174-7.31380913e-09j  3.86425589+2.08135792e-04j]]"
-1096.4158361028378j,"[[ 0.1357231 +2.25863951e-04j -0.00864466-1.07843511e-08j]
 [-0.00891508-1.07843584e-08j  3.86427687+2.25661973e-04j]]"
-1096.0462369671213j,"[[ 0.13577366+3.13943242e-04j -0.0086461 -2.28641314e-09j]
 [-0.00891653-2.28640206e-09j  3.86422638+3.13747636e-04j]]"
-1095.6766378314048j,"[[ 0.1358339 +4.36946750e-04j -0.00865714-4.78857799e-09j]
 [-0.00892757-4.78856732e-09j  3.86416614+4.36729042e-04j]]"
-1095.3070386956883j,"[[ 0.13587371+3.59501652e-04j -0.00865894-4.68727026e-09j]
 [-0.00892937-4.68721036e-09j  3.86412653+3.59359390e-04j]]"
-1094.9374395599718j,"[[ 0.13592693+4.20266933e-04j -0.00865823-9.39601154e-10j]
 [-0.00892866-9.39574107e-10j  3.86407318+4.20232602e-04j]]"
-1094.5678404242556j,"[[ 0.13592412+3.25047392e-04j -0.00866533+4.74135776e-09j]
 [-0.00893576+4.74135411e-09j  3.86407586+3.24884884e-04j]]"
