iw_n,Sigma_iw_n
-1108.6126075814807j,"[[-9.65474313e-04-2.17362081e-04j  2.52157103e-04+1.73479223e-08j]
 [-4.20432967e-04+1.73480807e-08j  4.00096574e+00-2.17434474e-04j]]"
-1108.2430084457642j,"[[-9.61603577e-04-1.63050196e-04j  2.64171095e-04+2.55760541e-08j]
 [-4.08419048e-04+2.55762080e-08j  4.00096186e+00-1.63067616e-04j]]"
-1107.8734093100477j,"[[-9.57970650e-04-1.02725079e-04j  2.85896099e-04+3.43482187e-08j]
 [-3.86694124e-04+3.43483645e-08j  4.00095821e+00-1.02692302e-04j]]"
-1107.5038101743312j,"[[-9.12747418e-04-6.19531925e-05j  3.00173438e-04+4.29377785e-08j]
 [-3.72416841e-04+4.29379241e-08j  4.00091299e+00-6.18708518e-05j]]"
-1107.1342110386147j,"[[-8.31688581e-04-4.10564385e-05j  3.25586071e-04+5.05165150e-08j]
 [-3.47004239e-04+5.05166630e-08j  4.00083193e+00-4.09146226e-05j]]"
-1106.7646119028984j,"[[-7.83621895e-04-4.40406379e-05j  3.62935944e-04+5.83500013e-08j]
 [-3.09654369e-04+5.83501479e-08j  4.00078386e+00-4.38376480e-05j]]"
-1106.395012767182j,"[[-7.35220964e-04-6.50173699e-05j  3.98120727e-04+6.65763127e-08j]
 [-2.74469566e-04+6.65764522e-08j  4.00073545e+00-6.47320594e-05j]]"
-1106.0254136314654j,"[[-6.99354920e-04-1.13045472e-04j  4.32487218e-04+7.32608958e-08j]
 [-2.40103023e-04+7.32610220e-08j  4.00069956e+00-1.12687752e-04j]]"
-1105.655814495749j,"[[-7.19098443e-04-1.70117286e-04j  4.65562658e-04+8.04924762e-08j]
 [-2.07027521e-04+8.04925750e-08j  4.00071926e+00-1.69673625e-04j]]"
-1105.2862153600324j,"[[-7.32144442e-04-1.93644342e-04j  4.94498983e-04+8.61918345e-08j]
 [-1.78091174e-04+8.61918959e-08j  4.00073225e+00-1.93136033e-04j]]"
-1104.916616224316j,"[[-7.26638643e-04-2.00393923e-04j  5.28693721e-04+9.23836455e-08j]
 [-1.43896434e-04+9.23836638e-08j  4.00072667e+00-1.99844310e-04j]]"
