iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.01166102e-01+5.98396030e-04j -1.53882635e-03+3.82756780e-09j]
 [-2.38531684e-03+3.81316933e-09j  3.89881504e+00+5.98538013e-04j]]"
-1108.2430084457642j,"[[ 1.01253861e-01+6.50893487e-04j -1.54707285e-03-9.87599551e-09j]
 [-2.39356342e-03-9.89046556e-09j  3.89872720e+00+6.50994334e-04j]]"
-1107.8734093100477j,"[[ 1.01307914e-01+6.82508442e-04j -1.56683222e-03-1.97658680e-08j]
 [-2.41332285e-03-1.97803954e-08j  3.89867307e+00+6.82525827e-04j]]"
-1107.5038101743312j,"[[ 1.01354796e-01+7.85039344e-04j -1.54949032e-03-1.03981637e-08j]
 [-2.39598112e-03-1.04127760e-08j  3.89862609e+00+7.85136057e-04j]]"
-1107.1342110386147j,"[[ 1.01375156e-01+7.99342295e-04j -1.55666589e-03-4.67737241e-09j]
 [-2.40315672e-03-4.69202861e-09j  3.89860568e+00+7.99526072e-04j]]"
-1106.7646119028984j,"[[ 1.01420610e-01+8.43521803e-04j -1.56232272e-03+1.00967773e-08j]
 [-2.40881362e-03+1.00822680e-08j  3.89856042e+00+8.43698938e-04j]]"
-1106.395012767182j,"[[ 1.01486371e-01+9.26054934e-04j -1.56455605e-03+8.76736069e-10j]
 [-2.41104708e-03+8.62432599e-10j  3.89849494e+00+9.26177655e-04j]]"
-1106.0254136314654j,"[[ 1.01572664e-01+1.01523673e-03j -1.57548093e-03+7.65625502e-09j]
 [-2.42197210e-03+7.64185626e-09j  3.89840852e+00+1.01543721e-03j]]"
-1105.655814495749j,"[[ 1.01648244e-01+8.47826072e-04j -1.57776667e-03-1.48795513e-09j]
 [-2.42425760e-03-1.50243077e-09j  3.89833285e+00+8.47964183e-04j]]"
-1105.2862153600324j,"[[ 1.01784757e-01+8.01773893e-04j -1.57557906e-03-2.97876102e-09j]
 [-2.42206992e-03-2.99327586e-09j  3.89819629e+00+8.02002817e-04j]]"
-1104.916616224316j,"[[ 1.01851347e-01+8.68720693e-04j -1.59272862e-03-7.07149526e-09j]
 [-2.43921959e-03-7.08604727e-09j  3.89812966e+00+8.68819531e-04j]]"
-1104.5470170885997j,"[[ 1.01932027e-01+7.96101555e-04j -1.58304343e-03+3.81886956e-09j]
 [-2.42953430e-03+3.80456082e-09j  3.89804930e+00+7.96231958e-04j]]"
-1104.1774179528832j,"[[ 1.01868933e-01+7.95593359e-04j -1.56429378e-03+8.75885156e-10j]
 [-2.41078465e-03+8.61519288e-10j  3.89811233e+00+7.95851547e-04j]]"
-1103.8078188171667j,"[[ 1.01853001e-01+6.02296291e-04j -1.57171466e-03-6.09890236e-10j]
 [-2.41820524e-03-6.24403844e-10j  3.89812808e+00+6.02551190e-04j]]"
-1103.4382196814502j,"[[ 1.01780979e-01+4.91229012e-04j -1.57132263e-03+1.07351021e-08j]
 [-2.41781305e-03+1.07205945e-08j  3.89820011e+00+4.91586510e-04j]]"
-1103.0686205457337j,"[[ 1.01845944e-01+5.24154199e-04j -1.56499005e-03-6.07298340e-09j]
 [-2.41148053e-03-6.08761907e-09j  3.89813499e+00+5.24392805e-04j]]"
-1102.6990214100174j,"[[ 1.01884500e-01+5.53598681e-04j -1.56140044e-03+5.16065739e-09j]
 [-2.40789097e-03+5.14605485e-09j  3.89809648e+00+5.53842523e-04j]]"
-1102.329422274301j,"[[ 1.01942351e-01+6.12629687e-04j -1.57265372e-03-2.67427896e-09j]
 [-2.41914434e-03-2.68883099e-09j  3.89803870e+00+6.12955983e-04j]]"
-1101.9598231385844j,"[[ 1.01945478e-01+4.51110559e-04j -1.58285141e-03+1.29701019e-08j]
 [-2.42934180e-03+1.29554944e-08j  3.89803551e+00+4.51431971e-04j]]"
