iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.24013034+1.08740825e-03j -0.08135589-1.73252721e-08j]
 [-0.07987419-1.73258380e-08j  3.75987008+1.08725975e-03j]]"
-1108.2430084457642j,"[[ 0.24013555+1.08740486e-03j -0.08136039-1.31000227e-08j]
 [-0.07987868-1.31005820e-08j  3.75986487+1.08717932e-03j]]"
-1107.8734093100477j,"[[ 0.24015104+1.08417615e-03j -0.08136308-4.24598270e-09j]
 [-0.07988137-4.24669197e-09j  3.75984949+1.08404578e-03j]]"
-1107.5038101743312j,"[[ 0.24016307+1.07004079e-03j -0.08136306-2.64656151e-09j]
 [-0.07988136-2.64716993e-09j  3.75983738+1.06987536e-03j]]"
-1107.1342110386147j,"[[ 0.24027774+1.13370027e-03j -0.0813374 -1.20206514e-08j]
 [-0.0798557 -1.20212305e-08j  3.7597227 +1.13362530e-03j]]"
-1106.7646119028984j,"[[ 0.24029317+1.21589321e-03j -0.08133842-1.67640357e-08j]
 [-0.07985671-1.67645355e-08j  3.7597072 +1.21580939e-03j]]"
-1106.395012767182j,"[[ 0.24031383+1.26447257e-03j -0.08135583-1.51207252e-08j]
 [-0.07987413-1.51212662e-08j  3.75968657+1.26436391e-03j]]"
-1106.0254136314654j,"[[ 0.24035513+1.28391659e-03j -0.08135659-2.11877818e-08j]
 [-0.07987489-2.11882913e-08j  3.75964525+1.28378514e-03j]]"
-1105.655814495749j,"[[ 0.24042028+1.32733912e-03j -0.08137347-3.12470019e-08j]
 [-0.07989176-3.12475645e-08j  3.75958013+1.32719134e-03j]]"
-1105.2862153600324j,"[[ 0.24051206+1.32514117e-03j -0.08139211-3.09922711e-08j]
 [-0.0799104 -3.09931075e-08j  3.75948857+1.32509686e-03j]]"
-1104.916616224316j,"[[ 0.24054448+1.22992577e-03j -0.08138777-2.72031351e-08j]
 [-0.07990607-2.72038473e-08j  3.75945605+1.22981288e-03j]]"
-1104.5470170885997j,"[[ 0.24058671+1.24195742e-03j -0.08136894-3.05095450e-08j]
 [-0.07988723-3.05103011e-08j  3.75941386+1.24191031e-03j]]"
-1104.1774179528832j,"[[ 0.2406033 +1.29089657e-03j -0.08135549-1.75291443e-08j]
 [-0.07987379-1.75299885e-08j  3.75939732+1.29084671e-03j]]"
-1103.8078188171667j,"[[ 0.2406796 +1.29539187e-03j -0.08139046-5.35807398e-09j]
 [-0.07990875-5.35882401e-09j  3.75932096+1.29532562e-03j]]"
-1103.4382196814502j,"[[ 0.24077025+1.23341592e-03j -0.0814016 -6.34625907e-09j]
 [-0.0799199 -6.34684884e-09j  3.75923019+1.23338191e-03j]]"
-1103.0686205457337j,"[[ 0.24077565+1.21190475e-03j -0.08141413-5.96907852e-09j]
 [-0.07993243-5.96967453e-09j  3.75922479+1.21171386e-03j]]"
-1102.6990214100174j,"[[ 0.24079764+1.16955463e-03j -0.08142132-1.09883828e-08j]
 [-0.07993962-1.09891736e-08j  3.75920295+1.16952143e-03j]]"
-1102.329422274301j,"[[ 0.24080635+1.14029229e-03j -0.08143954-3.52793795e-10j]
 [-0.07995784-3.53481137e-10j  3.75919417+1.14030394e-03j]]"
-1101.9598231385844j,"[[ 0.24075672+1.11153882e-03j -0.08144689-6.56215946e-09j]
 [-0.07996518-6.56282843e-09j  3.75924378+1.11156856e-03j]]"
-1101.5902240028681j,"[[ 0.24084825+1.09989893e-03j -0.0814413 +1.45808551e-11j]
 [-0.0799596 +1.37774951e-11j  3.75915235+1.09990498e-03j]]"
-1101.2206248671516j,"[[ 0.24088299+1.09061935e-03j -0.08145944+5.26426423e-09j]
 [-0.07997774+5.26355276e-09j  3.75911754+1.09060974e-03j]]"
-1100.8510257314351j,"[[ 0.2408994 +1.03594094e-03j -0.08146254+3.98836465e-09j]
 [-0.07998083+3.98751738e-09j  3.75910123+1.03593372e-03j]]"
-1100.4814265957189j,"[[ 0.24090127+1.00892081e-03j -0.08146333+8.72254864e-09j]
 [-0.07998163+8.72183247e-09j  3.75909926+1.00889382e-03j]]"
-1100.1118274600024j,"[[ 0.24093258+9.70305983e-04j -0.08145275+1.93425757e-09j]
 [-0.07997105+1.93350772e-09j  3.75906798+9.70319545e-04j]]"
-1099.7422283242859j,"[[ 0.24094079+9.29583210e-04j -0.08146949+1.38949349e-08j]
 [-0.07998779+1.38941834e-08j  3.75905977+9.29562278e-04j]]"
-1099.3726291885694j,"[[ 0.24098031+8.97359643e-04j -0.0814658 +1.68892689e-08j]
 [-0.0799841 +1.68887125e-08j  3.75902011+8.97309575e-04j]]"
-1099.0030300528529j,"[[ 0.24104848+8.86601016e-04j -0.0814643 +7.25886966e-09j]
 [-0.07998259+7.25827163e-09j  3.75895196+8.86536634e-04j]]"
-1098.6334309171366j,"[[ 0.24106323+7.51548650e-04j -0.08145542-6.32720786e-09j]
 [-0.07997371-6.32775611e-09j  3.75893718+7.51646164e-04j]]"
-1098.26383178142j,"[[ 0.24102283+7.55575731e-04j -0.08145187-1.63896823e-08j]
 [-0.07997017-1.63902365e-08j  3.75897758+7.55583518e-04j]]"
