iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.73776066+1.64877617e-03j -0.35639701-1.32558844e-07j]
 [-0.34882273-1.32683478e-07j  3.26225758+1.64902799e-03j]]"
-1108.2430084457642j,"[[ 0.73781384+1.59153734e-03j -0.35634046-1.24057818e-07j]
 [-0.34876618-1.24181584e-07j  3.26220427+1.59167853e-03j]]"
-1107.8734093100477j,"[[ 0.73783149+1.61847225e-03j -0.35635516-7.92630280e-08j]
 [-0.34878088-7.93860699e-08j  3.26218651+1.61854632e-03j]]"
-1107.5038101743312j,"[[ 0.73778391+1.60516285e-03j -0.35638355-1.00496485e-07j]
 [-0.34880927-1.00619724e-07j  3.26223411+1.60513374e-03j]]"
-1107.1342110386147j,"[[ 0.73779881+1.59683963e-03j -0.35637504-1.00439688e-07j]
 [-0.34880076-1.00563062e-07j  3.26221923+1.59673568e-03j]]"
-1106.7646119028984j,"[[ 0.73778806+1.57921386e-03j -0.35640422-9.60441696e-08j]
 [-0.34882994-9.61694935e-08j  3.26223026+1.57910724e-03j]]"
-1106.395012767182j,"[[ 0.73777978+1.56877600e-03j -0.35642331-9.17367884e-08j]
 [-0.34884903-9.18629515e-08j  3.26223865+1.56874524e-03j]]"
-1106.0254136314654j,"[[ 0.73782225+1.53586403e-03j -0.35642204-8.22115981e-08j]
 [-0.34884776-8.23377220e-08j  3.26219617+1.53591550e-03j]]"
-1105.655814495749j,"[[ 0.73785792+1.53183693e-03j -0.35640336-3.98794399e-08j]
 [-0.34882908-4.00054628e-08j  3.26216048+1.53202384e-03j]]"
-1105.2862153600324j,"[[ 0.73785935+1.60262009e-03j -0.35639811-5.63087468e-08j]
 [-0.34882383-5.64336764e-08j  3.26215888+1.60293216e-03j]]"
-1104.916616224316j,"[[ 0.7378665 +1.58018792e-03j -0.35641067-5.65571723e-08j]
 [-0.34883639-5.66822686e-08j  3.26215175+1.58044381e-03j]]"
-1104.5470170885997j,"[[ 0.73785168+1.55004878e-03j -0.35639581-5.03156637e-08j]
 [-0.34882153-5.04394688e-08j  3.26216638+1.55035650e-03j]]"
-1104.1774179528832j,"[[ 0.73781234+1.64745777e-03j -0.35638008-5.31455293e-08j]
 [-0.3488058 -5.32690487e-08j  3.26220566+1.64770737e-03j]]"
-1103.8078188171667j,"[[ 0.73782135+1.68203775e-03j -0.35638464-3.67601027e-08j]
 [-0.34881036-3.68845523e-08j  3.26219679+1.68214062e-03j]]"
-1103.4382196814502j,"[[ 0.73781559+1.72644078e-03j -0.35637992+3.59505523e-08j]
 [-0.34880563+3.58266199e-08j  3.26220246+1.72654335e-03j]]"
-1103.0686205457337j,"[[ 0.73780123+1.72087141e-03j -0.3564145 +4.28658367e-08j]
 [-0.34884022+4.27423400e-08j  3.26221676+1.72097919e-03j]]"
-1102.6990214100174j,"[[ 0.73777983+1.61056649e-03j -0.35645123+1.00202244e-08j]
 [-0.34887695+9.89692995e-09j  3.26223812+1.61062376e-03j]]"
-1102.329422274301j,"[[ 0.73773275+1.57391523e-03j -0.35642843+6.11321921e-09j]
 [-0.34885415+5.99028892e-09j  3.26228515+1.57401396e-03j]]"
-1101.9598231385844j,"[[ 0.73770758+1.66676483e-03j -0.35638754+8.89119971e-09j]
 [-0.34881326+8.76845043e-09j  3.26231028+1.66694065e-03j]]"
-1101.5902240028681j,"[[ 0.73768242+1.71738762e-03j -0.35638719+1.14101274e-09j]
 [-0.3488129 +1.01799005e-09j  3.26233547+1.71746084e-03j]]"
-1101.2206248671516j,"[[ 0.73767644+1.71377062e-03j -0.35639172+3.93828879e-08j]
 [-0.34881744+3.92591734e-08j  3.26234154+1.71373147e-03j]]"
-1100.8510257314351j,"[[ 0.73770253+1.70367751e-03j -0.35637524+3.24987772e-08j]
 [-0.34880095+3.23751892e-08j  3.26231544+1.70368094e-03j]]"
-1100.4814265957189j,"[[ 0.73766606+1.69976575e-03j -0.35636274+3.25699311e-08j]
 [-0.34878846+3.24463221e-08j  3.2623519 +1.69980529e-03j]]"
-1100.1118274600024j,"[[ 0.73768097+1.70476737e-03j -0.3563584 -1.12130165e-08j]
 [-0.34878412-1.13368201e-08j  3.26233702+1.70483763e-03j]]"
-1099.7422283242859j,"[[ 0.73769503+1.74270822e-03j -0.3563276 -4.05837136e-08j]
 [-0.34875332-4.07077179e-08j  3.26232297+1.74279655e-03j]]"
-1099.3726291885694j,"[[ 0.73778146+1.82201948e-03j -0.35632113-4.98743461e-08j]
 [-0.34874685-4.99979882e-08j  3.26223649+1.82214709e-03j]]"
-1099.0030300528529j,"[[ 0.73787887+1.86234341e-03j -0.35635741-7.30858695e-08j]
 [-0.34878312-7.32091266e-08j  3.26213902+1.86256809e-03j]]"
-1098.6334309171366j,"[[ 0.73783827+1.79011121e-03j -0.35635839-1.17559594e-07j]
 [-0.34878411-1.17682674e-07j  3.26217959+1.79029188e-03j]]"
-1098.26383178142j,"[[ 0.7377822 +1.78492088e-03j -0.35635692-9.21146557e-08j]
 [-0.34878264-9.22376835e-08j  3.26223564+1.78511056e-03j]]"
-1097.8942326457036j,"[[ 0.73773648+1.78896957e-03j -0.35637089-9.18494562e-08j]
 [-0.3487966 -9.19726800e-08j  3.26228139+1.78906125e-03j]]"
-1097.524633509987j,"[[ 0.73769189+1.75954943e-03j -0.35636825-1.20539266e-07j]
 [-0.34879397-1.20662669e-07j  3.26232599+1.75956521e-03j]]"
-1097.1550343742706j,"[[ 0.73768356+1.79553051e-03j -0.3563721 -1.43899598e-07j]
 [-0.34879782-1.44023914e-07j  3.26233445+1.79550043e-03j]]"
-1096.785435238554j,"[[ 0.7377573 +1.77441965e-03j -0.35641247-1.39695126e-07j]
 [-0.34883819-1.39819999e-07j  3.26226079+1.77429883e-03j]]"
-1096.4158361028378j,"[[ 0.73772108+1.81745801e-03j -0.35645299-1.17360261e-07j]
 [-0.34887871-1.17485190e-07j  3.262297  +1.81746147e-03j]]"
-1096.0462369671213j,"[[ 0.73765276+1.81254759e-03j -0.35649083-1.24219525e-07j]
 [-0.34891655-1.24343953e-07j  3.26236525+1.81254005e-03j]]"
-1095.6766378314048j,"[[ 0.73759535+1.77321631e-03j -0.35647461-1.36485790e-07j]
 [-0.34890033-1.36610628e-07j  3.26242271+1.77314810e-03j]]"
-1095.3070386956883j,"[[ 0.73767062+1.74084589e-03j -0.35648953-9.59855116e-08j]
 [-0.34891525-9.61103372e-08j  3.26234743+1.74081175e-03j]]"
-1094.9374395599718j,"[[ 0.7376671 +1.63945980e-03j -0.35648498-9.76192157e-08j]
 [-0.3489107 -9.77435189e-08j  3.26235087+1.63946191e-03j]]"
-1094.5678404242556j,"[[ 0.73766686+1.63949982e-03j -0.35640936-1.04041016e-07j]
 [-0.34883508-1.04165123e-07j  3.26235108+1.63953754e-03j]]"
