iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 3.46527834e-02-4.78345175e-04j  4.01165465e-05-5.78020736e-09j]
 [-4.07583865e-04-5.78022805e-09j  3.96534716e+00-4.78584310e-04j]]"
-1108.2430084457642j,"[[ 3.46346565e-02-4.02331037e-04j  2.75375182e-05-4.37948414e-09j]
 [-4.20162958e-04-4.37947446e-09j  3.96536537e+00-4.02690136e-04j]]"
-1107.8734093100477j,"[[ 3.45963095e-02-3.78940174e-04j  5.19113004e-05+1.99930928e-09j]
 [-3.95789199e-04+1.99930524e-09j  3.96540368e+00-3.79186831e-04j]]"
-1107.5038101743312j,"[[ 3.45480205e-02-3.37970580e-04j  3.83589435e-05+4.58870873e-09j]
 [-4.09341593e-04+4.58876390e-09j  3.96545211e+00-3.38245066e-04j]]"
-1107.1342110386147j,"[[ 3.46007358e-02-3.25315193e-04j  2.54372515e-05+1.58064185e-08j]
 [-4.22263299e-04+1.58065205e-08j  3.96539952e+00-3.25532755e-04j]]"
-1106.7646119028984j,"[[ 3.45953449e-02-2.86627914e-04j  2.64173212e-05+2.27697296e-08j]
 [-4.21283264e-04+2.27698638e-08j  3.96540499e+00-2.86769276e-04j]]"
-1106.395012767182j,"[[ 3.46684765e-02-2.71015876e-04j  5.84855544e-05+4.00987586e-09j]
 [-3.89215047e-04+4.00998961e-09j  3.96533180e+00-2.71238753e-04j]]"
-1106.0254136314654j,"[[ 3.46526530e-02-3.28239359e-04j  6.60866600e-05+3.06205908e-09j]
 [-3.81613899e-04+3.06216529e-09j  3.96534761e+00-3.28188018e-04j]]"
-1105.655814495749j,"[[ 3.45954895e-02-2.58482489e-04j  7.51684658e-05-1.30835018e-08j]
 [-3.72532154e-04-1.30834099e-08j  3.96540474e+00-2.58495654e-04j]]"
-1105.2862153600324j,"[[ 3.46688118e-02-2.46218616e-04j  8.14030243e-05-7.41889171e-09j]
 [-3.66297609e-04-7.41881765e-09j  3.96533137e+00-2.46196133e-04j]]"
-1104.916616224316j,"[[ 3.46904152e-02-1.59845956e-04j  1.04782710e-04-8.30589497e-11j]
 [-3.42917998e-04-8.29686089e-11j  3.96530981e+00-1.59772220e-04j]]"
-1104.5470170885997j,"[[ 3.47246254e-02-1.79112709e-04j  1.13955541e-04-2.83677921e-09j]
 [-3.33745155e-04-2.83668872e-09j  3.96527560e+00-1.79085336e-04j]]"
-1104.1774179528832j,"[[ 3.47253114e-02-2.15526217e-04j  1.54583160e-04-3.61357387e-09j]
 [-2.93117510e-04-3.61339966e-09j  3.96527512e+00-2.15363542e-04j]]"
-1103.8078188171667j,"[[ 3.47679482e-02-2.16604975e-04j  1.66761976e-04-1.43072888e-08j]
 [-2.80938697e-04-1.43071796e-08j  3.96523232e+00-2.16356585e-04j]]"
-1103.4382196814502j,"[[ 3.47980630e-02-2.32209699e-04j  1.76540412e-04-9.60222891e-09j]
 [-2.71160252e-04-9.60213427e-09j  3.96520217e+00-2.31871356e-04j]]"
