iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.02923359+1.93276920e-03j -0.55373255-7.37496383e-08j]
 [-0.55419642-7.37494933e-08j  2.97076675+1.93205171e-03j]]"
-1108.2430084457642j,"[[ 1.02925058+2.03299361e-03j -0.55371121-8.37406955e-08j]
 [-0.55417508-8.37405377e-08j  2.9707498 +2.03235889e-03j]]"
-1107.8734093100477j,"[[ 1.02929167+2.16505346e-03j -0.55370582-1.13588683e-07j]
 [-0.55416969-1.13588460e-07j  2.97070886+2.16453707e-03j]]"
-1107.5038101743312j,"[[ 1.0292958 +2.29594563e-03j -0.55376562-1.08839672e-07j]
 [-0.55422949-1.08839400e-07j  2.97070485+2.29557737e-03j]]"
-1107.1342110386147j,"[[ 1.02926798+2.40471998e-03j -0.55382478-6.15817508e-08j]
 [-0.55428864-6.15814194e-08j  2.97073281+2.40450655e-03j]]"
-1106.7646119028984j,"[[ 1.02928442+2.45839459e-03j -0.55384683-2.41949681e-08j]
 [-0.5543107 -2.41946337e-08j  2.97071638+2.45834835e-03j]]"
-1106.395012767182j,"[[ 1.0293199 +2.36744319e-03j -0.55384139-2.34298702e-08j]
 [-0.55430526-2.34295624e-08j  2.97068083+2.36750873e-03j]]"
-1106.0254136314654j,"[[ 1.02936204+2.30117849e-03j -0.55383166-3.18209519e-08j]
 [-0.55429553-3.18206957e-08j  2.97063857+2.30140644e-03j]]"
-1105.655814495749j,"[[ 1.02938364+2.27623199e-03j -0.55382262-3.05811425e-08j]
 [-0.55428649-3.05809238e-08j  2.97061688+2.27653175e-03j]]"
-1105.2862153600324j,"[[ 1.02940723+2.22034516e-03j -0.55379612-2.01765471e-08j]
 [-0.55425999-2.01763594e-08j  2.97059322+2.22074417e-03j]]"
-1104.916616224316j,"[[ 1.02938005+2.12358253e-03j -0.55379337-1.99610776e-08j]
 [-0.55425724-1.99608974e-08j  2.97062038+2.12406609e-03j]]"
