iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 1.10172494+1.96216880e-03j -0.61442529-8.42840181e-08j]
 [-0.61457095-8.42840119e-08j  2.89827511+1.96223709e-03j]]"
-1108.2430084457642j,"[[ 1.10161668+1.95732721e-03j -0.61437158-1.33703171e-07j]
 [-0.61451723-1.33703176e-07j  2.89838329+1.95735299e-03j]]"
-1107.8734093100477j,"[[ 1.10154397+1.98833606e-03j -0.61433655-1.37056312e-07j]
 [-0.6144822 -1.37056312e-07j  2.89845603+1.98833034e-03j]]"
-1107.5038101743312j,"[[ 1.10149007+2.03574547e-03j -0.61434127-1.01444159e-07j]
 [-0.61448692-1.01444147e-07j  2.89851002+2.03573962e-03j]]"
-1107.1342110386147j,"[[ 1.101474  +2.05647352e-03j -0.61435199-8.25540919e-08j]
 [-0.61449764-8.25540641e-08j  2.89852621+2.05643314e-03j]]"
-1106.7646119028984j,"[[ 1.10148874+2.03167416e-03j -0.61439125-7.18024481e-08j]
 [-0.6145369 -7.18024051e-08j  2.89851159+2.03164456e-03j]]"
-1106.395012767182j,"[[ 1.10148005+1.95149652e-03j -0.61441808-2.18073238e-08j]
 [-0.61456373-2.18072831e-08j  2.89852026+1.95152508e-03j]]"
-1106.0254136314654j,"[[ 1.10141357+1.90929447e-03j -0.61443355+6.99758433e-09j]
 [-0.6145792 +6.99760145e-09j  2.89858656+1.90946174e-03j]]"
-1105.655814495749j,"[[ 1.10137643+1.86360892e-03j -0.61443907+2.66914580e-08j]
 [-0.61458472+2.66914588e-08j  2.89862358+1.86390799e-03j]]"
-1105.2862153600324j,"[[ 1.101346  +1.83140983e-03j -0.61439466+4.64278675e-08j]
 [-0.61454031+4.64278461e-08j  2.89865384+1.83181501e-03j]]"
-1104.916616224316j,"[[ 1.10128413+1.82703099e-03j -0.61436005+3.64599115e-08j]
 [-0.6145057 +3.64598596e-08j  2.89871548+1.82748710e-03j]]"
-1104.5470170885997j,"[[ 1.1011954 +1.87428736e-03j -0.61433838-7.73966412e-09j]
 [-0.61448403-7.73972822e-09j  2.89880412+1.87468263e-03j]]"
-1104.1774179528832j,"[[ 1.1011715 +1.93791050e-03j -0.614312  -2.82875741e-08j]
 [-0.61445766-2.82876328e-08j  2.89882806+1.93817640e-03j]]"
-1103.8078188171667j,"[[ 1.10121887+1.99466016e-03j -0.6143025 -1.94236253e-08j]
 [-0.61444816-1.94236771e-08j  2.89878074+1.99478664e-03j]]"
-1103.4382196814502j,"[[ 1.10133187+2.02884023e-03j -0.61427952-8.73272156e-09j]
 [-0.61442517-8.73276708e-09j  2.89866779+2.02891117e-03j]]"
